learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,61.77161,8.644735374798377E-7,100.0,89.0,73.5576923076923,-10.000000000000012,62.068965517241395,27.0,54096.0
200.0,61.807952,8.649821319182713E-7,200.0,91.5,82.81439547108775,0.0,80.45977011494254,127.0,54096.0
300.0,61.833024,8.653330063819884E-7,300.0,91.33333333333333,82.24932866050703,23.52941176470585,79.36507936507937,227.0,54096.0
400.0,61.864597,8.65774468158682E-7,400.0,89.0,77.93380140421263,46.98795180722893,76.71957671957672,89.0,54048.0
500.0,61.880582,8.659979745248952E-7,500.0,89.2,78.33204930662558,58.46153846153847,76.92307692307693,189.0,54048.0
600.0,61.906711,8.663633168985445E-7,600.0,86.83333333333333,73.1815507174218,53.25443786982246,69.73180076628351,289.0,54048.0
700.0,61.932077,8.667179908106723E-7,700.0,84.71428571428572,68.88707962249104,53.47826086956524,65.14657980456028,49.0,54048.0
800.0,61.946595,8.669209852069615E-7,800.0,85.0,69.63562753036436,58.904109589041084,66.48044692737429,149.0,54048.0
900.0,61.960919,8.671212670455375E-7,900.0,85.44444444444444,70.54856115107914,62.138728323699425,67.4937965260546,249.0,54048.0
1000.0,61.981338,8.67406770735979E-7,1000.0,85.5,70.85380267421385,62.724935732647815,68.81720430107526,349.0,54048.0
1100.0,61.993599,8.67578207179904E-7,1100.0,86.0,71.71717171717171,68.3257918552036,71.42857142857143,449.0,54048.0
1200.0,62.007208,8.677684917052587E-7,1200.0,85.39999999999999,70.63225142011169,70.02053388090349,69.64656964656965,549.0,54048.0
1300.0,62.021859,8.679733457416296E-7,1300.0,84.7,69.23213050402998,70.63339731285988,69.46107784431138,649.0,54048.0
1400.0,62.044715,8.68292924190561E-7,1400.0,84.89999999999999,69.7591143225641,70.96153846153845,69.3711967545639,749.0,54048.0
1500.0,62.059489,8.684994980444511E-7,1500.0,83.39999999999999,66.79322581806687,68.01541425818883,66.86626746506985,849.0,54048.0
1600.0,62.076584,8.687385247151058E-7,1600.0,84.3,68.49666907456456,70.4331450094162,70.37735849056604,949.0,54048.0
1700.0,62.093417,8.689738880346219E-7,1700.0,85.5,70.8136744979952,72.22222222222221,72.64150943396226,1049.0,54048.0
1800.0,62.116547,8.692975848416488E-7,1800.0,83.6,66.90118388814213,67.77996070726915,68.40077071290943,54.0,54096.0
1900.0,62.127668,8.69453219609956E-7,1900.0,81.6,62.65096924794478,63.56435643564355,64.4100580270793,154.0,54096.0
