learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,234.286706,2.724546941233178E-6,1000.0,91.60000000000001,83.07263853231716,78.40616966580978,81.93548387096776,689.0,44952.0
2000.0,234.580725,2.7279661218635736E-6,2000.0,85.1,69.92790770895058,70.66929133858267,70.37773359840955,261.0,44952.0
3000.0,234.779506,2.7302777688826123E-6,3000.0,89.5,78.70700843608047,80.6985294117647,78.95791583166333,1261.0,44952.0
4000.0,234.974132,2.7325410969307025E-6,4000.0,86.7,72.65782397394887,74.4721689059501,69.90950226244344,2261.0,44952.0
5000.0,235.20382,2.7352121649930874E-6,5000.0,86.1,71.71116900032563,71.63265306122449,69.45054945054945,3261.0,44952.0
6000.0,235.465625,2.738256725327422E-6,6000.0,92.10000000000001,83.91549731653488,83.40336134453781,81.7551963048499,4261.0,44952.0
7000.0,235.662282,2.7405436721071597E-6,7000.0,91.60000000000001,82.90459133832628,83.09859154929579,80.37383177570095,5261.0,44952.0
8000.0,235.869898,2.742958062353233E-6,8000.0,89.8,77.4312316352179,78.343949044586,70.34883720930233,6261.0,44952.0
9000.0,236.108494,2.745732722568015E-6,9000.0,86.3,70.08733624454148,70.21739130434781,63.94736842105263,7261.0,44952.0
10000.0,236.416547,2.7493151061919826E-6,10000.0,88.9,73.52023435785375,76.1802575107296,65.527950310559,8261.0,44952.0
11000.0,236.705575,2.7526762459116675E-6,11000.0,90.7,80.93559099667911,80.94262295081968,78.95927601809956,9261.0,44952.0
12000.0,236.904402,2.754988427869975E-6,12000.0,91.4,82.30110350561633,82.44897959183675,79.1767554479419,10261.0,44952.0
13000.0,237.108212,2.7573585577060773E-6,13000.0,90.7,81.0914118412492,81.4,79.28730512249443,11261.0,44952.0
14000.0,237.318,2.7597982063889498E-6,14000.0,88.9,73.89095356823636,73.82075471698114,63.36633663366338,12261.0,44952.0
15000.0,237.51158,2.7620493703832224E-6,15000.0,92.7,81.34785985855036,82.40963855421688,74.02135231316727,13261.0,44952.0
16000.0,237.709185,2.7643473415635522E-6,16000.0,89.8,77.01460248783127,78.11158798283262,71.02272727272728,14261.0,44952.0
17000.0,238.005268,2.7677905246863757E-6,17000.0,84.7,69.25364736144046,70.0,68.5185185185185,15261.0,44952.0
18000.0,238.461909,2.7731008551828558E-6,18000.0,89.1,76.57183633815653,77.05263157894737,73.60774818401937,16261.0,44952.0
19000.0,238.931562,2.7785625037178392E-6,19000.0,86.7,71.25964854655936,72.74590163934425,66.15776081424937,17261.0,44952.0
20000.0,239.407505,2.7840972993833317E-6,20000.0,87.3,72.98102289166879,74.6,67.68447837150127,18261.0,44952.0
21000.0,239.871136,2.7894889173905047E-6,21000.0,90.2,78.68796130777629,79.54070981210857,73.29700272479565,19261.0,44952.0
