learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,423.412259,4.9239096610931065E-6,100.0,87.0,66.73490276356192,-30.000000000000032,55.172413793103445,27.0,44952.0
200.0,423.447796,4.924322924936812E-6,200.0,90.0,79.75708502024293,-17.647058823529434,77.01149425287358,127.0,44952.0
300.0,423.471088,4.9245937902728725E-6,300.0,91.66666666666666,82.87827595653364,26.470588235294056,80.15873015873015,227.0,44952.0
400.0,423.51257,4.9250761892025675E-6,400.0,87.5,74.86173956762192,39.75903614457832,73.54497354497354,54.0,44952.0
500.0,423.531438,4.925295607335866E-6,500.0,88.6,77.16419345533797,56.15384615384615,75.64102564102564,154.0,44952.0
600.0,423.555919,4.9255802996891245E-6,600.0,88.0,75.54763117677025,57.39644970414201,72.41379310344827,254.0,44952.0
700.0,423.588604,4.925960397298138E-6,700.0,87.14285714285714,73.78560788262611,60.86956521739132,70.6840390879479,354.0,44952.0
800.0,423.614368,4.926260009805362E-6,800.0,87.625,74.91765898150493,66.09589041095889,72.3463687150838,454.0,44952.0
900.0,423.638638,4.926542248415451E-6,900.0,88.44444444444444,76.58185093447422,69.94219653179192,74.19354838709678,554.0,44952.0
1000.0,423.664382,4.926841628340384E-6,1000.0,88.4,76.64275905395121,70.17994858611826,75.05376344086021,654.0,44952.0
1100.0,423.684596,4.9270766992618646E-6,1100.0,89.4,78.49898580121705,76.01809954751131,78.36734693877551,754.0,44952.0
1200.0,423.703977,4.927302083130926E-6,1200.0,89.2,78.21702299314241,77.82340862422998,77.54677754677755,854.0,44952.0
1300.0,423.726052,4.927558795834581E-6,1300.0,88.2,76.17355345200788,77.35124760076776,76.44710578842316,954.0,44952.0
1400.0,423.752396,4.927865153228243E-6,1400.0,89.5,78.9188798496615,79.8076923076923,78.70182555780933,1054.0,44952.0
1500.0,423.775797,4.92813728613779E-6,1500.0,88.9,77.8,78.61271676300578,77.84431137724552,1154.0,44952.0
1600.0,423.798294,4.928398906327784E-6,1600.0,89.60000000000001,79.13992297817715,80.41431261770245,80.37735849056604,1254.0,44952.0
1700.0,423.821594,4.928669864696761E-6,1700.0,90.4,80.70056933320467,81.60919540229885,81.88679245283019,1354.0,44952.0
1800.0,423.853178,4.929037158650656E-6,1800.0,89.2,78.27460099695442,78.7819253438114,79.1907514450867,1454.0,44952.0
1900.0,423.891608,4.92948406552275E-6,1900.0,88.3,76.3590514524029,76.83168316831683,77.36943907156673,1554.0,44952.0
2000.0,423.917561,4.929785875932623E-6,2000.0,89.3,78.44532364245829,78.93700787401575,78.72763419483103,1654.0,44952.0
2100.0,423.940307,4.930050391772141E-6,2100.0,88.7,77.26577714828346,77.30923694779118,77.30923694779118,1754.0,44952.0
2200.0,423.964478,4.930331479099889E-6,2200.0,88.3,76.47522459123189,76.64670658682635,76.69322709163346,1854.0,44952.0
2300.0,423.991418,4.930644767445822E-6,2300.0,87.7,75.36314326232043,75.7396449704142,75.44910179640718,1954.0,44952.0
2400.0,424.016731,4.930939135222385E-6,2400.0,87.8,75.60029279648644,76.49325626204238,75.84158415841584,2054.0,44952.0
2500.0,424.040477,4.93121528017645E-6,2500.0,88.9,77.77688796348203,78.61271676300578,77.57575757575758,2154.0,44952.0
2600.0,424.064201,4.931491169289996E-6,2600.0,88.5,76.98840215468596,77.88461538461539,76.48261758691207,2254.0,44952.0
2700.0,424.087896,4.931766721159219E-6,2700.0,88.8,77.58323225772878,78.82797731568998,77.28194726166329,2354.0,44952.0
2800.0,424.112946,4.932058030478656E-6,2800.0,90.3,80.54989653347022,81.59392789373815,80.44354838709677,2454.0,44952.0
2900.0,424.134078,4.932303776927292E-6,2900.0,91.2,82.31340643792007,83.45864661654136,82.47011952191235,2554.0,44952.0
3000.0,424.156165,4.932560629180322E-6,3000.0,91.10000000000001,82.07047712676373,83.63970588235293,82.16432865731463,2654.0,44952.0
3100.0,424.178384,4.932819016476472E-6,3100.0,90.2,80.21896395814494,81.88539741219965,80.4,2754.0,44952.0
3200.0,424.201964,4.933093230997522E-6,3200.0,90.2,80.18240278255243,81.88539741219965,80.12170385395538,2854.0,44952.0
3300.0,424.226741,4.933381365568687E-6,3300.0,91.2,82.21474882374817,83.88278388278388,81.66666666666667,2954.0,44952.0
3400.0,424.250374,4.933656196432808E-6,3400.0,90.7,81.2165229966311,82.68156424581007,80.08565310492506,3054.0,44952.0
3500.0,424.287683,4.934090067067493E-6,3500.0,89.0,77.82436900249981,79.70479704797047,76.59574468085107,3154.0,44952.0
3600.0,424.324243,4.934515227495381E-6,3600.0,89.2,78.20145888754779,80.03696857670981,76.87366167023555,3254.0,44952.0
3700.0,424.360598,4.934938003954786E-6,3700.0,88.8,77.30257291548452,78.70722433460077,75.54585152838428,3354.0,44952.0
3800.0,424.398895,4.935383364154645E-6,3800.0,88.2,76.07849497242945,78.02607076350094,74.235807860262,3454.0,44952.0
3900.0,424.438045,4.935838643989213E-6,3900.0,87.3,74.09072733652677,76.17260787992495,71.52466367713004,3554.0,44952.0
4000.0,424.480067,4.936327322640765E-6,4000.0,86.4,72.18040191137003,73.89635316698656,69.23076923076923,3654.0,44952.0
4100.0,424.516282,4.9367484710241335E-6,4100.0,87.2,73.70583401807724,75.33718689788054,70.50691244239631,3754.0,44952.0
4200.0,424.553554,4.93718191138158E-6,4200.0,87.4,74.18910780349307,75.43859649122807,71.29840546697038,3854.0,44952.0
4300.0,424.588389,4.937587011586872E-6,4300.0,87.4,74.30836487015529,75.34246575342466,71.875,3954.0,44952.0
4400.0,424.626896,4.9380348139007865E-6,4400.0,88.3,76.22453790255719,76.92307692307693,74.17218543046357,4054.0,44952.0
4500.0,424.659814,4.93841762109349E-6,4500.0,89.3,78.25910273081925,78.93700787401575,76.2749445676275,4154.0,44952.0
4600.0,424.702527,4.938914335463194E-6,4600.0,89.3,78.17466792859241,78.89546351084813,75.90090090090091,4254.0,44952.0
4700.0,424.742623,4.939380616440126E-6,4700.0,88.4,76.30099372384937,77.07509881422925,73.87387387387388,4354.0,44952.0
4800.0,424.783046,4.939850700137514E-6,4800.0,87.7,74.87355063285968,74.69135802469135,72.42152466367713,4454.0,44952.0
4900.0,424.842683,4.940008931085466E-6,4900.0,87.0,73.53247768584272,73.25102880658436,71.36563876651982,0.0,10256.0
5000.0,424.867242,4.940294530509659E-6,5000.0,85.6,70.67747256103769,70.61224489795917,68.35164835164834,100.0,44952.0
5100.0,424.888074,4.9405367882239305E-6,5100.0,84.7,68.86725649311009,68.71165644171778,66.29955947136563,200.0,44952.0
5200.0,424.909848,4.9407900005641065E-6,5200.0,84.6,68.58578935343841,68.1159420289855,65.62499999999999,300.0,44952.0
5300.0,424.93197,4.941047259836145E-6,5300.0,84.1,67.28825833635076,66.17021276595743,63.279445727482674,400.0,44952.0
5400.0,424.953493,4.94129755326857E-6,5400.0,83.3,65.46504317903583,64.61864406779661,60.332541567695955,500.0,44952.0
5500.0,424.97434,4.94153998541956E-6,5500.0,83.5,65.80339230348349,64.89361702127658,60.620525059665866,600.0,44952.0
5600.0,424.993363,4.941761206065614E-6,5600.0,83.89999999999999,66.68404890202213,65.67164179104476,61.75771971496437,700.0,44952.0
5700.0,425.013865,4.9419996261720845E-6,5700.0,85.6,70.37341837259541,69.2963752665245,66.11764705882352,800.0,44952.0
5800.0,425.03368,4.942230057076861E-6,5800.0,87.1,73.59868361808552,72.95597484276729,69.78922716627635,900.0,44952.0
5900.0,425.05332,4.94245845288659E-6,5900.0,89.0,77.62217276496365,77.03549060542798,74.5958429561201,1000.0,44952.0
6000.0,425.07346,4.942692663253594E-6,6000.0,90.60000000000001,80.90835604697358,80.25210084033614,78.29099307159353,1100.0,44952.0
6100.0,425.09522,4.942945712786166E-6,6100.0,91.7,83.15541664975444,82.5263157894737,80.87557603686636,1200.0,44952.0
6200.0,425.115654,4.943183342112848E-6,6200.0,92.2,84.10032288575063,83.81742738589213,81.60377358490567,1300.0,44952.0
6300.0,425.136215,4.943422448337077E-6,6300.0,93.10000000000001,85.98506698731751,85.71428571428572,83.91608391608393,1400.0,44952.0
6400.0,425.156177,4.943654588721691E-6,6400.0,94.3,88.4498480243161,88.24742268041236,86.89655172413792,1500.0,44952.0
6500.0,425.178178,4.94391044087087E-6,6500.0,94.3,88.46116473408044,88.17427385892115,86.92660550458714,1600.0,44952.0
6600.0,425.198009,4.944141057841479E-6,6600.0,93.89999999999999,87.65142190840189,87.31808731808731,86.0091743119266,1700.0,44952.0
6700.0,425.22282,4.944429587802539E-6,6700.0,92.80000000000001,85.39055905460685,85.42510121457491,83.48623853211011,1800.0,44952.0
6800.0,425.25191,4.9447678787447506E-6,6800.0,91.60000000000001,82.91182501708818,83.2,80.82191780821918,1900.0,44952.0
6900.0,425.274466,4.945030185052503E-6,6900.0,91.0,81.59719950271544,81.59509202453988,78.97196261682244,2000.0,44952.0
7000.0,425.296835,4.945290316715835E-6,7000.0,91.3,82.19489832672976,82.49496981891349,79.67289719626169,2100.0,44952.0
7100.0,425.319735,4.945556623438993E-6,7100.0,90.7,80.90944920681842,81.65680473372781,78.2201405152225,2200.0,44952.0
7200.0,425.340676,4.94580014872675E-6,7200.0,90.7,80.85884115719625,81.6205533596838,78.06603773584906,2300.0,44952.0
7300.0,425.361407,4.946041231900453E-6,7300.0,90.5,80.30206268505694,81.1881188118812,77.05314009661836,2400.0,44952.0
7400.0,425.384666,4.9463117134757335E-6,7400.0,89.8,78.6317624187169,79.8019801980198,74.75247524752476,2500.0,44952.0
7500.0,425.405983,4.946559611310561E-6,7500.0,89.2,77.20739999746749,78.57142857142857,72.79596977329975,2600.0,44952.0
