learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.034741,2.437415843208631E-10,100.0,60.0,60.0,-300.0000000000001,43.66197183098592,100.0,27120.0,10.0,99.1,35.37874440332155,264.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.079285,5.568137889107069E-10,200.0,77.5,77.5,-164.70588235294125,59.82142857142857,200.0,27168.0,10.0,239.9,68.1965297259814,408.8,124.64777040391321,2.2,1.0327955589886444,1.6,0.5163977794943222,1.6,0.5163977794943222,0.6,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.100857,7.085193155540362E-10,300.0,83.0,83.0,-59.375000000000014,70.52023121387283,300.0,27184.0,10.0,347.5,84.41596742059855,457.59999999999997,102.08841483951272,2.6,0.8432740427115678,1.8,0.4216370213557839,1.8,0.4216370213557839,0.7999999999999999,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.117955,8.287613466382028E-10,400.0,82.25,82.25,14.457831325301216,66.19047619047619,400.0,27184.0,10.0,440.59999999999997,99.3794076590652,482.40000000000003,138.30979719455885,2.8,1.1352924243950933,1.9,0.5676462121975466,1.9,0.5676462121975466,0.9,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.130572,9.174906545215184E-10,500.0,83.39999999999999,83.39999999999999,37.593984962406005,64.9789029535865,500.0,27184.0,10.0,509.0,112.6281985610669,507.19999999999993,162.69726488174285,3.0,1.3333333333333333,1.9999999999999996,0.6666666666666666,1.9999999999999996,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.145521,1.02261979960733E-9,600.0,83.66666666666667,83.66666666666667,43.67816091954024,62.59541984732825,600.0,27184.0,10.0,585.0999999999999,110.6530614126875,556.8,192.48826804076486,3.4,1.577621275493231,2.2,0.7888106377466155,2.2,0.7888106377466155,1.2,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
700.0,0.161735,1.1366786393854354E-9,700.0,82.28571428571428,82.28571428571428,46.08695652173914,59.87055016181229,700.0,27192.0,10.0,726.2,100.82085322216057,581.5999999999999,164.51626059450783,3.5999999999999996,1.3498971154211057,2.3000000000000003,0.6749485577105528,2.3000000000000003,0.6749485577105528,1.2999999999999998,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.173297,1.2180125671956274E-9,800.0,82.75,82.75,52.41379310344828,61.77285318559558,800.0,27192.0,10.0,826.8,100.09639798159017,581.5999999999999,164.51626059450783,3.5999999999999996,1.3498971154211057,2.3000000000000003,0.6749485577105528,2.3000000000000003,0.6749485577105528,1.2999999999999998,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
900.0,0.186593,1.3115444738003943E-9,900.0,83.55555555555556,83.55555555555556,57.225433526011585,63.4567901234568,900.0,27192.0,10.0,902.9000000000001,103.32198862455819,629.5999999999999,172.86295149626483,3.9999999999999996,1.4142135623730951,2.5,0.7071067811865476,2.5,0.7071067811865476,1.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.197378,1.3874125252995228E-9,1000.0,83.8,83.8,59.398496240601496,65.31049250535331,1000.0,27192.0,10.0,995.6,95.49892378683882,629.5999999999999,172.86295149626483,3.9999999999999996,1.4142135623730951,2.5,0.7071067811865476,2.5,0.7071067811865476,1.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,0.207731,1.4602416339847777E-9,1100.0,87.1,87.1,71.26948775055679,71.3968957871397,1100.0,27192.0,10.0,1074.7,97.00750257354093,629.5999999999999,172.86295149626483,3.9999999999999996,1.4142135623730951,2.5,0.7071067811865476,2.5,0.7071067811865476,1.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
