learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.095871,1.5174792210261027E-9,100.0,94.0,94.0,39.999999999999936,91.54929577464787,100.0,61184.0,10.0,598.3,29.758472183004717,580.0000000000001,203.55070348414148,3.5999999999999996,1.6465452046971292,2.3000000000000007,0.8232726023485645,2.3000000000000007,0.8232726023485645,1.2000000000000002,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.139137,2.2400062158703803E-9,200.0,93.0,93.0,17.647058823529434,87.5,200.0,64552.0,10.0,1204.3,49.139370954233605,903.2,421.76265047219783,6.199999999999999,3.4253953543107007,3.5999999999999996,1.7126976771553504,3.5999999999999996,1.7126976771553504,2.1,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.166463,2.6963408125771415E-9,300.0,93.33333333333333,93.33333333333333,37.50000000000003,88.43930635838151,300.0,64552.0,10.0,1803.6999999999998,59.065030075144975,1291.2,326.29802328546214,9.400000000000002,2.6331223544175333,5.200000000000001,1.3165611772087666,5.200000000000001,1.3165611772087666,3.1,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.197484,3.2413451311488945E-9,400.0,92.5,92.5,63.855421686747015,85.71428571428572,400.0,67912.0,10.0,2399.8,72.99741243511455,1802.4,261.36190320022627,13.6,2.1186998109427604,7.3,1.0593499054713802,7.3,1.0593499054713802,4.1,0.8755950357709132,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.224972,3.724278586192263E-9,500.0,92.80000000000001,92.80000000000001,72.93233082706769,84.81012658227849,500.0,67912.0,10.0,3012.9,85.52511002298941,2296.0,491.39077004853164,17.599999999999998,4.005551702879947,9.299999999999999,2.0027758514399734,9.299999999999999,2.0027758514399734,5.199999999999999,1.6193277068654826,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.253509,4.225641799469788E-9,600.0,92.5,92.5,74.13793103448278,82.82442748091604,600.0,67912.0,10.0,3614.7000000000003,79.43557837084782,2792.0,645.4104637102397,21.600000000000005,5.253570214625477,11.300000000000002,2.6267851073127386,11.300000000000002,2.6267851073127386,5.700000000000001,1.4181364924121764,0.0,0.0,0.0,0.0,1.0,0.0
700.0,0.287197,4.846785097486443E-9,700.0,91.71428571428571,91.71428571428571,74.78260869565217,81.22977346278317,700.0,71272.0,10.0,4226.2,78.45706539956173,3435.2,620.7001065105615,26.799999999999997,5.028805910838963,13.899999999999999,2.5144029554194813,13.899999999999999,2.5144029554194813,6.0,1.632993161855452,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.318893,5.43119966569874E-9,800.0,91.625,91.625,76.89655172413794,81.4404432132964,800.0,71272.0,10.0,4825.799999999999,87.87592262831609,4123.2,779.5355882404173,32.4,6.328067986711619,16.7,3.16403399335581,16.7,3.16403399335581,7.0,1.5634719199411433,0.0,0.0,0.0,0.0,1.0,0.0
900.0,0.343108,5.8776786778536105E-9,900.0,92.0,92.0,79.19075144508672,82.22222222222223,900.0,71272.0,10.0,5420.1,79.25689594953582,4568.0,877.815470358093,36.0,7.071067811865475,18.5,3.5355339059327373,18.5,3.5355339059327373,7.499999999999999,1.5811388300841898,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.365849,6.296979905002646E-9,1000.0,91.7,91.7,79.19799498746868,82.2269807280514,1000.0,71272.0,10.0,6025.099999999999,82.54486995298713,5216.800000000001,973.0479947052969,41.2,7.857056276579247,21.1,3.9285281382896233,21.1,3.9285281382896233,7.7,1.888562063228706,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,0.384853,6.64737788753377E-9,1100.0,92.10000000000001,92.10000000000001,82.4053452115813,82.48337028824835,1100.0,71272.0,10.0,6623.400000000001,71.57311723762699,5732.0,1161.7014341999507,45.4,9.418657606639659,23.2,4.7093288033198295,23.2,4.7093288033198295,8.0,2.0548046676563256,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,0.402864,6.97946681951483E-9,1200.0,91.9,91.9,83.89662027833002,82.31441048034935,1200.0,71272.0,10.0,7211.4,53.547901712184576,6176.0,1195.7138267811222,49.0,9.66091783079296,25.0,4.83045891539648,25.0,4.83045891539648,8.200000000000001,1.8737959096740262,0.0,0.0,0.0,0.0,1.0,0.0
