learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.0829,8.561068338652452E-8,100.0,96.0,90.48072346501665,59.99999999999995,86.20689655172413,1584.0,305592.0
200.0,2.329486,1.8527382421824669E-7,200.0,94.0,87.9711307137129,29.41176470588226,86.20689655172413,3532.0,309040.0
300.0,3.738959,2.979012554097507E-7,300.0,94.0,87.813134732566,43.749999999999964,85.7142857142857,5771.0,308880.0
400.0,12.253173,9.86003882996738E-7,400.0,92.5,84.9624060150376,65.11627906976746,84.12698412698414,19359.0,312400.0
500.0,12.538853,1.009091998781595E-6,500.0,92.4,84.72472343709802,71.21212121212123,83.76068376068378,19791.0,312400.0
600.0,12.788004,1.0292279100666444E-6,600.0,92.0,83.62985278235662,72.57142857142858,81.60919540229887,20181.0,312400.0
700.0,13.059475,1.051403653352625E-6,700.0,91.0,81.5807939053729,73.85892116182575,79.47882736156353,20529.0,315760.0
800.0,13.287825,1.0700569569443664E-6,800.0,91.5,82.71479410269447,77.48344370860927,81.00558659217879,20829.0,315760.0
900.0,13.514039,1.0885357763825192E-6,900.0,91.55555555555556,82.84037028674645,77.97101449275362,81.14143920595534,21158.0,315760.0
1000.0,13.715034,1.1049545228481294E-6,1000.0,91.60000000000001,83.06813463251805,78.84130982367759,81.93548387096776,21420.0,315760.0
1100.0,13.907305,1.120660628978577E-6,1100.0,91.60000000000001,82.95454545454545,81.12359550561798,82.85714285714286,21678.0,315760.0
1200.0,14.064869,1.133531612675223E-6,1200.0,91.4,82.65429608713191,82.34086242299796,82.12058212058213,21893.0,315760.0
1300.0,14.233287,1.1474356254562735E-6,1300.0,90.8,81.4300477974422,82.34165067178503,81.63672654690619,22130.0,319120.0
1400.0,14.483451,1.1680883077904583E-6,1400.0,90.3,80.53725210077289,81.0916179337232,80.32454361054768,22497.0,319120.0
1500.0,14.650048,1.181759925008648E-6,1500.0,89.9,79.79806061381893,80.53949903660886,79.80000000000001,22697.0,317216.0
1600.0,14.808566,1.1947961049816676E-6,1600.0,89.7,79.33552684375252,80.56603773584906,80.52930056710775,22893.0,317888.0
1700.0,15.138008,1.2217550719819137E-6,1700.0,90.4,80.67446130060875,81.5028901734104,81.85255198487712,23355.0,316320.0
1800.0,15.430821,1.2457929638938772E-6,1800.0,88.6,76.99720738026441,77.86407766990293,77.94970986460349,23735.0,317328.0
1900.0,15.623329,1.2616132528500426E-6,1900.0,87.9,75.46335726162955,76.73076923076924,76.55038759689923,23942.0,317664.0
2000.0,15.798951,1.276216318578356E-6,2000.0,88.0,75.79395817195972,76.74418604651163,76.14314115308152,24134.0,321416.0
2100.0,15.976378,1.2909771823303569E-6,2100.0,87.1,73.9940327392952,74.70588235294117,74.04426559356136,24341.0,321584.0
2200.0,16.150246,1.305603166114953E-6,2200.0,86.2,72.21293749521782,73.61376673040154,72.50996015936255,24554.0,325168.0
2300.0,16.316296,1.319386258725491E-6,2300.0,85.6,71.14702593962515,72.57142857142857,71.2,24751.0,320856.0
2400.0,16.476097,1.3326784297679035E-6,2400.0,86.6,73.2,74.52471482889734,73.35984095427436,24939.0,321528.0
2500.0,16.634877,1.345885674516774E-6,2500.0,87.4,74.77507777684352,75.67567567567568,74.54545454545455,25139.0,321528.0
2600.0,16.797932,1.3595618981412717E-6,2600.0,87.8,75.58329897649992,76.76190476190476,74.94866529774127,25334.0,324216.0
2700.0,16.944893,1.3718882389470108E-6,2700.0,87.8,75.57097832224683,76.49325626204238,75.25354969574036,25503.0,324216.0
2800.0,17.100827,1.3849807436495193E-6,2800.0,89.2,78.32274225339108,78.90625,78.3567134268537,25708.0,324552.0
2900.0,17.271933,1.3993619904273915E-6,2900.0,90.4,80.66480833991267,81.431334622824,80.80000000000001,25919.0,324888.0
3000.0,17.437973,1.4133318789655137E-6,3000.0,90.8,81.44360671741437,82.5426944971537,81.48893360160966,26123.0,325224.0
3100.0,17.620108,1.42865593129562E-6,3100.0,90.5,80.80063378118382,82.0754716981132,81.0,26356.0,325224.0
3200.0,17.78376,1.442432016424007E-6,3200.0,91.3,82.4078942047155,83.58490566037736,82.38866396761134,26547.0,325392.0
3300.0,17.992517,1.4600050018024115E-6,3300.0,91.9,83.64336890059208,84.68809073724009,83.125,26792.0,325392.0
3400.0,18.221592,1.4789431979010504E-6,3400.0,91.4,82.65114683988622,83.98510242085663,81.5845824411135,27079.0,319568.0
3500.0,18.408715,1.494461914656891E-6,3500.0,89.9,79.68052146622139,81.66969147005446,78.51063829787235,27282.0,320576.0
3600.0,18.597093,1.5100847126295172E-6,3600.0,89.9,79.67904970383725,81.56934306569342,78.46481876332622,27496.0,320576.0
3700.0,18.777474,1.525059972815216E-6,3700.0,89.8,79.41323688502091,81.3528336380256,77.72925764192141,27706.0,320912.0
3800.0,18.952245,1.5397011512517934E-6,3800.0,89.9,79.57202378544558,81.7359855334539,77.80219780219781,27899.0,323824.0
3900.0,19.131113,1.5547010975413857E-6,3900.0,89.5,78.70320790536923,81.04693140794224,76.5625,28099.0,324160.0
4000.0,19.307471,1.5695135486332912E-6,4000.0,88.9,77.42948238279598,79.36802973977694,74.94356659142211,28303.0,324664.0
4100.0,19.491569,1.5849920910182932E-6,4100.0,89.7,79.00701125061146,80.6390977443609,76.32183908045977,28510.0,325000.0
4200.0,19.675476,1.6004625674709683E-6,4200.0,90.3,80.26144429250506,81.86915887850469,77.75229357798166,28712.0,325168.0
4300.0,19.860425,1.6160367746113082E-6,4300.0,90.7,81.1522653761035,82.77777777777777,79.19463087248323,28907.0,325504.0
