learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.375107,5.254934403217501E-9,100.0,87.0,66.73490276356192,-30.000000000000032,55.172413793103445,742.0,54152.0
200.0,0.699936,9.805516203244527E-9,200.0,89.5,78.77072381722604,-23.529411764705912,75.86206896551725,175.0,54152.0
300.0,1.022126,1.4312459764381249E-8,300.0,90.66666666666666,80.88389240362295,12.499999999999973,77.77777777777777,292.0,54072.0
400.0,2.987941,4.185187884709901E-8,400.0,90.25,80.4167712779312,54.65116279069765,79.36507936507937,8228.0,54152.0
500.0,3.058646,4.284239658464988E-8,500.0,90.60000000000001,81.13661903997432,64.3939393939394,79.91452991452992,8660.0,54152.0
600.0,3.117759,4.367052012640569E-8,600.0,90.33333333333333,80.26920067583657,66.85714285714285,77.77777777777779,9050.0,54152.0
700.0,3.188186,4.4657143317162994E-8,700.0,89.85714285714286,79.29856714428524,70.53941908713693,76.8729641693811,9398.0,54152.0
800.0,3.236865,4.533909527170989E-8,800.0,90.5,80.72044647387114,74.83443708609272,78.7709497206704,9698.0,54152.0
900.0,3.289814,4.608086634427309E-8,900.0,90.66666666666666,81.06828938471939,75.65217391304347,79.15632754342431,10027.0,54152.0
1000.0,3.335309,4.6718213129788635E-8,1000.0,90.8,81.47529166347854,76.82619647355165,80.21505376344086,10289.0,54152.0
1100.0,3.382153,4.737445827366577E-8,1100.0,91.7,83.16088456076284,81.34831460674158,83.06122448979593,10547.0,54152.0
1200.0,3.416916,4.786145874195628E-8,1200.0,91.60000000000001,83.05768455022186,82.75154004106777,82.53638253638255,10762.0,54152.0
1300.0,3.45538,4.84003071155813E-8,1300.0,91.10000000000001,82.03239821050762,82.91746641074856,82.23552894211578,10999.0,54152.0
1400.0,3.515536,4.9243042212393544E-8,1400.0,90.8,81.53470672297244,82.06627680311891,81.33874239350914,11366.0,54152.0
1500.0,3.551232,4.974311322801642E-8,1500.0,90.60000000000001,81.19842066733605,81.88824662813103,81.2,11566.0,54152.0
1600.0,3.586702,5.024001817322439E-8,1600.0,91.3,82.55394240795701,83.58490566037736,83.5538752362949,11762.0,54152.0
1700.0,3.656728,5.122102369036939E-8,1700.0,91.3,82.52366336156331,83.23699421965318,83.5538752362949,12224.0,54152.0
1800.0,3.716137,5.205329394381907E-8,1800.0,89.9,79.68575267303314,80.3883495145631,80.4642166344294,12604.0,54152.0
1900.0,3.754803,5.2594972167991925E-8,1900.0,89.7,79.20435456777362,80.1923076923077,80.03875968992249,12811.0,54152.0
2000.0,3.790007,5.308815067633986E-8,2000.0,89.8,79.47520927237605,80.23255813953489,79.72166998011929,13003.0,54152.0
2100.0,3.82607,5.3593363054096694E-8,2100.0,89.2,78.2874420998456,78.82352941176471,78.26961770623743,13210.0,54152.0
2200.0,3.865362,5.414381101313564E-8,2200.0,88.4,76.71084913047144,77.82026768642447,76.89243027888446,13423.0,54152.0
2300.0,3.90239,5.466254223138094E-8,2300.0,88.1,76.19028563653971,77.33333333333333,76.2,13620.0,54152.0
2400.0,3.936414,5.5139189929597906E-8,2400.0,88.4,76.80742162507997,77.9467680608365,76.93836978131213,13808.0,54152.0
2500.0,3.971419,5.562958061488138E-8,2500.0,88.9,77.75140907742511,78.57142857142857,77.57575757575758,14008.0,54152.0
2600.0,4.009635,5.616495471654667E-8,2600.0,88.1,76.16739699909476,77.33333333333333,75.564681724846,14203.0,54152.0
2700.0,4.043197,5.663513018232253E-8,2700.0,88.5,76.96554044851098,77.84200385356455,76.67342799188641,14372.0,54152.0
2800.0,4.078933,5.713576156439053E-8,2800.0,89.60000000000001,79.10748795667214,79.6875,79.15831663326654,14577.0,54152.0
2900.0,4.117241,5.7672424508879585E-8,2900.0,90.10000000000001,80.03919576105103,80.85106382978724,80.2,14788.0,54152.0
3000.0,4.158868,5.8255583859152267E-8,3000.0,90.3,80.38406781854657,81.59392789373815,80.48289738430584,14992.0,54152.0
3100.0,4.201136,5.8847723081707954E-8,3100.0,89.8,79.3308043964595,80.75471698113208,79.60000000000001,15225.0,54152.0
3200.0,4.237249,5.9353635917521186E-8,3200.0,89.8,79.31504404678856,80.75471698113208,79.35222672064778,15416.0,54152.0
3300.0,4.284692,6.001827254891395E-8,3300.0,89.9,79.51434806948085,80.90737240075615,78.95833333333334,15661.0,54152.0
3400.0,4.339025,6.077943230047821E-8,3400.0,89.2,78.0889507447728,79.88826815642459,76.87366167023555,15948.0,54152.0
3500.0,4.380225,6.135660973894926E-8,3500.0,87.8,75.33360291144359,77.85843920145192,74.04255319148936,16151.0,54152.0
3600.0,4.421786,6.19388444845875E-8,3600.0,87.7,75.10988077025813,77.55474452554743,73.77398720682302,16365.0,54152.0
3700.0,4.460567,6.248213376229006E-8,3700.0,87.9,75.37386943673323,77.87934186471665,73.58078602620087,16575.0,54152.0
3800.0,4.499477,6.302723022177813E-8,3800.0,88.0,75.5196964442359,78.30018083182641,73.62637362637362,16768.0,54152.0
3900.0,4.541257,6.361253297370339E-8,3900.0,87.3,73.96644746552093,77.07581227436823,71.65178571428571,16968.0,54152.0
4000.0,4.580478,6.416198628230226E-8,4000.0,86.2,71.61696893909166,74.34944237918214,68.84875846501129,17172.0,54152.0
4100.0,4.620858,6.472767620864839E-8,4100.0,86.7,72.52860742760359,74.99999999999999,69.42528735632185,17379.0,54152.0
4200.0,4.660029,6.527642905919086E-8,4200.0,87.6,74.4679449166502,76.82242990654207,71.55963302752293,17581.0,54152.0
4300.0,4.699876,6.583465210265582E-8,4300.0,88.0,75.47486787085066,77.77777777777777,73.15436241610738,17776.0,54152.0
4400.0,4.741377,6.641604629862637E-8,4400.0,88.8,77.22753353855664,79.25925925925925,75.27593818984548,17974.0,54152.0
4500.0,4.787293,6.705929094097679E-8,4500.0,89.7,79.04374364191253,80.85501858736059,77.11111111111111,18213.0,54152.0
4600.0,4.826732,6.761179824670154E-8,4600.0,89.7,78.98096450844027,80.78358208955223,76.8018018018018,18431.0,54152.0
4700.0,4.873636,6.826888394024636E-8,4700.0,88.8,77.12866758151998,78.8679245283019,74.77477477477478,18647.0,54152.0
4800.0,4.916669,6.887174017106491E-8,4800.0,87.8,75.11270679912691,76.171875,72.58426966292134,18852.0,54152.0
4900.0,4.964624,6.954354949295518E-8,4900.0,86.8,73.1554543235988,73.86138613861387,70.92511013215858,19001.0,54152.0
5000.0,5.017541,7.028487227236229E-8,5000.0,87.0,73.58636243574375,74.8062015503876,71.42857142857143,19196.0,54152.0
5100.0,5.067834,7.098943501296968E-8,5100.0,86.5,72.58771929824562,73.98843930635837,70.19867549668874,19377.0,54152.0
5200.0,5.119673,7.171565591668086E-8,5200.0,86.5,72.54602100331074,73.0,69.79865771812081,19569.0,54152.0
5300.0,5.180733,7.257105529515277E-8,5300.0,86.0,71.33403223692831,71.54471544715447,67.74193548387096,19824.0,54152.0
5400.0,5.234401,7.332289895456696E-8,5400.0,85.8,70.81804020534234,70.96114519427402,66.43026004728132,20037.0,54152.0
5500.0,5.287036,7.406027115053599E-8,5500.0,86.2,71.65626026947092,71.36929460580913,67.14285714285715,20251.0,54152.0
5600.0,5.333605,7.471266377510293E-8,5600.0,87.2,73.71015445284259,73.16561844863732,69.52380952380952,20421.0,54152.0
5700.0,5.376958,7.532000293748243E-8,5700.0,88.4,76.29508531725759,76.08247422680412,72.70588235294117,20578.0,54152.0
5800.0,5.401372,7.566202259725992E-8,5800.0,89.8,79.21633351671863,79.51807228915662,76.22377622377623,20696.0,54152.0
5900.0,5.43624,7.615049402746886E-8,5900.0,91.8,83.3817693957044,83.79446640316206,81.06235565819863,20875.0,54152.0
6000.0,5.469183,7.661199782250653E-8,6000.0,91.8,83.39980160738507,83.79446640316206,81.06235565819863,21052.0,54152.0
6100.0,5.52912,7.745166491303175E-8,6100.0,92.7,85.20865921561318,85.57312252964428,83.17972350230416,21369.0,54152.0
6200.0,5.577908,7.81351438661416E-8,6200.0,92.9,85.5388902014779,86.0236220472441,83.33333333333334,21637.0,54152.0
6300.0,5.629632,7.885975371632307E-8,6300.0,93.89999999999999,87.60998675690387,87.92079207920791,85.78088578088577,21953.0,54152.0
6400.0,5.668266,7.940098364733984E-8,6400.0,94.8,89.46088366436967,89.62075848303392,88.01843317972349,22181.0,54152.0
6500.0,5.709655,7.998080881726407E-8,6500.0,94.69999999999999,89.26473566943487,89.58742632612966,87.87185354691076,22405.0,54152.0
6600.0,5.745031,8.0476396901326E-8,6600.0,94.1,88.06083711744088,88.24701195219123,86.52968036529678,22614.0,54152.0
6700.0,5.783249,8.101179902131354E-8,6700.0,93.2,86.22996764042396,86.42714570858284,84.43935926773457,22809.0,54152.0
6800.0,5.821171,8.154305442960721E-8,6800.0,91.9,83.59247765741095,83.73493975903615,81.5068493150685,22998.0,54152.0
6900.0,5.854789,8.201401440840623E-8,6900.0,91.2,82.11040320711682,81.78053830227744,79.48717948717949,23171.0,54152.0
7000.0,5.892732,8.254556400908359E-8,7000.0,91.8,83.29203886027256,82.70042194092828,80.84112149532712,23365.0,54152.0
7100.0,5.942587,8.324399073711695E-8,7100.0,91.0,81.6413453222148,81.17154811715481,78.87323943661973,23645.0,54152.0
7200.0,5.986858,8.38641903094119E-8,7200.0,91.2,82.02849300745002,81.74273858921163,79.24528301886792,23863.0,54152.0
7300.0,6.030575,8.447662880644197E-8,7300.0,91.10000000000001,81.7533213055601,81.4968814968815,78.55421686746989,24098.0,54152.0
7400.0,6.071516,8.50501778721809E-8,7400.0,90.2,79.77755308392315,79.95910020449898,75.80246913580247,24319.0,54152.0
7500.0,6.107612,8.555585255225495E-8,7500.0,89.8,78.82350010173025,78.66108786610879,74.30730478589422,24515.0,54152.0
7600.0,6.149062,8.613653228100799E-8,7600.0,89.4,77.94607190412783,77.91666666666667,72.82051282051283,24733.0,54152.0
7700.0,6.185697,8.664975789893001E-8,7700.0,89.8,78.61680048636298,78.79417879417879,73.08707124010554,24911.0,54152.0
7800.0,6.220119,8.71319812432759E-8,7800.0,90.60000000000001,80.06996713664795,80.25210084033614,74.24657534246576,25091.0,54152.0
7900.0,6.261496,8.771163830326659E-8,7900.0,90.5,79.56004612974853,80.1255230125523,73.01136363636364,25310.0,54152.0
8000.0,6.298493,8.822993523751691E-8,8000.0,90.4,79.18978912319645,79.83193277310924,72.09302325581396,25505.0,54152.0
8100.0,6.333645,8.872238526948619E-8,8100.0,91.0,80.23932374574598,80.81023454157783,73.13432835820896,25690.0,54152.0
8200.0,6.365919,8.917451693572927E-8,8200.0,90.5,79.06345316384281,79.56989247311829,71.72619047619048,25863.0,54152.0
8300.0,6.40026,8.965560553802379E-8,8300.0,89.5,76.65463083189556,77.61194029850746,69.02654867256638,26043.0,54152.0
8400.0,6.433856,9.0126257315278E-8,8400.0,89.0,75.5953622313826,75.92997811816193,68.29971181556196,26213.0,54152.0
8500.0,6.474329,9.069325009360904E-8,8500.0,89.1,75.63527118613759,76.25272331154684,68.58789625360231,26428.0,54152.0
8600.0,6.509314,9.118336059566995E-8,8600.0,88.8,75.21992318176186,75.86206896551724,69.06077348066299,26611.0,54152.0
8700.0,6.54832,9.172980193462631E-8,8700.0,88.3,73.93326916907283,74.28571428571429,67.59002770083103,26816.0,54152.0
