learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.405858,5.97971823066473E-9,100.0,96.0,90.48072346501665,59.99999999999995,86.20689655172413,80.0,56952.0
200.0,0.675351,9.95587702219685E-9,200.0,93.5,86.85806712494947,23.529411764705912,85.05747126436783,451.0,57032.0
300.0,0.967899,1.4266139746954044E-8,300.0,92.33333333333333,84.28102788408967,28.12500000000002,81.74603174603175,195.0,56952.0
400.0,2.788781,4.113183188976513E-8,400.0,90.5,80.90452261306534,55.81395348837211,79.8941798941799,5389.0,57032.0
500.0,2.850808,4.2046991843316285E-8,500.0,90.0,79.94609510363858,62.12121212121213,78.63247863247864,5821.0,57032.0
600.0,2.90332,4.282176540129714E-8,600.0,89.66666666666666,78.9261395180204,64.57142857142854,76.24521072796934,6211.0,57032.0
700.0,2.964714,4.3727585934102524E-8,700.0,89.28571428571429,78.13228923692104,68.87966804979254,75.57003257328991,6559.0,57032.0
800.0,3.025501,4.462445065586102E-8,800.0,89.125,77.95794274132251,71.19205298013244,75.69832402234637,211.0,57032.0
900.0,3.069873,4.527912486965456E-8,900.0,90.0,79.72516332507323,73.91304347826087,77.66749379652606,540.0,57032.0
1000.0,3.109911,4.5869854297488916E-8,1000.0,89.8,79.4508129016661,74.30730478589422,78.06451612903226,802.0,57032.0
1100.0,3.145915,4.640106520512037E-8,1100.0,89.7,79.12021082505575,76.85393258426967,78.9795918367347,1060.0,57032.0
1200.0,3.180781,4.6915485811316294E-8,1200.0,89.5,78.80415034922686,78.43942505133471,78.17047817047818,1275.0,57032.0
1300.0,3.214612,4.741463580065302E-8,1300.0,89.60000000000001,78.96303967894363,80.03838771593091,79.24151696606788,1512.0,57032.0
1400.0,3.26706,4.818846508860587E-8,1400.0,90.0,79.89125189022232,80.50682261208577,79.7160243407708,1879.0,57032.0
1500.0,3.308487,4.8799688126891835E-8,1500.0,90.60000000000001,81.20428542292358,81.88824662813103,81.2,2079.0,57032.0
1600.0,3.347513,4.9375486284908306E-8,1600.0,91.10000000000001,82.18432220353911,83.20754716981132,83.17580340264651,2275.0,57032.0
1700.0,3.420557,5.045319347124959E-8,1700.0,91.10000000000001,82.15402877813248,82.85163776493258,83.17580340264651,2737.0,57032.0
1800.0,3.482713,5.137025671907596E-8,1800.0,89.9,79.74766797404493,80.3883495145631,80.4642166344294,3117.0,57032.0
1900.0,3.530832,5.2080214992165554E-8,1900.0,88.5,76.8730794600769,77.88461538461539,77.71317829457365,3324.0,57032.0
2000.0,3.575957,5.2745999133007384E-8,2000.0,89.0,77.91271103400639,78.68217054263566,78.13121272365805,3516.0,57032.0
2100.0,3.614412,5.3313372631867714E-8,2100.0,88.4,76.73299101412067,77.25490196078432,76.65995975855131,3723.0,57032.0
2200.0,3.646647,5.378897488738098E-8,2200.0,88.0,75.94602287533225,77.05544933078394,76.09561752988047,3936.0,57032.0
2300.0,3.677406,5.424279991537331E-8,2300.0,87.5,75.0,76.19047619047619,75.0,4133.0,57032.0
2400.0,3.710979,5.473814331615963E-8,2400.0,87.7,75.40668938048852,76.61596958174906,75.54671968190854,4321.0,57032.0
2500.0,3.741252,5.518479779362677E-8,2500.0,87.1,74.16238042590011,75.0965250965251,73.93939393939394,4521.0,57032.0
2600.0,3.773153,5.5655472139931374E-8,2600.0,86.4,72.77353587687232,74.09523809523809,72.07392197125256,4716.0,57032.0
2700.0,3.802142,5.6083182199961594E-8,2700.0,86.4,72.76284852538863,73.79576107899807,72.41379310344827,4885.0,57032.0
2800.0,3.832018,5.6523979252411246E-8,2800.0,87.8,75.4914762568654,76.171875,75.55110220440882,5090.0,57032.0
2900.0,3.864824,5.7008006167080655E-8,2900.0,88.8,77.42153985098216,78.33655705996132,77.60000000000001,5301.0,57032.0
3000.0,3.89635,5.7473147681189897E-8,3000.0,89.2,78.1633783679956,79.50664136622392,78.26961770623743,5505.0,57032.0
3100.0,3.930152,5.797186979817018E-8,3100.0,88.4,76.51061072412118,78.11320754716982,76.8,5738.0,57032.0
