learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.400751,8.153797605385384E-9,100.0,98.0,95.14327343370567,79.99999999999999,93.10344827586206,1584.0,78648.0,10.0,6269.499999999999,2983.738901669068,5753.599999999999,2428.5700959846954,45.6,19.732657646089585,23.3,9.866328823044793,23.3,9.866328823044793,8.9,3.3149493041204847,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.762903,1.5348361865099934E-8,200.0,96.0,91.94198227236099,52.94117647058817,90.80459770114942,3532.0,76792.0,10.0,15176.5,13152.577780715756,11120.800000000001,8294.66265873557,89.2,67.37259581362935,45.1,33.68629790681467,45.1,33.68629790681467,10.100000000000001,5.486346689738081,0.0,0.0,0.0,0.0,1.0,0.0
300.0,1.166782,2.4155927101771036E-8,300.0,95.33333333333334,90.46191579234228,56.25000000000004,88.8888888888889,5771.0,84296.0,10.0,29996.8,22083.741268181893,22991.199999999997,15601.08962576368,186.0,126.98293848650167,93.5,63.49146924325083,93.5,63.49146924325083,14.2,4.638007234913623,0.0,0.0,0.0,0.0,1.0,0.0
400.0,3.6414,7.905823098288642E-8,400.0,92.25,84.41035956751321,63.95348837209301,83.5978835978836,19359.0,85760.0,10.0,110460.5,35434.58292951801,83623.2,27959.421122603933,678.8000000000001,227.27066584923702,339.90000000000003,113.63533292461851,339.90000000000003,113.63533292461851,20.599999999999998,4.3256341860022225,0.0,0.0,0.0,0.0,1.0,0.0
500.0,3.747498,8.142136200434633E-8,500.0,89.8,79.67738850457458,61.363636363636374,78.2051282051282,19791.0,86096.0,10.0,115642.09999999999,35489.052210036076,87608.80000000002,27510.75877139302,711.2,223.5739002855407,356.1,111.78695014277035,356.1,111.78695014277035,20.7,4.347413023856832,0.0,0.0,0.0,0.0,1.0,0.0
600.0,3.839249,8.347291621896957E-8,600.0,90.33333333333333,80.59486767707182,66.85714285714285,77.77777777777779,20181.0,86432.0,10.0,120318.5,35514.99843806213,91206.4,27612.841019271375,740.5999999999999,224.47330947501678,370.79999999999995,112.23665473750839,370.79999999999995,112.23665473750839,20.7,4.347413023856832,0.0,0.0,0.0,0.0,1.0,0.0
700.0,3.928341,8.548824768927363E-8,700.0,89.57142857142857,79.04466643701916,69.70954356846472,76.2214983713355,20529.0,87440.0,10.0,124479.1,35472.698448399875,94594.4,27639.273584279792,768.1999999999999,224.7076124903451,384.59999999999997,112.35380624517255,384.59999999999997,112.35380624517255,20.8,4.3410188256265885,0.0,0.0,0.0,0.0,1.0,0.0
800.0,4.00087,8.712891100595396E-8,800.0,89.625,79.17189460476789,72.51655629139073,76.81564245810056,20829.0,87440.0,10.0,128051.1,35476.6148092264,96887.2,27815.63312959099,786.8,226.27505386144534,393.9,113.13752693072267,393.9,113.13752693072267,20.900000000000002,4.20185144377518,0.0,0.0,0.0,0.0,1.0,0.0
900.0,4.080337,8.892651736736299E-8,900.0,89.88888888888889,79.67842786958462,73.6231884057971,77.41935483870968,21158.0,87440.0,10.0,132023.5,35450.30888205818,99508.0,28003.811359646505,808.2,227.9263038791267,404.6,113.96315193956335,404.6,113.96315193956335,21.0,4.08248290463863,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,4.145071,9.039085162182651E-8,1000.0,89.8,79.54870816006544,74.30730478589422,78.06451612903226,21420.0,87440.0,10.0,135132.69999999998,35465.54323424357,102100.0,28145.166105587494,829.2,229.1325671600031,415.1,114.56628358000155,415.1,114.56628358000155,21.2,4.131182235954578,0.0,0.0,0.0,0.0,1.0,0.0
