learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.647504,8.040467898050943E-10,100.0,98.0,95.95959595959596,0.0,95.45454545454545,1462.0,4800.0
200.0,1.029301,1.2781483431657156E-9,200.0,97.0,93.98556535685645,68.42105263157892,93.54838709677419,2767.0,4800.0
300.0,4.943836,6.139074762662252E-9,300.0,92.0,83.97507233474293,52.94117647058827,83.09859154929579,14145.0,4800.0
400.0,5.119238,6.356882552305858E-9,400.0,90.5,80.63250172013966,62.000000000000014,78.16091954022988,14591.0,4800.0
500.0,5.255232,6.525754928588868E-9,500.0,91.0,81.87179735086532,71.33757961783441,80.43478260869566,14971.0,4800.0
600.0,5.355213,6.6499076783657085E-9,600.0,91.66666666666666,83.31163846333565,76.303317535545,82.63888888888889,15235.0,4800.0
700.0,5.489709,6.816919893026353E-9,700.0,90.57142857142857,81.13977792292619,75.18796992481202,80.41543026706232,15585.0,4800.0
800.0,5.595641,6.948462376991909E-9,800.0,90.25,80.50986687989206,74.67532467532467,79.89690721649484,15850.0,4800.0
900.0,5.67856,7.051428159077964E-9,900.0,90.55555555555556,81.117638347238,76.51933701657458,80.36951501154735,16046.0,4800.0
1000.0,5.880196,7.301812370618186E-9,1000.0,90.10000000000001,80.20665056541002,75.55555555555557,79.79591836734694,16567.0,4800.0
1100.0,5.96093,7.402064899603527E-9,1100.0,88.4,76.78737233054783,74.61706783369803,76.70682730923694,16757.0,4800.0
1200.0,6.047892,7.510051131248475E-9,1200.0,87.6,75.22586419777753,74.84787018255578,75.1004016064257,16965.0,4800.0
1300.0,6.127045,7.608340432246526E-9,1300.0,87.8,75.57185878131607,76.21832358674465,75.79365079365078,17158.0,4800.0
1400.0,6.205575,7.705856114625931E-9,1400.0,87.5,74.85314235133178,75.86872586872587,76.23574144486692,17348.0,4800.0
1500.0,6.28103,7.799553374449412E-9,1500.0,86.8,73.54073123797306,74.16829745596868,74.90494296577947,17540.0,4800.0
1600.0,6.358535,7.895796249310175E-9,1600.0,86.3,72.63874353914858,72.92490118577075,73.55212355212355,17728.0,4800.0
1700.0,6.430739,7.985456536213557E-9,1700.0,86.7,73.44779397085246,73.34669338677354,74.1747572815534,17896.0,4800.0
1800.0,6.494618,8.064779142538706E-9,1800.0,86.9,73.84080833899117,73.58870967741935,74.5136186770428,18048.0,4800.0
1900.0,6.561975,8.148420602083206E-9,1900.0,86.7,73.44206776466078,73.07692307692307,74.07407407407408,18221.0,4800.0
2000.0,6.639064,8.244146903355916E-9,2000.0,87.8,75.65113262149487,76.03143418467585,75.7455268389662,18409.0,4800.0
2100.0,6.730027,8.35710143049558E-9,2100.0,88.7,77.42113381874566,78.01556420233463,77.49003984063745,18637.0,4800.0
2200.0,6.809733,8.45607742667198E-9,2200.0,87.9,75.81779810059797,75.94433399602386,75.9920634920635,18814.0,4800.0
2300.0,6.885605,8.550292501846948E-9,2300.0,88.2,76.4,76.77165354330708,76.01626016260163,18995.0,4800.0
2400.0,6.971457,8.656900376081466E-9,2400.0,89.1,78.1816726049882,78.7109375,77.4327122153209,19202.0,4800.0
2500.0,7.083984,8.796632289886474E-9,2500.0,89.0,77.97533237225693,78.59922178988327,76.98744769874477,19477.0,4800.0
2600.0,7.161487,8.892872681220373E-9,2600.0,88.7,77.38606981900851,78.10077519379846,76.35983263598327,19675.0,4800.0
2700.0,7.248136,9.000470240910848E-9,2700.0,89.1,78.154386358717,78.91682785299807,76.85774946921444,19864.0,4800.0
2800.0,7.338853,9.113119294246038E-9,2800.0,89.7,79.31510920819042,80.71161048689139,77.7056277056277,20036.0,4800.0
2900.0,7.411275,9.203050285577774E-9,2900.0,89.4,78.69500900437355,80.07518796992481,76.75438596491229,20207.0,4800.0
3000.0,7.488593,9.2990609506766E-9,3000.0,88.5,76.84719146366015,77.88461538461539,74.44444444444444,20372.0,4800.0
3100.0,7.568543,9.39833993713061E-9,3100.0,88.4,76.5992213189163,77.47572815533981,73.93258426966291,20562.0,4800.0
