learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.023092,2.7949641148249305E-10,100.0,74.0,74.0,-1199.9999999999989,64.86486486486487,218444.0,1056.0
200.0,1.028394,2.8094485402107236E-10,200.0,47.0,47.0,-562.5000000000003,-12.765957446808523,218544.0,1056.0
300.0,1.029876,2.813497185707092E-10,300.0,37.0,37.0,-530.0000000000001,-70.27027027027027,218644.0,1056.0
400.0,1.031199,2.81711146235466E-10,400.0,27.750000000000004,27.750000000000004,-863.3333333333338,-160.36036036036037,218744.0,1056.0
500.0,1.032629,2.8210180501143134E-10,500.0,25.8,25.8,-539.6551724137931,-187.5968992248062,218844.0,1056.0
600.0,1.034815,2.8269899388154344E-10,600.0,23.0,23.0,-524.3243243243246,-234.7826086956522,218944.0,1056.0
700.0,1.03584,2.829790115356445E-10,700.0,29.28571428571429,29.28571428571429,-542.857142857143,-141.46341463414637,219044.0,1056.0
800.0,1.036735,2.8322351475556686E-10,800.0,33.25,33.25,-337.70491803278696,-100.75187969924811,219144.0,1056.0
900.0,1.037881,2.835365881522496E-10,900.0,34.77777777777778,34.77777777777778,-196.4646464646465,-87.53993610223644,219244.0,1056.0
1000.0,1.03881,2.8379037976264946E-10,1000.0,39.800000000000004,39.800000000000004,-169.95515695067266,-51.25628140703517,219344.0,1056.0
1100.0,1.039608,2.840083837509155E-10,1100.0,41.099999999999994,41.099999999999994,-142.38683127572017,-43.30900243309002,219444.0,1056.0
1200.0,1.040393,2.842228362957636E-10,1200.0,48.6,48.6,-115.06276150627616,-5.761316872427988,219544.0,1056.0
1300.0,1.041173,2.844359229008356E-10,1300.0,53.1,53.1,-71.79487179487177,11.67608286252355,219644.0,1056.0
1400.0,1.041959,2.846506486336389E-10,1400.0,56.00000000000001,56.00000000000001,-34.969325153374236,21.428571428571434,219744.0,1056.0
1500.0,1.042696,2.8485198815663646E-10,1500.0,59.599999999999994,59.599999999999994,-12.222222222222232,32.21476510067113,219844.0,1056.0
1600.0,1.043437,2.850544204314549E-10,1600.0,67.10000000000001,67.10000000000001,10.840108401084022,50.96870342771982,219944.0,1056.0
1700.0,1.044167,2.8525384763876585E-10,1700.0,68.89999999999999,68.89999999999999,21.464646464646457,54.8621190130624,220044.0,1056.0
1800.0,1.044924,2.8546065092086783E-10,1800.0,70.19999999999999,70.19999999999999,25.499999999999996,57.54985754985755,220144.0,1056.0
1900.0,1.045663,2.856625368197758E-10,1900.0,72.7,72.7,27.777777777777775,62.448418156808806,220244.0,1056.0
2000.0,1.046394,2.85862237215042E-10,2000.0,73.7,73.7,27.348066298342538,64.31478968792402,220344.0,1056.0
2100.0,1.047272,2.861020962397256E-10,2100.0,75.0,75.0,26.470588235294112,66.66666666666666,220444.0,1056.0
2200.0,1.048158,2.86344140768051E-10,2200.0,75.5,75.5,25.75757575757575,67.54966887417218,220544.0,1056.0
2300.0,1.049189,2.866257975498834E-10,2300.0,79.3,79.3,26.595744680851084,73.89659520807062,220644.0,1056.0
2400.0,1.049911,2.868230392535526E-10,2400.0,86.4,86.4,40.61135371179038,84.25925925925925,220744.0,1056.0
2500.0,1.050602,2.8701181213061E-10,2500.0,91.0,91.0,46.10778443113775,90.10989010989012,220844.0,1056.0
2600.0,1.051278,2.871964871883391E-10,2600.0,92.60000000000001,92.60000000000001,47.88732394366201,92.0086393088553,220944.0,1056.0
2700.0,1.051978,2.873877187569935E-10,2700.0,94.1,94.1,47.32142857142852,93.73007438894791,221044.0,1056.0
2800.0,1.052656,2.87572940190633E-10,2800.0,96.7,96.7,47.61904761904753,96.58738366080661,221144.0,1056.0
2900.0,1.053294,2.8774723410606374E-10,2900.0,99.5,99.5,44.44444444444444,99.49748743718592,221244.0,1056.0
3000.0,1.053911,2.879157910744348E-10,3000.0,100.0,100.0,?,100.0,221344.0,1056.0
3100.0,1.054635,2.881135791540145E-10,3100.0,100.0,100.0,?,100.0,221444.0,1056.0
3200.0,1.055231,2.8827639917532595E-10,3200.0,100.0,100.0,?,100.0,221544.0,1056.0
3300.0,1.055824,2.884383996327717E-10,3300.0,100.0,100.0,?,100.0,221644.0,1056.0
3400.0,1.056407,2.885976682106653E-10,3400.0,100.0,100.0,?,100.0,221744.0,1056.0
3500.0,1.057019,2.8876485923926027E-10,3500.0,98.3,98.3,45.16129032258064,98.2706002034588,221844.0,1056.0
3600.0,1.057599,2.889233082532882E-10,3600.0,95.0,95.0,41.17647058823522,94.73684210526315,221944.0,1056.0
3700.0,1.058193,2.8908558189868917E-10,3700.0,92.4,92.4,40.625000000000036,91.77489177489177,222044.0,1056.0
3800.0,1.058762,2.892410258452097E-10,3800.0,92.4,92.4,40.625000000000036,91.77489177489177,222144.0,1056.0
3900.0,1.059405,2.8941668570041646E-10,3900.0,92.4,92.4,40.625000000000036,91.77489177489177,222244.0,1056.0
4000.0,1.060204,2.8963496287663766E-10,4000.0,90.60000000000001,90.60000000000001,41.97530864197534,89.62472406181016,222344.0,1056.0
4100.0,1.060805,2.897991488377252E-10,4100.0,87.9,87.9,38.57868020304567,86.23435722411831,222444.0,1056.0
4200.0,1.061365,2.8995213409264875E-10,4200.0,82.0,82.0,28.853754940711447,78.04878048780486,222544.0,1056.0
4300.0,1.061922,2.901042997837066E-10,4300.0,77.5,77.5,30.124223602484467,70.96774193548387,222644.0,1056.0
4400.0,1.062473,2.902548263470331E-10,4400.0,73.2,73.2,29.47368421052631,63.3879781420765,222744.0,1056.0
4500.0,1.06302,2.9040426015853873E-10,4500.0,71.7,71.7,28.715365239294705,60.529986052998595,222844.0,1056.0
4600.0,1.063566,2.9055342078208917E-10,4600.0,74.1,74.1,26.62889518413597,65.04723346828611,222944.0,1056.0
4700.0,1.064105,2.9070066908995303E-10,4700.0,75.5,75.5,26.204819277108427,67.54966887417218,223044.0,1056.0
4800.0,1.064658,2.9085174202919E-10,4800.0,75.3,75.3,26.047904191616762,67.19787516600265,223144.0,1056.0
4900.0,1.065202,2.9100035627682995E-10,4900.0,75.3,75.3,26.047904191616762,67.19787516600265,223244.0,1056.0
5000.0,1.065746,2.911489705244699E-10,5000.0,77.10000000000001,77.10000000000001,23.666666666666682,70.29831387808042,223344.0,1056.0
5100.0,1.066302,2.913008630275725E-10,5100.0,79.7,79.7,23.97003745318354,74.52948557089086,223444.0,1056.0
5200.0,1.066843,2.9144865771134685E-10,5200.0,83.8,83.8,32.78008298755185,80.66825775656325,223544.0,1056.0
5300.0,1.067387,2.915972719589868E-10,5300.0,86.2,86.2,34.28571428571427,83.9907192575406,223644.0,1056.0
5400.0,1.067918,2.9174233476320893E-10,5400.0,86.8,86.8,35.29411764705881,84.7926267281106,223744.0,1056.0
5500.0,1.068466,2.9189204176266977E-10,5500.0,88.0,88.0,35.828877005347614,86.36363636363636,223844.0,1056.0
5600.0,1.069006,2.9203956325848887E-10,5600.0,86.3,86.3,34.761904761904745,84.12514484356895,223944.0,1056.0
5700.0,1.069553,2.921889970699945E-10,5700.0,86.8,86.8,33.66834170854269,84.7926267281106,224044.0,1056.0
5800.0,1.070078,2.9233242074648525E-10,5800.0,84.8,84.8,36.66666666666665,82.0754716981132,224144.0,1056.0
