learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,14.763274,2.0831823790238963E-7,100.0,94.0,94.0,-200.0,91.89189189189189,1611.0,54544.0
200.0,14.798273,2.088120938051078E-7,200.0,92.0,92.0,0.0,82.97872340425533,1711.0,54544.0
300.0,14.819103,2.0910601701587438E-7,300.0,90.33333333333333,90.33333333333333,3.3333333333333,73.87387387387388,1811.0,54544.0
400.0,14.838375,2.0937795595576366E-7,400.0,92.5,92.5,0.0,72.97297297297298,1911.0,54544.0
500.0,14.855398,2.096181602196561E-7,500.0,92.2,92.2,32.7586206896552,69.76744186046513,2011.0,54544.0
600.0,14.871984,2.098521981636683E-7,600.0,92.66666666666666,92.66666666666666,40.5405405405405,68.11594202898549,2111.0,54544.0
700.0,14.888891,2.10090765601231E-7,700.0,92.85714285714286,92.85714285714286,35.064935064935085,75.60975609756099,2211.0,54544.0
800.0,14.90394,2.1030311559637387E-7,800.0,91.875,91.875,46.72131147540979,75.56390977443608,2311.0,54544.0
900.0,14.918584,2.105097508099344E-7,900.0,92.77777777777779,92.77777777777779,67.17171717171718,79.23322683706071,2411.0,54544.0
1000.0,14.934864,2.1073947091897328E-7,1000.0,93.30000000000001,93.30000000000001,69.95515695067267,83.16582914572865,2511.0,54544.0
1100.0,14.948676,2.1093436613678931E-7,1100.0,92.80000000000001,92.80000000000001,70.3703703703704,82.48175182481752,2611.0,54544.0
1200.0,14.964133,2.1115247324522997E-7,1200.0,93.2,93.2,71.54811715481173,86.00823045267491,2711.0,54544.0
1300.0,14.979657,2.1137152576198178E-7,1300.0,93.89999999999999,93.89999999999999,77.65567765567764,88.51224105461392,2811.0,54544.0
1400.0,14.996411,2.1160793428205779E-7,1400.0,92.9,92.9,78.22085889570553,87.32142857142857,2911.0,54544.0
1500.0,15.013319,2.1184651583019228E-7,1500.0,93.5,93.5,81.94444444444446,89.09395973154363,3011.0,54544.0
1600.0,15.028754,2.1206431250605317E-7,1600.0,94.0,94.0,83.73983739837398,91.05812220566318,3111.0,54544.0
1700.0,15.043562,2.1227326185339025E-7,1700.0,94.6,94.6,86.36363636363636,92.16255442670537,3211.0,54544.0
1800.0,15.058664,2.1248635970883899E-7,1800.0,96.1,96.1,90.25,94.44444444444446,3311.0,54544.0
1900.0,15.073417,2.1269453297472661E-7,1900.0,96.1,96.1,89.68253968253967,94.63548830811554,3411.0,54544.0
2000.0,15.08778,2.1289720311760901E-7,2000.0,96.3,96.3,89.77900552486187,94.9796472184532,3511.0,54544.0
2100.0,15.101728,2.13094017373191E-7,2100.0,97.39999999999999,97.39999999999999,92.35294117647058,96.53333333333333,3611.0,54544.0
2200.0,15.115728,2.1329156537850698E-7,2200.0,98.0,98.0,93.93939393939394,97.35099337748345,3711.0,54544.0
2300.0,15.129848,2.1349080665243997E-7,2300.0,98.6,98.6,95.0354609929078,98.23455233291298,3811.0,54544.0
2400.0,15.144078,2.1369160008927186E-7,2400.0,99.7,99.7,98.68995633187772,99.65277777777779,3911.0,54544.0
2500.0,15.158067,2.1388899287829795E-7,2500.0,100.0,100.0,100.0,100.0,4011.0,54544.0
2600.0,15.172796,2.140968274904622E-7,2600.0,100.0,100.0,100.0,100.0,4111.0,54544.0
2700.0,15.186786,2.142942343900601E-7,2700.0,100.0,100.0,100.0,100.0,4211.0,54544.0
2800.0,15.201876,2.1450716291864713E-7,2800.0,100.0,100.0,100.0,100.0,4311.0,54544.0
2900.0,15.21684,2.147183135151863E-7,2900.0,100.0,100.0,100.0,100.0,4411.0,54544.0
3000.0,15.231867,2.149303530777494E-7,3000.0,100.0,100.0,?,100.0,4511.0,54544.0
3100.0,15.247312,2.1514829085932838E-7,3100.0,100.0,100.0,?,100.0,4611.0,54544.0
3200.0,15.262357,2.1536058441218404E-7,3200.0,100.0,100.0,?,100.0,4711.0,54544.0
3300.0,15.278431,2.155873977434304E-7,3300.0,100.0,100.0,?,100.0,4811.0,54544.0
3400.0,15.293836,2.1580477110213704E-7,3400.0,100.0,100.0,?,100.0,4911.0,54544.0
3500.0,15.310586,2.1604112317992583E-7,3500.0,99.9,99.9,96.7741935483871,99.89827060020346,5011.0,54544.0
3600.0,15.326395,2.1626419720964302E-7,3600.0,99.9,99.9,98.8235294117647,99.89473684210526,5111.0,54544.0
3700.0,15.342421,2.164903332334426E-7,3700.0,99.6,99.6,96.875,99.56709956709958,5211.0,54544.0
3800.0,15.353655,2.1664885139713686E-7,3800.0,99.6,99.6,96.875,99.56709956709958,5311.0,54544.0
3900.0,15.364068,2.1679578478137653E-7,3900.0,99.6,99.6,96.875,99.56709956709958,5411.0,54544.0
4000.0,15.375598,2.1695847967432605E-7,4000.0,99.6,99.6,97.53086419753086,99.55849889624724,5511.0,54544.0
4100.0,15.387411,2.1712516785909732E-7,4100.0,99.6,99.6,97.96954314720811,99.54493742889647,5611.0,54544.0
4200.0,15.402158,2.173332564615541E-7,4200.0,99.3,99.3,97.23320158102766,99.14634146341463,5711.0,54544.0
4300.0,15.414492,2.175072962542375E-7,4300.0,99.3,99.3,97.82608695652173,99.09677419354838,5811.0,54544.0
4400.0,15.43017,2.177285217990478E-7,4400.0,98.7,98.7,96.57894736842105,98.224043715847,5911.0,54544.0
4500.0,15.446147,2.1795396640482879E-7,4500.0,98.5,98.5,96.22166246851384,97.90794979079496,6011.0,54544.0
4600.0,15.458192,2.1812392824225958E-7,4600.0,98.5,98.5,95.75070821529744,97.97570850202429,6111.0,54544.0
4700.0,15.470159,2.1829278945508932E-7,4700.0,97.6,97.6,92.77108433734938,96.82119205298014,6211.0,54544.0
4800.0,15.481678,2.1845532913174897E-7,4800.0,97.39999999999999,97.39999999999999,92.21556886227545,96.54714475431607,6311.0,54544.0
4900.0,15.492901,2.1861369207915335E-7,4900.0,97.39999999999999,97.39999999999999,92.21556886227545,96.54714475431607,6411.0,54544.0
5000.0,15.503452,2.1876257272230258E-7,5000.0,97.39999999999999,97.39999999999999,91.33333333333333,96.62775616083009,6511.0,54544.0
5100.0,15.513087,2.188985280816754E-7,5100.0,97.39999999999999,97.39999999999999,90.26217228464418,96.73776662484316,6611.0,54544.0
5200.0,15.526116,2.1908237472176555E-7,5200.0,97.39999999999999,97.39999999999999,89.2116182572614,96.89737470167064,6711.0,54544.0
5300.0,15.540868,2.1929053387708136E-7,5300.0,96.1,96.1,81.4285714285714,95.47563805104407,6811.0,54544.0
5400.0,15.555057,2.1949074878046913E-7,5400.0,96.2,96.2,81.37254901960782,95.6221198156682,6911.0,54544.0
5500.0,15.579809,2.198400136538678E-7,5500.0,95.5,95.5,75.93582887700533,94.88636363636364,7011.0,54544.0
5600.0,15.605643,2.2020246098438903E-7,5600.0,93.89999999999999,93.89999999999999,70.95238095238092,92.93163383545769,62.0,54232.0
5700.0,15.6176,2.203702159867519E-7,5700.0,94.89999999999999,94.89999999999999,74.37185929648238,94.12442396313364,162.0,54232.0
5800.0,15.63251,2.205794011573825E-7,5800.0,94.6,94.6,77.49999999999999,93.6320754716981,262.0,54232.0
5900.0,15.648801,2.2080796156078583E-7,5900.0,94.19999999999999,94.19999999999999,77.16535433070865,93.09523809523809,362.0,54232.0
6000.0,15.672364,2.2113854708563956E-7,6000.0,92.2,92.2,72.63157894736844,90.52247873633051,58.0,54232.0
6100.0,15.682425,2.2127970147877937E-7,6100.0,90.4,90.4,71.8475073313783,87.73946360153258,158.0,54232.0
6200.0,15.696173,2.2147258395536085E-7,6200.0,89.8,89.8,71.02272727272728,86.82170542635659,258.0,54232.0
6300.0,15.708885,2.216509314998985E-7,6300.0,90.7,90.7,74.72826086956522,87.73087071240106,358.0,54232.0
6400.0,15.723676,2.2185844711752408E-7,6400.0,90.0,90.0,72.29916897506926,86.85939553219448,458.0,54232.0
6500.0,15.739977,2.2208714781949924E-7,6500.0,90.10000000000001,90.10000000000001,71.95467422096317,87.109375,558.0,54232.0
6600.0,15.751714,2.2225181625328137E-7,6600.0,91.60000000000001,91.60000000000001,73.75,89.4206549118388,658.0,54232.0
6700.0,15.763398,2.224157411046327E-7,6700.0,91.8,91.8,73.46278317152105,89.76279650436956,758.0,54232.0
6800.0,15.775736,2.2258884148258309E-7,6800.0,92.30000000000001,92.30000000000001,71.05263157894738,90.64398541919806,858.0,54232.0
6900.0,15.788077,2.2276198395010504E-7,6900.0,92.60000000000001,92.60000000000001,71.09375000000003,91.0735826296743,958.0,54232.0
