learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,48.56802,5.725428501764933E-7,100.0,95.0,95.0,-150.0,93.24324324324323,23.0,45568.0
200.0,48.620675,5.731635722849104E-7,200.0,91.5,91.5,-6.250000000000008,81.91489361702128,52.0,45568.0
300.0,48.66453,5.736805558204651E-7,300.0,88.66666666666667,88.66666666666667,-13.33333333333331,69.36936936936938,32.0,45568.0
400.0,48.690805,5.739902979797788E-7,400.0,91.5,91.5,-13.333333333333353,69.36936936936938,132.0,45568.0
500.0,48.728942,5.744398750199212E-7,500.0,91.8,91.8,29.31034482758624,68.2170542635659,232.0,45568.0
600.0,48.762591,5.748365453879039E-7,600.0,92.5,92.5,39.18918918918921,67.39130434782611,332.0,45568.0
700.0,48.797306,5.752457822693719E-7,700.0,92.14285714285714,92.14285714285714,28.571428571428513,73.17073170731705,432.0,45568.0
800.0,48.839573,5.757440457079146E-7,800.0,90.5,90.5,37.704918032786885,71.42857142857144,66.0,45568.0
900.0,48.861901,5.760072587596046E-7,900.0,91.11111111111111,91.11111111111111,59.59595959595958,74.44089456869008,166.0,45568.0
1000.0,48.881571,5.762391380469004E-7,1000.0,91.8,91.8,63.22869955156952,79.39698492462313,266.0,45568.0
1100.0,48.907563,5.765455440680186E-7,1100.0,91.5,91.5,65.02057613168726,79.31873479318736,366.0,45568.0
1200.0,48.921769,5.767130111323462E-7,1200.0,92.10000000000001,92.10000000000001,66.9456066945607,83.74485596707821,466.0,45568.0
1300.0,48.940235,5.769306970967187E-7,1300.0,93.2,93.2,75.09157509157511,87.19397363465161,566.0,45568.0
1400.0,48.963221,5.77201666964425E-7,1400.0,92.60000000000001,92.60000000000001,77.30061349693253,86.78571428571429,666.0,45568.0
1500.0,48.982491,5.774288308620453E-7,1500.0,92.7,92.7,79.72222222222224,87.75167785234899,766.0,45568.0
1600.0,48.999576,5.776302369435628E-7,1600.0,93.10000000000001,93.10000000000001,81.30081300813009,89.71684053651268,866.0,45568.0
1700.0,49.011849,5.777749168872833E-7,1700.0,94.1,94.1,85.10101010101009,91.43686502177066,966.0,45568.0
1800.0,49.023709,5.779147281911638E-7,1800.0,96.2,96.2,90.49999999999999,94.58689458689457,1066.0,45568.0
1900.0,49.035222,5.780504488945007E-7,1900.0,96.6,96.6,91.005291005291,95.32324621733149,1166.0,45568.0
2000.0,49.044263,5.781570284896426E-7,2000.0,96.8,96.8,91.16022099447513,95.65807327001356,1266.0,45568.0
2100.0,49.053099,5.782611914475759E-7,2100.0,97.6,97.6,92.94117647058823,96.8,1366.0,45568.0
2200.0,49.061179,5.783564423190223E-7,2200.0,98.2,98.2,94.54545454545455,97.6158940397351,1466.0,45568.0
2300.0,49.070125,5.784619020091162E-7,2300.0,98.8,98.8,95.74468085106382,98.48675914249685,1566.0,45568.0
2400.0,49.077966,5.785543354352315E-7,2400.0,99.4,99.4,97.37991266375545,99.30555555555556,1666.0,45568.0
2500.0,49.086199,5.786513899432288E-7,2500.0,100.0,100.0,100.0,100.0,1766.0,45568.0
2600.0,49.094306,5.787469591034783E-7,2600.0,100.0,100.0,100.0,100.0,1866.0,45568.0
2700.0,49.101978,5.788374002774556E-7,2700.0,100.0,100.0,100.0,100.0,1966.0,45568.0
2800.0,49.110171,5.789339832464853E-7,2800.0,100.0,100.0,100.0,100.0,2066.0,45568.0
2900.0,49.118057,5.79026947153939E-7,2900.0,100.0,100.0,100.0,100.0,2166.0,45568.0
3000.0,49.125769,5.791178598668839E-7,3000.0,100.0,100.0,?,100.0,2266.0,45568.0
3100.0,49.134815,5.792244984043967E-7,3100.0,100.0,100.0,?,100.0,2366.0,45568.0
3200.0,49.145227,5.793472399976517E-7,3200.0,100.0,100.0,?,100.0,2466.0,45568.0
3300.0,49.156753,5.794831139511531E-7,3300.0,100.0,100.0,?,100.0,2566.0,45568.0
3400.0,49.167062,5.796046413315665E-7,3400.0,100.0,100.0,?,100.0,2666.0,45568.0
3500.0,49.180504,5.797631020016138E-7,3500.0,100.0,100.0,100.0,100.0,2766.0,45568.0
3600.0,49.195617,5.799412612120309E-7,3600.0,100.0,100.0,100.0,100.0,2866.0,45568.0
3700.0,49.211628,5.801300064722695E-7,3700.0,99.6,99.6,96.875,99.56709956709958,2966.0,45568.0
3800.0,49.221073,5.802413486109837E-7,3800.0,99.6,99.6,96.875,99.56709956709958,3066.0,45568.0
3900.0,49.229469,5.803403246402738E-7,3900.0,99.6,99.6,96.875,99.56709956709958,3166.0,45568.0
4000.0,49.240756,5.804733811484441E-7,4000.0,99.6,99.6,97.53086419753086,99.55849889624724,3266.0,45568.0
4100.0,49.25289,5.806164224942524E-7,4100.0,99.6,99.6,97.96954314720811,99.54493742889647,3366.0,45568.0
4200.0,49.267342,5.807867895232305E-7,4200.0,99.6,99.6,98.41897233201581,99.51219512195122,3466.0,45568.0
4300.0,49.282614,5.809668231010436E-7,4300.0,99.4,99.4,98.13664596273291,99.22580645161291,3566.0,45568.0
4400.0,49.29691,5.811353511280482E-7,4400.0,99.0,99.0,97.36842105263158,98.63387978142076,3666.0,45568.0
4500.0,49.312978,5.813247683313157E-7,4500.0,98.6,98.6,96.4735516372796,98.04741980474198,3766.0,45568.0
