learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,59.354279,1.3130362833353382E-6,100.0,95.0,95.0,-150.0,93.24324324324323,218444.0,85512.0,10.0,225262.5,170831.22686262277,143658.4,117244.12275551859,1166.8,953.3009085394928,583.9,476.6504542697464,583.9,476.6504542697464,19.0,5.270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
200.0,59.450758,1.315178979560733E-6,200.0,91.0,91.0,-12.500000000000016,80.85106382978724,218544.0,85848.0,10.0,226479.9,170824.5721892947,144753.6,117276.51259329142,1175.8,953.583277258293,588.4,476.7916386291465,588.4,476.7916386291465,19.099999999999994,5.23768396653839,0.0,0.0,0.0,0.0,1.0,0.0
300.0,59.552917,1.3175651655718686E-6,300.0,84.0,84.0,-60.000000000000064,56.756756756756744,218644.0,90288.0,10.0,227643.40000000002,170826.1125180938,145976.80000000002,117220.94959974803,1185.8,953.1609168096084,593.4,476.5804584048042,593.4,476.5804584048042,19.099999999999994,5.23768396653839,0.0,0.0,0.0,0.0,1.0,0.0
400.0,59.613983,1.319002135085563E-6,400.0,87.0,87.0,-73.33333333333344,53.15315315315314,218744.0,90960.0,10.0,228717.19999999998,170734.21560412415,146726.4,117298.29445307377,1192.0000000000002,953.8046620421466,596.5000000000001,476.9023310210733,596.5000000000001,476.9023310210733,19.099999999999994,5.23768396653839,0.0,0.0,0.0,0.0,1.0,0.0
500.0,59.666716,1.3201715328813428E-6,500.0,88.2,88.2,-1.7241379310344844,54.26356589147288,218844.0,85720.0,10.0,219370.2,181899.0193870092,140678.40000000002,124372.70341750147,1142.8,1011.3645128131488,571.9,505.6822564065744,571.9,505.6822564065744,17.9,6.999206304209706,0.0,0.0,0.0,0.0,1.0,0.0
600.0,59.712372,1.3211978823795088E-6,600.0,89.33333333333333,89.33333333333333,13.51351351351347,53.62318840579709,218944.0,86896.0,10.0,220500.60000000003,181820.12964416845,141335.2,124529.30451441718,1148.2,1012.6691683093964,574.6,506.3345841546982,574.6,506.3345841546982,18.2,6.62989860824097,0.0,0.0,0.0,0.0,1.0,0.0
700.0,59.763072,1.3223420283053484E-6,700.0,86.71428571428571,86.71428571428571,-20.77922077922083,54.6341463414634,219044.0,87232.0,10.0,221664.9,181708.4795345739,142221.6,124559.62806195806,1155.2,1012.8930841900344,578.1,506.4465420950172,578.1,506.4465420950172,18.299999999999997,6.412661087428699,0.0,0.0,0.0,0.0,1.0,0.0
800.0,59.80717,1.3233371870240403E-6,800.0,87.0,87.0,14.754098360655718,60.902255639097746,219144.0,87232.0,10.0,222818.9,181604.96826442337,143013.6,124647.9807486311,1161.6,1013.625418430738,581.3,506.812709215369,581.3,506.812709215369,18.4,6.203941399536982,0.0,0.0,0.0,0.0,1.0,0.0
900.0,59.852249,1.3243584023726482E-6,900.0,88.33333333333333,88.33333333333333,46.96969696969695,66.45367412140574,219244.0,87568.0,10.0,223933.49999999997,181504.0560178875,143654.4,124569.35557814993,1166.8,1012.9589001205002,583.9,506.4794500602501,583.9,506.4794500602501,18.6,5.815687596683837,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,59.894966,1.3253279657537737E-6,1000.0,88.8,88.8,49.775784753363226,71.85929648241206,219344.0,87736.0,10.0,225075.0,181406.03933349813,144470.4,124635.89351671979,1173.4,1013.4832345266826,587.2,506.7416172633413,587.2,506.7416172633413,18.6,5.815687596683837,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,59.938965,1.3263266271580424E-6,1100.0,88.1,88.1,51.028806584362144,71.04622871046229,219444.0,87736.0,10.0,226212.89999999997,181306.69414402032,145238.40000000002,124610.31509576832,1179.6,1013.3083549553029,590.3,506.65417747765144,590.3,506.65417747765144,18.7,5.6381636096240495,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,59.973343,1.3271099054585728E-6,1200.0,89.1,89.1,54.393305439330554,77.57201646090536,219544.0,88072.0,10.0,227350.6,181202.45947018612,145587.2,124669.74126404709,1182.4,1013.7758025213354,591.7,506.8879012606677,591.7,506.8879012606677,18.7,5.6381636096240495,0.0,0.0,0.0,0.0,1.0,0.0
1300.0,60.010243,1.327950645736936E-6,1300.0,91.10000000000001,91.10000000000001,67.39926739926742,83.2391713747646,219644.0,88072.0,10.0,228488.5,181130.21446661578,146222.4,124657.75413703268,1187.6,1013.6894330447893,594.3,506.84471652239466,594.3,506.84471652239466,18.8,5.473166867139677,0.0,0.0,0.0,0.0,1.0,0.0
1400.0,60.059038,1.3290624051375522E-6,1400.0,89.8,89.8,68.71165644171779,81.78571428571428,219744.0,88072.0,10.0,229641.20000000004,181037.7399315157,147208.80000000002,124799.32862782378,1195.6,1014.8865508573414,598.3,507.4432754286707,598.3,507.4432754286707,19.0,5.291502622129181,0.0,0.0,0.0,0.0,1.0,0.0
1500.0,60.105022,1.3301141149881814E-6,1500.0,89.8,89.8,71.66666666666667,82.88590604026847,219844.0,88408.0,10.0,230781.3,180932.14926906227,147992.0,124752.75225287283,1202.0,1014.5011910622218,601.5,507.2505955311109,601.5,507.2505955311109,19.099999999999998,5.130518708885313,0.0,0.0,0.0,0.0,1.0,0.0
1600.0,60.139811,1.3309112936009964E-6,1600.0,90.3,90.3,73.71273712737127,85.54396423248882,219944.0,88576.0,10.0,231908.5,180841.49532870553,148336.0,124525.98099638127,1204.8,1012.6657669515424,602.9,506.3328834757712,602.9,506.3328834757712,19.2,4.984420171338331,0.0,0.0,0.0,0.0,1.0,0.0
1700.0,60.171472,1.3316367951118285E-6,1700.0,93.2,93.2,82.82828282828284,90.13062409288824,220044.0,88576.0,10.0,233056.69999999998,180737.26255537654,148604.80000000002,124692.70157809737,1207.0,1014.0111767957327,604.0,507.00558839786635,604.0,507.00558839786635,19.2,4.984420171338331,0.0,0.0,0.0,0.0,1.0,0.0
1800.0,60.201671,1.3323314203694463E-6,1800.0,94.3,94.3,85.75,91.88034188034189,220144.0,88912.0,10.0,234170.1,180647.30067328556,148895.2,124513.95460643491,1209.4,1012.5202000728458,605.2,506.2601000364229,605.2,506.2601000364229,19.299999999999997,4.854551129266914,0.0,0.0,0.0,0.0,1.0,0.0
1900.0,60.234395,1.3330855469033122E-6,1900.0,94.39999999999999,94.39999999999999,85.18518518518518,92.29711141678129,220244.0,89080.0,10.0,235289.2,180549.16097149582,149214.4,124424.13546789598,1212.0,1011.8274995713888,606.5,505.9137497856944,606.5,505.9137497856944,19.299999999999997,4.854551129266914,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,60.263134,1.333747838874244E-6,2000.0,95.1,95.1,86.46408839779004,93.35142469470827,220344.0,89080.0,10.0,236415.40000000002,180475.44723818314,149340.0,124350.39681302007,1213.0000000000002,1011.2333503642416,607.0000000000001,505.6166751821208,607.0000000000001,505.6166751821208,19.299999999999997,4.854551129266914,0.0,0.0,0.0,0.0,1.0,0.0
2100.0,60.291051,1.3343948277686204E-6,2100.0,96.3,96.3,89.11764705882352,95.06666666666666,220444.0,89584.0,10.0,237510.1,180377.53370358763,149584.8,124380.43441420629,1215.0000000000002,1011.4732928862838,608.0000000000001,505.7366464431419,608.0000000000001,505.7366464431419,19.400000000000002,4.7422451316743315,0.0,0.0,0.0,0.0,1.0,0.0
