learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,16.243621,2.2860165850983726E-7,100.0,97.0,97.0,-50.0,93.33333333333333,29280.0,54400.0
200.0,16.276043,2.290579436553849E-7,200.0,97.0,97.0,68.42105263157892,94.33962264150942,29380.0,54400.0
300.0,16.298432,2.2937303119235568E-7,300.0,94.33333333333334,94.33333333333334,66.0,88.19444444444446,29480.0,54400.0
400.0,16.320585,2.296847974260648E-7,400.0,91.0,91.0,65.71428571428572,79.66101694915255,29580.0,54400.0
500.0,16.348412,2.300764156712426E-7,500.0,91.4,91.4,73.29192546583852,81.54506437768241,29680.0,54400.0
600.0,16.370223,2.3038336882988613E-7,600.0,91.66666666666666,91.66666666666666,75.72815533980581,82.75862068965516,29780.0,54400.0
700.0,16.387812,2.3063090443611147E-7,700.0,89.71428571428571,89.71428571428571,72.93233082706767,78.76106194690266,29880.0,54400.0
800.0,16.404623,2.308674910002285E-7,800.0,88.125,88.125,69.64856230031948,75.76530612244898,29980.0,54400.0
900.0,16.420986,2.3109777271747594E-7,900.0,87.66666666666667,87.66666666666667,69.25207756232687,74.59954233409611,30080.0,54400.0
1000.0,16.437858,2.3133521775404617E-7,1000.0,86.9,86.9,68.12652068126522,73.42799188640974,30180.0,54400.0
1100.0,16.467635,2.317542789710893E-7,1100.0,84.8,84.8,66.88453159041393,69.84126984126983,30280.0,54400.0
1200.0,16.485078,2.3199975987275444E-7,1200.0,84.0,84.0,67.67676767676767,67.41344195519348,30380.0,54400.0
1300.0,16.504679,2.3227561099661724E-7,1300.0,83.2,83.2,68.06083650190114,66.86390532544378,30480.0,54400.0
1400.0,16.5188,2.3247434033287898E-7,1400.0,83.1,83.1,67.68642447418738,67.43737957610789,30580.0,54400.0
1500.0,16.532783,2.326711275511318E-7,1500.0,82.3,82.3,65.22593320235755,65.15748031496062,30680.0,54400.0
1600.0,16.54736,2.3287627432081435E-7,1600.0,81.69999999999999,81.69999999999999,64.04715127701375,63.03030303030302,30780.0,54400.0
1700.0,16.561989,2.3308215290308E-7,1700.0,81.5,81.5,62.9258517034068,62.474645030425954,30880.0,54400.0
1800.0,16.576018,2.3327958749400245E-7,1800.0,82.1,82.1,64.27145708582833,63.39468302658485,30980.0,54400.0
1900.0,16.590161,2.3347862644328012E-7,1900.0,82.39999999999999,82.39999999999999,64.94023904382469,64.0081799591002,31080.0,54400.0
2000.0,16.604495,2.336803533964687E-7,2000.0,82.39999999999999,82.39999999999999,64.51612903225805,63.256784968684755,31180.0,54400.0
2100.0,16.617471,2.3386296878258388E-7,2100.0,82.8,82.8,65.6,63.86554621848739,31280.0,54400.0
