learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,64.084273,9.07979352933665E-7,100.0,85.0,85.0,-649.9999999999994,66.66666666666666,89041.0,54768.0
200.0,64.237466,9.097852646600868E-7,200.0,88.0,88.0,-26.31578947368424,77.35849056603774,38.0,45568.0
300.0,64.3508,9.111212995938128E-7,300.0,87.0,87.0,21.999999999999982,72.91666666666666,84.0,45568.0
400.0,64.408345,9.117996673410136E-7,400.0,86.5,86.5,48.57142857142856,69.49152542372882,184.0,45568.0
500.0,64.444333,9.122239109501241E-7,500.0,87.8,87.8,62.11180124223602,73.8197424892704,284.0,45568.0
600.0,64.478965,9.126321693882344E-7,600.0,89.5,89.5,69.41747572815535,78.27586206896552,384.0,45568.0
700.0,64.532568,9.132640669701826E-7,700.0,89.0,89.0,71.05263157894737,77.28613569321534,484.0,45568.0
800.0,64.602312,9.14086242314014E-7,800.0,89.75,89.75,73.80191693290735,79.08163265306122,584.0,45568.0
900.0,64.652061,9.146727071164381E-7,900.0,90.55555555555556,90.55555555555556,76.45429362880887,80.54919908466819,684.0,45568.0
1000.0,64.714207,9.154053136333822E-7,1000.0,90.10000000000001,90.10000000000001,75.91240875912409,79.91886409736308,784.0,45568.0
1100.0,64.824027,9.166999238688083E-7,1100.0,88.1,88.1,74.07407407407408,76.3888888888889,54.0,45568.0
1200.0,64.868783,9.172275288196072E-7,1200.0,87.5,87.5,74.74747474747475,74.54175152749491,154.0,45568.0
1300.0,64.909377,9.177060701408318E-7,1300.0,87.1,87.1,75.47528517110266,74.55621301775149,254.0,45568.0
1400.0,64.96172,9.18323114245302E-7,1400.0,87.1,87.1,75.33460803059273,75.14450867052022,354.0,45568.0
1500.0,65.011647,9.189116773961317E-7,1500.0,87.1,87.1,74.65618860510806,74.60629921259843,454.0,45568.0
1600.0,65.070274,9.19602800272405E-7,1600.0,86.4,86.4,73.28094302554027,72.52525252525253,554.0,45568.0
1700.0,65.111609,9.200900768530036E-7,1700.0,87.0,87.0,73.94789579158316,73.63083164300203,654.0,45568.0
1800.0,65.150082,9.205436148204735E-7,1800.0,86.5,86.5,73.05389221556887,72.39263803680981,754.0,45568.0
1900.0,65.197983,9.211082945225965E-7,1900.0,85.8,85.8,71.71314741035856,70.96114519427402,854.0,45568.0
2000.0,65.259217,9.218301499510803E-7,2000.0,86.6,86.6,72.98387096774194,72.02505219206681,954.0,45568.0
2100.0,65.34529,9.228448192899424E-7,2100.0,88.8,88.8,77.60000000000001,76.47058823529413,1054.0,45568.0
2200.0,65.441075,9.239739782901272E-7,2200.0,88.7,88.7,77.35470941883767,76.26050420168067,1154.0,45568.0
2300.0,65.565041,9.254353482814297E-7,2300.0,89.2,89.2,77.7319587628866,76.87366167023555,1254.0,45568.0
2400.0,65.717478,9.272323479213647E-7,2400.0,89.1,89.1,78.0241935483871,76.70940170940172,1354.0,45568.0
2500.0,65.865662,9.289792111805742E-7,2500.0,88.8,88.8,78.125,76.27118644067797,1454.0,45568.0
2600.0,65.918106,9.295974459209374E-7,2600.0,88.5,88.5,77.58284600389864,75.8909853249476,1554.0,45568.0
2700.0,65.979667,9.30323156180481E-7,2700.0,88.7,88.7,77.97270955165693,75.95744680851064,1654.0,45568.0
2800.0,66.053714,9.311960573287472E-7,2800.0,89.0,89.0,78.96749521988528,76.24190064794817,1754.0,45568.0
2900.0,66.147064,9.32296511394282E-7,2900.0,88.3,88.3,77.7988614800759,74.3421052631579,1854.0,45568.0
3000.0,66.223549,9.331981528426208E-7,3000.0,88.0,88.0,77.65363128491622,73.33333333333333,1954.0,45568.0
3100.0,66.314033,9.342648211411303E-7,3100.0,88.5,88.5,78.58472998137803,73.98190045248869,2054.0,45568.0
3200.0,66.399933,9.352774510739576E-7,3200.0,89.2,89.2,79.69924812030075,75.7847533632287,2154.0,45568.0
3300.0,66.492034,9.363631813352304E-7,3300.0,89.5,89.5,80.26315789473684,76.82119205298014,2254.0,45568.0
3400.0,66.586813,9.374804811303812E-7,3400.0,90.0,90.0,80.84291187739464,77.97356828193833,2354.0,45568.0
3500.0,66.679922,9.385780941736365E-7,3500.0,90.0,90.0,80.43052837573386,77.52808988764045,2454.0,45568.0
3600.0,66.822035,9.402533896060451E-7,3600.0,89.8,89.8,79.8019801980198,76.60550458715598,2554.0,45568.0
