learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,56.539479,8.010807824507356E-7,100.0,96.0,96.0,-100.0,91.1111111111111,232709.0,54768.0
200.0,56.582974,8.016970422615608E-7,200.0,95.5,95.5,52.63157894736836,91.50943396226414,232809.0,54768.0
300.0,56.614515,8.021439315751195E-7,300.0,93.33333333333333,93.33333333333333,60.0,86.11111111111111,232909.0,54768.0
400.0,56.65196,8.026744718352954E-7,400.0,91.0,91.0,65.71428571428572,79.66101694915255,233009.0,54768.0
500.0,56.683531,8.031217862044772E-7,500.0,91.60000000000001,91.60000000000001,73.91304347826087,81.97424892703863,233109.0,54768.0
600.0,56.706857,8.034522811199228E-7,600.0,92.33333333333333,92.33333333333333,77.66990291262137,84.13793103448276,233209.0,54768.0
700.0,56.737191,8.03882069028914E-7,700.0,91.42857142857143,91.42857142857143,77.44360902255639,82.30088495575221,233309.0,54768.0
800.0,56.765933,8.042893006528418E-7,800.0,91.25,91.25,77.63578274760383,82.14285714285714,233409.0,54768.0
900.0,56.791138,8.046464182188114E-7,900.0,91.77777777777779,91.77777777777779,79.50138504155126,83.06636155606407,233509.0,54768.0
1000.0,56.828752,8.051793529589971E-7,1000.0,90.4,90.4,76.64233576642336,80.52738336713996,233609.0,54768.0
1100.0,56.864121,8.056804793700577E-7,1100.0,89.5,89.5,77.12418300653596,79.16666666666667,233709.0,54768.0
1200.0,56.900962,8.062024618436893E-7,1200.0,89.2,89.2,78.18181818181819,78.0040733197556,233809.0,54768.0
1300.0,56.934119,8.066722474868099E-7,1300.0,88.9,88.9,78.89733840304183,78.10650887573965,233909.0,54768.0
1400.0,56.970932,8.0719383324186E-7,1400.0,89.3,89.3,79.54110898661568,79.38342967244701,234009.0,54768.0
1500.0,57.001124,8.076216092209021E-7,1500.0,88.6,88.6,77.6031434184676,77.55905511811024,234109.0,54768.0
1600.0,57.030032,8.080311928192775E-7,1600.0,88.2,88.2,76.81728880157172,76.16161616161617,234209.0,54768.0
1700.0,57.063496,8.08505328198274E-7,1700.0,89.0,89.0,77.9559118236473,77.68762677484787,234309.0,54768.0
1800.0,57.091476,8.089017634093761E-7,1800.0,89.0,89.0,78.0439121756487,77.50511247443764,234409.0,54768.0
1900.0,57.115787,8.092462143177788E-7,1900.0,88.9,88.9,77.88844621513944,77.30061349693251,234509.0,54768.0
2000.0,57.142291,8.096217367922267E-7,2000.0,89.9,89.9,79.63709677419355,78.91440501043841,234609.0,54768.0
2100.0,57.166343,8.099625180537502E-7,2100.0,90.2,90.2,80.4,79.41176470588236,234709.0,54768.0
2200.0,57.191188,8.103145349522432E-7,2200.0,90.10000000000001,90.10000000000001,80.16032064128257,79.20168067226892,234809.0,54768.0
