learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.121022,1.5028069416681927E-10,100.0,94.0,83.5886214442013,-200.0,76.9230769230769,100.0,4800.0
200.0,0.195663,2.429671585559845E-10,200.0,90.0,79.92773986350863,-42.857142857142925,78.49462365591398,200.0,4800.0
300.0,0.257027,3.191667298475901E-10,300.0,88.0,74.3553212708363,-28.571428571428502,67.27272727272727,300.0,4800.0
400.0,0.299351,3.717231253782908E-10,400.0,91.0,77.67926341569272,-28.571428571428616,67.27272727272728,400.0,4800.0
500.0,0.347377,4.3136005600293476E-10,500.0,90.8,75.47503785374592,17.857142857142875,64.06250000000001,500.0,4800.0
600.0,0.386162,4.795218507448833E-10,600.0,91.83333333333333,76.40373687758837,27.941176470588207,64.23357664233578,600.0,4800.0
700.0,0.417436,5.183567603429159E-10,700.0,92.28571428571428,81.04978192209353,23.943661971830945,73.52941176470587,700.0,4800.0
800.0,0.461669,5.732836822668712E-10,800.0,91.125,79.94945002188616,38.79310344827587,73.20754716981132,800.0,4800.0
900.0,0.505071,6.271786987781525E-10,900.0,91.88888888888889,82.05369142182839,61.57894736842104,76.6025641025641,900.0,4800.0
1000.0,0.543736,6.751914819081625E-10,1000.0,92.60000000000001,84.5177919860744,65.58139534883722,81.36020151133503,1000.0,4800.0
1100.0,0.578846,7.187897960344951E-10,1100.0,92.4,84.26794179138464,67.93248945147681,83.4061135371179,1100.0,4800.0
1200.0,0.608027,7.550256947676342E-10,1200.0,93.4,86.79112363508278,71.9148936170213,86.41975308641976,1200.0,4800.0
1300.0,0.642204,7.974654436111452E-10,1300.0,94.39999999999999,88.7511801217283,79.33579335793355,89.18918918918918,1300.0,4800.0
1400.0,0.68698,8.530666430791221E-10,1400.0,93.5,86.81969340579123,79.55974842767297,88.96434634974534,1400.0,4800.0
1500.0,0.728779,9.049711128075919E-10,1500.0,94.19999999999999,87.9077990526386,83.52272727272727,90.5996758508914,1500.0,4800.0
1600.0,0.762681,9.470693767070772E-10,1600.0,94.5,87.43592320836264,84.93150684931506,91.18589743589742,1600.0,4800.0
1700.0,0.793452,9.85279679298401E-10,1700.0,94.8,87.69259899173983,86.73469387755101,90.9090909090909,1700.0,4800.0
1800.0,0.821867,1.0205643872419995E-9,1800.0,96.5,91.5777112550654,91.11675126903552,93.48230912476724,1800.0,4800.0
1900.0,0.855308,1.0620901981989545E-9,1900.0,96.7,91.59997556356527,91.17647058823528,93.62934362934362,1900.0,4800.0
2000.0,0.881173,1.0942084093888602E-9,2000.0,96.8,91.643206710505,91.06145251396647,92.69406392694063,2000.0,4800.0
2100.0,0.905553,1.1244826018810274E-9,2100.0,97.6,93.54838709677419,92.81437125748502,93.16239316239316,2100.0,4800.0
2200.0,0.929718,1.154489815235138E-9,2200.0,98.0,94.57891740980673,93.82716049382715,92.18749999999999,2200.0,4800.0
2300.0,0.954314,1.1850322286287945E-9,2300.0,98.6,95.7508027947577,94.8905109489051,93.2367149758454,2300.0,4800.0
2400.0,0.97875,1.2153759598731996E-9,2400.0,99.5,97.83894056222123,97.79735682819383,96.32352941176471,2400.0,4800.0
2500.0,1.002015,1.2442655861377718E-9,2500.0,99.8,98.76665022200297,98.7878787878788,97.77777777777777,2500.0,4800.0
2600.0,1.026857,1.275113473335902E-9,2600.0,99.8,98.52228395791465,98.57142857142857,97.29729729729729,2600.0,4800.0
2700.0,1.05022,1.3041247924168907E-9,2700.0,100.0,100.0,100.0,100.0,2700.0,4800.0
2800.0,1.073481,1.3330094516277316E-9,2800.0,100.0,100.0,100.0,100.0,2800.0,4800.0
2900.0,1.097017,1.362235595782598E-9,2900.0,100.0,100.0,100.0,100.0,2900.0,4800.0
3000.0,1.120215,1.3910420238971712E-9,3000.0,100.0,?,?,?,3000.0,4800.0
3100.0,1.144378,1.4210467537244162E-9,3100.0,100.0,?,?,?,3100.0,4800.0
3200.0,1.16882,1.4513979355494183E-9,3200.0,100.0,?,?,?,3200.0,4800.0
3300.0,1.193333,1.4818372825781505E-9,3300.0,100.0,?,?,?,3300.0,4800.0
3400.0,1.217534,1.5118891994158428E-9,3400.0,100.0,?,?,?,3400.0,4800.0
3500.0,1.24459,1.545486350854238E-9,3500.0,99.8,93.6487773896475,93.54838709677419,88.23529411764706,3500.0,4800.0
3600.0,1.27423,1.5822922190030417E-9,3600.0,99.8,97.85407725321889,97.67441860465115,96.0,3600.0,4800.0
3700.0,1.306872,1.6228258609771729E-9,3700.0,99.4,95.62222741069343,95.23809523809523,92.10526315789473,3700.0,4800.0
3800.0,1.334837,1.657551775376002E-9,3800.0,99.4,95.62222741069343,95.23809523809523,92.10526315789473,3800.0,4800.0
3900.0,1.360861,1.6898674269517263E-9,3900.0,99.4,95.62222741069343,95.23809523809523,92.10526315789473,3900.0,4800.0
4000.0,1.388064,1.723647117614746E-9,4000.0,99.4,96.40890591333492,96.25,93.61702127659574,4000.0,4800.0
4100.0,1.416736,1.7592509587605793E-9,4100.0,99.4,97.1385786366281,96.92307692307692,95.04132231404958,4100.0,4800.0
4200.0,1.449538,1.7999832828839618E-9,4200.0,99.4,97.94969928922909,97.62845849802372,96.66666666666667,4200.0,4800.0
4300.0,1.480342,1.8382345636685688E-9,4300.0,99.4,98.26864810272687,98.125,97.33333333333333,4300.0,4800.0
4400.0,1.511375,1.8767702082792917E-9,4400.0,99.2,97.95618051013734,97.90575916230367,97.01492537313433,4400.0,4800.0
4500.0,1.541588,1.914287606875102E-9,4500.0,99.0,97.54636149946757,97.48110831234257,96.46643109540636,4500.0,4800.0
4600.0,1.569301,1.9487005968888603E-9,4600.0,98.9,97.14496319598011,96.875,95.75289575289575,4600.0,4800.0
4700.0,1.601037,1.988109201192856E-9,4700.0,97.3,92.71176375317172,91.91616766467065,88.97959183673468,4700.0,4800.0
4800.0,1.631526,2.0259693264961244E-9,4800.0,97.3,92.75144434183113,91.96428571428571,89.06882591093115,4800.0,4800.0
4900.0,1.663243,2.0653543372948965E-9,4900.0,97.3,92.75144434183113,91.96428571428571,89.06882591093115,4900.0,4800.0
5000.0,1.689978,2.098552882671356E-9,5000.0,97.3,92.36554883221172,91.05960264900662,88.20960698689954,5000.0,4800.0
5100.0,1.716241,2.1311653157075245E-9,5100.0,97.2,91.34686107385454,89.59107806691449,86.20689655172413,5100.0,4800.0
5200.0,1.74856,2.171297868092855E-9,5200.0,96.89999999999999,88.5539588533282,87.1369294605809,80.86419753086417,5200.0,4800.0
5300.0,1.782141,2.2129975259304046E-9,5300.0,96.6,85.62148995195885,83.96226415094338,75.36231884057969,5300.0,4800.0
