learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.006606,1.9277259707450867E-12,100.0,73.0,-1.9637462235649903,-1249.9999999999989,-3.8461538461538494,100.0,1128.0
200.0,0.013319,3.886676083008448E-12,200.0,52.5,9.19518256547506,-578.571428571429,-2.1505376344086042,200.0,1128.0
300.0,0.015843,4.623215645551681E-12,300.0,62.66666666666667,28.671506814418553,-299.9999999999998,-1.8181818181817992,300.0,1128.0
400.0,0.018229,5.319484819968541E-12,400.0,72.0,40.97963270360709,-300.0000000000003,-1.8181818181818195,400.0,1128.0
500.0,0.020535,5.992408841848373E-12,500.0,74.0,39.44136992937931,-132.1428571428572,-1.5625000000000013,500.0,1128.0
600.0,0.023205,6.771553307771682E-12,600.0,76.83333333333333,40.49148043496876,-104.41176470588245,-1.4598540145985248,600.0,1128.0
700.0,0.024819,7.242541760206222E-12,700.0,70.57142857142857,25.98675768618797,-190.14084507042253,-0.9803921568627185,700.0,1128.0
800.0,0.026135,7.626569519440333E-12,800.0,66.625,17.92065663474693,-130.1724137931034,-0.7547169811320592,800.0,1128.0
900.0,0.027637,8.064874758323034E-12,900.0,65.11111111111111,14.414987371213622,-65.26315789473684,-0.6410256410256452,900.0,1128.0
1000.0,0.028884,8.428767323493958E-12,1000.0,60.099999999999994,8.087388391828767,-85.58139534883725,-0.5037783375314866,1000.0,1128.0
1100.0,0.030389,8.867948005596797E-12,1100.0,54.1,-8.029485694919094,-93.67088607594937,-0.218340611353712,1100.0,1128.0
1200.0,0.031798,9.279114504655201E-12,1200.0,51.4,0.0,-106.80851063829789,0.0,1200.0,1128.0
1300.0,0.033011,9.633085379997888E-12,1300.0,46.9,0.0,-95.9409594095941,-2.5096525096525117,1300.0,1128.0
1400.0,0.034186,9.975967307885486E-12,1400.0,44.0,0.0,-76.10062893081763,4.9235993208828575,1400.0,1128.0
1500.0,0.035274,1.0293461382389067E-11,1500.0,40.400000000000006,0.0,-69.31818181818183,3.4035656401944925,1500.0,1128.0
1600.0,0.036295,1.0591403891642886E-11,1600.0,34.599999999999994,1.6816349111376325,-79.17808219178083,-4.807692307692312,1600.0,1128.0
1700.0,0.037416,1.091852784156799E-11,1700.0,39.800000000000004,6.633952361602676,-53.571428571428555,-5.24475524475524,1700.0,1128.0
1800.0,0.038524,1.1241858204205829E-11,1800.0,43.3,7.704628767506819,-43.908629441624356,-5.586592178770956,1800.0,1128.0
1900.0,0.039592,1.1553515990575153E-11,1900.0,45.2,6.01664945925273,-46.524064171122994,-5.791505791505785,1900.0,1128.0
2000.0,0.040643,1.1860212932030358E-11,2000.0,53.2,13.227599556496633,-30.72625698324022,-6.849315068493158,2000.0,1128.0
2100.0,0.041649,1.2153778225183484E-11,2100.0,61.9,22.482197355035595,-14.071856287425163,-8.547008547008556,2100.0,1128.0
2200.0,0.042548,1.2416119376818336E-11,2200.0,71.39999999999999,35.04871346490132,11.728395061728373,-11.718750000000009,2200.0,1128.0
2300.0,0.043556,1.2710268298784888E-11,2300.0,77.60000000000001,39.920287095199534,18.248175182481766,-8.212560386473438,2300.0,1128.0
2400.0,0.044571,1.3006459921598431E-11,2400.0,80.5,27.569607464416272,14.096916299559483,-43.38235294117642,2400.0,1128.0
2500.0,0.045957,1.3410914689302442E-11,2500.0,85.9,10.793369606478532,14.545454545454556,-56.66666666666673,2500.0,1128.0
2600.0,0.047345,1.3815953085819878E-11,2600.0,92.60000000000001,0.0,47.14285714285718,0.0,2600.0,1128.0
2700.0,0.048334,1.4104557534058886E-11,2700.0,94.1,0.0,46.36363636363631,0.0,2700.0,1128.0
2800.0,0.049156,1.434442897637685E-11,2800.0,96.7,0.0,47.61904761904753,0.0,2800.0,1128.0
2900.0,0.050025,1.4598015695810316E-11,2900.0,99.5,0.0,44.44444444444444,0.0,2900.0,1128.0
3000.0,0.050755,1.4811040212710698E-11,3000.0,100.0,?,?,?,3000.0,1128.0
3100.0,0.051458,1.501618574062983E-11,3100.0,100.0,?,?,?,3100.0,1128.0
3200.0,0.052153,1.5218996753295262E-11,3200.0,100.0,?,?,?,3200.0,1128.0
3300.0,0.052831,1.5416846921046576E-11,3300.0,100.0,?,?,?,3300.0,1128.0
3400.0,0.053505,1.5613529831171035E-11,3400.0,100.0,?,?,?,3400.0,1128.0
3500.0,0.054214,1.5820426245530445E-11,3500.0,98.3,0.0,45.16129032258064,0.0,3500.0,1128.0
3600.0,0.054888,1.6017109155654904E-11,3600.0,95.0,0.0,41.860465116278995,0.0,3600.0,1128.0
3700.0,0.055586,1.6220795611540472E-11,3700.0,92.4,0.0,39.68253968253972,0.0,3700.0,1128.0
3800.0,0.056311,1.643236105640729E-11,3800.0,92.4,0.0,39.68253968253972,0.0,3800.0,1128.0
3900.0,0.056985,1.662904396653175E-11,3900.0,92.4,0.0,39.68253968253972,0.0,3900.0,1128.0
4000.0,0.057626,1.681609700123469E-11,4000.0,90.60000000000001,0.0,41.25000000000003,0.0,4000.0,1128.0
4100.0,0.058277,1.7006068180004754E-11,4100.0,87.9,0.0,37.948717948717935,0.0,4100.0,1128.0
4200.0,0.05895,1.7202459275722502E-11,4200.0,82.0,0.0,28.853754940711447,0.0,4200.0,1128.0
4300.0,0.059615,1.7396515856186548E-11,4300.0,77.5,0.0,29.687499999999993,0.0,4300.0,1128.0
4400.0,0.060276,1.7589405179023743E-11,4400.0,73.2,0.0,29.84293193717277,0.0,4400.0,1128.0
4500.0,0.060945,1.778462901711464E-11,4500.0,71.7,0.0,28.715365239294705,0.0,4500.0,1128.0
4600.0,0.061648,1.7989774545033774E-11,4600.0,74.1,0.0,26.42045454545454,0.0,4600.0,1128.0
4700.0,0.062404,1.8210386236508687E-11,4700.0,75.5,0.0,26.64670658682634,0.0,4700.0,1128.0
4800.0,0.063082,1.840823640426E-11,4800.0,75.3,0.0,26.488095238095234,0.0,4800.0,1128.0
4900.0,0.063747,1.8602292984724046E-11,4900.0,75.3,0.0,26.488095238095234,0.0,4900.0,1128.0
5000.0,0.064445,1.8805979440609615E-11,5000.0,77.10000000000001,0.0,24.172185430463593,0.0,5000.0,1128.0
5100.0,0.065056,1.8984278043111167E-11,5100.0,79.7,0.0,24.535315985130133,0.0,5100.0,1128.0
5200.0,0.065652,1.9158199429512026E-11,5200.0,83.8,0.0,32.78008298755185,0.0,5200.0,1128.0
5300.0,0.066227,1.9325992713371914E-11,5300.0,86.2,0.0,34.90566037735848,0.0,5300.0,1128.0
5400.0,0.066861,1.951100304722786E-11,5400.0,86.8,0.0,34.65346534653463,0.0,5400.0,1128.0
5500.0,0.067451,1.968317354718844E-11,5500.0,88.0,0.0,35.13513513513515,0.0,5500.0,1128.0
5600.0,0.068053,1.9858845820029577E-11,5600.0,86.3,0.0,34.134615384615365,0.0,5600.0,1128.0
5700.0,0.068666,2.0037728051344554E-11,5700.0,86.8,0.0,32.994923857868,0.0,5700.0,1128.0
5800.0,0.069279,2.0216610282659532E-11,5800.0,84.8,0.0,36.13445378151259,0.0,5800.0,1128.0
5900.0,0.06987,2.0389072597026826E-11,5900.0,84.0,0.0,36.50793650793649,0.0,5900.0,1128.0
6000.0,0.070452,2.0558908581733705E-11,6000.0,82.3,0.0,37.45583038869257,0.0,6000.0,1128.0
6100.0,0.071067,2.0738374441862108E-11,6100.0,78.3,0.0,35.79881656804734,0.0,6100.0,1128.0
6200.0,0.071636,2.090441683928172E-11,6200.0,77.4,0.0,35.612535612535616,0.0,6200.0,1128.0
6300.0,0.072185,2.1064622948567072E-11,6300.0,75.8,0.0,34.5945945945946,0.0,6300.0,1128.0
6400.0,0.072725,2.1222202728192012E-11,6400.0,76.1,0.0,34.52054794520548,0.0,6400.0,1128.0
6500.0,0.076671,2.2373702377080917E-11,6500.0,76.8,0.0,35.37604456824513,0.0,6500.0,1128.0
6600.0,0.0772,2.2528072198232015E-11,6600.0,79.4,0.0,36.809815950920246,0.0,6600.0,1128.0
6700.0,0.077721,2.268010750412941E-11,6700.0,80.10000000000001,0.0,36.82539682539683,0.0,6700.0,1128.0
6800.0,0.0783,2.284906804561615E-11,6800.0,82.3,0.0,34.92647058823528,0.0,6800.0,1128.0
6900.0,0.078866,2.3014234999815625E-11,6900.0,82.89999999999999,0.0,34.7328244274809,0.0,6900.0,1128.0
7000.0,0.079484,2.3194576303164164E-11,7000.0,82.19999999999999,0.0,35.27272727272726,0.0,7000.0,1128.0
7100.0,0.080073,2.3366454988718033E-11,7100.0,85.0,0.0,37.499999999999986,0.0,7100.0,1128.0
7200.0,0.080637,2.3531038314104082E-11,7200.0,87.2,0.0,38.16425120772946,0.0,7200.0,1128.0
7300.0,0.081189,2.3692119866609575E-11,7300.0,90.9,0.0,39.333333333333364,0.0,7300.0,1128.0
7400.0,0.081698,2.3840653399626416E-11,7400.0,94.3,0.0,44.66019417475722,0.0,7400.0,1128.0
7500.0,0.08226,2.4004653096199036E-11,7500.0,95.6,0.0,44.99999999999992,0.0,7500.0,1128.0
7600.0,0.082777,2.415552114446958E-11,7600.0,95.6,0.0,44.99999999999992,0.0,7600.0,1128.0
7700.0,0.08328,2.4302303791046143E-11,7700.0,95.6,0.0,44.99999999999992,0.0,7700.0,1128.0
7800.0,0.083817,2.4459008127450943E-11,7800.0,94.3,0.0,46.226415094339565,0.0,7800.0,1128.0
7900.0,0.084359,2.461717153588931E-11,7900.0,92.2,0.0,46.57534246575346,0.0,7900.0,1128.0
8000.0,0.084887,2.4771249542633693E-11,8000.0,89.3,0.0,32.27848101265825,0.0,8000.0,1128.0
8100.0,0.085392,2.4918615818023683E-11,8100.0,88.1,0.0,32.386363636363654,0.0,8100.0,1128.0
8200.0,0.085884,2.5062188506126405E-11,8200.0,88.6,0.0,31.3253012048193,0.0,8200.0,1128.0
8300.0,0.086349,2.519788220524788E-11,8300.0,88.6,0.0,31.3253012048193,0.0,8300.0,1128.0
8400.0,0.086806,2.533124138911565E-11,8400.0,88.6,0.0,31.3253012048193,0.0,8400.0,1128.0
8500.0,0.087267,2.5465767830610274E-11,8500.0,88.6,0.0,31.3253012048193,0.0,8500.0,1128.0
8600.0,0.087735,2.5602336972951888E-11,8600.0,86.0,0.0,33.649289099526044,0.0,8600.0,1128.0
8700.0,0.088205,2.5739489744106927E-11,8700.0,85.3,0.0,34.95575221238937,0.0,8700.0,1128.0
8800.0,0.088646,2.5868179897467295E-11,8800.0,84.6,0.0,35.564853556485346,0.0,8800.0,1128.0
8900.0,0.089112,2.6004165410995484E-11,8900.0,84.39999999999999,0.0,34.999999999999986,0.0,8900.0,1128.0
9000.0,0.089608,2.6148905356725057E-11,9000.0,86.3,0.0,41.94915254237287,0.0,9000.0,1128.0
9100.0,0.090065,2.628226454059283E-11,9100.0,87.9,0.0,43.192488262910786,0.0,9100.0,1128.0
9200.0,0.090524,2.6416207353274027E-11,9200.0,87.3,0.0,43.80530973451327,0.0,9200.0,1128.0
9300.0,0.090984,2.655044198036194E-11,9300.0,87.3,0.0,43.80530973451327,0.0,9300.0,1128.0
9400.0,0.09152,2.6706854502360025E-11,9400.0,86.4,0.0,43.801652892561975,0.0,9400.0,1128.0
9500.0,0.092198,2.6904704670111338E-11,9500.0,85.3,0.0,43.89312977099236,0.0,9500.0,1128.0
9600.0,0.092777,2.707366521159808E-11,9600.0,85.5,0.0,44.01544401544401,0.0,9600.0,1128.0
9700.0,0.093257,2.7213736126820246E-11,9700.0,83.8,0.0,42.14285714285714,0.0,9700.0,1128.0
9800.0,0.093726,2.7350597083568574E-11,9800.0,83.2,0.0,41.05263157894736,0.0,9800.0,1128.0
9900.0,0.094158,2.7476660907268526E-11,9900.0,82.89999999999999,0.0,40.62499999999999,0.0,9900.0,1128.0
10000.0,0.094607,2.7607685575882597E-11,10000.0,86.1,0.0,42.08333333333333,0.0,10000.0,1128.0
10100.0,0.095075,2.774425471822421E-11,10100.0,87.0,0.0,41.704035874439455,0.0,10100.0,1128.0
10200.0,0.095505,2.7869734913110737E-11,10200.0,87.6,0.0,40.95238095238094,0.0,10200.0,1128.0
10300.0,0.095951,2.7999884138504667E-11,10300.0,87.6,0.0,40.95238095238094,0.0,10300.0,1128.0
10400.0,0.096399,2.8130616992712023E-11,10400.0,87.0,0.0,40.9090909090909,0.0,10400.0,1128.0
10500.0,0.096814,2.8251719971497857E-11,10500.0,86.2,0.0,39.47368421052631,0.0,10500.0,1128.0
10600.0,0.097228,2.8372531135876977E-11,10600.0,85.9,0.0,40.7563025210084,0.0,10600.0,1128.0
10700.0,0.097627,2.8488965084155404E-11,10700.0,85.39999999999999,0.0,40.163934426229496,0.0,10700.0,1128.0
10800.0,0.098027,2.8605690846840546E-11,10800.0,88.0,0.0,39.99999999999999,0.0,10800.0,1128.0
10900.0,0.098422,2.8720957537492122E-11,10900.0,90.8,0.0,39.47368421052634,0.0,10900.0,1128.0
11000.0,0.098824,2.883826692899069E-11,11000.0,90.8,0.0,39.47368421052634,0.0,11000.0,1128.0
11100.0,0.099245,2.89611207942168E-11,11100.0,90.8,0.0,39.47368421052634,0.0,11100.0,1128.0
11200.0,0.09964,2.9076387484868375E-11,11200.0,90.4,0.0,40.00000000000003,0.0,11200.0,1128.0
11300.0,0.100067,2.920099223653476E-11,11300.0,89.1,0.0,40.76086956521742,0.0,11300.0,1128.0
11400.0,0.100485,2.932297065854073E-11,11400.0,88.3,0.0,40.9090909090909,0.0,11400.0,1128.0
11500.0,0.100871,2.9435611019531896E-11,11500.0,84.89999999999999,0.0,33.480176211453724,0.0,11500.0,1128.0
11600.0,0.101274,2.955321222543718E-11,11600.0,81.0,0.0,16.299559471365654,0.0,11600.0,1128.0
11700.0,0.101675,2.967022980252903E-11,11700.0,75.9,0.0,-11.574074074074087,0.0,11700.0,1128.0
11800.0,0.102074,2.9786663750807454E-11,11800.0,71.2,0.0,-0.34843205574912917,0.0,11800.0,1128.0
11900.0,0.102471,2.9902514070272456E-11,11900.0,65.3,0.0,-2.0588235294117667,0.0,11900.0,1128.0
12000.0,0.102858,3.0015446245670327E-11,12000.0,60.9,0.0,2.736318407960201,0.0,12000.0,1128.0
12100.0,0.10326,3.0132755637168894E-11,12100.0,58.599999999999994,0.0,4.827586206896555,0.0,12100.0,1128.0
12200.0,0.103727,3.0269032965103796E-11,12200.0,57.099999999999994,0.0,6.331877729257624,0.0,12200.0,1128.0
12300.0,0.104183,3.0402100334564854E-11,12300.0,58.4,0.0,4.147465437788021,0.0,12300.0,1128.0
12400.0,0.10459,3.0520868798096986E-11,12400.0,58.199999999999996,0.0,2.1077283372365354,0.0,12400.0,1128.0
12500.0,0.105001,3.064080451925597E-11,12500.0,61.9,0.0,4.030226700251893,0.0,12500.0,1128.0
12600.0,0.105391,3.0754612137873983E-11,12600.0,66.3,0.0,12.467532467532479,0.0,12600.0,1128.0
12700.0,0.105786,3.0869878828525556E-11,12700.0,69.6,0.0,26.39225181598062,0.0,12700.0,1128.0
12800.0,0.106179,3.098456189036371E-11,12800.0,66.10000000000001,0.0,5.571030640668529,0.0,12800.0,1128.0
12900.0,0.106597,3.110654031236968E-11,12900.0,71.8,0.0,8.14332247557004,0.0,12900.0,1128.0
13000.0,0.107007,3.1226184219121946E-11,13000.0,70.6,0.0,1.6722408026755866,0.0,13000.0,1128.0
13100.0,0.107414,3.134495268265408E-11,13100.0,63.6,0.0,-32.36363636363635,0.0,13100.0,1128.0
13200.0,0.107816,3.1462262074152646E-11,13200.0,60.4,0.0,-24.921135646687723,0.0,13200.0,1128.0
13300.0,0.108222,3.1580738723278063E-11,13300.0,53.7,0.0,-25.47425474254742,0.0,13300.0,1128.0
13400.0,0.108632,3.170038263003033E-11,13400.0,46.2,0.0,-60.11904761904763,-13.502109704641352,13400.0,1128.0
13500.0,0.109042,3.18200265367826E-11,13500.0,41.3,0.0,-61.26373626373628,-19.066937119675462,13500.0,1128.0
13600.0,0.109434,3.193441778421404E-11,13600.0,37.0,0.0,-75.4874651810585,-24.50592885375494,13600.0,1128.0
13700.0,0.109826,3.2048809031645474E-11,13700.0,31.7,0.0,-127.66666666666664,-48.80174291938999,13700.0,1128.0
13800.0,0.110224,3.216495116551719E-11,13800.0,30.2,0.0,-141.52249134948093,-83.6842105263158,13800.0,1128.0
13900.0,0.110631,3.228371962904932E-11,13900.0,20.4,0.0,-176.38888888888886,-110.58201058201058,13900.0,1128.0
14000.0,0.111034,3.2401320834954603E-11,14000.0,17.599999999999998,0.0,-228.2868525896414,-146.70658682634735,14000.0,1128.0
14100.0,0.111611,3.2569697747627916E-11,14100.0,16.900000000000002,0.0,-241.97530864197532,-244.81327800829874,14100.0,1128.0
14200.0,0.112038,3.26943024992943E-11,14200.0,17.2,0.0,-326.8041237113403,-242.14876033057857,14200.0,1128.0
14300.0,0.112539,3.284050151705744E-11,14300.0,13.900000000000002,0.0,-506.338028169014,-391.9999999999999,14300.0,1128.0
14309.0,0.11278,3.291082878907524E-11,14309.0,13.900000000000002,0.0,-506.338028169014,-418.6746987951806,14309.0,1128.0
