learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.085895,1.4397493770553006E-9,100.0,90.0,71.91011235955057,-399.9999999999995,61.538461538461554,100.0,64792.0,10.0,598.3,29.758472183004717,384.0,126.49110640673517,1.9999999999999998,1.0540925533894598,1.5,0.5270462766947299,1.5,0.5270462766947299,0.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.146469,2.508354644394583E-9,200.0,88.5,76.87512567866479,-64.28571428571439,75.26881720430107,200.0,68192.0,10.0,1204.3,49.139370954233605,1001.6000000000001,162.7234873438169,7.0,1.3333333333333333,4.0,0.6666666666666667,4.0,0.6666666666666667,3.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.182771,3.1487698128653895E-9,300.0,87.0,71.85334872979215,-39.28571428571422,64.54545454545455,300.0,68192.0,10.0,1803.6999999999998,59.065030075144975,1445.6000000000001,301.1810824810291,10.600000000000001,2.4585451886114367,5.800000000000001,1.2292725943057183,5.800000000000001,1.2292725943057183,4.5,1.2692955176439846,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.211483,3.680244827022155E-9,400.0,90.25,75.34298539546057,-39.28571428571443,64.54545454545453,400.0,71552.0,10.0,2399.8,72.99741243511455,1566.3999999999999,365.02760930586544,11.600000000000001,2.988868236194653,6.300000000000001,1.4944341180973264,6.300000000000001,1.4944341180973264,4.800000000000001,1.3165611772087666,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.238901,4.187767184856865E-9,500.0,90.4,74.00628181522801,14.285714285714299,62.500000000000014,500.0,71552.0,10.0,3012.9,85.52511002298941,1839.2,421.1890048158638,13.8,3.4253953543107007,7.4,1.7126976771553504,7.4,1.7126976771553504,5.199999999999999,1.3984117975602022,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.266265,4.694289972798692E-9,600.0,91.66666666666666,75.4757700608201,26.470588235294056,63.50364963503649,600.0,71552.0,10.0,3614.7000000000003,79.43557837084782,2299.2,448.16187551672294,17.599999999999998,3.657564459825387,9.299999999999999,1.8287822299126935,9.299999999999999,1.8287822299126935,6.0,1.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
700.0,0.304795,5.440993203471105E-9,700.0,90.85714285714286,77.0055946209516,9.859154929577475,68.62745098039217,700.0,74912.0,10.0,4226.2,78.45706539956173,2919.2,640.4714929903854,22.6,5.232377832092956,11.8,2.616188916046478,11.8,2.616188916046478,6.800000000000001,1.2292725943057183,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.342298,6.167793391893308E-9,800.0,90.375,77.92083040617071,33.620689655172455,70.94339622641512,800.0,74912.0,10.0,4825.799999999999,87.87592262831609,3604.8,714.4497183147322,28.200000000000003,5.827139568909909,14.600000000000001,2.9135697844549546,14.600000000000001,2.9135697844549546,7.199999999999999,1.398411797560202,0.0,0.0,0.0,0.0,1.0,0.0
900.0,0.369227,6.689671702269051E-9,900.0,91.22222222222223,80.40264164672938,58.42105263157897,74.6794871794872,900.0,74912.0,10.0,5420.1,79.25689594953582,4044.0,883.4538282596701,31.800000000000004,7.192588778272627,16.400000000000002,3.5962943891363137,16.400000000000002,3.5962943891363137,7.5,1.4337208778404378,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.389843,7.08920541115933E-9,1000.0,91.8,82.74091161662935,61.86046511627909,79.34508816120908,1000.0,74912.0,10.0,6025.099999999999,82.54486995298713,4321.6,1049.4260018378302,34.0,8.498365855987975,17.5,4.249182927993988,17.5,4.249182927993988,7.7,1.4944341180973264,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,0.408922,7.458952385932208E-9,1100.0,92.2,83.77021960141325,67.08860759493672,82.96943231441048,1100.0,74912.0,10.0,6623.400000000001,71.57311723762699,4643.2,1144.6568432892407,36.6,9.276014469827246,18.8,4.638007234913623,18.8,4.638007234913623,7.9,1.7919573407620815,0.0,0.0,0.0,0.0,1.0,0.0
