learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.103404,1.2647725641727447E-10,100.0,94.0,94.0,62.49999999999998,45.454545454545396,100.0,4728.0
200.0,0.135929,1.6625978673497835E-10,200.0,97.0,97.0,62.49999999999994,45.45454545454545,200.0,4728.0
300.0,0.169738,2.076128249367078E-10,300.0,96.33333333333334,96.33333333333334,63.333333333333364,47.61904761904764,300.0,4728.0
400.0,0.202992,2.482870221138E-10,400.0,94.75,94.75,59.61538461538463,38.235294117647044,400.0,4728.0
500.0,0.240045,2.9360791668295856E-10,500.0,91.8,91.8,60.95238095238097,48.750000000000036,500.0,4728.0
600.0,0.274573,3.3584039037426307E-10,600.0,91.33333333333333,91.33333333333333,67.70186335403726,62.04379562043797,600.0,4728.0
700.0,0.322545,3.9451671764254566E-10,700.0,90.57142857142857,90.57142857142857,69.44444444444444,65.62499999999999,700.0,4728.0
800.0,0.360885,4.4141178950667376E-10,800.0,90.75,90.75,71.53846153846153,71.42857142857142,800.0,4728.0
900.0,0.394381,4.823819858332475E-10,900.0,91.11111111111111,91.11111111111111,73.59735973597358,75.6838905775076,900.0,4728.0
1000.0,0.418826,5.122815693418185E-10,1000.0,91.10000000000001,91.10000000000001,74.7159090909091,77.46835443037976,1000.0,4728.0
1100.0,0.445979,5.454934077958265E-10,1100.0,91.0,91.0,76.86375321336762,79.9554565701559,1100.0,4728.0
1200.0,0.467572,5.719046046336492E-10,1200.0,90.60000000000001,90.60000000000001,78.24074074074076,81.31212723658052,1200.0,4728.0
1300.0,0.492801,6.027631275355815E-10,1300.0,90.9,90.9,80.51391862955033,83.363802559415,1300.0,4728.0
1400.0,0.514386,6.291645392775535E-10,1400.0,91.8,91.8,83.36713995943205,86.46864686468648,1400.0,4728.0
1500.0,0.536273,6.559353383878865E-10,1500.0,93.4,93.4,86.66666666666669,88.92617449664431,1500.0,4728.0
1600.0,0.555006,6.788483634591101E-10,1600.0,94.39999999999999,94.39999999999999,87.41573033707863,89.66789667896677,1600.0,4728.0
1700.0,0.570902,6.982913489143053E-10,1700.0,95.8,95.8,89.23076923076923,91.37577002053388,1700.0,4728.0
1800.0,0.588609,7.19949435442686E-10,1800.0,96.0,96.0,88.82681564245809,90.67599067599068,1800.0,4728.0
1900.0,0.614115,7.511467672884463E-10,1900.0,95.0,95.0,86.03351955307261,87.04663212435231,1900.0,4728.0
2000.0,0.667225,8.161075723667938E-10,2000.0,93.8,93.8,81.97674418604649,82.58426966292133,2000.0,4728.0
2100.0,0.712867,8.719339904685814E-10,2100.0,93.8,93.8,81.6568047337278,80.86419753086417,2100.0,4728.0
2200.0,0.752225,9.200742157797018E-10,2200.0,93.60000000000001,93.60000000000001,81.5028901734104,80.5471124620061,2200.0,4728.0
2300.0,0.780476,9.546290586392083E-10,2300.0,93.5,93.5,81.74157303370788,80.9384164222874,2300.0,4728.0
2400.0,0.813173,9.946219685177005E-10,2400.0,93.10000000000001,93.10000000000001,80.83333333333334,79.15407854984895,2400.0,4728.0
2500.0,0.845955,1.0347188450396059E-9,2500.0,92.30000000000001,92.30000000000001,78.43137254901961,78.24858757062148,2500.0,4728.0
2600.0,0.875617,1.0709995341797667E-9,2600.0,91.60000000000001,91.60000000000001,78.94736842105264,79.46210268948656,2600.0,4728.0
2700.0,0.908601,1.1113434843719002E-9,2700.0,91.4,91.4,81.0989010989011,81.70212765957447,2700.0,4728.0
2800.0,0.938604,1.148041263222694E-9,2800.0,91.60000000000001,91.60000000000001,83.13253012048195,83.49705304518665,2800.0,4728.0
2900.0,0.958692,1.1726116389036174E-9,2900.0,93.2,93.2,86.26262626262627,86.50793650793652,2900.0,4728.0
3000.0,0.982476,1.2017027288675305E-9,3000.0,95.3,95.3,89.95726495726495,90.08438818565399,3000.0,4728.0
3100.0,1.005385,1.2297235739727811E-9,3100.0,95.8,95.8,90.0709219858156,90.49773755656108,3100.0,4728.0
3200.0,1.028393,1.2578655096391834E-9,3200.0,96.1,96.1,89.73684210526315,89.92248062015503,3200.0,4728.0
3300.0,1.048696,1.2826988597710925E-9,3300.0,95.5,95.5,86.64688427299701,86.404833836858,3300.0,4728.0
3400.0,1.103726,1.3500080878535903E-9,3400.0,92.9,92.9,78.6786786786787,76.79738562091505,3400.0,4728.0
3500.0,1.139381,1.3936190369228518E-9,3500.0,91.2,91.2,73.80952380952381,69.44444444444446,3500.0,4728.0
3600.0,1.172939,1.4346650677422677E-9,3600.0,88.6,88.6,66.56891495601172,59.13978494623656,3600.0,4728.0
3700.0,1.205883,1.4749600924551482E-9,3700.0,86.3,86.3,58.231707317073166,50.719424460431654,3700.0,4728.0
3800.0,1.234807,1.5103381065030888E-9,3800.0,85.3,85.3,53.03514376996804,49.65753424657534,3800.0,4728.0
3900.0,1.269163,1.552360200633605E-9,3900.0,83.5,83.5,48.757763975155264,49.54128440366971,3900.0,4728.0
4000.0,1.304655,1.59577177837491E-9,4000.0,81.8,81.8,49.30362116991642,51.33689839572191,4000.0,4728.0
4100.0,1.335226,1.6331642990310984E-9,4100.0,80.7,80.7,52.9268292682927,54.48113207547172,4100.0,4728.0
4200.0,1.367406,1.672524847090244E-9,4200.0,79.80000000000001,79.80000000000001,55.30973451327434,55.604395604395606,4200.0,4728.0
4300.0,1.398567,1.710639018565416E-9,4300.0,79.60000000000001,79.60000000000001,58.36734693877552,57.41127348643007,4300.0,4728.0
4400.0,1.423645,1.7413128477831679E-9,4400.0,82.39999999999999,82.39999999999999,61.57205240174671,60.97560975609755,4400.0,4728.0
4500.0,1.445956,1.7686022569735842E-9,4500.0,85.3,85.3,63.52357320099256,64.14634146341463,4500.0,4728.0
4600.0,1.468913,1.7966818126539385E-9,4600.0,88.7,88.7,67.71428571428572,68.69806094182826,4600.0,4728.0
4700.0,1.495809,1.8295793049037452E-9,4700.0,89.4,89.4,67.97583081570997,66.5615141955836,4700.0,4728.0
4800.0,1.523934,1.8639800325036043E-9,4800.0,89.5,89.5,69.2982456140351,64.52702702702705,4800.0,4728.0
4900.0,1.555532,1.902628714839617E-9,4900.0,89.9,89.9,71.14285714285715,66.33333333333334,4900.0,4728.0
5000.0,1.586132,1.940056706468264E-9,5000.0,91.0,91.0,74.43181818181819,71.33757961783441,5000.0,4728.0
5100.0,1.612752,1.972616612911224E-9,5100.0,91.8,91.8,76.09329446064142,75.7396449704142,5100.0,4728.0
5200.0,1.641121,2.0073157859345273E-9,5200.0,92.60000000000001,92.60000000000001,78.55072463768117,79.7260273972603,5200.0,4728.0
5300.0,1.666569,2.0384421758353706E-9,5300.0,93.0,93.0,79.65116279069768,81.72323759791124,5300.0,4728.0
5400.0,1.693555,2.071449750413497E-9,5400.0,93.2,93.2,82.42894056847547,83.73205741626796,5400.0,4728.0
5500.0,1.718458,2.1019095306595165E-9,5500.0,93.10000000000001,93.10000000000001,84.5291479820628,85.22483940042828,5500.0,4728.0
5600.0,1.74062,2.1290166924397147E-9,5600.0,92.80000000000001,92.80000000000001,85.96491228070177,86.1003861003861,5600.0,4728.0
5700.0,1.764433,2.1581432533760863E-9,5700.0,94.3,94.3,89.48339483394831,89.3258426966292,5700.0,4728.0
5800.0,1.787867,2.186806245396534E-9,5800.0,95.0,95.0,90.17681728880156,90.05964214711729,5800.0,4728.0
5900.0,1.810627,2.214644843091567E-9,5900.0,96.0,96.0,91.41630901287553,91.09131403118039,5900.0,4728.0
6000.0,1.832361,2.241228502243757E-9,6000.0,96.39999999999999,96.39999999999999,91.76201372997711,90.7928388746803,6000.0,4728.0
6100.0,1.85744,2.27190355459849E-9,6100.0,96.0,96.0,90.76212471131639,88.20058997050147,6100.0,4728.0
6200.0,1.890565,2.312419967104991E-9,6200.0,95.19999999999999,95.19999999999999,88.91454965357967,84.85804416403784,6200.0,4728.0
6300.0,1.92752,2.357620994249979E-9,6300.0,94.89999999999999,94.89999999999999,88.24884792626727,83.70607028753993,6300.0,4728.0
6400.0,1.961948,2.399731154243151E-9,6400.0,93.89999999999999,93.89999999999999,85.97701149425286,80.75709779179809,6400.0,4728.0
6500.0,2.00131,2.4478762721021966E-9,6500.0,92.2,92.2,81.77570093457945,74.91961414790998,6500.0,4728.0
6600.0,2.053007,2.5111087846259273E-9,6600.0,90.8,90.8,77.83132530120483,70.41800643086819,6600.0,4728.0
6700.0,2.10857,2.579069944719473E-9,6700.0,89.5,89.5,74.6987951807229,69.11764705882352,6700.0,4728.0
6800.0,2.163957,2.6468158327043053E-9,6800.0,89.2,89.2,75.94654788418708,72.37851662404093,6800.0,4728.0
6900.0,2.201716,2.6930002619822817E-9,6900.0,89.3,89.3,77.98353909465021,75.28868360277137,6900.0,4728.0
7000.0,2.236251,2.7352412976324554E-9,7000.0,88.6,88.6,77.99227799227799,75.69296375266525,7000.0,4728.0
7100.0,2.265482,2.7709948147336638E-9,7100.0,89.2,89.2,79.23076923076924,76.92307692307693,7100.0,4728.0
7200.0,2.29526,2.807417387763659E-9,7200.0,90.3,90.3,80.94302554027506,78.7280701754386,7200.0,4728.0
7300.0,2.326741,2.845922963072856E-9,7300.0,89.9,89.9,80.19607843137256,76.99316628701595,7300.0,4728.0
7400.0,2.357184,2.8831589221954345E-9,7400.0,89.9,89.9,79.5959595959596,75.89498806682579,7400.0,4728.0
7500.0,2.405522,2.9422829175988834E-9,7500.0,89.7,89.7,79.10750507099392,76.5909090909091,7500.0,4728.0
7600.0,2.452882,3.000210685034593E-9,7600.0,90.60000000000001,90.60000000000001,80.85539714867618,78.0885780885781,7600.0,4728.0
7700.0,2.484948,3.039431795477867E-9,7700.0,91.60000000000001,91.60000000000001,82.60869565217392,79.05236907730674,7700.0,4728.0
7800.0,2.520647,3.083096562574307E-9,7800.0,91.4,91.4,81.70212765957447,77.72020725388602,7800.0,4728.0
