learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.007021,2.0488289495309196E-12,100.0,88.0,-1.8675721561969265,25.000000000000018,-20.000000000000025,100.0,1128.0
200.0,0.014661,4.278291016817093E-12,200.0,94.0,-0.9251471825063926,24.999999999999893,-20.0,200.0,1128.0
300.0,0.01782,5.200132727622986E-12,300.0,92.66666666666666,-0.6404391582800455,26.66666666666662,-10.000000000000068,300.0,1128.0
400.0,0.020389,5.949803938468297E-12,400.0,91.25,-0.48808498420902513,32.69230769230768,-6.060606060606065,400.0,1128.0
500.0,0.023594,6.885069111982981E-12,500.0,83.8,-0.39662865642041006,22.85714285714283,-2.5316455696202547,500.0,1128.0
600.0,0.027781,8.106896032889683E-12,600.0,77.0,-0.3320165765940388,14.285714285714285,-1.4705882352941024,600.0,1128.0
700.0,0.029588,8.634204665819803E-12,700.0,72.42857142857143,-0.2850440927581117,10.648148148148167,-1.0471204188481391,700.0,1128.0
800.0,0.031157,9.092061469952264E-12,800.0,67.5,-0.24966021148822584,0.0,-0.7751937984495958,800.0,1128.0
900.0,0.0327,9.542331099510191E-12,900.0,63.33333333333333,-0.22204075021430786,-8.910891089108919,-0.6097560975609795,900.0,1128.0
1000.0,0.034101,9.951163083314894E-12,1000.0,60.4,-0.19989372738545796,-12.50000000000001,-0.50761421319797,1000.0,1128.0
1100.0,0.035392,1.0327895482381184E-11,1100.0,55.1,0.0,-15.42416452442158,0.0,1100.0,1128.0
1200.0,0.036685,1.0705211510260899E-11,1200.0,49.7,0.0,-16.435185185185173,0.788954635108482,1200.0,1128.0
1300.0,0.038269,1.1167445530494053E-11,1300.0,45.300000000000004,0.0,-17.13062098501071,-0.7366482504604058,1300.0,1128.0
1400.0,0.039458,1.151441286007563E-11,1400.0,39.4,0.0,-22.920892494929003,-8.602150537634405,1400.0,1128.0
1500.0,0.040648,1.1861672004063923E-11,1500.0,40.400000000000006,0.0,-20.404040404040398,-3.472222222222215,1500.0,1128.0
1600.0,0.041748,1.2182667851448058E-11,1600.0,45.800000000000004,0.0,-21.797752808988776,12.012987012987015,1600.0,1128.0
1700.0,0.042831,1.2498702853918075E-11,1700.0,51.300000000000004,0.0,-24.871794871794865,23.547880690737838,1700.0,1128.0
1800.0,0.043849,1.2795769919951756E-11,1800.0,57.099999999999994,0.0,-19.832402234636888,25.906735751295333,1800.0,1128.0
1900.0,0.045164,1.3179505864779154E-11,1900.0,61.4,0.0,-7.821229050279337,27.985074626865664,1900.0,1128.0
2000.0,0.0462,1.3481825590133666E-11,2000.0,64.4,0.0,-3.4883720930232593,29.644268774703562,2000.0,1128.0
2100.0,0.047588,1.3886863986651102E-11,2100.0,67.60000000000001,0.0,4.14201183431953,31.645569620253173,2100.0,1128.0
2200.0,0.048551,1.4167881260315577E-11,2200.0,67.10000000000001,0.0,4.913294797687866,30.73684210526316,2200.0,1128.0
2300.0,0.049463,1.4434015999237695E-11,2300.0,65.9,0.0,4.21348314606742,31.111111111111118,2300.0,1128.0
2400.0,0.050417,1.4712406943241755E-11,2400.0,66.9,0.0,8.055555555555562,37.42911153119094,2400.0,1128.0
2500.0,0.051363,1.498846337199211E-11,2500.0,64.60000000000001,0.0,0.8403361344537823,32.44274809160306,2500.0,1128.0
2600.0,0.052241,1.5244676421085993E-11,2600.0,59.099999999999994,0.0,-2.506265664160403,15.670103092783497,2600.0,1128.0
2700.0,0.053216,1.552919546763102E-11,2700.0,53.0,0.0,-3.2967032967033,0.0,2700.0,1128.0
2800.0,0.054374,1.58671165506045E-11,2800.0,49.1,0.0,-2.208835341365464,0.3913894324853232,2800.0,1128.0
2900.0,0.055343,1.6149884710709254E-11,2900.0,49.6,0.0,-1.81818181818182,10.320284697508896,2900.0,1128.0
3000.0,0.056179,1.6393841554721195E-11,3000.0,52.6,0.0,-1.2820512820512833,13.02752293577982,3000.0,1128.0
3100.0,0.057077,1.6655890891949336E-11,3100.0,55.800000000000004,0.0,-4.491725768321491,13.840155945419117,3100.0,1128.0
3200.0,0.057933,1.6905684024095535E-11,3200.0,61.3,0.0,-1.8421052631578962,15.502183406113529,3200.0,1128.0
3300.0,0.058801,1.715897892912229E-11,3300.0,66.9,0.0,1.780415430267064,17.661691542288573,3300.0,1128.0
3400.0,0.060305,1.7597867796818417E-11,3400.0,69.39999999999999,0.0,8.108108108108082,18.832891246684337,3400.0,1128.0
3500.0,0.061739,1.8016329656044644E-11,3500.0,71.2,0.0,14.285714285714265,19.777158774373245,3500.0,1128.0
3600.0,0.062698,1.8296179672082266E-11,3600.0,72.1,0.0,18.181818181818166,20.285714285714274,3600.0,1128.0
3700.0,0.063587,1.855560267964999E-11,3700.0,72.2,0.0,15.243902439024373,20.343839541547265,3700.0,1128.0
3800.0,0.064625,1.885850603381793E-11,3800.0,70.8,0.0,6.709265175718822,19.113573407202203,3800.0,1128.0
3900.0,0.065542,1.9126099844773613E-11,3900.0,67.30000000000001,0.0,-1.5527950310559022,3.8235294117647096,3900.0,1128.0
4000.0,0.066404,1.937764386336009E-11,4000.0,62.6,0.0,-4.178272980501397,0.0,4000.0,1128.0
4100.0,0.067233,1.9619558006525042E-11,4100.0,57.599999999999994,0.0,-3.4146341463414664,0.0,4100.0,1128.0
4200.0,0.06802,1.9849215944608055E-11,4200.0,54.50000000000001,0.0,-0.6637168141592927,0.0,4200.0,1128.0
4300.0,0.068767,2.0067201306422555E-11,4300.0,52.1,0.0,2.2448979591836755,0.0,4300.0,1128.0
4400.0,0.06955,2.0295691986878717E-11,4400.0,54.900000000000006,0.0,1.528384279475984,0.0,4400.0,1128.0
4500.0,0.070299,2.0514260977506642E-11,4500.0,59.0,0.0,-1.7369727047146417,0.0,4500.0,1128.0
4600.0,0.071075,2.0740708957115813E-11,4600.0,63.9,0.0,-3.142857142857146,0.0,4600.0,1128.0
4700.0,0.071899,2.09811640282472E-11,4700.0,68.30000000000001,0.0,4.229607250755292,0.0,4700.0,1128.0
4800.0,0.072663,2.120411023497582E-11,4800.0,70.39999999999999,0.0,13.450292397660798,0.0,4800.0,1128.0
4900.0,0.073674,2.149913460016251E-11,4900.0,70.0,0.0,14.285714285714269,0.0,4900.0,1128.0
5000.0,0.074444,2.1723831693331405E-11,5000.0,68.60000000000001,0.0,10.795454545454556,0.0,5000.0,1128.0
5100.0,0.075194,2.194269249836604E-11,5100.0,66.2,0.0,1.4577259475218673,0.0,5100.0,1128.0
5200.0,0.075916,2.2153382500012718E-11,5200.0,63.5,0.0,-5.797101449275368,0.0,5200.0,1128.0
5300.0,0.076666,2.2372243305047355E-11,5300.0,61.7,0.0,-11.337209302325592,0.0,5300.0,1128.0
5400.0,0.077739,2.268536016345024E-11,5400.0,58.199999999999996,0.0,-8.010335917312668,0.0,5400.0,1128.0
5500.0,0.078788,2.2991473476092022E-11,5500.0,53.300000000000004,0.0,-4.708520179372202,0.0,5500.0,1128.0
5600.0,0.079572,2.3220255970954895E-11,5600.0,48.199999999999996,0.0,-0.9746588693957123,0.7662835249042153,5600.0,1128.0
5700.0,0.080312,2.3436198631922404E-11,5700.0,46.6,0.0,1.4760147601476026,6.968641114982583,5700.0,1128.0
5800.0,0.081077,2.3659436653057733E-11,5800.0,49.7,0.0,1.1787819253438125,19.261637239165328,5800.0,1128.0
5900.0,0.08187,2.3890845477581022E-11,5900.0,55.1,0.0,3.6480686695279005,21.50349650349651,5900.0,1128.0
6000.0,0.08263,2.411262442668279E-11,6000.0,60.9,0.0,10.526315789473692,23.92996108949416,6000.0,1128.0
6100.0,0.083419,2.4342865993579227E-11,6100.0,66.10000000000001,0.0,21.70900692840648,26.623376623376625,6100.0,1128.0
6200.0,0.084157,2.455822502573331E-11,6200.0,68.30000000000001,0.0,26.78983833718247,27.95454545454546,6200.0,1128.0
6300.0,0.084894,2.477329224348068E-11,6300.0,68.7,0.0,27.88018433179726,28.211009174311947,6300.0,1128.0
6400.0,0.085616,2.4983982245127357E-11,6400.0,68.30000000000001,0.0,27.126436781609215,27.95454545454546,6400.0,1128.0
6500.0,0.091173,2.6605594903230663E-11,6500.0,68.89999999999999,0.0,27.336448598130836,28.341013824884786,6500.0,1128.0
6600.0,0.092465,2.6982619116703665E-11,6600.0,68.89999999999999,0.0,25.060240963855414,27.67441860465116,6600.0,1128.0
6700.0,0.093196,2.7195935448010758E-11,6700.0,66.0,0.0,18.07228915662652,19.621749408983465,6700.0,1128.0
6800.0,0.093979,2.742442612846692E-11,6800.0,60.9,0.0,12.917594654788406,0.7614213197969549,6800.0,1128.0
6900.0,0.095101,2.7751841892798738E-11,6900.0,56.699999999999996,0.0,10.905349794238669,0.0,6900.0,1128.0
7000.0,0.096041,2.8026147435108817E-11,7000.0,53.1,0.0,9.459459459459467,0.0,7000.0,1128.0
7100.0,0.097583,2.847612525026003E-11,7100.0,53.2,0.0,10.000000000000009,0.0,7100.0,1128.0
7200.0,0.098384,2.8709868590037025E-11,7200.0,54.400000000000006,0.0,10.412573673870343,0.0,7200.0,1128.0
7300.0,0.099093,2.8916765004396435E-11,7300.0,56.10000000000001,0.0,13.921568627450991,0.0,7300.0,1128.0
7400.0,0.099798,2.9122494161129E-11,7400.0,58.099999999999994,0.0,15.353535353535344,0.0,7400.0,1128.0
7500.0,0.100508,2.932968238989512E-11,7500.0,56.00000000000001,0.0,10.75050709939149,0.0,7500.0,1128.0
7600.0,0.101342,2.9573055605093637E-11,7600.0,57.099999999999994,0.0,12.627291242362515,0.0,7600.0,1128.0
7700.0,0.102078,2.978783100843429E-11,7700.0,59.9,0.0,16.97722567287784,0.0,7700.0,1128.0
7800.0,0.102759,2.998655661940574E-11,7800.0,61.4,0.0,17.872340425531906,0.0,7800.0,1128.0
7900.0,0.103433,3.0183239529530204E-11,7900.0,59.4,0.0,11.739130434782597,0.0,7900.0,1128.0
8000.0,0.104086,3.03737943371137E-11,8000.0,60.099999999999994,0.0,13.449023861171355,0.0,8000.0,1128.0
8100.0,0.104722,3.055938829978307E-11,8100.0,56.39999999999999,0.0,6.83760683760682,0.0,8100.0,1128.0
8200.0,0.10538,3.0751402179400126E-11,8200.0,53.1,0.0,0.6355932203389836,0.0,8200.0,1128.0
8300.0,0.106007,3.0934369812409085E-11,8300.0,47.4,0.0,-19.545454545454565,-7.128309572301432,8300.0,1128.0
8400.0,0.106665,3.112638369202614E-11,8400.0,41.6,0.0,-38.38862559241705,-22.431865828092253,8400.0,1128.0
8500.0,0.107341,3.132365023096402E-11,8500.0,38.6,0.0,-60.73298429319372,-46.53937947494032,8500.0,1128.0
8600.0,0.10799,3.1513037780920664E-11,8600.0,35.6,0.0,-76.43835616438356,-57.45721271393642,8600.0,1128.0
8700.0,0.108654,3.1706802546977996E-11,8700.0,32.0,0.0,-85.28610354223434,-67.07616707616705,8700.0,1128.0
8800.0,0.109326,3.190290182828903E-11,8800.0,31.4,0.0,-79.11227154046998,-67.72616136919314,8800.0,1128.0
8900.0,0.109985,3.2095207522312797E-11,8900.0,32.800000000000004,0.0,-66.74937965260544,-74.54545454545453,8900.0,1128.0
9000.0,0.110656,3.2291014989217116E-11,9000.0,27.3,0.0,-98.63387978142076,-105.36723163841808,9000.0,1128.0
9100.0,0.111359,3.249616051713625E-11,9100.0,24.099999999999998,0.0,-127.92792792792795,-149.6710526315789,9100.0,1128.0
9200.0,0.112142,3.272465119759241E-11,9200.0,28.299999999999997,0.0,-141.4141414141414,-121.29629629629632,9200.0,1128.0
9300.0,0.112826,3.2924252251783994E-11,9300.0,36.0,0.0,-117.68707482993194,-77.77777777777779,9300.0,1128.0
9400.0,0.113455,3.3107803513606376E-11,9400.0,42.0,0.0,-90.78947368421049,-38.09523809523809,9400.0,1128.0
9500.0,0.114305,3.33558457593123E-11,9500.0,43.3,0.0,-72.86585365853661,-30.946882217090057,9500.0,1128.0
9600.0,0.11518,3.361118336518604E-11,9600.0,42.699999999999996,0.0,-71.55688622754494,-34.192037470725985,9600.0,1128.0
9700.0,0.115917,3.382625058293341E-11,9700.0,41.6,0.0,-81.36645962732922,-40.38461538461537,9700.0,1128.0
9800.0,0.116475,3.3989083021879183E-11,9800.0,40.0,0.0,-94.17475728155335,-49.999999999999986,9800.0,1128.0
9900.0,0.117012,3.414578735828399E-11,9900.0,39.6,0.0,-104.054054054054,-52.52525252525251,9900.0,1128.0
10000.0,0.118386,3.454674035310744E-11,10000.0,43.9,0.0,-70.00000000000001,-27.79043280182234,10000.0,1128.0
10100.0,0.118966,3.4715992709000896E-11,10100.0,48.3,0.0,-39.353099730458226,-7.039337474120089,10100.0,1128.0
10200.0,0.11956,3.4889330466588327E-11,10200.0,45.5,0.0,-31.642512077294672,-19.780219780219788,10200.0,1128.0
10300.0,0.120224,3.508309523264566E-11,10300.0,42.8,0.0,-31.79723502304146,-33.644859813084096,10300.0,1128.0
10400.0,0.120809,3.5253806660572673E-11,10400.0,42.5,0.0,-35.29411764705881,-35.29411764705881,10400.0,1128.0
10500.0,0.121848,3.5557001829147324E-11,10500.0,48.0,0.0,-21.779859484777507,-8.333333333333341,10500.0,1128.0
10600.0,0.122393,3.571604068080583E-11,10600.0,52.900000000000006,0.0,-11.084905660377341,5.611222444889784,10600.0,1128.0
10700.0,0.123033,3.5902801901102055E-11,10700.0,58.599999999999994,0.0,3.27102803738318,17.52988047808764,10700.0,1128.0
10800.0,0.123747,3.611115738749503E-11,10800.0,62.6,0.0,10.739856801909315,24.899598393574294,10800.0,1128.0
10900.0,0.124877,3.644090766708055E-11,10900.0,66.3,0.0,17.603911980440113,29.64509394572025,10900.0,1128.0
11000.0,0.1255,3.6622708042462656E-11,11000.0,67.0,0.0,19.90291262135924,30.08474576271187,11000.0,1128.0
11100.0,0.126039,3.677999600768088E-11,11100.0,67.60000000000001,0.0,19.60297766749381,29.565217391304355,11100.0,1128.0
11200.0,0.12654,3.692619502544402E-11,11200.0,69.1,0.0,22.36180904522612,29.612756264236882,11200.0,1128.0
11300.0,0.127048,3.7074436744054146E-11,11300.0,68.89999999999999,0.0,22.249999999999993,25.419664268585123,11300.0,1128.0
11400.0,0.127574,3.7227931121985105E-11,11400.0,66.2,0.0,21.21212121212123,15.920398009950262,11400.0,1128.0
11500.0,0.128064,3.73709201812744E-11,11500.0,63.5,0.0,16.47597254004578,4.199475065616801,11500.0,1128.0
11600.0,0.128568,3.7517994642257674E-11,11600.0,60.699999999999996,0.0,11.085972850678719,0.0,11600.0,1128.0
11700.0,0.129092,3.767090539137521E-11,11700.0,58.8,0.0,9.846827133479199,0.0,11700.0,1128.0
11800.0,0.129757,3.786496197183926E-11,11800.0,57.4,0.0,8.583690987124449,0.0,11800.0,1128.0
11900.0,0.130425,3.805989399552344E-11,11900.0,56.2,0.0,5.603448275862075,0.0,11900.0,1128.0
12000.0,0.130949,3.8212804744640976E-11,12000.0,56.49999999999999,0.0,5.434782608695634,0.0,12000.0,1128.0
12100.0,0.131444,3.8357252875963835E-11,12100.0,55.2,0.0,3.030303030303033,0.0,12100.0,1128.0
12200.0,0.132861,3.877075389027595E-11,12200.0,52.900000000000006,0.0,-0.6410256410256416,0.0,12200.0,1128.0
12300.0,0.133993,3.9101087798674896E-11,12300.0,51.300000000000004,0.0,-2.5263157894736867,0.0,12300.0,1128.0
12400.0,0.134624,3.9285222689310706E-11,12400.0,52.300000000000004,0.0,-3.24675324675325,0.0,12400.0,1128.0
12500.0,0.135279,3.947636112570762E-11,12500.0,52.300000000000004,0.0,-3.0237580993520545,0.0,12500.0,1128.0
12600.0,0.135922,3.9663997789223985E-11,12600.0,52.800000000000004,0.0,-1.0706638115631701,0.0,12600.0,1128.0
12700.0,0.136438,3.981457402308781E-11,12700.0,52.7,0.0,-4.185022026431722,0.0,12700.0,1128.0
12800.0,0.136922,3.9955812195936834E-11,12800.0,52.0,0.0,-5.960264900662258,0.0,12800.0,1128.0
12900.0,0.137469,4.011543467640876E-11,12900.0,52.2,0.0,-4.595185995623637,0.0,12900.0,1128.0
13000.0,0.137973,4.0262509137392037E-11,13000.0,52.2,0.0,-4.595185995623637,0.0,13000.0,1128.0
13100.0,0.13847,4.0407540897528324E-11,13100.0,53.400000000000006,0.0,-0.21505376344086044,0.0,13100.0,1128.0
13200.0,0.138954,4.0548779070377345E-11,13200.0,53.5,0.0,-1.0869565217391315,0.0,13200.0,1128.0
13300.0,0.13944,4.069060087203979E-11,13300.0,53.7,0.0,-1.75824175824176,0.0,13300.0,1128.0
13400.0,0.140166,4.090245813131332E-11,13400.0,52.900000000000006,0.0,-2.391304347826089,0.0,13400.0,1128.0
13500.0,0.140733,4.106791689991951E-11,13500.0,52.900000000000006,0.0,-0.4264392324093821,0.0,13500.0,1128.0
13600.0,0.141231,4.121324047446251E-11,13600.0,53.6,0.0,1.6949152542372898,0.0,13600.0,1128.0
13700.0,0.141754,4.136585940917333E-11,13700.0,54.6,0.0,4.621848739495802,0.0,13700.0,1128.0
13800.0,0.142246,4.1509432097276055E-11,13800.0,56.2,0.0,9.316770186335413,0.0,13800.0,1128.0
13900.0,0.142734,4.1651837527751926E-11,13900.0,55.1,0.0,8.92494929006086,0.0,13900.0,1128.0
14000.0,0.143361,4.1834805160760885E-11,14000.0,55.00000000000001,0.0,9.456740442655944,0.0,14000.0,1128.0
14100.0,0.143851,4.197779422005018E-11,14100.0,54.6,0.0,6.391752577319594,0.0,14100.0,1128.0
14200.0,0.14434,4.2120491464932765E-11,14200.0,55.7,0.0,10.323886639676122,0.0,14200.0,1128.0
14300.0,0.144849,4.2269024997949606E-11,14300.0,56.2,0.0,13.77952755905513,0.0,14300.0,1128.0
14400.0,0.145383,4.2424853891134266E-11,14400.0,56.3,0.0,15.310077519379837,0.0,14400.0,1128.0
14500.0,0.145898,4.2575138310591387E-11,14500.0,56.99999999999999,0.0,15.851272015655567,0.0,14500.0,1128.0
14600.0,0.146397,4.2720753699541097E-11,14600.0,56.3,0.0,14.313725490196068,0.0,14600.0,1128.0
14700.0,0.14689,4.2864618202050534E-11,14700.0,54.900000000000006,0.0,11.741682974559698,0.0,14700.0,1128.0
14800.0,0.147408,4.301577806472779E-11,14800.0,53.2,0.0,9.477756286266931,0.0,14800.0,1128.0
14900.0,0.14792,4.316518704096477E-11,14900.0,53.2,0.0,10.344827586206904,0.0,14900.0,1128.0
15000.0,0.148432,4.3314596017201745E-11,15000.0,53.1,0.0,10.153256704980851,0.0,15000.0,1128.0
