learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.09814,1.1569208568996854E-9,100.0,95.0,95.0,68.74999999999997,54.5454545454545,100.0,45568.0
200.0,0.141648,1.6698137919108072E-9,200.0,97.5,97.5,68.74999999999996,54.54545454545454,200.0,45568.0
300.0,0.184617,2.1763527393341064E-9,300.0,96.66666666666667,96.66666666666667,66.66666666666666,52.38095238095236,300.0,45568.0
400.0,0.261879,3.0871538321177163E-9,400.0,94.25,94.25,55.769230769230774,32.352941176470566,81.0,45568.0
500.0,0.316067,3.7259476714664036E-9,500.0,91.8,91.8,60.95238095238097,48.750000000000036,181.0,45568.0
600.0,0.37232,4.389084710015191E-9,600.0,90.5,90.5,64.59627329192547,58.39416058394163,281.0,45568.0
700.0,0.416114,4.9053491486443415E-9,700.0,90.14285714285715,90.14285714285715,68.05555555555557,64.06250000000001,381.0,45568.0
800.0,0.452573,5.335145129097833E-9,800.0,90.25,90.25,69.99999999999999,69.88416988416988,481.0,45568.0
900.0,0.486597,5.736236174901327E-9,900.0,90.22222222222223,90.22222222222223,70.95709570957098,73.25227963525836,581.0,45568.0
1000.0,0.516851,6.092884673012628E-9,1000.0,90.3,90.3,72.44318181818183,75.44303797468355,681.0,45568.0
1100.0,0.548527,6.46629638142056E-9,1100.0,90.10000000000001,90.10000000000001,74.55012853470437,77.9510022271715,781.0,45568.0
1200.0,0.576706,6.798483795589871E-9,1200.0,89.8,89.8,76.3888888888889,79.72166998011929,881.0,45568.0
1300.0,0.606002,7.143838935428196E-9,1300.0,90.10000000000001,90.10000000000001,78.80085653104926,81.90127970749545,981.0,45568.0
1400.0,0.63031,7.4303931660122345E-9,1400.0,91.2,91.2,82.15010141987831,85.47854785478548,1081.0,45568.0
1500.0,0.658319,7.760576539569432E-9,1500.0,92.60000000000001,92.60000000000001,85.05050505050505,87.58389261744968,1181.0,45568.0
1600.0,0.682053,8.040364185969036E-9,1600.0,93.8,93.8,86.06741573033706,88.56088560885607,1281.0,45568.0
1700.0,0.703005,8.287356297175092E-9,1700.0,95.0,95.0,87.17948717948717,89.73305954825462,1381.0,45568.0
1800.0,0.725832,8.556451797485353E-9,1800.0,95.1,95.1,86.31284916201116,88.57808857808857,1481.0,45568.0
1900.0,0.762578,8.989631070031062E-9,1900.0,94.19999999999999,94.19999999999999,83.79888268156424,84.9740932642487,1581.0,45568.0
2000.0,0.821647,9.685964451895823E-9,2000.0,92.80000000000001,92.80000000000001,79.06976744186048,79.77528089887642,39.0,45568.0
2100.0,0.853513,1.0061615970399647E-8,2100.0,92.30000000000001,92.30000000000001,77.21893491124261,76.23456790123457,139.0,45568.0
2200.0,0.877468,1.0344008869595E-8,2200.0,92.2,92.2,77.45664739884394,76.29179331306992,239.0,45568.0
2300.0,0.902117,1.0634582969877457E-8,2300.0,91.8,91.8,76.96629213483148,75.95307917888564,339.0,45568.0
2400.0,0.928774,1.0948828326331246E-8,2400.0,91.10000000000001,91.10000000000001,75.27777777777779,73.1117824773414,439.0,45568.0
2500.0,0.957858,1.1291684309641521E-8,2500.0,90.4,90.4,73.109243697479,72.88135593220339,539.0,45568.0
2600.0,0.9818,1.1573923958672418E-8,2600.0,90.10000000000001,90.10000000000001,75.18796992481204,75.79462102689487,639.0,45568.0
2700.0,1.007849,1.188100192281935E-8,2700.0,89.5,89.5,76.92307692307693,77.65957446808511,739.0,45568.0
2800.0,1.031373,1.2158313989639283E-8,2800.0,89.60000000000001,89.60000000000001,79.11646586345383,79.56777996070727,839.0,45568.0
2900.0,1.051347,1.2393776973088582E-8,2900.0,91.2,91.2,82.22222222222223,82.53968253968254,939.0,45568.0
3000.0,1.070979,1.2625208298365275E-8,3000.0,93.5,93.5,86.11111111111113,86.28691983122364,1039.0,45568.0
3100.0,1.089265,1.2840772337383694E-8,3100.0,94.5,94.5,86.99763593380614,87.55656108597285,1139.0,45568.0
3200.0,1.110742,1.3093953397538927E-8,3200.0,94.5,94.5,85.52631578947367,85.78811369509043,1239.0,45568.0
3300.0,1.131704,1.3341063393486871E-8,3300.0,94.39999999999999,94.39999999999999,83.3827893175074,83.08157099697884,1339.0,45568.0
3400.0,1.176573,1.3870000441869101E-8,3400.0,92.10000000000001,92.10000000000001,76.27627627627629,74.18300653594773,46.0,45568.0
3500.0,1.213815,1.430902679761251E-8,3500.0,90.4,90.4,71.42857142857143,66.66666666666667,146.0,45568.0
3600.0,1.258711,1.483828213479784E-8,3600.0,87.7,87.7,63.929618768328446,55.91397849462366,246.0,45568.0
3700.0,1.295101,1.5267264710532296E-8,3700.0,86.7,86.7,59.45121951219512,52.15827338129496,346.0,45568.0
3800.0,1.321092,1.557365894317627E-8,3800.0,86.3,86.3,56.23003194888177,53.082191780821915,446.0,45568.0
3900.0,1.347362,1.588334216011895E-8,3900.0,84.6,84.6,52.17391304347825,52.9051987767584,546.0,45568.0
4000.0,1.374858,1.6207478046417234E-8,4000.0,83.1,83.1,52.924791086350965,54.812834224598916,646.0,45568.0
4100.0,1.402849,1.6537449227439032E-8,4100.0,81.89999999999999,81.89999999999999,55.85365853658536,57.311320754716974,746.0,45568.0
4200.0,1.434121,1.6906098392274644E-8,4200.0,81.3,81.3,58.62831858407078,58.901098901098884,846.0,45568.0
4300.0,1.458494,1.7193418873680963E-8,4300.0,81.2,81.2,61.632653061224495,60.75156576200419,946.0,45568.0
4400.0,1.478231,1.742608798874749E-8,4400.0,84.2,84.2,65.50218340611352,64.96674057649666,1046.0,45568.0
4500.0,1.494574,1.7618747022416855E-8,4500.0,86.9,86.9,67.4937965260546,68.04878048780488,1146.0,45568.0
4600.0,1.510881,1.781098167101542E-8,4600.0,90.3,90.3,72.28571428571429,73.13019390581718,1246.0,45568.0
4700.0,1.532977,1.807145979669359E-8,4700.0,90.2,90.2,70.39274924471299,69.08517350157729,1346.0,45568.0
4800.0,1.557871,1.836492207315233E-8,4800.0,90.0,90.0,70.76023391812866,66.21621621621622,1446.0,45568.0
4900.0,1.590777,1.8752833604812622E-8,4900.0,91.3,91.3,75.14285714285715,71.00000000000001,1546.0,45568.0
5000.0,1.617199,1.9064308669832017E-8,5000.0,92.2,92.2,77.84090909090911,75.15923566878982,1646.0,45568.0
5100.0,1.641735,1.9353550672531128E-8,5100.0,93.2,93.2,80.17492711370264,79.88165680473374,1746.0,45568.0
5200.0,1.665987,1.9639444748560587E-8,5200.0,93.89999999999999,93.89999999999999,82.31884057971013,83.28767123287669,1846.0,45568.0
5300.0,1.69112,1.9935724470350476E-8,5300.0,94.19999999999999,94.19999999999999,83.13953488372091,84.85639686684073,1946.0,45568.0
5400.0,1.71533,2.0221123430464002E-8,5400.0,94.19999999999999,94.19999999999999,85.01291989664081,86.12440191387559,2046.0,45568.0
5500.0,1.738041,2.048885146776835E-8,5500.0,94.3,94.3,87.21973094170401,87.79443254817986,2146.0,45568.0
5600.0,1.759582,2.0742786990271675E-8,5600.0,93.7,93.7,87.71929824561404,87.83783783783785,2246.0,45568.0
5700.0,1.781352,2.099942207336426E-8,5700.0,95.1,95.1,90.95940959409592,90.82397003745317,2346.0,45568.0
5800.0,1.803544,2.1261031892564566E-8,5800.0,96.1,96.1,92.33791748526522,92.24652087475148,2446.0,45568.0
5900.0,1.8234,2.1495103836059574E-8,5900.0,96.39999999999999,96.39999999999999,92.27467811158797,91.98218262806235,2546.0,45568.0
6000.0,1.842716,2.172281000349257E-8,6000.0,96.89999999999999,96.89999999999999,92.90617848970251,92.07161125319693,2646.0,45568.0
