learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.092641,1.092096037334866E-9,100.0,95.0,95.0,68.74999999999997,54.5454545454545,100.0,45568.0
200.0,0.137054,1.615657541486952E-9,200.0,97.5,97.5,68.74999999999996,54.54545454545454,200.0,45568.0
300.0,0.171585,2.0227253437042236E-9,300.0,96.66666666666667,96.66666666666667,66.66666666666666,52.38095238095236,300.0,45568.0
400.0,0.209987,2.475426329506768E-9,400.0,94.5,94.5,57.69230769230765,35.294117647058734,400.0,45568.0
500.0,0.252631,2.9781340228186713E-9,500.0,92.80000000000001,92.80000000000001,65.71428571428574,55.000000000000036,500.0,45568.0
600.0,0.293011,3.454152610566881E-9,600.0,91.16666666666666,91.16666666666666,67.08074534161489,61.31386861313868,600.0,45568.0
700.0,0.343929,4.054398139317831E-9,700.0,90.0,90.0,67.59259259259261,63.54166666666667,700.0,45568.0
800.0,0.383974,4.526467588212755E-9,800.0,90.0,90.0,69.23076923076923,69.11196911196912,800.0,45568.0
900.0,0.417814,4.92538955476549E-9,900.0,90.66666666666666,90.66666666666666,72.27722772277227,74.46808510638296,900.0,45568.0
1000.0,0.452146,5.330111450619168E-9,1000.0,91.0,91.0,74.43181818181819,77.21518987341773,1000.0,45568.0
1100.0,0.486422,5.734173191918268E-9,1100.0,90.60000000000001,90.60000000000001,75.83547557840618,79.06458797327394,1100.0,45568.0
1200.0,0.515888,6.081532372368707E-9,1200.0,90.0,90.0,76.85185185185186,80.11928429423459,1200.0,45568.0
1300.0,0.544152,6.4147218068440755E-9,1300.0,90.4,90.4,79.44325481798715,82.44972577696528,1300.0,45568.0
1400.0,0.572465,6.748488876554701E-9,1400.0,91.5,91.5,82.75862068965519,85.97359735973598,1400.0,45568.0
1500.0,0.597685,7.0457941955990265E-9,1500.0,92.4,92.4,84.64646464646466,87.24832214765101,1500.0,45568.0
1600.0,0.622597,7.339468664593167E-9,1600.0,93.89999999999999,93.89999999999999,86.29213483146067,88.74538745387453,1600.0,45568.0
1700.0,0.643189,7.582216925091213E-9,1700.0,95.6,95.6,88.71794871794872,90.96509240246405,1700.0,45568.0
1800.0,0.666271,7.854318486319648E-9,1800.0,95.8,95.8,88.268156424581,90.2097902097902,1800.0,45568.0
1900.0,0.695531,8.199249241087172E-9,1900.0,94.39999999999999,94.39999999999999,84.35754189944133,85.4922279792746,1900.0,45568.0
2000.0,0.72861,8.589200178782145E-9,2000.0,92.80000000000001,92.80000000000001,79.06976744186048,79.77528089887642,2000.0,45568.0
2100.0,0.757715,8.932303720050388E-9,2100.0,92.7,92.7,78.40236686390534,77.46913580246914,2100.0,45568.0
2200.0,0.787599,9.284590482711791E-9,2200.0,92.80000000000001,92.80000000000001,79.19075144508672,78.11550151975685,2200.0,45568.0
2300.0,0.813174,9.58608071009318E-9,2300.0,92.7,92.7,79.49438202247192,78.59237536656892,2300.0,45568.0
2400.0,0.839647,9.89815698729621E-9,2400.0,92.10000000000001,92.10000000000001,78.05555555555557,76.13293051359517,2400.0,45568.0
2500.0,0.86629,1.0212237305111356E-8,2500.0,91.0,91.0,74.78991596638657,74.57627118644069,2500.0,45568.0
2600.0,0.897545,1.0580686065885756E-8,2600.0,89.4,89.4,73.43358395989975,74.08312958435208,2600.0,45568.0
2700.0,0.924111,1.0893858671188354E-8,2700.0,88.4,88.4,74.50549450549451,75.31914893617021,2700.0,45568.0
2800.0,0.95223,1.1225338776906332E-8,2800.0,88.5,88.5,76.90763052208835,77.40667976424362,2800.0,45568.0
2900.0,0.97385,1.1480205588870578E-8,2900.0,90.3,90.3,80.40404040404042,80.75396825396825,2900.0,45568.0
3000.0,0.997884,1.1763529777526855E-8,3000.0,92.4,92.4,83.76068376068378,83.9662447257384,3000.0,45568.0
3100.0,1.020884,1.2034664683871798E-8,3100.0,93.2,93.2,83.9243498817967,84.61538461538463,3100.0,45568.0
3200.0,1.044705,1.2315477927525838E-8,3200.0,93.2,93.2,82.10526315789475,82.42894056847547,3200.0,45568.0
3300.0,1.068175,1.2592153416739568E-8,3300.0,92.5,92.5,77.74480712166174,77.34138972809669,3300.0,45568.0
