learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,89.065284,1.0893904261291027E-7,100.0,98.0,98.0,0.0,95.55555555555554,232709.0,4728.0
200.0,89.19328,1.0909559925397237E-7,200.0,97.0,97.0,68.42105263157892,94.33962264150942,232809.0,4728.0
300.0,89.334655,1.0926852024470766E-7,300.0,89.66666666666666,89.66666666666666,37.99999999999996,78.47222222222221,232909.0,4728.0
400.0,89.523787,1.0949985458826025E-7,400.0,87.0,87.0,50.47619047619046,70.62146892655367,233009.0,4728.0
500.0,90.012714,1.1009787928313017E-7,500.0,86.2,86.2,57.14285714285713,70.3862660944206,233109.0,4728.0
600.0,90.628815,1.1085145520046353E-7,600.0,86.66666666666667,86.66666666666667,61.16504854368934,72.41379310344827,233209.0,4728.0
700.0,91.214631,1.1156798841431737E-7,700.0,84.28571428571429,84.28571428571429,58.64661654135338,67.55162241887905,233309.0,4728.0
800.0,91.774315,1.1225255861257513E-7,800.0,83.5,83.5,57.827476038338645,66.3265306122449,233409.0,4728.0
900.0,92.356442,1.1296457967410485E-7,900.0,83.44444444444444,83.44444444444444,58.72576177285318,65.90389016018307,233509.0,4728.0
1000.0,92.704074,1.1338978122919798E-7,1000.0,82.8,82.8,58.15085158150851,65.11156186612575,233609.0,4728.0
1100.0,93.060106,1.1382525713493428E-7,1100.0,79.60000000000001,79.60000000000001,55.55555555555556,59.52380952380953,233709.0,4728.0
1200.0,93.256887,1.1406594725325704E-7,1200.0,77.3,77.3,54.141414141414145,53.76782077393075,233809.0,4728.0
1300.0,93.449323,1.1430132284139595E-7,1300.0,76.8,76.8,55.893536121673,54.24063116370809,233909.0,4728.0
1400.0,93.614922,1.1450387310236693E-7,1400.0,76.8,76.8,55.64053537284895,55.29865125240848,234009.0,4728.0
1500.0,93.791049,1.1471930054947734E-7,1500.0,76.3,76.3,53.43811394891945,53.34645669291339,234109.0,4728.0
1600.0,93.921647,1.1487903979296485E-7,1600.0,75.7,75.7,52.259332023575645,50.909090909090914,234209.0,4728.0
1700.0,94.062814,1.1505170637120803E-7,1700.0,76.0,76.0,51.903807615230455,51.3184584178499,234309.0,4728.0
1800.0,94.185637,1.1520193572466571E-7,1800.0,76.0,76.0,52.09580838323353,50.92024539877301,234409.0,4728.0
1900.0,94.35399,1.1540785450488329E-7,1900.0,76.3,76.3,52.788844621513945,51.533742331288344,234509.0,4728.0
2000.0,94.528484,1.1562128456930319E-7,2000.0,77.10000000000001,77.10000000000001,53.83064516129033,52.19206680584551,234609.0,4728.0
2100.0,94.720154,1.1585572323451439E-7,2100.0,78.60000000000001,78.60000000000001,57.2,55.04201680672269,234709.0,4728.0
2200.0,94.898524,1.1607389417787392E-7,2200.0,78.8,78.8,57.51503006012024,55.46218487394958,234809.0,4728.0
2300.0,95.078708,1.1629428389171759E-7,2300.0,79.80000000000001,79.80000000000001,58.35051546391753,56.74518201284797,234909.0,4728.0
2400.0,95.317852,1.1658678976198037E-7,2400.0,79.3,79.3,58.26612903225807,55.769230769230774,235009.0,4728.0
2500.0,95.685089,1.1703597091759245E-7,2500.0,79.0,79.0,58.984375000000014,55.5084745762712,235109.0,4728.0
2600.0,96.015893,1.1744058952356379E-7,2600.0,78.5,78.5,58.089668615984415,54.926624737945495,235209.0,4728.0
2700.0,96.460257,1.1798410756513477E-7,2700.0,79.0,79.0,59.06432748538013,55.319148936170215,235309.0,4728.0
2800.0,96.798968,1.1839839751521746E-7,2800.0,78.7,78.7,59.2734225621415,53.99568034557236,235409.0,4728.0
2900.0,97.157115,1.1883646035566926E-7,2900.0,77.10000000000001,77.10000000000001,56.54648956356737,49.780701754385966,235509.0,4728.0
3000.0,97.517362,1.1927709178378185E-7,3000.0,75.8,75.8,54.93482309124767,46.22222222222222,235609.0,4728.0
3100.0,97.826794,1.1965556950618823E-7,3100.0,74.1,74.1,51.76908752327747,41.40271493212669,235709.0,4728.0
3200.0,98.056834,1.19936939937373E-7,3200.0,74.8,74.8,52.63157894736842,43.49775784753363,235809.0,4728.0
3300.0,98.275266,1.2020411219447852E-7,3300.0,74.2,74.2,51.50375939849623,43.04635761589403,235909.0,4728.0
3400.0,98.481826,1.204567633693417E-7,3400.0,74.2,74.2,50.57471264367817,43.171806167400874,236009.0,4728.0
3500.0,98.629897,1.2063787448530397E-7,3500.0,73.6,73.6,48.336594911937375,40.67415730337078,236109.0,4728.0
3600.0,98.792712,1.2083701953291893E-7,3600.0,72.7,72.7,45.94059405940594,37.38532110091744,236209.0,4728.0
3700.0,98.932435,1.2100791990136108E-7,3700.0,72.2,72.2,43.61054766734279,35.79676674364896,236309.0,4728.0
3800.0,99.077997,1.211859621666372E-7,3800.0,72.2,72.2,43.838383838383834,36.38443935926774,236409.0,4728.0
3900.0,99.224503,1.213651590732237E-7,3900.0,73.0,73.0,44.44444444444444,38.356164383561634,236509.0,4728.0
4000.0,99.387625,1.2156467962389193E-7,4000.0,72.39999999999999,72.39999999999999,42.619542619542614,37.41496598639454,236609.0,4728.0
4100.0,99.532998,1.2174249071627857E-7,4100.0,73.5,73.5,44.67640918580375,39.635535307517074,236709.0,4728.0
4200.0,99.663962,1.2190267762790126E-7,4200.0,72.39999999999999,72.39999999999999,42.73858921161825,35.66433566433567,236809.0,4728.0
4300.0,99.810831,1.2208231853321196E-7,4300.0,72.0,72.0,42.02898550724637,32.853717026378895,236909.0,4728.0
4400.0,99.954455,1.2225799035901825E-7,4400.0,72.6,72.6,43.38842975206611,33.170731707317074,237009.0,4728.0
4500.0,100.101983,1.2243843731159965E-7,4500.0,74.3,74.3,47.76422764227642,38.36930455635492,237109.0,4728.0
4600.0,100.248813,1.226180305145681E-7,4600.0,75.6,75.6,51.68316831683168,42.45283018867925,237209.0,4728.0
4700.0,100.390301,1.2279108971978227E-7,4700.0,76.3,76.3,54.684512428298284,45.890410958904106,237309.0,4728.0
4800.0,100.517095,1.229461761501928E-7,4800.0,76.8,76.8,55.038759689922486,47.15261958997722,237409.0,4728.0
4900.0,100.648772,1.2310723515848317E-7,4900.0,76.4,76.4,54.35203094777563,46.966292134831455,237509.0,4728.0
5000.0,100.796974,1.2328850650538998E-7,5000.0,77.5,77.5,56.14035087719299,48.27586206896553,237609.0,4728.0
5100.0,100.942765,1.2346682886903483E-7,5100.0,77.7,77.7,56.015779092702175,48.73563218390806,237709.0,4728.0
5200.0,101.086622,1.2364278568575777E-7,5200.0,78.9,78.9,57.96812749003985,51.71624713958811,237809.0,4728.0
5300.0,101.253947,1.2384744708115853E-7,5300.0,80.30000000000001,80.30000000000001,61.4481409001957,55.42986425339367,237909.0,4728.0
5400.0,101.382504,1.2400468990206715E-7,5400.0,80.7,80.7,61.93293885601578,56.43340857787811,238009.0,4728.0
5500.0,101.529345,1.2418429655954238E-7,5500.0,78.8,78.8,58.1854043392505,51.81818181818182,238109.0,4728.0
5600.0,101.680161,1.243687651865184E-7,5600.0,77.8,77.8,55.864811133200796,49.65986394557823,238209.0,4728.0
5700.0,101.823549,1.245441483519971E-7,5700.0,77.60000000000001,77.60000000000001,53.71900826446281,47.90697674418606,238309.0,4728.0
5800.0,101.993007,1.2475141869857903E-7,5800.0,76.8,76.8,51.66666666666667,44.4976076555024,238409.0,4728.0
5900.0,102.152006,1.2494589625547324E-7,5900.0,78.10000000000001,78.10000000000001,54.84536082474227,46.32352941176472,238509.0,4728.0
6000.0,102.293136,1.251185175776481E-7,6000.0,78.5,78.5,55.76131687242799,48.06763285024156,238609.0,4728.0
6100.0,102.427704,1.2528311267495151E-7,6100.0,78.9,78.9,57.02647657841141,48.15724815724817,238709.0,4728.0
6200.0,102.558187,1.2544271125768617E-7,6200.0,77.8,77.8,54.96957403651116,44.2211055276382,238809.0,4728.0
6300.0,102.705179,1.2562250260884557E-7,6300.0,77.4,77.4,52.421052631578945,41.60206718346254,238909.0,4728.0
6400.0,102.871712,1.258261952797571E-7,6400.0,76.6,76.6,50.318471337579616,38.58267716535433,239009.0,4728.0
6500.0,103.043906,1.2603681212911997E-7,6500.0,77.5,77.5,51.716738197424895,39.024390243902445,239109.0,4728.0
6600.0,103.187297,1.2621219896400962E-7,6600.0,77.3,77.3,50.9719222462203,34.95702005730659,239209.0,4728.0
6700.0,103.332292,1.2638954771061732E-7,6700.0,78.2,78.2,53.21888412017167,35.69321533923304,239309.0,4728.0
6800.0,103.4744,1.2656336526075993E-7,6800.0,79.4,79.4,54.824561403508774,37.57575757575758,239409.0,4728.0
6900.0,103.63303,1.2675739148010806E-7,6900.0,78.4,78.4,52.21238938053098,33.53846153846154,239509.0,4728.0
7000.0,103.794837,1.2695530360564584E-7,7000.0,77.3,77.3,50.21929824561403,29.503105590062106,239609.0,4728.0
7100.0,103.94348,1.2713711435596144E-7,7100.0,76.3,76.3,47.912087912087905,26.625386996904016,239709.0,4728.0
7200.0,104.104089,1.273335611633956E-7,7200.0,76.9,76.9,49.78260869565217,29.573170731707314,239809.0,4728.0
7300.0,104.237335,1.2749653927360968E-7,7300.0,76.5,76.5,48.689956331877724,28.571428571428566,239909.0,4728.0
7400.0,104.405297,1.2770197980726755E-7,7400.0,76.3,76.3,47.797356828193834,28.398791540785496,240009.0,4728.0
7500.0,104.565683,1.2789815385515488E-7,7500.0,77.2,77.2,48.41628959276018,31.940298507462682,240109.0,4728.0
7600.0,104.723346,1.2809099730104204E-7,7600.0,77.8,77.8,50.0,35.46511627906977,240209.0,4728.0
7700.0,104.878707,1.282810250855982E-7,7700.0,77.3,77.3,48.873873873873876,33.819241982507286,240309.0,4728.0
7800.0,105.048292,1.2848845077057676E-7,7800.0,77.9,77.9,49.427917620137315,35.38011695906433,240409.0,4728.0
7900.0,105.189021,1.2866058161482213E-7,7900.0,78.60000000000001,78.60000000000001,50.2325581395349,36.873156342182895,240509.0,4728.0
8000.0,105.341014,1.2884648987402515E-7,8000.0,79.80000000000001,79.80000000000001,52.35849056603775,39.701492537313435,240609.0,4728.0
8100.0,105.495162,1.2903503399342296E-7,8100.0,81.3,81.3,55.89622641509433,43.50453172205436,240709.0,4728.0
8200.0,105.644922,1.292182109877467E-7,8200.0,81.39999999999999,81.39999999999999,55.28846153846153,42.414860681114526,240809.0,4728.0
8300.0,105.809383,1.2941936931883293E-7,8300.0,82.6,82.6,58.96226415094339,45.45454545454543,240909.0,4728.0
8400.0,105.980854,1.296291018401583E-7,8400.0,83.0,83.0,60.556844547563806,47.204968944099356,241009.0,4728.0
8500.0,106.143414,1.2982793498784303E-7,8500.0,83.1,83.1,61.50341685649201,48.47560975609754,241109.0,4728.0
8600.0,106.306811,1.3002779190118113E-7,8600.0,83.7,83.7,63.45291479820626,51.19760479041915,241209.0,4728.0
8700.0,106.468473,1.3022552667185663E-7,8700.0,83.8,83.8,64.70588235294117,54.10764872521246,241309.0,4728.0
