learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,16.43032,2.3122913307613796E-7,100.0,97.0,97.0,-50.0,93.33333333333333,29280.0,54400.0
200.0,16.463057,2.3168985131714078E-7,200.0,97.0,97.0,68.42105263157892,94.33962264150942,29380.0,54400.0
300.0,16.485675,2.3200816164414087E-7,300.0,94.33333333333334,94.33333333333334,66.0,88.19444444444446,29480.0,54400.0
400.0,16.508405,2.3232804818285835E-7,400.0,91.0,91.0,65.71428571428572,79.66101694915255,29580.0,54400.0
500.0,16.535931,2.3271543035904565E-7,500.0,91.4,91.4,73.29192546583852,81.54506437768241,29680.0,54400.0
600.0,16.55878,2.3303699162271286E-7,600.0,91.66666666666666,91.66666666666666,75.72815533980581,82.75862068965516,29780.0,54400.0
700.0,16.576859,2.332914231552018E-7,700.0,89.71428571428571,89.71428571428571,72.93233082706767,78.76106194690266,29880.0,54400.0
800.0,16.594085,2.3353385014666449E-7,800.0,88.125,88.125,69.64856230031948,75.76530612244898,29980.0,54400.0
900.0,16.61063,2.3376669320795268E-7,900.0,87.66666666666667,87.66666666666667,69.25207756232687,74.59954233409611,30080.0,54400.0
1000.0,16.628323,2.3401569243934417E-7,1000.0,86.9,86.9,68.12652068126522,73.42799188640974,30180.0,54400.0
1100.0,16.658603,2.3444183253579667E-7,1100.0,84.8,84.8,66.88453159041393,69.84126984126983,30280.0,54400.0
1200.0,16.676856,2.3469871282577514E-7,1200.0,84.0,84.0,67.67676767676767,67.41344195519348,30380.0,54400.0
1300.0,16.697052,2.3498293757438658E-7,1300.0,83.2,83.2,68.06083650190114,66.86390532544378,30480.0,54400.0
1400.0,16.711895,2.3519182784689797E-7,1400.0,83.1,83.1,67.68642447418738,67.43737957610789,30580.0,54400.0
1500.0,16.726509,2.3539749532938003E-7,1500.0,82.3,82.3,65.22593320235755,65.15748031496062,30680.0,54400.0
1600.0,16.741801,2.356127045220799E-7,1600.0,81.69999999999999,81.69999999999999,64.04715127701375,63.03030303030302,30780.0,54400.0
1700.0,16.757346,2.3583147426446279E-7,1700.0,81.5,81.5,62.9258517034068,62.474645030425954,30880.0,54400.0
1800.0,16.772122,2.360394216246075E-7,1800.0,82.1,82.1,64.27145708582833,63.39468302658485,30980.0,54400.0
1900.0,16.787126,2.3625057770146262E-7,1900.0,82.39999999999999,82.39999999999999,64.94023904382469,64.0081799591002,31080.0,54400.0
2000.0,16.801471,2.3645245946115915E-7,2000.0,82.39999999999999,82.39999999999999,64.51612903225805,63.256784968684755,31180.0,54400.0
2100.0,16.814739,2.366391842563947E-7,2100.0,82.8,82.8,65.6,63.86554621848739,31280.0,54400.0
2200.0,16.827915,2.3682461430629093E-7,2200.0,81.5,81.5,62.9258517034068,61.13445378151259,31380.0,54400.0
2300.0,16.851153,2.3715165009101232E-7,2300.0,81.3,81.3,61.44329896907216,59.95717344753746,31480.0,54400.0
2400.0,16.869094,2.3740413950549232E-7,2400.0,81.8,81.8,63.30645161290322,61.11111111111109,31580.0,54400.0
2500.0,16.890111,2.3769991844892504E-7,2500.0,82.3,82.3,65.42968749999999,62.499999999999986,31680.0,54400.0
2600.0,16.904428,2.3790140615569222E-7,2600.0,81.5,81.5,63.93762183235866,61.215932914046114,31780.0,54400.0
2700.0,16.917415,2.3808417634831536E-7,2700.0,82.39999999999999,82.39999999999999,65.69200779727095,62.553191489361694,31880.0,54400.0
2800.0,16.930163,2.3826358301772013E-7,2800.0,83.3,83.3,68.06883365200764,63.930885529157656,31980.0,54400.0
2900.0,16.943105,2.384457199109925E-7,2900.0,82.89999999999999,82.89999999999999,67.55218216318785,62.499999999999986,32080.0,54400.0
3000.0,16.95589,2.386256472931968E-7,3000.0,83.1,83.1,68.5288640595903,62.444444444444436,32180.0,54400.0
3100.0,16.969569,2.388181562225024E-7,3100.0,83.0,83.0,68.34264432029795,61.53846153846152,32280.0,54400.0
3200.0,16.984441,2.3902745462126205E-7,3200.0,84.1,84.1,70.11278195488721,64.34977578475335,32380.0,54400.0
3300.0,17.00169,2.392702052990596E-7,3300.0,83.1,83.1,68.23308270676691,62.69315673289182,32480.0,54400.0
3400.0,17.017845,2.3949755976597473E-7,3400.0,82.39999999999999,82.39999999999999,66.28352490421456,61.233480176211444,32580.0,54400.0
3500.0,17.042343,2.3984232793251676E-7,3500.0,80.80000000000001,80.80000000000001,62.42661448140902,56.85393258426967,32680.0,54400.0
3600.0,17.068963,2.4021695968177586E-7,3600.0,80.5,80.5,61.3861386138614,55.27522935779818,32780.0,54400.0
3700.0,17.084503,2.4043565905756423E-7,3700.0,80.0,80.0,59.432048681541595,53.810623556582,32880.0,54400.0
3800.0,17.1112,2.40811374452379E-7,3800.0,77.60000000000001,77.60000000000001,54.747474747474755,48.74141876430207,32980.0,54400.0
3900.0,17.137032,2.411749164263407E-7,3900.0,77.3,77.3,53.29218106995886,48.17351598173516,33080.0,54400.0
4000.0,17.1552,2.414306004842122E-7,4000.0,76.4,76.4,50.935550935550935,46.48526077097505,33180.0,54400.0
4100.0,17.174264,2.416988942358229E-7,4100.0,76.5,76.5,50.939457202505224,46.46924829157175,33280.0,54400.0
4200.0,17.192161,2.4195076442427106E-7,4200.0,75.5,75.5,49.1701244813278,42.8904428904429,33380.0,54400.0
4300.0,17.210922,2.422147939602534E-7,4300.0,76.8,76.8,51.966873706004144,44.36450839328538,33480.0,54400.0
4400.0,17.229786,2.42480273048083E-7,4400.0,77.60000000000001,77.60000000000001,53.71900826446281,45.3658536585366,33580.0,54400.0
4500.0,17.24712,2.427242199579875E-7,4500.0,79.2,79.2,57.72357723577236,50.11990407673862,33680.0,54400.0
4600.0,17.262112,2.4293520715501577E-7,4600.0,80.4,80.4,61.188118811881196,53.7735849056604,33780.0,54400.0
4700.0,17.277134,2.431466165516112E-7,4700.0,81.39999999999999,81.39999999999999,64.4359464627151,57.53424657534245,33880.0,54400.0
4800.0,17.294821,2.433955313430893E-7,4800.0,83.5,83.5,68.02325581395348,62.414578587699296,33980.0,54400.0
4900.0,17.309498,2.4360208544466236E-7,4900.0,84.1,84.1,69.24564796905221,64.2696629213483,34080.0,54400.0
5000.0,17.323761,2.4380281319220865E-7,5000.0,85.9,85.9,72.51461988304094,67.58620689655173,34180.0,54400.0
5100.0,17.338217,2.4400625709030367E-7,5100.0,87.1,87.1,74.55621301775149,70.3448275862069,34280.0,54400.0
5200.0,17.351914,2.441990193393496E-7,5200.0,89.1,89.1,78.28685258964144,75.05720823798627,34380.0,54400.0
