learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,64.549932,7.609452072779337E-7,100.0,97.0,97.0,-50.0,93.33333333333333,52.0,45568.0
200.0,64.591456,7.61434711880154E-7,200.0,95.0,95.0,47.36842105263152,90.56603773584905,95.0,45568.0
300.0,64.646043,7.620782093207041E-7,300.0,91.66666666666666,91.66666666666666,49.999999999999964,82.63888888888889,46.0,45568.0
400.0,64.684944,7.625367927551269E-7,400.0,90.25,90.25,62.85714285714283,77.96610169491525,146.0,45568.0
500.0,64.709303,7.628239481978945E-7,500.0,91.0,91.0,72.04968944099379,80.68669527896996,246.0,45568.0
600.0,64.729941,7.630672387282052E-7,600.0,92.0,92.0,76.6990291262136,83.44827586206898,346.0,45568.0
700.0,64.762142,7.634468393855623E-7,700.0,90.85714285714286,90.85714285714286,75.93984962406014,81.12094395280236,446.0,45568.0
800.0,64.810733,7.640196531348757E-7,800.0,90.75,90.75,76.35782747603834,81.12244897959184,546.0,45568.0
900.0,64.837073,7.643301615450117E-7,900.0,91.0,91.0,77.5623268698061,81.46453089244852,646.0,45568.0
1000.0,64.872779,7.647510808044009E-7,1000.0,90.10000000000001,90.10000000000001,75.91240875912409,79.91886409736308,746.0,45568.0
1100.0,64.93036,7.654298729366726E-7,1100.0,87.8,87.8,73.42047930283225,75.79365079365078,31.0,45568.0
1200.0,64.962113,7.658041923575931E-7,1200.0,86.6,86.6,72.92929292929293,72.70875763747455,131.0,45568.0
1300.0,64.988451,7.661146771907806E-7,1300.0,86.5,86.5,74.33460076045627,73.37278106508876,231.0,45568.0
1400.0,65.021305,7.66501975721783E-7,1400.0,87.1,87.1,75.33460803059273,75.14450867052022,331.0,45568.0
1500.0,65.048843,7.668266067239972E-7,1500.0,86.7,86.7,73.87033398821218,73.81889763779527,431.0,45568.0
1600.0,65.077158,7.671603973706563E-7,1600.0,86.2,86.2,72.88801571709233,72.12121212121212,531.0,45568.0
1700.0,65.103996,7.674767764409382E-7,1700.0,87.0,87.0,73.94789579158316,73.63083164300203,631.0,45568.0
1800.0,65.128319,7.677635074986351E-7,1800.0,87.2,87.2,74.45109780439122,73.8241308793456,731.0,45568.0
1900.0,65.153616,7.68061720530192E-7,1900.0,87.2,87.2,74.5019920318725,73.8241308793456,831.0,45568.0
2000.0,65.178506,7.68355135652754E-7,2000.0,88.4,88.4,76.61290322580645,75.78288100208769,931.0,45568.0
2100.0,65.206568,7.686859438154432E-7,2100.0,89.9,89.9,79.80000000000001,78.78151260504202,1031.0,45568.0
2200.0,65.239503,7.690741972128549E-7,2200.0,90.4,90.4,80.7615230460922,79.83193277310924,1131.0,45568.0
2300.0,65.270386,7.694382606612311E-7,2300.0,90.5,90.5,80.41237113402062,79.65738758029978,1231.0,45568.0
2400.0,65.320426,7.700281559096441E-7,2400.0,89.7,89.7,79.23387096774194,77.99145299145299,1331.0,45568.0
2500.0,65.367184,7.705793613857693E-7,2500.0,89.60000000000001,89.60000000000001,79.6875,77.96610169491525,1431.0,45568.0
2600.0,65.406836,7.71046797964308E-7,2600.0,88.8,88.8,78.16764132553607,76.51991614255765,1531.0,45568.0
2700.0,65.443114,7.714744602309333E-7,2700.0,88.9,88.9,78.36257309941521,76.38297872340426,1631.0,45568.0
2800.0,65.468951,7.717790390385522E-7,2800.0,89.4,89.4,79.73231357552581,77.10583153347731,1731.0,45568.0
2900.0,65.49753,7.721159418423971E-7,2900.0,88.5,88.5,78.17836812144213,74.78070175438597,1831.0,45568.0
3000.0,65.520729,7.723894226551056E-7,3000.0,88.0,88.0,77.65363128491622,73.33333333333333,1931.0,45568.0
3100.0,65.546061,7.726880482832591E-7,3100.0,88.4,88.4,78.39851024208568,73.75565610859728,2031.0,45568.0
3200.0,65.574482,7.730230885081821E-7,3200.0,89.0,89.0,79.32330827067669,75.33632286995515,2131.0,45568.0
3300.0,65.604219,7.733736423651378E-7,3300.0,89.3,89.3,79.88721804511277,76.37969094922738,2231.0,45568.0
3400.0,65.630532,7.736838324864706E-7,3400.0,90.0,90.0,80.84291187739464,77.97356828193833,2331.0,45568.0
3500.0,65.6583,7.740111748377483E-7,3500.0,89.8,89.8,80.03913894324853,77.07865168539327,2431.0,45568.0
3600.0,65.68146,7.742841958999635E-7,3600.0,90.10000000000001,90.10000000000001,80.3960396039604,77.29357798165138,2531.0,45568.0
3700.0,65.708185,7.745992428726621E-7,3700.0,89.8,89.8,79.3103448275862,76.44341801385683,2631.0,45568.0
3800.0,65.734789,7.749128634399839E-7,3800.0,88.8,88.8,77.37373737373737,74.37070938215103,2731.0,45568.0
3900.0,65.759325,7.75202105442683E-7,3900.0,89.3,89.3,77.98353909465021,75.57077625570776,2831.0,45568.0
4000.0,65.78579,7.755140874120925E-7,4000.0,89.0,89.0,77.13097713097713,75.05668934240363,2931.0,45568.0
4100.0,65.811878,7.758216251267328E-7,4100.0,88.4,88.4,75.78288100208769,73.5763097949886,3031.0,45568.0
4200.0,65.838055,7.761302120155759E-7,4200.0,88.4,88.4,75.93360995850622,72.96037296037296,3131.0,45568.0
4300.0,65.865201,7.76450221935908E-7,4300.0,88.9,88.9,77.01863354037268,73.38129496402878,3231.0,45568.0
4400.0,65.891383,7.767588677671221E-7,4400.0,89.5,89.5,78.30578512396694,74.39024390243904,3331.0,45568.0
4500.0,65.91745,7.770661579238044E-7,4500.0,90.60000000000001,90.60000000000001,80.89430894308943,77.45803357314149,3431.0,45568.0
4600.0,65.941335,7.773477256298065E-7,4600.0,91.9,91.9,83.96039603960396,80.89622641509435,3531.0,45568.0
4700.0,65.965044,7.776272185643514E-7,4700.0,92.7,92.7,86.04206500956025,83.33333333333334,3631.0,45568.0
4800.0,65.99113,7.779347327020433E-7,4800.0,93.30000000000001,93.30000000000001,87.015503875969,84.73804100227792,3731.0,45568.0
4900.0,66.015311,7.782197897964054E-7,4900.0,93.30000000000001,93.30000000000001,87.04061895551258,84.94382022471912,3831.0,45568.0
5000.0,66.03735,7.784795959790548E-7,5000.0,94.0,94.0,88.30409356725146,86.20689655172413,3931.0,45568.0
5100.0,66.060697,7.787548214859433E-7,5100.0,95.0,95.0,90.13806706114397,88.50574712643677,4031.0,45568.0
5200.0,66.083142,7.790194137891135E-7,5200.0,95.5,95.5,91.03585657370517,89.70251716247138,4131.0,45568.0
5300.0,66.107003,7.79300698571735E-7,5300.0,95.39999999999999,95.39999999999999,90.99804305283756,89.59276018099547,4231.0,45568.0
5400.0,66.129832,7.795698176489937E-7,5400.0,94.5,94.5,89.15187376725837,87.5846501128668,4331.0,45568.0
5500.0,66.159002,7.799136874410842E-7,5500.0,93.10000000000001,93.10000000000001,86.3905325443787,84.31818181818183,4431.0,45568.0
5600.0,66.184825,7.802181012100645E-7,5600.0,92.2,92.2,84.49304174950299,82.31292517006803,4531.0,45568.0
5700.0,66.208716,7.804997396469118E-7,5700.0,91.3,91.3,82.02479338842976,79.76744186046513,4631.0,45568.0
5800.0,66.233593,7.807930015193093E-7,5800.0,90.60000000000001,90.60000000000001,80.41666666666667,77.51196172248804,4731.0,45568.0
5900.0,66.259865,7.811027083132003E-7,5900.0,90.7,90.7,80.82474226804123,77.20588235294117,4831.0,45568.0
6000.0,66.282911,7.813743854893579E-7,6000.0,90.5,90.5,80.45267489711935,77.05314009661836,4931.0,45568.0
6100.0,66.305441,7.81639979812834E-7,6100.0,90.0,90.0,79.63340122199594,75.42997542997544,5031.0,45568.0
6200.0,66.332308,7.819567007488675E-7,6200.0,88.7,88.7,77.079107505071,71.60804020100502,5131.0,45568.0
6300.0,66.357865,7.822579787837135E-7,6300.0,89.1,89.1,77.05263157894737,71.83462532299743,5231.0,45568.0
6400.0,66.383489,7.825600466463301E-7,6400.0,89.3,89.3,77.2823779193206,71.91601049868767,5331.0,45568.0
6500.0,66.409177,7.828628689712948E-7,6500.0,90.5,90.5,79.6137339055794,74.25474254742548,5431.0,45568.0
6600.0,66.434954,7.831667404704623E-7,6600.0,90.10000000000001,90.10000000000001,78.61771058315335,71.63323782234957,5531.0,45568.0
6700.0,66.459664,7.834580336676703E-7,6700.0,89.9,89.9,78.32618025751074,70.20648967551622,5631.0,45568.0
6800.0,66.483861,7.837432793776194E-7,6800.0,90.4,90.4,78.94736842105263,70.9090909090909,5731.0,45568.0
6900.0,66.510628,7.84058821466234E-7,6900.0,89.9,89.9,77.65486725663717,68.92307692307692,5831.0,45568.0
7000.0,66.536132,7.843594747119479E-7,7000.0,88.9,88.9,75.6578947368421,65.527950310559,5931.0,45568.0
7100.0,66.579911,7.848755623234643E-7,7100.0,87.7,87.7,72.96703296703296,61.91950464396284,6031.0,45568.0
7200.0,66.626315,7.854225946797265E-7,7200.0,88.3,88.3,74.56521739130434,64.32926829268293,6131.0,45568.0
7300.0,66.674072,7.859855768415664E-7,7300.0,87.6,87.6,72.92576419213974,62.31003039513677,6231.0,45568.0
7400.0,66.715879,7.864784175819821E-7,7400.0,87.8,87.8,73.12775330396477,63.141993957703924,6331.0,45568.0
7500.0,66.76174,7.870190487967597E-7,7500.0,87.1,87.1,70.81447963800905,61.49253731343283,6431.0,45568.0
7600.0,66.807194,7.875548821025425E-7,7600.0,86.3,86.3,69.14414414414414,60.17441860465116,6531.0,45568.0
7700.0,66.850407,7.880642974376679E-7,7700.0,86.3,86.3,69.14414414414414,60.05830903790087,6631.0,45568.0
7800.0,66.889841,7.885291641288334E-7,7800.0,86.6,86.6,69.33638443935926,60.81871345029239,6731.0,45568.0
7900.0,66.931968,7.890257771809896E-7,7900.0,87.4,87.4,70.69767441860465,62.83185840707964,6831.0,45568.0
8000.0,66.973778,7.895186532868279E-7,8000.0,88.4,88.4,72.64150943396227,65.3731343283582,6931.0,45568.0
8100.0,67.013712,7.899894142150879E-7,8100.0,89.5,89.5,75.23584905660378,68.27794561933534,7031.0,45568.0
8200.0,67.054506,7.904703132311503E-7,8200.0,89.8,89.8,75.48076923076924,68.42105263157895,7131.0,45568.0
8300.0,67.096564,7.909661128785875E-7,8300.0,89.9,89.9,76.17924528301887,68.3385579937304,7231.0,45568.0
8400.0,67.142785,7.915109879440732E-7,8400.0,89.7,89.7,76.10208816705337,68.01242236024845,7331.0,45568.0
8500.0,67.189681,7.920638202296363E-7,8500.0,89.5,89.5,76.08200455580865,67.98780487804879,7431.0,45568.0
8600.0,67.230662,7.925469236903721E-7,8600.0,90.8,90.8,79.37219730941705,72.45508982035929,7531.0,45568.0
8700.0,67.271947,7.930336108472612E-7,8700.0,90.9,90.9,80.17429193899783,74.22096317280455,7631.0,45568.0
8800.0,67.314664,7.935371790991889E-7,8800.0,90.2,90.2,79.14893617021276,73.36956521739131,7731.0,45568.0
8900.0,67.358472,7.940536085764567E-7,8900.0,89.3,89.3,77.84679089026916,72.42268041237114,7831.0,45568.0
9000.0,67.401614,7.945621869299147E-7,9000.0,88.9,88.9,76.82672233820459,72.45657568238214,7931.0,45568.0
9100.0,67.444611,7.950690559546153E-7,9100.0,88.2,88.2,75.41666666666667,71.9047619047619,8031.0,45568.0
9200.0,67.488524,7.955867232216729E-7,9200.0,88.3,88.3,76.12244897959184,72.97921478060047,8131.0,45568.0
9300.0,67.526929,7.96039459572898E-7,9300.0,88.5,88.5,77.0,74.44444444444444,8231.0,45568.0
9400.0,67.564152,7.964782619476318E-7,9400.0,89.2,89.2,78.74015748031496,76.31578947368422,8331.0,45568.0
9500.0,67.60267,7.969323303964402E-7,9500.0,90.3,90.3,81.0546875,78.53982300884957,8431.0,45568.0
9600.0,67.629804,7.972521988550821E-7,9600.0,90.60000000000001,90.60000000000001,81.4595660749507,79.56521739130436,8531.0,45568.0
9700.0,67.651097,7.975032108359866E-7,9700.0,91.5,91.5,83.0,81.23620309050773,8631.0,45568.0
9800.0,67.672276,7.977528789308335E-7,9800.0,92.0,92.0,84.09542743538768,82.49452954048141,8731.0,45568.0
9900.0,67.695312,7.980244382222492E-7,9900.0,93.0,93.0,85.80121703853956,84.58149779735685,8831.0,45568.0
10000.0,67.717471,7.982856590218013E-7,10000.0,93.60000000000001,93.60000000000001,87.1743486973948,85.71428571428572,8931.0,45568.0
10100.0,67.742117,7.985761977566611E-7,10100.0,94.39999999999999,94.39999999999999,88.82235528942115,87.24373576309794,9031.0,45568.0
10200.0,67.767305,7.988731258445314E-7,10200.0,94.19999999999999,94.19999999999999,88.21138211382113,86.7881548974943,9131.0,45568.0
10300.0,67.794763,7.991968137688105E-7,10300.0,93.8,93.8,87.08333333333333,85.44600938967135,9231.0,45568.0
10400.0,67.819843,7.994924687014684E-7,10400.0,93.2,93.2,85.65400843881858,84.00000000000001,9331.0,45568.0
10500.0,67.844287,7.99780626164542E-7,10500.0,92.7,92.7,84.72803347280336,83.06264501160095,9431.0,45568.0
10600.0,67.868895,8.000707169373827E-7,10600.0,92.0,92.0,83.33333333333334,81.30841121495328,9531.0,45568.0
10700.0,67.895455,8.003838188118402E-7,10700.0,91.7,91.7,82.88659793814433,81.00686498855836,9631.0,45568.0
10800.0,67.92198,8.006965080897011E-7,10800.0,91.7,91.7,82.99180327868854,81.17913832199547,9731.0,45568.0
10900.0,67.950101,8.010280117723674E-7,10900.0,91.4,91.4,82.44897959183675,80.58690744920993,9831.0,45568.0
11000.0,67.975911,8.013322722911832E-7,11000.0,90.8,90.8,81.48893360160966,79.32584269662922,9931.0,45568.0
11100.0,68.000582,8.016231057378978E-7,11100.0,90.5,90.5,80.65173116089613,78.84187082405344,10031.0,45568.0
11200.0,68.023266,8.01890515486399E-7,11200.0,90.7,90.7,81.05906313645622,79.33333333333333,10131.0,45568.0
11300.0,68.046332,8.021624284320405E-7,11300.0,91.5,91.5,82.68839103869654,81.35964912280701,10231.0,45568.0
11400.0,68.070861,8.024515879154202E-7,11400.0,91.3,91.3,81.91268191268192,80.18223234624146,10331.0,45568.0
11500.0,68.09225,8.027037315898469E-7,11500.0,91.10000000000001,91.10000000000001,81.104033970276,79.25407925407927,10431.0,45568.0
11600.0,68.115953,8.029831537935467E-7,11600.0,91.3,91.3,81.04575163398692,78.83211678832119,10531.0,45568.0
11700.0,68.140114,8.032679751184249E-7,11700.0,90.7,90.7,79.47019867549669,76.27551020408164,10631.0,45568.0
11800.0,68.166042,8.03573626677195E-7,11800.0,90.5,90.5,78.50678733031674,74.66666666666667,10731.0,45568.0
11900.0,68.188785,8.038417319456733E-7,11900.0,90.60000000000001,90.60000000000001,78.82882882882883,73.9612188365651,10831.0,45568.0
