learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,49.275924,6.981669525802136E-7,100.0,85.0,85.0,-649.9999999999994,66.66666666666666,89041.0,54768.0
200.0,49.333528,6.988460158473916E-7,200.0,88.0,88.0,-26.31578947368424,77.35849056603774,38.0,45568.0
300.0,49.380496,6.993996969030963E-7,300.0,87.0,87.0,21.999999999999982,72.91666666666666,84.0,45568.0
400.0,49.421422,6.998821519977517E-7,400.0,86.5,86.5,48.57142857142856,69.49152542372882,184.0,45568.0
500.0,49.44269,7.001328692668014E-7,500.0,87.8,87.8,62.11180124223602,73.8197424892704,284.0,45568.0
600.0,49.462569,7.003672123452027E-7,600.0,89.5,89.5,69.41747572815535,78.27586206896552,384.0,45568.0
700.0,49.489159,7.006806678738859E-7,700.0,89.0,89.0,71.05263157894737,77.28613569321534,484.0,45568.0
800.0,49.517255,7.010118768446975E-7,800.0,89.75,89.75,73.80191693290735,79.08163265306122,584.0,45568.0
900.0,49.539794,7.012775772644414E-7,900.0,90.55555555555556,90.55555555555556,76.45429362880887,80.54919908466819,684.0,45568.0
1000.0,49.564484,7.015686346921656E-7,1000.0,90.10000000000001,90.10000000000001,75.91240875912409,79.91886409736308,784.0,45568.0
1100.0,49.61394,7.021516454716524E-7,1100.0,88.1,88.1,74.07407407407408,76.3888888888889,54.0,45568.0
1200.0,49.642588,7.024893616802163E-7,1200.0,87.5,87.5,74.74747474747475,74.54175152749491,154.0,45568.0
1300.0,49.669567,7.028074029253589E-7,1300.0,87.1,87.1,75.47528517110266,74.55621301775149,254.0,45568.0
1400.0,49.692506,7.030778187347783E-7,1400.0,87.1,87.1,75.33460803059273,75.14450867052022,354.0,45568.0
1500.0,49.717542,7.033729549745719E-7,1500.0,87.1,87.1,74.65618860510806,74.60629921259843,454.0,45568.0
1600.0,49.739596,7.036329379843341E-7,1600.0,86.4,86.4,73.28094302554027,72.52525252525253,554.0,45568.0
1700.0,49.765712,7.039408057762516E-7,1700.0,87.0,87.0,73.94789579158316,73.63083164300203,654.0,45568.0
1800.0,49.785756,7.041770939528942E-7,1800.0,86.5,86.5,73.05389221556887,72.39263803680981,754.0,45568.0
1900.0,49.808892,7.044498320917288E-7,1900.0,85.8,85.8,71.71314741035856,70.96114519427402,854.0,45568.0
2000.0,49.831119,7.047118545075257E-7,2000.0,86.6,86.6,72.98387096774194,72.02505219206681,954.0,45568.0
2100.0,49.854095,7.049827064904902E-7,2100.0,88.8,88.8,77.60000000000001,76.47058823529413,1054.0,45568.0
2200.0,49.880304,7.052916706105074E-7,2200.0,88.7,88.7,77.35470941883767,76.26050420168067,1154.0,45568.0
2300.0,49.907298,7.056098886827628E-7,2300.0,89.2,89.2,77.7319587628866,76.87366167023555,1254.0,45568.0
2400.0,49.930561,7.058841239578194E-7,2400.0,89.1,89.1,78.0241935483871,76.70940170940172,1354.0,45568.0
2500.0,49.95593,7.061831857595179E-7,2500.0,88.8,88.8,78.125,76.27118644067797,1454.0,45568.0
2600.0,49.976775,7.064289165039858E-7,2600.0,88.5,88.5,77.58284600389864,75.8909853249476,1554.0,45568.0
2700.0,49.999703,7.066992026401891E-7,2700.0,88.7,88.7,77.97270955165693,75.95744680851064,1654.0,45568.0
2800.0,50.023187,7.069760431680415E-7,2800.0,89.0,89.0,78.96749521988528,76.24190064794817,1754.0,45568.0
2900.0,50.046104,7.072461996310287E-7,2900.0,88.3,88.3,77.7988614800759,74.3421052631579,1854.0,45568.0
3000.0,50.070331,7.075317989952034E-7,3000.0,88.0,88.0,77.65363128491622,73.33333333333333,1954.0,45568.0
3100.0,50.095507,7.078285856213834E-7,3100.0,88.5,88.5,78.58472998137803,73.98190045248869,2054.0,45568.0
3200.0,50.118433,7.080988481806384E-7,3200.0,89.2,89.2,79.69924812030075,75.7847533632287,2154.0,45568.0
3300.0,50.144658,7.084080009162425E-7,3300.0,89.5,89.5,80.26315789473684,76.82119205298014,2254.0,45568.0
3400.0,50.182746,7.088570003211498E-7,3400.0,90.0,90.0,80.84291187739464,77.97356828193833,2354.0,45568.0
3500.0,50.208086,7.091557202570968E-7,3500.0,90.0,90.0,80.43052837573386,77.52808988764045,2454.0,45568.0
3600.0,50.232587,7.094445496631992E-7,3600.0,89.8,89.8,79.8019801980198,76.60550458715598,2554.0,45568.0
3700.0,50.257912,7.097430927720334E-7,3700.0,88.9,88.9,77.48478701825559,74.36489607390301,2654.0,45568.0
3800.0,50.28714,7.100876462956268E-7,3800.0,87.1,87.1,73.93939393939394,70.48054919908468,2754.0,45568.0
3900.0,50.321085,7.104878060519694E-7,3900.0,87.9,87.9,75.1028806584362,72.37442922374429,2854.0,45568.0
4000.0,50.361841,7.109682571060126E-7,4000.0,87.2,87.2,73.38877338877339,70.9750566893424,2954.0,45568.0
4100.0,50.389167,7.112903889516988E-7,4100.0,86.7,86.7,72.23382045929019,69.70387243735763,3054.0,45568.0
4200.0,50.422358,7.11681660198503E-7,4200.0,86.4,86.4,71.78423236514523,68.29836829836829,3154.0,45568.0
4300.0,50.444968,7.119481975999142E-7,4300.0,86.8,86.8,72.67080745341615,68.34532374100719,3254.0,45568.0
4400.0,50.471643,7.122626551489034E-7,4400.0,87.6,87.6,74.3801652892562,69.75609756097562,3354.0,45568.0
4500.0,50.493424,7.12519419905212E-7,4500.0,88.2,88.2,76.01626016260163,71.70263788968826,3454.0,45568.0
4600.0,50.514556,7.127685339417721E-7,4600.0,89.5,89.5,79.20792079207921,75.23584905660378,3554.0,45568.0
4700.0,50.536465,7.130268076227769E-7,4700.0,90.9,90.9,82.60038240917783,79.22374429223746,3654.0,45568.0
4800.0,50.559694,7.133006420897111E-7,4800.0,92.4,92.4,85.27131782945737,82.68792710706151,3754.0,45568.0
4900.0,50.582565,7.135702562828856E-7,4900.0,92.2,92.2,84.9129593810445,82.47191011235955,3854.0,45568.0
5000.0,50.604756,7.138318543136117E-7,5000.0,93.10000000000001,93.10000000000001,86.54970760233918,84.13793103448278,3954.0,45568.0
5100.0,50.624358,7.140629319846627E-7,5100.0,94.0,94.0,88.16568047337277,86.20689655172413,4054.0,45568.0
5200.0,50.64324,7.142855219542978E-7,5200.0,95.0,95.0,90.03984063745018,88.55835240274598,4154.0,45568.0
5300.0,50.6637,7.145267141362029E-7,5300.0,94.89999999999999,94.89999999999999,90.01956947162427,88.46153846153845,4254.0,45568.0
5400.0,50.684797,7.147754155761664E-7,5400.0,94.1,94.1,88.36291913214988,86.68171557562076,4354.0,45568.0
5500.0,50.709556,7.150672864086096E-7,5500.0,93.0,93.0,86.19329388560159,84.09090909090911,4454.0,45568.0
5600.0,50.730871,7.153185577359462E-7,5600.0,91.7,91.7,83.49900596421472,81.17913832199547,4554.0,45568.0
5700.0,50.75494,7.156022945211991E-7,5700.0,90.8,90.8,80.9917355371901,78.6046511627907,4654.0,45568.0
5800.0,50.780042,7.158982088002892E-7,5800.0,90.7,90.7,80.625,77.75119617224881,4754.0,45568.0
5900.0,50.804321,7.161844211651217E-7,5900.0,91.10000000000001,91.10000000000001,81.64948453608248,78.18627450980394,4854.0,45568.0
6000.0,50.824693,7.164245759612981E-7,6000.0,91.0,91.0,81.4814814814815,78.2608695652174,4954.0,45568.0
6100.0,50.847702,7.166958169639108E-7,6100.0,90.60000000000001,90.60000000000001,80.85539714867618,76.90417690417691,5054.0,45568.0
6200.0,50.869371,7.169512614111103E-7,6200.0,89.4,89.4,78.49898580121705,73.36683417085428,5154.0,45568.0
6300.0,50.89326,7.172328762710092E-7,6300.0,88.9,88.9,76.63157894736841,71.31782945736434,5254.0,45568.0
6400.0,50.917156,7.175145736502274E-7,6400.0,88.6,88.6,75.79617834394905,70.07874015748031,5354.0,45568.0
6500.0,50.941546,7.17802094535695E-7,6500.0,89.4,89.4,77.25321888412017,71.27371273712737,5454.0,45568.0
