learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,199.892492,1.4714847107620703E-5,100.0,97.0,92.10526315789474,-50.0,88.46153846153845,277430.0,284552.0
200.0,200.020672,1.472437603926493E-5,200.0,92.0,83.94219189080691,-14.285714285714308,82.79569892473118,277530.0,287360.0
300.0,200.132674,1.4732721765745018E-5,300.0,89.66666666666666,77.79369627507162,-10.714285714285717,71.8181818181818,277630.0,288032.0
400.0,200.212051,1.4738698567719096E-5,400.0,92.25,80.61894341981869,-10.714285714285811,71.81818181818181,277730.0,291056.0
500.0,200.313611,1.4746354497575926E-5,500.0,91.60000000000001,77.4914789170186,25.00000000000002,67.18750000000001,277830.0,291392.0
600.0,200.396928,1.4752635209547978E-5,600.0,92.16666666666666,77.5998474883233,32.85714285714285,65.69343065693431,277930.0,291392.0
700.0,200.486609,1.475939269129187E-5,700.0,92.0,80.3479219932822,23.28767123287677,72.54901960784316,278030.0,291264.0
800.0,200.608988,1.4768667668613297E-5,800.0,91.375,80.44023641801198,43.442622950819626,73.96226415094338,278130.0,292960.0
900.0,200.707637,1.477616132369886E-5,900.0,91.66666666666666,81.47883923083677,62.121212121212096,75.96153846153845,278230.0,293632.0
1000.0,200.792975,1.4782658673586946E-5,1000.0,92.0,83.19073473298482,64.12556053811662,79.84886649874056,278330.0,294304.0
1100.0,200.884987,1.4789664159512355E-5,1100.0,91.4,82.15849069129627,64.6090534979424,81.22270742358079,278430.0,294304.0
1200.0,200.957474,1.4795183077243467E-5,1200.0,92.5,84.97897055878231,68.87966804979256,84.56790123456791,278530.0,294304.0
1300.0,201.055431,1.4802778850862136E-5,1300.0,92.80000000000001,85.54443279968199,74.10071942446045,86.1003861003861,278630.0,299736.0
1400.0,201.16904,1.4811538699023012E-5,1400.0,91.8,83.35228195549782,74.69135802469137,86.07809847198644,278730.0,298048.0
1500.0,201.267426,1.481915063402512E-5,1500.0,92.4,84.11689961880559,78.8888888888889,87.68233387358185,278830.0,299064.0
1600.0,201.354876,1.4825927873988533E-5,1600.0,92.9,83.78091905079543,80.7588075880759,88.62179487179488,278930.0,299568.0
1700.0,201.41877,1.4830893445041859E-5,1700.0,93.8,85.29948737889859,84.34343434343432,89.16083916083916,279030.0,300408.0
1800.0,201.495588,1.4836863414634848E-5,1800.0,95.1,88.13961369027447,87.62626262626262,90.87523277467412,279130.0,300408.0
1900.0,201.568136,1.4842501537913664E-5,1900.0,95.7,88.9523770373872,88.50267379679143,91.69884169884169,279230.0,300408.0
