learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,46.548699,5.404531156644225E-7,100.0,97.0,97.0,-50.0,95.94594594594594,23.0,44880.0
200.0,46.591585,5.40951043056945E-7,200.0,92.0,92.0,-14.285714285714308,82.97872340425533,52.0,44880.0
300.0,46.624152,5.413291618227959E-7,300.0,89.66666666666666,89.66666666666666,-10.714285714285717,72.07207207207206,33.0,44880.0
400.0,46.642711,5.415446408713857E-7,400.0,92.25,92.25,-10.714285714285811,72.07207207207207,133.0,44880.0
500.0,46.669339,5.418538049484292E-7,500.0,91.60000000000001,91.60000000000001,25.00000000000002,67.44186046511629,19.0,44880.0
600.0,46.687841,5.420686221991975E-7,600.0,92.16666666666666,92.16666666666666,32.85714285714285,65.94202898550722,119.0,44880.0
700.0,46.711348,5.423415499428907E-7,700.0,92.0,92.0,23.28767123287677,72.6829268292683,58.0,44880.0
800.0,46.747116,5.427568338811397E-7,800.0,91.375,91.375,43.442622950819626,74.06015037593984,7.0,44880.0
900.0,46.764718,5.429612016926209E-7,900.0,91.66666666666666,91.66666666666666,62.121212121212096,76.03833865814696,107.0,44880.0
1000.0,46.781032,5.431506151954332E-7,1000.0,92.0,92.0,64.12556053811662,79.8994974874372,207.0,44880.0
1100.0,46.806714,5.434487957507371E-7,1100.0,90.7,90.7,61.728395061728406,77.37226277372264,18.0,44880.0
1200.0,46.821459,5.436199923977254E-7,1200.0,91.3,91.3,63.90041493775935,82.09876543209877,118.0,44880.0
1300.0,46.847283,5.439198216423391E-7,1300.0,91.4,91.4,69.06474820143886,83.80414312617704,218.0,44880.0
1400.0,46.872142,5.442084467659392E-7,1400.0,90.4,90.4,70.37037037037037,82.85714285714285,318.0,44880.0
1500.0,46.889415,5.444089947268365E-7,1500.0,90.7,90.7,74.16666666666667,84.39597315436242,418.0,44880.0
1600.0,46.905194,5.44592196618517E-7,1600.0,91.2,91.2,76.15176151761518,86.88524590163934,518.0,44880.0
1700.0,46.916869,5.44727749067048E-7,1700.0,92.10000000000001,92.10000000000001,80.05050505050507,88.53410740203194,618.0,44880.0
1800.0,46.92908,5.448695247371989E-7,1800.0,93.4,93.4,83.33333333333334,90.59829059829062,718.0,44880.0
1900.0,46.941495,5.450136689469215E-7,1900.0,93.89999999999999,93.89999999999999,83.6898395721925,91.60935350756533,818.0,44880.0
2000.0,46.951707,5.451322352513668E-7,2000.0,94.39999999999999,94.39999999999999,84.35754189944133,92.40162822252374,918.0,44880.0
2100.0,46.96067,5.452363000561791E-7,2100.0,96.0,96.0,88.09523809523809,94.66666666666667,1018.0,44880.0
2200.0,46.969574,5.453396798421937E-7,2200.0,96.7,96.7,89.87730061349693,95.62913907284768,1118.0,44880.0
2300.0,46.978848,5.454473555088041E-7,2300.0,98.1,98.1,93.0909090909091,97.60403530895334,1218.0,44880.0
2400.0,46.987345,5.455460098261632E-7,2400.0,99.1,99.1,96.06986899563317,98.95833333333334,1318.0,44880.0
2500.0,46.995388,5.456393929819263E-7,2500.0,99.9,99.9,99.39393939393939,99.8901098901099,1418.0,44880.0
