learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,45.359239,5.303979341147675E-8,100.0,94.0,94.0,39.999999999999936,91.54929577464787,291695.0,4520.0
200.0,45.438923,5.313297008267707E-8,200.0,94.5,94.5,35.294117647058734,90.1785714285714,291795.0,4520.0
300.0,45.511514,5.3217852715816764E-8,300.0,93.33333333333333,93.33333333333333,41.17647058823528,88.43930635838151,291895.0,4520.0
400.0,45.593162,5.3313325945701866E-8,400.0,86.5,86.5,34.146341463414615,74.28571428571429,291995.0,4520.0
500.0,45.675308,5.340938150054879E-8,500.0,85.0,85.0,43.18181818181818,68.22033898305084,292095.0,4520.0
600.0,45.757342,5.3505306090745664E-8,600.0,82.33333333333334,82.33333333333334,36.904761904761926,59.541984732824424,292195.0,4520.0
700.0,45.840499,5.3602543835424715E-8,700.0,79.85714285714286,79.85714285714286,38.15789473684212,54.36893203883495,292295.0,4520.0
800.0,45.924747,5.37010573161145E-8,800.0,80.0,80.0,45.94594594594596,55.678670360110814,292395.0,4520.0
900.0,46.007118,5.3797375969588754E-8,900.0,80.33333333333333,80.33333333333333,50.0,56.2962962962963,292495.0,4520.0
1000.0,46.089353,5.389353559455937E-8,1000.0,80.2,80.2,51.11111111111113,57.601713062098504,292595.0,4520.0
1100.0,46.165806,5.3982934169471255E-8,1100.0,78.8,78.8,52.8888888888889,52.8888888888889,292695.0,4520.0
1200.0,46.242571,5.4072697574479705E-8,1200.0,77.2,77.2,54.30861723446894,50.21834061135371,292795.0,4520.0
1300.0,46.322887,5.416661326049102E-8,1300.0,74.2,74.2,52.13358070500927,43.421052631578945,292895.0,4520.0
1400.0,46.401374,5.4258390246993954E-8,1400.0,75.2,75.2,53.81750465549349,47.67932489451477,292995.0,4520.0
1500.0,46.475141,5.434464800895915E-8,1500.0,75.2,75.2,54.07407407407406,50.59760956175299,293095.0,4520.0
1600.0,46.55023,5.4432451621525806E-8,1600.0,76.2,76.2,56.72727272727273,54.23076923076924,293195.0,4520.0
1700.0,46.627892,5.452326391306187E-8,1700.0,77.2,77.2,58.01104972375691,56.89981096408319,293295.0,4520.0
1800.0,46.706393,5.461505727014607E-8,1800.0,75.7,75.7,53.714285714285715,54.74860335195532,293395.0,4520.0
1900.0,46.781919,5.470337187871336E-8,1900.0,74.7,74.7,50.682261208576996,53.916211293260474,293495.0,4520.0
2000.0,46.853842,5.478747340126169E-8,2000.0,74.3,74.3,49.8046875,52.319109461966605,293595.0,4520.0
2100.0,46.927894,5.4874064421488167E-8,2100.0,73.6,73.6,49.034749034749034,50.74626865671641,293695.0,4520.0
2200.0,47.000921,5.4959456881301256E-8,2200.0,72.6,72.6,47.00193423597679,48.592870544090054,293795.0,4520.0
2300.0,47.07929,5.505109588719075E-8,2300.0,73.9,73.9,48.418972332015805,49.61389961389961,293895.0,4520.0
2400.0,47.155034,5.513966540909474E-8,2400.0,74.6,74.6,50.390625,49.60317460317461,293995.0,4520.0
2500.0,47.227064,5.522389204965695E-8,2500.0,75.5,75.5,51.77165354330708,49.795081967213115,294095.0,4520.0
2600.0,47.300994,5.531034041196106E-8,2600.0,75.4,75.4,52.14007782101168,50.10141987829615,294195.0,4520.0
2700.0,47.373154,5.5394719065063506E-8,2700.0,75.7,75.7,53.0888030888031,50.204918032786885,294295.0,4520.0
2800.0,47.447429,5.548157084526285E-8,2800.0,77.5,77.5,55.88235294117647,52.33050847457628,294395.0,4520.0
2900.0,47.520523,5.5567041650000524E-8,2900.0,79.10000000000001,79.10000000000001,59.179687500000014,54.85961123110151,294495.0,4520.0
3000.0,47.591103,5.564957276607551E-8,3000.0,80.30000000000001,80.30000000000001,61.4481409001957,56.79824561403509,294595.0,4520.0
3100.0,47.66514,5.5736146246393504E-8,3100.0,81.0,81.0,62.07584830339322,58.333333333333336,294695.0,4520.0
3200.0,47.742618,5.5826743381718774E-8,3200.0,81.8,81.8,63.38028169014084,60.0877192982456,294795.0,4520.0
3300.0,47.81856,5.591554443041482E-8,3300.0,81.69999999999999,81.69999999999999,63.90532544378698,59.956236323851186,294895.0,4520.0
3400.0,47.893972,5.6003725735677594E-8,3400.0,80.60000000000001,80.60000000000001,62.403100775193806,58.00865800865802,294995.0,4520.0
3500.0,47.969927,5.6092541985627655E-8,3500.0,78.9,78.9,59.578544061302686,55.10638297872341,295095.0,4520.0
3600.0,48.041406,5.6176124326884724E-8,3600.0,78.60000000000001,78.60000000000001,58.76685934489403,54.27350427350428,295195.0,4520.0
3700.0,48.117505,5.626510895995628E-8,3700.0,78.4,78.4,57.72994129158513,52.735229759299784,295295.0,4520.0
3800.0,48.191616,5.635176897048948E-8,3800.0,77.7,77.7,57.361376673040155,51.203501094091905,295395.0,4520.0
3900.0,48.266167,5.6438943485005016E-8,3900.0,76.7,76.7,55.61904761904762,47.87472035794183,295495.0,4520.0
4000.0,48.33956,5.652476391858523E-8,4000.0,75.9,75.9,54.35606060606061,45.5981941309255,295595.0,4520.0
4100.0,48.412662,5.661024407794076E-8,4100.0,75.2,75.2,52.94117647058824,42.85714285714287,295695.0,4520.0
4200.0,48.487441,5.669768519906532E-8,4200.0,74.9,74.9,52.371916508538895,42.824601366742584,295795.0,4520.0
4300.0,48.563751,5.678691656018295E-8,4300.0,75.7,75.7,53.35892514395394,45.87973273942093,295895.0,4520.0
4400.0,48.642291,5.687875552102921E-8,4400.0,75.9,75.9,52.74509803921569,46.79911699779249,295995.0,4520.0
4500.0,48.718182,5.696749693403639E-8,4500.0,76.3,76.3,53.7109375,47.56637168141592,296095.0,4520.0
