learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,48.506515,6.776281865313649E-7,100.0,98.0,98.0,79.99999999999999,97.18309859154928,36502.0,54000.0
200.0,48.548243,6.781126689786712E-7,200.0,95.0,95.0,41.17647058823522,91.07142857142857,54.0,44880.0
300.0,48.57302,6.784003420422475E-7,300.0,93.66666666666667,93.66666666666667,44.117647058823486,89.01734104046243,26.0,44880.0
400.0,48.605305,6.78775186650455E-7,400.0,91.75,91.75,59.7560975609756,84.28571428571429,89.0,44880.0
500.0,48.625677,6.790117155139645E-7,500.0,91.8,91.8,68.93939393939395,82.62711864406779,189.0,44880.0
600.0,48.645794,6.792452837030092E-7,600.0,91.5,91.5,69.64285714285717,80.53435114503817,289.0,44880.0
700.0,48.685358,6.797046410540739E-7,700.0,90.14285714285715,90.14285714285715,69.73684210526318,77.66990291262137,389.0,44880.0
800.0,48.706509,6.799502144878108E-7,800.0,90.625,90.625,74.66216216216216,79.22437673130193,489.0,44880.0
900.0,48.722065,6.801308272406457E-7,900.0,91.33333333333333,91.33333333333333,77.96610169491525,80.74074074074073,589.0,44880.0
1000.0,48.739228,6.803300980478524E-7,1000.0,91.4,91.4,78.76543209876544,81.5845824411135,689.0,44880.0
1100.0,48.756269,6.805279523755111E-7,1100.0,91.10000000000001,91.10000000000001,80.22222222222223,80.22222222222223,789.0,44880.0
1200.0,48.773843,6.807319950933256E-7,1200.0,91.2,91.2,82.36472945891784,80.78602620087338,889.0,44880.0
1300.0,48.790696,6.809276666492222E-7,1300.0,91.2,91.2,83.67346938775512,80.70175438596492,989.0,44880.0
1400.0,48.810666,6.811595280965167E-7,1400.0,91.2,91.2,83.6126629422719,81.43459915611815,1089.0,44880.0
1500.0,48.829121,6.813737996543445E-7,1500.0,90.9,90.9,83.14814814814815,81.87250996015936,1189.0,44880.0
1600.0,48.846598,6.815767161548135E-7,1600.0,91.5,91.5,84.54545454545455,83.65384615384616,1289.0,44880.0
1700.0,48.862941,6.817664663617807E-7,1700.0,92.0,92.0,85.26703499079191,84.87712665406428,1389.0,44880.0
1800.0,48.89234,6.821078031013406E-7,1800.0,90.2,90.2,81.33333333333333,81.75046554934823,1489.0,44880.0
1900.0,48.922294,6.824555836617944E-7,1900.0,87.4,87.4,75.43859649122807,77.04918032786885,78.0,44880.0
2000.0,48.941419,6.826776342466471E-7,2000.0,86.4,86.4,73.4375,74.76808905380335,178.0,44880.0
2100.0,48.959733,6.828902687256532E-7,2100.0,85.6,85.6,72.2007722007722,73.13432835820895,278.0,44880.0
2200.0,48.977706,6.830989440282183E-7,2200.0,84.2,84.2,69.43907156673113,70.35647279549718,378.0,44880.0
2300.0,48.997234,6.833256736397741E-7,2300.0,83.89999999999999,83.89999999999999,68.18181818181817,68.91891891891892,478.0,44880.0
2400.0,49.016706,6.835517530639964E-7,2400.0,84.39999999999999,84.39999999999999,69.53125,69.04761904761905,578.0,44880.0
2500.0,49.032997,6.837408995255826E-7,2500.0,84.8,84.8,70.07874015748031,68.85245901639344,678.0,44880.0
2600.0,49.049828,6.83936315650741E-7,2600.0,84.0,84.0,68.8715953307393,67.54563894523325,778.0,44880.0
2700.0,49.067461,6.841410433873532E-7,2700.0,83.89999999999999,83.89999999999999,68.91891891891892,67.00819672131146,878.0,44880.0
2800.0,49.084606,6.843401052057741E-7,2800.0,85.1,85.1,70.7843137254902,68.4322033898305,978.0,44880.0
2900.0,49.100993,6.845303662742176E-7,2900.0,87.4,87.4,75.390625,72.78617710583153,1078.0,44880.0
3000.0,49.116088,6.847056265920399E-7,3000.0,88.7,88.7,77.88649706457926,75.21929824561403,1178.0,44880.0
3100.0,49.13357,6.849086011449494E-7,3100.0,88.2,88.2,76.44710578842316,74.12280701754386,1278.0,44880.0
3200.0,49.152602,6.851295719544091E-7,3200.0,88.6,88.6,77.06237424547284,75.0,1378.0,44880.0
3300.0,49.172911,6.853653693571685E-7,3300.0,88.1,88.1,76.52859960552269,73.96061269146608,1478.0,44880.0
3400.0,49.202804,6.857124416778483E-7,3400.0,86.8,86.8,74.4186046511628,71.42857142857143,1578.0,44880.0
3500.0,49.233036,6.860634499539929E-7,3500.0,85.7,85.7,72.60536398467433,69.57446808510637,1678.0,44880.0
3600.0,49.262618,6.864069114128747E-7,3600.0,86.1,86.1,73.21772639691714,70.2991452991453,1778.0,44880.0
3700.0,49.279301,6.866006091857948E-7,3700.0,86.5,86.5,73.5812133072407,70.45951859956236,1878.0,44880.0
