learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,43.636674,5.066430840641261E-7,100.0,89.0,89.0,-10.000000000000012,84.50704225352115,27.0,44880.0
200.0,43.673264,5.070679118235906E-7,200.0,91.0,91.0,-5.882352941176478,83.92857142857143,127.0,44880.0
300.0,43.692519,5.072914717718959E-7,300.0,92.33333333333333,92.33333333333333,32.352941176470566,86.70520231213872,227.0,44880.0
400.0,43.721751,5.076308695599437E-7,400.0,89.5,89.5,48.78048780487805,80.0,81.0,44880.0
500.0,43.740867,5.078528156504035E-7,500.0,89.8,89.8,61.363636363636374,78.38983050847457,181.0,44880.0
600.0,43.760436,5.080800212919712E-7,600.0,90.0,90.0,64.2857142857143,77.09923664122138,281.0,44880.0
700.0,43.789688,5.08419651289781E-7,700.0,89.42857142857143,89.42857142857143,67.5438596491228,76.05177993527506,381.0,44880.0
800.0,43.810156,5.086572947601478E-7,800.0,89.5,89.5,71.62162162162163,76.73130193905818,481.0,44880.0
900.0,43.828556,5.088709277411302E-7,900.0,90.22222222222223,90.22222222222223,75.14124293785312,78.27160493827161,581.0,44880.0
1000.0,43.84718,5.090871614714464E-7,1000.0,90.2,90.2,75.80246913580247,79.0149892933619,681.0,44880.0
1100.0,43.863925,5.092815790946285E-7,1100.0,90.7,90.7,79.33333333333333,79.33333333333333,781.0,44880.0
1200.0,43.881029,5.094801648830375E-7,1200.0,90.3,90.3,80.56112224448898,78.82096069868996,881.0,44880.0
1300.0,43.898028,5.096775315701962E-7,1300.0,89.7,89.7,80.89053803339519,77.41228070175438,981.0,44880.0
1400.0,43.926045,5.100028226152063E-7,1400.0,90.10000000000001,90.10000000000001,81.56424581005588,79.11392405063292,1081.0,44880.0
1500.0,43.95697,5.103618769596021E-7,1500.0,90.2,90.2,81.85185185185185,80.4780876494024,1181.0,44880.0
1600.0,43.975289,5.105745694910487E-7,1600.0,90.3,90.3,82.36363636363636,81.34615384615385,1281.0,44880.0
1700.0,43.994207,5.107942167048654E-7,1700.0,91.0,91.0,83.42541436464089,82.98676748582231,1381.0,44880.0
1800.0,44.027493,5.111806834116579E-7,1800.0,89.4,89.4,79.80952380952382,80.26070763500933,1481.0,44880.0
1900.0,44.060178,5.115601722151042E-7,1900.0,88.6,88.6,77.77777777777779,79.23497267759564,1581.0,44880.0
2000.0,44.091685,5.119259838635724E-7,2000.0,89.1,89.1,78.7109375,79.77736549165122,1681.0,44880.0
2100.0,44.125965,5.123239913955332E-7,2100.0,88.7,88.7,78.18532818532819,78.91791044776119,1781.0,44880.0
2200.0,44.16122,5.127333191533885E-7,2200.0,87.5,87.5,75.8220502901354,76.54784240150094,1881.0,44880.0
2300.0,44.192762,5.130995371689401E-7,2300.0,86.1,86.1,72.5296442687747,73.16602316602317,80.0,44880.0
2400.0,44.210508,5.133055768907073E-7,2400.0,86.4,86.4,73.4375,73.01587301587301,180.0,44880.0
2500.0,44.236519,5.13607577296595E-7,2500.0,86.5,86.5,73.4251968503937,72.3360655737705,280.0,44880.0
2600.0,44.266427,5.139548237745964E-7,2600.0,86.1,86.1,72.95719844357976,71.80527383367141,380.0,44880.0
2700.0,44.291971,5.142514020825429E-7,2700.0,85.8,85.8,72.58687258687259,70.90163934426229,480.0,44880.0
2800.0,44.318084,5.145545867582166E-7,2800.0,87.4,87.4,75.29411764705883,73.3050847457627,580.0,44880.0
2900.0,44.345394,5.148716691881422E-7,2900.0,87.7,87.7,75.9765625,73.4341252699784,680.0,44880.0
3000.0,44.362616,5.150716250141465E-7,3000.0,87.8,87.8,76.1252446183953,73.24561403508771,780.0,44880.0
3100.0,44.38041,5.152782220393423E-7,3100.0,87.2,87.2,74.45109780439122,71.9298245614035,880.0,44880.0
3200.0,44.398592,5.154893239339197E-7,3200.0,88.2,88.2,76.25754527162978,74.12280701754386,980.0,44880.0
3300.0,44.425855,5.158058606709047E-7,3300.0,89.1,89.1,78.50098619329388,76.14879649890591,1080.0,44880.0
3400.0,44.454221,5.161352037762606E-7,3400.0,89.2,89.2,79.06976744186048,76.62337662337663,1180.0,44880.0
3500.0,44.492954,5.165849128117168E-7,3500.0,88.0,88.0,77.01149425287358,74.46808510638297,1280.0,44880.0
3600.0,44.524377,5.169497491791849E-7,3600.0,88.5,88.5,77.84200385356455,75.42735042735043,1380.0,44880.0
3700.0,44.553844,5.172918754319354E-7,3700.0,88.3,88.3,77.10371819960862,74.39824945295405,1480.0,44880.0
3800.0,44.572616,5.175098275144899E-7,3800.0,88.4,88.4,77.82026768642447,74.61706783369803,1580.0,44880.0
3900.0,44.58895,5.176994732270643E-7,3900.0,88.2,88.2,77.52380952380953,73.60178970917227,1680.0,44880.0
4000.0,44.605504,5.178916732470199E-7,4000.0,87.6,87.6,76.51515151515152,72.00902934537245,1780.0,44880.0
4100.0,44.62193,5.180823871244991E-7,4100.0,88.4,88.4,77.98861480075901,73.27188940092167,1880.0,44880.0
4200.0,44.640452,5.182974365850294E-7,4200.0,88.8,88.8,78.74762808349146,74.4874715261959,1980.0,44880.0
4300.0,44.663295,5.185626549646264E-7,4300.0,89.7,89.7,80.23032629558541,77.06013363028953,2080.0,44880.0
4400.0,44.680934,5.187674523641671E-7,4400.0,90.0,90.0,80.3921568627451,77.92494481236203,2180.0,44880.0
4500.0,44.698475,5.189711119358744E-7,4500.0,91.2,91.2,82.81250000000001,80.53097345132744,2280.0,44880.0
4600.0,44.714458,5.191566823671267E-7,4600.0,90.2,90.2,81.1175337186898,77.92792792792793,2380.0,44880.0
4700.0,44.731498,5.193545250842974E-7,4700.0,89.60000000000001,89.60000000000001,79.40594059405942,76.62921348314606,2480.0,44880.0
4800.0,44.75443,5.196207767973349E-7,4800.0,88.9,88.9,77.30061349693251,75.0561797752809,2580.0,44880.0
4900.0,44.785588,5.199825363854573E-7,4900.0,88.1,88.1,75.71428571428571,73.7885462555066,2680.0,44880.0
5000.0,44.815517,5.203300266837087E-7,5000.0,87.5,87.5,74.06639004149378,72.52747252747253,2780.0,44880.0
5100.0,44.857545,5.20817992277444E-7,5100.0,86.4,86.4,71.90082644628099,70.04405286343612,7.0,44880.0
5200.0,44.876945,5.210432357465234E-7,5200.0,86.0,86.0,70.77244258872652,68.74999999999999,107.0,44880.0
5300.0,44.893472,5.212351222833003E-7,5300.0,84.8,84.8,68.06722689075629,64.81481481481481,207.0,44880.0
5400.0,44.910421,5.214319084460542E-7,5400.0,83.5,83.5,65.3361344537815,60.807600950118754,307.0,44880.0
5500.0,44.926443,5.216179316863424E-7,5500.0,83.39999999999999,83.39999999999999,64.68085106382978,60.28708133971291,407.0,44880.0
5600.0,44.941435,5.217919961238906E-7,5600.0,84.5,84.5,66.37744034707157,63.18289786223278,507.0,44880.0
5700.0,44.95622,5.219636571904029E-7,5700.0,86.0,86.0,70.95435684647302,67.13615023474179,607.0,44880.0
5800.0,44.972138,5.221484729399289E-7,5800.0,87.0,87.0,73.02904564315352,69.62616822429906,707.0,44880.0
5900.0,44.988166,5.223345658431456E-7,5900.0,88.6,88.6,76.49484536082475,73.61111111111111,807.0,44880.0
6000.0,45.00443,5.225233988215531E-7,6000.0,89.0,89.0,77.31958762886599,74.5958429561201,907.0,44880.0
6100.0,45.024,5.227506160736089E-7,6100.0,90.2,90.2,79.4979079497908,77.41935483870968,1007.0,44880.0
6200.0,45.040417,5.229412254566952E-7,6200.0,91.0,91.0,81.13207547169812,78.82352941176471,1107.0,44880.0
6300.0,45.0562,5.231244737903282E-7,6300.0,92.2,92.2,83.78378378378379,81.81818181818184,1207.0,44880.0
6400.0,45.071911,5.233068861688181E-7,6400.0,94.0,94.0,87.36842105263156,86.20689655172413,1307.0,44880.0
6500.0,45.090617,5.235240719591582E-7,6500.0,93.60000000000001,93.60000000000001,86.74948240165634,85.35469107551489,1407.0,44880.0
6600.0,45.107298,5.237177465111022E-7,6600.0,93.30000000000001,93.30000000000001,86.1855670103093,84.63302752293579,1507.0,44880.0
6700.0,45.128716,5.23966419945161E-7,6700.0,91.9,91.9,83.33333333333334,81.42201834862387,1607.0,44880.0
6800.0,45.157925,5.243055506919825E-7,6800.0,90.9,90.9,81.76352705410822,79.22374429223746,1707.0,44880.0
6900.0,45.185636,5.246272889276349E-7,6900.0,90.5,90.5,80.57259713701433,77.90697674418605,1807.0,44880.0
7000.0,45.21398,5.249563766022527E-7,7000.0,90.8,90.8,81.33874239350914,78.50467289719627,1907.0,44880.0
7100.0,45.239567,5.252534541611874E-7,7100.0,90.4,90.4,80.7615230460922,77.46478873239437,2007.0,44880.0
7200.0,45.263666,5.25533255313834E-7,7200.0,89.9,89.9,79.96031746031747,76.17924528301887,2107.0,44880.0
7300.0,45.287068,5.25804963956277E-7,7300.0,90.2,90.2,80.4,76.32850241545894,2207.0,44880.0
7400.0,45.304207,5.260039561117694E-7,7400.0,89.2,89.2,78.48605577689244,73.26732673267328,2307.0,44880.0
7500.0,45.328914,5.262908164411788E-7,7500.0,89.1,89.1,77.61806981519508,72.47474747474747,2407.0,44880.0
7600.0,45.359132,5.266416621704901E-7,7600.0,88.6,88.6,76.34854771784234,70.84398976982098,2507.0,44880.0
7700.0,45.390305,5.270035959159339E-7,7700.0,89.5,89.5,77.80126849894292,72.22222222222223,2607.0,44880.0
7800.0,45.420467,5.273537914579117E-7,7800.0,90.0,90.0,78.63247863247864,72.6027397260274,2707.0,44880.0
7900.0,45.44759,5.276687027265632E-7,7900.0,88.8,88.8,75.65217391304347,68.18181818181819,2807.0,44880.0
8000.0,45.476352,5.280026435852055E-7,8000.0,88.3,88.3,74.3421052631579,65.98837209302324,2907.0,44880.0
8100.0,45.503323,5.283157900596663E-7,8100.0,88.5,88.5,74.66960352422907,65.67164179104478,3007.0,44880.0
8200.0,45.532222,5.286513215551778E-7,8200.0,88.6,88.6,74.94505494505495,65.97014925373135,3107.0,44880.0
8300.0,45.559606,5.289692631612226E-7,8300.0,87.5,87.5,72.4669603524229,63.23529411764706,3207.0,44880.0
8400.0,45.596882,5.294020557155217E-7,8400.0,85.8,85.8,68.51441241685143,59.077809798270884,35.0,44880.0
8500.0,45.613107,5.295904358848934E-7,8500.0,84.2,84.2,65.57734204793027,54.727793696275064,135.0,44880.0
8600.0,45.632847,5.298196269199257E-7,8600.0,83.5,83.5,64.59227467811158,54.293628808864256,235.0,44880.0
8700.0,45.650005,5.300188396746919E-7,8700.0,82.3,82.3,61.85344827586206,51.10497237569059,335.0,44880.0
8800.0,45.665569,5.301995453114316E-7,8800.0,81.89999999999999,81.89999999999999,60.5664488017429,50.94850948509484,435.0,44880.0
8900.0,45.685166,5.30427076046666E-7,8900.0,82.39999999999999,82.39999999999999,62.63269639065816,53.19148936170212,535.0,44880.0
9000.0,45.704236,5.306484880546734E-7,9000.0,82.1,82.1,61.58798283261802,52.77044854881265,635.0,44880.0
9100.0,45.722111,5.30856025529405E-7,9100.0,81.39999999999999,81.39999999999999,59.652928416485885,51.18110236220471,735.0,44880.0
9200.0,45.742661,5.310946210597957E-7,9200.0,81.5,81.5,58.52017937219729,49.999999999999986,835.0,44880.0
9300.0,45.762604,5.313261690239117E-7,9300.0,81.8,81.8,58.63636363636362,49.58448753462602,935.0,44880.0
9400.0,45.782388,5.315558709204202E-7,9400.0,83.6,83.6,62.47139588100686,53.142857142857125,1035.0,44880.0
9500.0,45.803543,5.318014907961096E-7,9500.0,85.5,85.5,65.96244131455398,57.602339181286546,1135.0,44880.0
