learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,51.719231,1.1909094206699067E-6,100.0,100.0,100.0,100.0,100.0,291695.0,89008.0,10.0,173024.1,134909.23459575,101337.6,82351.00038682658,824.1999999999999,671.3417410926669,412.59999999999997,335.67087054633345,412.59999999999997,335.67087054633345,27.2,18.671427964197655,0.0,0.0,0.0,0.0,1.0,0.0
200.0,51.771488,1.1921149841716721E-6,200.0,97.0,97.0,64.70588235294113,94.64285714285714,291795.0,89176.0,10.0,174081.0,134893.13278295528,102056.0,82470.72718647913,830.0,672.2785467679631,415.5,336.13927338398156,415.5,336.13927338398156,27.4,18.62018021156377,0.0,0.0,0.0,0.0,1.0,0.0
300.0,51.798146,1.1927299814319447E-6,300.0,96.66666666666667,96.66666666666667,70.58823529411764,94.21965317919076,291895.0,89176.0,10.0,175153.0,134863.66253698172,102400.0,82406.02014685847,832.8000000000001,671.7323871900178,416.90000000000003,335.8661935950089,416.90000000000003,335.8661935950089,27.5,18.500750735518217,0.0,0.0,0.0,0.0,1.0,0.0
400.0,51.830848,1.1934844131374527E-6,400.0,94.5,94.5,73.17073170731705,89.52380952380952,291995.0,89176.0,10.0,176253.09999999998,134815.73631726627,103086.4,82449.94437192382,838.4,672.080054755384,419.7,336.040027377692,419.7,336.040027377692,27.5,18.500750735518217,0.0,0.0,0.0,0.0,1.0,0.0
500.0,51.864589,1.1942657473476398E-6,500.0,94.19999999999999,94.19999999999999,78.03030303030302,87.71186440677965,292095.0,89512.0,10.0,177352.40000000002,134771.14017160927,103985.59999999999,82564.1128002287,845.8,673.0343890834174,423.4,336.5171945417087,423.4,336.5171945417087,27.5,18.500750735518217,0.0,0.0,0.0,0.0,1.0,0.0
600.0,51.899898,1.1950879952187342E-6,600.0,94.16666666666667,94.16666666666667,79.16666666666666,86.6412213740458,292195.0,90016.0,10.0,178411.6,134751.39307645187,104693.6,82600.28948456133,851.6,673.3465675267083,426.3,336.67328376335416,426.3,336.67328376335416,27.5,18.500750735518217,0.0,0.0,0.0,0.0,1.0,0.0
700.0,51.935634,1.1959201867257558E-6,700.0,92.71428571428572,92.71428571428572,77.63157894736842,83.49514563106797,292295.0,90016.0,10.0,179493.4,134710.86473398417,105735.20000000001,82634.13712235128,860.0,673.6126483373067,430.5,336.80632416865336,430.5,336.80632416865336,27.599999999999998,18.38598500065864,0.0,0.0,0.0,0.0,1.0,0.0
800.0,51.965577,1.1966187768367432E-6,800.0,93.125,93.125,81.41891891891892,84.7645429362881,292395.0,90184.0,10.0,180581.59999999998,134693.81652655362,106376.0,82715.18395608444,865.2,674.3309111836545,433.1,337.16545559182725,433.1,337.16545559182725,27.699999999999996,18.26989022651447,0.0,0.0,0.0,0.0,1.0,0.0
900.0,51.996219,1.1973336750827732E-6,900.0,93.44444444444444,93.44444444444444,83.33333333333333,85.43209876543209,292495.0,90184.0,10.0,181655.19999999998,134662.75293141257,107109.6,83032.12422938754,871.2,676.9614792914324,436.1,338.4807396457162,436.1,338.4807396457162,27.699999999999996,18.26989022651447,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,52.027731,1.1980688710076115E-6,1000.0,92.80000000000001,92.80000000000001,82.22222222222223,84.58244111349038,292595.0,90184.0,10.0,182706.0,134631.7060997644,108124.0,83284.76333906727,879.4,678.9696769534131,440.2,339.48483847670656,440.2,339.48483847670656,27.699999999999996,18.26989022651447,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,52.058924,1.1987966244502201E-6,1100.0,92.2,92.2,82.66666666666667,82.66666666666667,292695.0,90184.0,10.0,183755.7,134582.55464629218,108688.0,83348.0378706595,884.0,679.4515762322172,442.5,339.7257881161086,442.5,339.7257881161086,27.699999999999996,18.26989022651447,0.0,0.0,0.0,0.0,1.0,0.0
