learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.096759,1.1494521051645278E-10,100.0,94.0,83.5886214442013,-200.0,76.9230769230769,100.0,4592.0
200.0,0.151117,1.7951999687486224E-10,200.0,91.0,81.93496587715778,-12.500000000000016,80.64516129032259,200.0,4592.0
300.0,0.206804,2.456735736793942E-10,300.0,89.33333333333333,76.94856648897853,-6.666666666666711,70.9090909090909,300.0,4592.0
400.0,0.240168,2.853084603945414E-10,400.0,92.0,79.82536330107493,-6.666666666666677,70.90909090909092,400.0,4592.0
500.0,0.273518,3.2492671575811174E-10,500.0,91.60000000000001,77.2554965883245,27.58620689655175,67.18750000000001,500.0,4592.0
600.0,0.306786,3.644475589195887E-10,600.0,92.5,77.86957804662144,35.71428571428577,67.15328467153287,600.0,4592.0
700.0,0.334899,3.978445008397102E-10,700.0,93.0,82.62763371150731,32.87671232876719,75.98039215686276,700.0,4592.0
800.0,0.373495,4.436947612298859E-10,800.0,92.5,82.81196287383982,49.15254237288138,77.35849056603776,800.0,4592.0
900.0,0.409454,4.86412387755182E-10,900.0,92.88888888888889,84.08760656607235,66.66666666666666,79.48717948717949,900.0,4592.0
1000.0,0.441739,5.24765472445223E-10,1000.0,93.10000000000001,85.44586282831182,68.20276497695855,82.61964735516374,1000.0,4592.0
1100.0,0.47213,5.608685728576448E-10,1100.0,92.9,85.1883375890786,70.29288702928872,84.49781659388648,1100.0,4592.0
1200.0,0.498298,5.919549448622598E-10,1200.0,93.89999999999999,87.77466911440503,74.04255319148933,87.44855967078188,1200.0,4592.0
1300.0,0.527044,6.261038614643945E-10,1300.0,94.1,88.17947957654488,78.14814814814814,88.6100386100386,1300.0,4592.0
1400.0,0.563404,6.692978574170007E-10,1400.0,93.0,85.87798579728857,77.8481012658228,88.11544991511037,1400.0,4592.0
1500.0,0.595858,7.078517062796487E-10,1500.0,93.5,86.57202353407814,81.53409090909093,89.46515397082659,1500.0,4592.0
1600.0,0.623134,7.402543309662077E-10,1600.0,93.7,85.8515989938915,82.73972602739728,89.90384615384616,1600.0,4592.0
1700.0,0.647395,7.690752752953105E-10,1700.0,94.0,86.09765930923902,84.69387755102039,89.51048951048949,1700.0,4592.0
1800.0,0.673682,8.003030137883292E-10,1800.0,95.1,88.3893959642488,87.62626262626262,90.87523277467412,1800.0,4592.0
1900.0,0.700032,8.31605593363444E-10,1900.0,95.5,88.75337398780366,87.96791443850266,91.31274131274131,1900.0,4592.0
2000.0,0.723827,8.598729512757725E-10,2000.0,96.0,89.7069040940789,88.82681564245809,90.8675799086758,2000.0,4592.0
2100.0,0.745945,8.861481108599239E-10,2100.0,96.8,91.51193633952253,90.4191616766467,90.88319088319088,2100.0,4592.0
2200.0,0.768452,9.128853844271766E-10,2200.0,97.0,91.93526707707196,90.74074074074073,88.28124999999999,2200.0,4592.0
2300.0,0.791732,9.405409461922116E-10,2300.0,98.2,94.57533949333671,93.45454545454544,91.30434782608695,2300.0,4592.0
2400.0,0.81304,9.658538632922702E-10,2400.0,99.3,97.01212224688408,96.94323144104803,94.85294117647058,2400.0,4592.0
2500.0,0.834037,9.907973267965847E-10,2500.0,99.8,98.77899877899877,98.7878787878788,97.77777777777777,2500.0,4592.0
2600.0,0.855263,1.01601283169455E-9,2600.0,99.9,99.2657640459338,99.28571428571429,98.64864864864865,2600.0,4592.0
2700.0,0.875282,1.0397944764958488E-9,2700.0,100.0,100.0,100.0,100.0,2700.0,4592.0
2800.0,0.895854,1.0642330596844355E-9,2800.0,100.0,100.0,100.0,100.0,2800.0,4592.0
2900.0,0.915668,1.087771173980501E-9,2900.0,100.0,100.0,100.0,100.0,2900.0,4592.0
