learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.098049,1.1647767076889672E-10,100.0,96.0,90.48072346501665,59.99999999999995,86.20689655172413,100.0,4592.0
200.0,0.151305,1.7974333216746647E-10,200.0,94.5,88.9068172650262,35.294117647058734,87.35632183908045,200.0,4592.0
300.0,0.185098,2.198878510130776E-10,300.0,94.66666666666667,89.12205955672393,50.0,87.3015873015873,300.0,4592.0
400.0,0.222348,2.641391257445017E-10,400.0,92.5,84.9624060150376,63.855421686747015,84.12698412698414,400.0,4592.0
500.0,0.25532,3.033083346154954E-10,500.0,92.60000000000001,85.14438056081973,72.18045112781957,84.25531914893618,500.0,4592.0
600.0,0.285589,3.3926650467846125E-10,600.0,92.16666666666666,83.98855351911153,72.98850574712642,81.92307692307692,600.0,4592.0
700.0,0.3199,3.8002638353241813E-10,700.0,91.57142857142857,82.82087118565106,74.34782608695653,80.78175895765473,700.0,4592.0
800.0,0.349026,4.1462672253449754E-10,800.0,91.375,82.52854936317829,76.20689655172413,80.77994428969359,800.0,4592.0
900.0,0.376634,4.474237478441662E-10,900.0,91.77777777777779,83.33708624183743,78.61271676300578,81.6377171215881,900.0,4592.0
1000.0,0.40107,4.764525840679804E-10,1000.0,91.60000000000001,83.09512213774256,78.94736842105264,81.93548387096776,1000.0,4592.0
1100.0,0.423428,5.030128525363074E-10,1100.0,91.7,83.2091212908342,81.51447661469933,83.09572301425663,1100.0,4592.0
1200.0,0.444368,5.278886026806301E-10,1200.0,91.2,82.28092783505156,82.50497017892646,81.70478170478171,1200.0,4592.0
1300.0,0.470568,5.590129892031351E-10,1300.0,90.10000000000001,80.06315348552464,81.6326530612245,80.23952095808383,1300.0,4592.0
1400.0,0.495765,5.889458581805229E-10,1400.0,90.2,80.36733123918201,81.85185185185185,80.12170385395538,1400.0,4592.0
1500.0,0.518893,6.1642085098558E-10,1500.0,89.7,79.39802221013218,81.17001828153566,79.44111776447106,1500.0,4592.0
1600.0,0.540907,6.425724633865886E-10,1600.0,89.8,79.49171626186265,81.68761220825854,80.75471698113208,1600.0,4592.0
1700.0,0.564515,6.706176739599969E-10,1700.0,90.10000000000001,80.05029743192921,82.25806451612902,81.32075471698114,1700.0,4592.0
1800.0,0.611971,7.269932039909892E-10,1800.0,89.2,78.17714500478891,80.18348623853213,79.11025145067698,1800.0,4592.0
1900.0,0.656358,7.797229041655858E-10,1900.0,87.7,74.97823309708446,77.26432532347506,76.20889748549324,1900.0,4592.0
2000.0,0.683483,8.11946147845851E-10,2000.0,87.5,74.69615138584118,76.85185185185183,75.1984126984127,2000.0,4592.0
2100.0,0.709262,8.425704058673646E-10,2100.0,86.7,73.12153914554787,75.14018691588785,73.23943661971832,2100.0,4592.0
2200.0,0.734775,8.728786682089169E-10,2200.0,85.6,70.9430200694946,72.83018867924528,71.37176938369781,2200.0,4592.0
2300.0,0.76108,9.041277898682488E-10,2300.0,85.5,70.89732576529998,72.43346007604563,71.0,2300.0,4592.0
2400.0,0.787589,9.356192540791298E-10,2400.0,86.4,72.79434122297438,73.48927875243665,73.12252964426878,2400.0,4592.0
2500.0,0.812111,9.647502543197736E-10,2500.0,86.7,73.40893459797508,73.50597609561753,73.07692307692307,2500.0,4592.0
