learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.246686,1.680145158949825E-8,100.0,94.0,85.42982030111703,39.999999999999936,79.31034482758619,100.0,263272.0
200.0,0.468618,3.2110311782194505E-8,200.0,93.0,85.93247588424438,17.647058823529434,83.9080459770115,200.0,266640.0
300.0,0.649735,4.460375496082836E-8,300.0,93.66666666666667,87.09589785384406,40.62499999999999,84.92063492063492,300.0,266640.0
400.0,0.81829,5.637718570315176E-8,400.0,93.0,85.95787362086259,66.26506024096388,85.18518518518519,400.0,270000.0
500.0,0.931791,6.430513896875912E-8,500.0,93.2,86.3574351978172,74.43609022556393,85.53191489361703,500.0,270000.0
600.0,1.04177,7.198708337628179E-8,600.0,92.83333333333333,85.36386121763599,75.28735632183908,83.46153846153847,600.0,270000.0
700.0,1.167612,8.088643172962798E-8,700.0,91.85714285714286,83.36917921272445,75.21739130434784,81.43322475570032,700.0,273360.0
800.0,1.272442,8.829984448436234E-8,800.0,91.625,82.98455912230801,76.89655172413794,81.33704735376045,800.0,273360.0
900.0,1.373501,9.544657804899745E-8,900.0,91.88888888888889,83.51400180668472,78.90173410404624,81.88585607940446,900.0,273360.0
1000.0,1.481553,1.0308784557713402E-7,1000.0,91.60000000000001,83.05460854128422,78.94736842105264,81.93548387096776,1000.0,273360.0
1100.0,1.581649,1.1016647729608748E-7,1100.0,91.8,83.3486985586471,81.73719376391982,83.29938900203668,1100.0,273360.0
1200.0,1.681599,1.1723478412462605E-7,1200.0,91.60000000000001,83.03469001955051,83.30019880715707,82.53638253638255,1200.0,273360.0
1300.0,1.783856,1.245551236677501E-7,1300.0,90.8,81.39038125445013,82.9313543599258,81.63672654690619,1300.0,276720.0
1400.0,1.922087,1.3445075776014064E-7,1400.0,90.5,80.90667181181617,82.4074074074074,80.73022312373226,1400.0,276720.0
1500.0,2.048687,1.4351375575694775E-7,1500.0,90.0,80.00119992800433,81.7184643510055,80.03992015968065,1500.0,276720.0
1600.0,2.161378,1.515810409643584E-7,1600.0,90.2,80.3723642889188,82.40574506283663,81.50943396226415,1600.0,276720.0
1700.0,2.298091,1.6124520815494988E-7,1700.0,89.9,79.74328118732451,81.89964157706092,80.9433962264151,1700.0,273248.0
1800.0,2.442125,1.7147697255429296E-7,1800.0,89.1,78.12229037541347,80.00000000000001,78.91682785299807,1800.0,274592.0
1900.0,2.577122,1.8107850866185295E-7,1900.0,88.3,76.44301626035903,78.37338262476895,77.36943907156673,1900.0,274928.0
2000.0,2.699609,1.8981157663381763E-7,2000.0,88.8,77.49051385941218,79.25925925925925,77.77777777777779,2000.0,275600.0
2100.0,2.826939,1.9888994041830304E-7,2100.0,88.2,76.31045351428399,77.94392523364488,76.25754527162978,2100.0,275600.0
2200.0,2.966457,2.0883728321641687E-7,2200.0,87.4,74.7098659622896,76.22641509433963,74.95029821073558,2200.0,275600.0
2300.0,3.097245,2.1817356374114754E-7,2300.0,86.8,73.58097830437916,74.90494296577947,73.6,2300.0,275936.0
2400.0,3.228434,2.275498729861445E-7,2400.0,87.3,74.60182866833588,75.24366471734892,74.90118577075098,2400.0,276272.0
2500.0,3.362418,2.3712594581147036E-7,2500.0,87.8,75.56951074941527,75.69721115537848,75.30364372469636,2500.0,276272.0
2600.0,3.491358,2.4643117832640807E-7,2600.0,87.5,74.97838132146174,75.0,74.43762781186093,2600.0,278960.0
2700.0,3.61771,2.5554964225325317E-7,2700.0,88.3,76.57319974050314,76.26774847870182,76.26774847870182,2700.0,278960.0
