learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.081524,9.480519344409306E-10,100.0,95.0,87.98076923076921,49.99999999999994,82.75862068965516,100.0,44952.0
200.0,0.150115,1.7457045304278534E-9,200.0,93.5,86.92152917505031,23.529411764705912,85.05747126436783,54.0,44952.0
300.0,0.198859,2.3125540899733702E-9,300.0,93.33333333333333,86.37416541763183,37.50000000000003,84.12698412698413,27.0,44952.0
400.0,0.259357,3.0160922619203724E-9,400.0,90.75,81.43967895660897,55.421686746987945,80.42328042328042,89.0,44952.0
500.0,0.289025,3.3611048323412732E-9,500.0,90.60000000000001,81.12934827996018,64.66165413533835,80.0,189.0,44952.0
600.0,0.319885,3.7199793073038257E-9,600.0,90.33333333333333,80.23266381895846,66.66666666666666,77.6923076923077,289.0,44952.0
700.0,0.36145,4.203343453506629E-9,700.0,90.0,79.62493242962285,69.56521739130436,77.19869706840392,389.0,44952.0
800.0,0.387799,4.5097589927415055E-9,800.0,90.375,80.49324230179742,73.44827586206898,78.5515320334262,489.0,44952.0
900.0,0.414582,4.8212215676903725E-9,900.0,91.11111111111111,81.97792295562063,76.878612716763,80.14888337468983,589.0,44952.0
1000.0,0.441227,5.131079324831565E-9,1000.0,91.3,82.48905062475848,78.19548872180452,81.29032258064517,689.0,44952.0
1100.0,0.465858,5.41751604527235E-9,1100.0,91.4,82.59186837833134,80.84632516703788,82.48472505091651,789.0,44952.0
1200.0,0.490429,5.703255018840233E-9,1200.0,91.0,81.88434968841082,82.10735586481114,81.2889812889813,889.0,44952.0
1300.0,0.515381,5.993424685051043E-9,1300.0,90.5,80.85511148370871,82.37476808905382,81.03792415169661,989.0,44952.0
1400.0,0.568769,6.614279852559168E-9,1400.0,90.60000000000001,81.16474039401761,82.59259259259258,80.93306288032454,1089.0,44952.0
1500.0,0.610706,7.101970029373963E-9,1500.0,90.7,81.39880952380952,82.99817184643511,81.43712574850301,1189.0,44952.0
1600.0,0.645202,7.50312796483437E-9,1600.0,91.10000000000001,82.1260734397468,84.02154398563736,83.20754716981132,1289.0,44952.0
1700.0,0.685593,7.972839530557393E-9,1700.0,90.60000000000001,81.10264080542959,83.15412186379928,82.26415094339623,1389.0,44952.0
1800.0,0.727836,8.464088216423988E-9,1800.0,87.8,75.37770996556915,77.61467889908258,76.40232108317215,87.0,44952.0
1900.0,0.75026,8.72485948105653E-9,1900.0,85.9,71.33936629509475,73.93715341959334,72.72727272727273,187.0,44952.0
2000.0,0.771042,8.966535739600657E-9,2000.0,85.7,71.09686390867417,73.5185185185185,71.62698412698413,287.0,44952.0
2100.0,0.792294,9.213677681982516E-9,2100.0,84.5,68.73739411052844,71.02803738317756,68.81287726358148,387.0,44952.0
2200.0,0.81523,9.480403053263823E-9,2200.0,84.39999999999999,68.59688464991565,70.56603773584905,68.98608349900596,487.0,44952.0
2300.0,0.83543,9.7153111671408E-9,2300.0,84.5,68.93961861859455,70.53231939163499,69.0,587.0,44952.0
2400.0,0.857861,9.976163835575182E-9,2400.0,85.1,70.2011919523219,70.9551656920078,70.55335968379445,687.0,44952.0
2500.0,0.880436,1.0238691096504529E-8,2500.0,85.39999999999999,70.77194106342087,70.91633466135457,70.44534412955466,787.0,44952.0
2600.0,0.900257,1.0469191775967678E-8,2600.0,84.8,69.57700021216039,69.6,68.9161554192229,887.0,44952.0
2700.0,0.919584,1.0693947672843933E-8,2700.0,85.5,70.96934362686997,70.58823529411764,70.58823529411764,987.0,44952.0
2800.0,0.938983,1.091954086596767E-8,2800.0,88.4,76.67657242125327,76.13168724279835,76.75350701402806,1087.0,44952.0
