learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.079876,9.288871536652248E-10,100.0,95.0,87.98076923076921,49.99999999999994,82.75862068965516,100.0,44952.0
200.0,0.14457,1.6812210902571678E-9,200.0,94.0,87.94212218649517,29.41176470588226,86.20689655172413,30.0,44952.0
300.0,0.202988,2.3605707039435704E-9,300.0,93.0,85.73757131214344,34.375000000000064,83.33333333333334,28.0,44952.0
400.0,0.254562,2.960330657660961E-9,400.0,90.5,80.95238095238095,54.21686746987954,79.8941798941799,89.0,44952.0
500.0,0.283565,3.297609866907199E-9,500.0,90.8,81.51927619843478,65.41353383458647,80.42553191489363,189.0,44952.0
600.0,0.315258,3.66617139428854E-9,600.0,90.83333333333333,81.2308042316005,68.39080459770115,78.84615384615384,289.0,44952.0
700.0,0.353614,4.1122177119056385E-9,700.0,90.14285714285715,79.86795378382435,70.00000000000001,77.52442996742673,389.0,44952.0
800.0,0.383721,4.462335463613272E-9,800.0,90.25,80.20568325286604,73.10344827586206,78.27298050139275,489.0,44952.0
900.0,0.405943,4.720757647107045E-9,900.0,90.77777777777779,81.2725631768953,76.01156069364163,79.4044665012407,589.0,44952.0
1000.0,0.430487,5.0061826345821224E-9,1000.0,90.7,81.25649976217925,76.69172932330828,80.0,689.0,44952.0
1100.0,0.455436,5.296317413449288E-9,1100.0,90.8,81.34033206096034,79.51002227171493,81.26272912423626,789.0,44952.0
1200.0,0.477996,5.558670237660409E-9,1200.0,90.5,80.82930412391937,81.11332007952286,80.24948024948026,889.0,44952.0
1300.0,0.504649,5.868621027717988E-9,1300.0,90.3,80.41037240487924,82.00371057513915,80.63872255489024,989.0,44952.0
1400.0,0.534385,6.2144243779281775E-9,1400.0,90.5,80.93456743543842,82.4074074074074,80.73022312373226,1089.0,44952.0
1500.0,0.561782,6.533027229209741E-9,1500.0,90.5,80.99984799878399,82.63254113345523,81.03792415169661,1189.0,44952.0
1600.0,0.584892,6.801776066422463E-9,1600.0,90.9,81.74699326845159,83.6624775583483,82.83018867924528,1289.0,44952.0
1700.0,0.607313,7.0625124437113604E-9,1700.0,90.8,81.52551085978666,83.51254480286738,82.64150943396227,1389.0,44952.0
1800.0,0.641627,7.461553880323967E-9,1800.0,89.3,78.5045602474989,80.36697247706424,79.3036750483559,1489.0,44952.0
1900.0,0.682713,7.939347680658103E-9,1900.0,88.8,77.4185353500732,79.29759704251387,78.33655705996132,1589.0,44952.0
2000.0,0.720011,8.37309039508303E-9,2000.0,89.1,78.0900999413056,79.81481481481481,78.37301587301587,1689.0,44952.0
2100.0,0.754794,8.77758588641882E-9,2100.0,88.6,77.10705464184589,78.69158878504675,77.06237424547284,1789.0,44952.0
2200.0,0.794767,9.242436482260627E-9,2200.0,87.9,75.72309075150075,77.16981132075472,75.94433399602386,1889.0,44952.0
2300.0,0.831319,9.667503877232474E-9,2300.0,87.6,75.18928176972453,76.42585551330798,75.2,1989.0,44952.0
2400.0,0.866248,1.0073697219292324E-8,2400.0,88.1,76.20323635985505,76.80311890838207,76.48221343873519,2089.0,44952.0
2500.0,0.898119,1.0444328729063273E-8,2500.0,88.2,76.3614218404436,76.49402390438247,76.11336032388664,2189.0,44952.0
2600.0,0.929528,1.0809587587912878E-8,2600.0,87.4,74.76820794200692,74.8,74.23312883435584,2289.0,44952.0
2700.0,0.960997,1.1175544193635385E-8,2700.0,87.9,75.76160638451307,75.45638945233266,75.45638945233266,2389.0,44952.0
2800.0,0.993114,1.1549036465585233E-8,2800.0,89.5,78.9043099499329,78.39506172839506,78.95791583166333,2489.0,44952.0
2900.0,1.024366,1.1912469553450745E-8,2900.0,89.9,79.65645595320584,79.13223140495869,79.88047808764941,2589.0,44952.0
3000.0,1.05138,1.2226618453860286E-8,3000.0,90.10000000000001,80.00048483673123,79.75460122699387,80.08048289738431,2689.0,44952.0
3100.0,1.078259,1.2539197423805796E-8,3100.0,89.0,77.72557913494249,77.59674134419552,78.0,2789.0,44952.0
3200.0,1.111294,1.2923365222911042E-8,3200.0,89.3,78.32147430182992,78.07377049180329,78.25203252032522,2889.0,44952.0
3300.0,1.148089,1.3351258492718142E-8,3300.0,89.60000000000001,78.92817343734171,78.77551020408163,78.37837837837837,2989.0,44952.0
3400.0,1.187216,1.380627085765203E-8,3400.0,89.2,78.13411078717202,78.65612648221344,76.72413793103449,3089.0,44952.0
3500.0,1.221616,1.4206312398115795E-8,3500.0,88.3,76.38176753199565,77.1484375,75.1063829787234,3189.0,44952.0
3600.0,1.25625,1.4609075151383878E-8,3600.0,88.6,76.98197325062998,77.99227799227799,75.64102564102564,3289.0,44952.0
3700.0,1.288554,1.498474206775427E-8,3700.0,88.8,77.29143603281388,78.08219178082192,75.49234135667396,3389.0,44952.0
3800.0,1.320175,1.535246629888813E-8,3800.0,88.6,76.87110714358174,78.03468208092485,74.94505494505495,3489.0,44952.0
3900.0,1.351776,1.571995794773102E-8,3900.0,88.1,75.72280750430461,76.89320388349515,73.31838565022422,3589.0,44952.0
4000.0,1.382816,1.6080925663312278E-8,4000.0,87.5,74.44055486488254,75.34516765285996,71.78329571106094,3689.0,44952.0
4100.0,1.414885,1.6453859737763805E-8,4100.0,88.6,76.61010689591498,77.29083665338645,73.79310344827587,3789.0,44952.0
4200.0,1.449366,1.685484323650599E-8,4200.0,89.1,77.6853345562043,78.28685258964144,75.11415525114155,3889.0,44952.0
4300.0,1.486703,1.7289039486398303E-8,4300.0,89.2,77.99726188147858,78.61386138613862,75.89285714285714,3989.0,44952.0
4400.0,1.520509,1.768217333282034E-8,4400.0,89.8,79.30572744425734,79.51807228915662,77.58241758241759,4089.0,44952.0
4500.0,1.555246,1.8086133884886903E-8,4500.0,90.7,81.12625520550058,81.4,79.37915742793791,4189.0,44952.0
4600.0,1.587697,1.8463510281095906E-8,4600.0,90.4,80.43180483986694,80.9145129224652,78.37837837837837,4289.0,44952.0
4700.0,1.624352,1.8889775474866235E-8,4700.0,89.4,78.36690544704994,78.75751503006012,76.17977528089888,4389.0,44952.0
4800.0,1.658456,1.9286374797423685E-8,4800.0,88.6,76.75822025052193,77.01612903225806,74.43946188340807,4489.0,44952.0
4900.0,1.697247,1.9737479779869323E-8,4900.0,87.8,75.1984126984127,75.50200803212851,73.12775330396477,4589.0,44952.0
5000.0,1.734323,2.0168640830864516E-8,5000.0,87.4,74.4271478151448,75.14792899408283,72.3076923076923,4689.0,44952.0
5100.0,1.771466,2.060058103253445E-8,5100.0,87.2,74.03387767522061,74.5019920318725,71.7439293598234,4789.0,44952.0
5200.0,1.806514,2.1008158239225556E-8,5200.0,87.3,74.19517388795423,75.0,71.5883668903803,4889.0,44952.0
5300.0,1.84056,2.14040830731392E-8,5300.0,86.9,73.22596468279922,73.85229540918164,69.7459584295612,4989.0,44952.0
5400.0,1.876179,2.1818300504237423E-8,5400.0,86.2,71.67534194840808,72.78106508875739,67.29857819905213,5089.0,44952.0
5500.0,1.909463,2.2205363952865213E-8,5500.0,86.5,72.24460928633695,73.3201581027668,67.78042959427208,5189.0,44952.0
5600.0,1.940541,2.256677357479931E-8,5600.0,87.5,74.30098684210526,74.79838709677419,70.23809523809524,5289.0,44952.0
