learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,2.549511,1.969236053340137E-7,100.0,98.0,95.97585513078471,96.0,95.74468085106382,10100.0,298568.0
200.0,2.655774,2.052237008884549E-7,200.0,98.5,96.99939987997598,96.90721649484536,96.84210526315789,10200.0,301928.0
300.0,2.762629,2.1357003696469797E-7,300.0,99.0,97.99822064056939,97.87234042553192,97.88732394366197,10300.0,301928.0
400.0,2.825239,2.1851486356515023E-7,400.0,99.0,97.99759711653985,97.95918367346938,97.89473684210526,10400.0,305288.0
500.0,2.875966,2.225211919306053E-7,500.0,99.2,98.39961590781787,98.40637450199203,98.35390946502058,10500.0,305288.0
600.0,2.92191,2.261497674509883E-7,600.0,99.33333333333333,98.66417312316324,98.67109634551493,98.59154929577464,10600.0,305288.0
700.0,2.968237,2.2984886065332425E-7,700.0,99.42857142857143,98.85557335774777,98.84726224783863,98.80239520958085,10700.0,308648.0
800.0,3.013941,2.3349820888911683E-7,800.0,99.5,98.99969990997299,98.98989898989899,98.97435897435898,10800.0,308648.0
900.0,3.064503,2.3753545607750614E-7,900.0,99.55555555555556,99.11104526261204,99.09502262443438,99.09297052154194,10900.0,308648.0
1000.0,3.114915,2.41560726147145E-7,1000.0,99.6,99.2,99.19839679358718,99.19191919191918,11000.0,308648.0
1100.0,3.211711,2.4920029374253416E-7,1100.0,99.3,98.59997759964159,98.6111111111111,98.59154929577466,11100.0,305080.0
1200.0,3.276568,2.5433036966042385E-7,1200.0,99.3,98.59950702647332,98.60834990059641,98.58012170385395,11200.0,305752.0
1300.0,3.337562,2.5920790707899464E-7,1300.0,99.2,98.39977596863561,98.41584158415841,98.38709677419355,11300.0,309112.0
1400.0,3.402874,2.6444209843046134E-7,1400.0,99.1,98.19995679896317,98.2107355864811,98.18913480885311,11400.0,309784.0
1500.0,3.468452,2.6969760737899276E-7,1500.0,99.0,97.99999199996799,97.95918367346938,97.99196787148594,11500.0,309784.0
1600.0,3.528619,2.745194715240763E-7,1600.0,99.0,97.99884733606558,97.97570850202429,98.0,11600.0,309784.0
1700.0,3.591727,2.7958800248594744E-7,1700.0,98.8,97.5983861154696,97.60956175298804,97.6,11700.0,310456.0
1800.0,3.649819,2.842536724586453E-7,1800.0,98.7,97.39864729659423,97.41035856573706,97.34693877551021,11800.0,310456.0
1900.0,3.709952,2.890832657325598E-7,1900.0,98.6,97.20003359959681,97.21115537848605,97.14867617107943,11900.0,310456.0
2000.0,3.775635,2.9435860830669594E-7,2000.0,98.5,97.0,97.0059880239521,96.88149688149687,12000.0,310456.0
