learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.003114,5.478039383888244E-13,100.0,53.0,0.0,6.000000000000005,0.0,100.0,680.0
200.0,0.00933,1.6413008173306782E-12,200.0,48.5,-3.914447134786112,-6.185567010309284,-8.421052631578956,200.0,680.0
300.0,0.011837,2.0823234485255347E-12,300.0,50.0,-2.5150355385456495,-6.382978723404261,-5.633802816901397,300.0,680.0
400.0,0.0142,2.49801410569085E-12,400.0,50.5,-1.8728133360773815,-1.020408163265307,-4.210526315789478,400.0,680.0
500.0,0.015988,2.8125527832243177E-12,500.0,49.8,-1.5602239989641773,0.0,-3.292181069958851,500.0,680.0
600.0,0.017678,3.109851645098792E-12,600.0,51.33333333333333,-1.22018857459792,2.9900332225913537,-2.8169014084506987,600.0,680.0
700.0,0.01989,3.4989789128303527E-12,700.0,51.142857142857146,-1.0604167370234006,1.4409221902017242,-2.395209580838329,700.0,680.0
800.0,0.021661,3.8105270100964436E-12,800.0,50.24999999999999,-0.9691004109797499,-0.5050505050505167,-2.051282051282053,800.0,680.0
900.0,0.022936,4.034820530149671E-12,900.0,50.0,0.9368197050118635,-1.8099547511312104,-2.040816326530614,900.0,680.0
1000.0,0.024328,4.279696279101901E-12,1000.0,49.5,-1.0000000000000009,-1.2024048096192395,-2.020202020202022,1000.0,680.0
1100.0,0.025557,4.495897640784581E-12,1100.0,49.2,-1.195219123505977,-0.7936507936507943,-2.2132796780684125,1100.0,680.0
1200.0,0.026755,4.706645591391457E-12,1200.0,49.7,-1.3949363005966855,0.0,-2.0283975659229228,1200.0,680.0
1300.0,0.027807,4.89170973499616E-12,1300.0,49.4,-1.6983217767058498,-0.1980198019801982,-2.0161290322580663,1300.0,680.0
1400.0,0.028971,5.0964765250682825E-12,1400.0,49.2,-1.8995847792509937,-0.9940357852882713,-2.2132796780684125,1400.0,680.0
1500.0,0.03005,5.286290413803524E-12,1500.0,49.0,-2.1000580568957576,-4.081632653061228,-2.40963855421687,1500.0,680.0
1600.0,0.031006,5.454466574721866E-12,1600.0,47.4,-3.992028595830827,-6.477732793522273,-5.200000000000005,1600.0,680.0
1700.0,0.033106,5.8238911959860055E-12,1700.0,46.6,-5.885152284263957,-6.374501992031867,-6.799999999999995,1700.0,680.0
1800.0,0.034025,5.985558446910646E-12,1800.0,46.800000000000004,-5.807478122513912,-5.976095617529874,-8.571428571428568,1800.0,680.0
1900.0,0.034858,6.132096880012088E-12,1900.0,46.7,-6.725509198817811,-6.175298804780871,-8.553971486761707,1900.0,680.0
2000.0,0.035787,6.295523295799891E-12,2000.0,46.5,-6.999999999999995,-6.786427145708577,-11.226611226611226,2000.0,680.0
