learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.055657,1.5415904819965364E-8,100.0,99.0,97.9903536977492,98.0,97.87234042553192,10100.0,56448.0
200.0,1.097045,1.6020299494266512E-8,200.0,98.5,97.0,96.90721649484536,96.84210526315789,10200.0,56448.0
300.0,1.125053,1.642930418252945E-8,300.0,99.0,97.99893276414087,97.87234042553192,97.88732394366197,10300.0,56448.0
400.0,1.149574,1.6787387728691103E-8,400.0,99.25,98.49887415561672,98.46938775510206,98.42105263157896,10400.0,56448.0
500.0,1.174005,1.7144156992435458E-8,500.0,99.4,98.79988478893974,98.80478087649402,98.76543209876543,10500.0,56448.0
600.0,1.195776,1.746208190917969E-8,600.0,99.5,98.99853117906262,99.00332225913621,98.94366197183099,10600.0,56448.0
700.0,1.220969,1.782997876405716E-8,700.0,99.57142857142857,99.14193253138073,99.13544668587895,99.10179640718562,10700.0,56448.0
800.0,1.244823,1.8178322017192842E-8,800.0,99.625,99.24985934862787,99.24242424242424,99.23076923076923,10800.0,56448.0
900.0,1.268657,1.8526373207569123E-8,900.0,99.66666666666667,99.33323455326716,99.3212669683258,99.31972789115648,10900.0,56448.0
1000.0,1.294221,1.8899687826633452E-8,1000.0,99.7,99.4,99.39879759519037,99.39393939393939,11000.0,56448.0
1100.0,1.330279,1.9426247775554657E-8,1100.0,99.4,98.79992319508449,98.80952380952381,98.79275653923541,11100.0,56448.0
1200.0,1.358947,1.9844890534877776E-8,1200.0,99.5,98.9997119170321,99.00596421471172,98.98580121703854,11200.0,56448.0
1300.0,1.382967,2.0195657908916474E-8,1300.0,99.4,98.79987998799879,98.8118811881188,98.79032258064517,11300.0,56448.0
1400.0,1.409738,2.058659851551056E-8,1400.0,99.2,98.3999807997696,98.40954274353876,98.39034205231388,11400.0,56448.0
1500.0,1.437232,2.0988097190856935E-8,1500.0,99.1,98.2,98.16326530612245,98.19277108433735,11500.0,56448.0
1600.0,1.463687,2.137442320585251E-8,1600.0,99.1,98.19887609868559,98.17813765182186,98.2,11600.0,56448.0
1700.0,1.488631,2.173868387937546E-8,1700.0,98.9,97.79841485869825,97.80876494023904,97.8,11700.0,56448.0
1800.0,1.512274,2.2083945870399476E-8,1800.0,98.8,97.59865524693828,97.60956175298804,97.55102040816325,11800.0,56448.0
1900.0,1.535466,2.2422621846199037E-8,1900.0,98.7,97.40006239850243,97.41035856573706,97.35234215885947,11900.0,56448.0
2000.0,1.560315,2.278549522161484E-8,2000.0,98.6,97.2,97.20558882235528,97.0893970893971,12000.0,56448.0
