learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,6.037988,6.760473690099187E-9,100.0,98.0,95.99839935974389,96.0,95.45454545454545,60100.0,4328.0
200.0,6.073197,6.799895682682594E-9,200.0,99.0,97.99015174354336,97.9381443298969,97.59036144578313,60200.0,4328.0
300.0,6.103693,6.834040733261241E-9,300.0,99.33333333333333,98.65657606018539,98.63945578231291,98.42519685039369,60300.0,4328.0
400.0,6.13116,6.864794343709945E-9,400.0,99.5,98.99355877616746,98.97435897435898,98.85057471264368,60400.0,4328.0
500.0,6.157248,6.894003947575887E-9,500.0,99.4,98.79020550375843,98.79518072289156,98.61751152073732,60500.0,4328.0
600.0,6.184139,6.924112635768122E-9,600.0,99.5,98.99089563618423,98.9795918367347,98.85057471264368,60600.0,4328.0
700.0,6.21093,6.954109358290831E-9,700.0,99.57142857142857,99.13713759779105,99.12790697674417,99.0353697749196,60700.0,4328.0
800.0,6.237724,6.984109439783626E-9,800.0,99.5,98.99576337674564,98.9769820971867,98.89807162534436,60800.0,4328.0
900.0,6.265818,7.015565074980259E-9,900.0,99.55555555555556,99.10969101332002,99.09297052154194,99.04988123515439,60900.0,4328.0
1000.0,6.292314,7.045231498777866E-9,1000.0,99.6,99.19845140812049,99.19354838709677,99.14346895074947,61000.0,4328.0
1100.0,6.318375,7.074410871913036E-9,1100.0,99.8,99.59922570406025,99.59016393442623,99.57627118644068,61100.0,4328.0
1200.0,6.344827,7.104028030816051E-9,1200.0,99.8,99.59959158341508,99.59100204498978,99.58592132505176,61200.0,4328.0
1300.0,6.371311,7.133681018733315E-9,1300.0,99.8,99.59948253143061,99.58246346555325,99.58419958419958,61300.0,4328.0
1400.0,6.397474,7.162974596851401E-9,1400.0,99.8,99.59987195902688,99.58847736625515,99.59183673469387,61400.0,4328.0
1500.0,6.423031,7.19158966301216E-9,1500.0,99.9,99.7999839987199,99.78902953586498,99.800796812749,61500.0,4328.0
1600.0,6.450778,7.222656777335538E-9,1600.0,99.9,99.79985429392599,99.79209979209979,99.8019801980198,61600.0,4328.0
1700.0,6.478599,7.2538067462543645E-9,1700.0,99.9,99.79987512207617,99.7907949790795,99.80237154150198,61700.0,4328.0
1800.0,6.506581,7.2851369799011285E-9,1800.0,99.9,99.79995518996255,99.79123173277662,99.80276134122288,61800.0,4328.0
1900.0,6.532233,7.3138584134479365E-9,1900.0,99.9,99.79999039953917,99.79296066252587,99.79797979797979,61900.0,4328.0
2000.0,6.559706,7.344618741836813E-9,2000.0,99.9,99.79992797407067,99.78991596638656,99.79879275653923,62000.0,4328.0
2100.0,6.585264,7.373234927654267E-9,2100.0,99.9,99.79962971571464,99.79209979209979,99.7946611909651,62100.0,4328.0
2200.0,6.611459,7.402564334786601E-9,2200.0,99.9,99.79966343457008,99.79166666666667,99.79508196721312,62200.0,4328.0
2300.0,6.63879,7.433165671924751E-9,2300.0,99.9,99.79955742278952,99.79508196721312,99.8003992015968,62300.0,4328.0
2400.0,6.665455,7.463021317703858E-9,2400.0,99.9,99.79991196126295,99.79253112033194,99.800796812749,62400.0,4328.0
2500.0,6.69238,7.493168074223732E-9,2500.0,99.9,99.8,99.79209979209979,99.79959919839679,62500.0,4328.0
2600.0,6.719111,7.523097617344725E-9,2600.0,99.9,99.7999839987199,99.7872340425532,99.8003992015968,62600.0,4328.0
2700.0,6.745329,7.55245277658105E-9,2700.0,99.9,99.7999839987199,99.7867803837953,99.79959919839679,62700.0,4328.0
2800.0,6.771414,7.581659021476906E-9,2800.0,100.0,100.0,100.0,100.0,62800.0,4328.0
2900.0,6.796435,7.609673951649006E-9,2900.0,100.0,100.0,100.0,100.0,62900.0,4328.0
3000.0,6.822837,7.63923512771726E-9,3000.0,100.0,100.0,100.0,100.0,63000.0,4328.0
3100.0,6.848778,7.668280142048998E-9,3100.0,100.0,100.0,100.0,100.0,63100.0,4328.0
3200.0,6.874946,7.69757931845056E-9,3200.0,100.0,100.0,100.0,100.0,63200.0,4328.0
3300.0,6.902008,7.727879467937685E-9,3300.0,100.0,100.0,100.0,100.0,63300.0,4328.0
3400.0,6.929267,7.758400189793775E-9,3400.0,100.0,100.0,100.0,100.0,63400.0,4328.0
3500.0,6.957676,7.790208516849415E-9,3500.0,99.9,99.79996639435426,99.7907949790795,99.79959919839679,63500.0,4328.0
3600.0,6.983647,7.819287120882012E-9,3600.0,99.9,99.79996639435426,99.79838709677419,99.800796812749,63600.0,4328.0
3700.0,7.008704,7.84734235869514E-9,3700.0,99.9,99.79996639435426,99.79959919839679,99.800796812749,63700.0,4328.0
3800.0,7.033841,7.87548716904389E-9,3800.0,99.8,99.5999743983615,99.60396039603961,99.59758551307847,63800.0,4328.0
3900.0,7.058681,7.903299441354146E-9,3900.0,99.8,99.5999215846306,99.61089494163424,99.59514170040485,63900.0,4328.0
