learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,3.666811,5.1475190067042906E-8,100.0,99.0,97.99839871897518,98.0,97.72727272727273,60100.0,54264.0
200.0,3.705981,5.202506383880973E-8,200.0,99.5,98.994368463395,98.96907216494846,98.79518072289156,60200.0,54264.0
300.0,3.72856,5.23420309027036E-8,300.0,99.66666666666667,99.3278967649431,99.31972789115648,99.21259842519686,60300.0,54264.0
400.0,3.748107,5.261643433943391E-8,400.0,99.75,99.49657672170761,99.4871794871795,99.42528735632186,60400.0,54264.0
500.0,3.765083,5.285474572951595E-8,500.0,99.6,99.19317099933839,99.19678714859438,99.07834101382488,60500.0,54264.0
600.0,3.780111,5.306571083143353E-8,600.0,99.66666666666667,99.32704494218196,99.31972789115648,99.23371647509579,60600.0,54264.0
700.0,3.797213,5.3305791026602185E-8,700.0,99.57142857142857,99.13713759779105,99.12790697674417,99.0353697749196,60700.0,54264.0
800.0,3.814938,5.355461698025465E-8,800.0,99.625,99.24669487375861,99.23273657289002,99.17355371900825,60800.0,54264.0
900.0,3.830003,5.3766101493189733E-8,900.0,99.66666666666667,99.33220550262666,99.31972789115648,99.28741092636581,60900.0,54264.0
1000.0,3.844354,5.396756277730068E-8,1000.0,99.7,99.39878313706943,99.39516129032258,99.3576017130621,61000.0,54264.0
1100.0,3.857727,5.415529476478696E-8,1100.0,99.8,99.59922570406025,99.59016393442623,99.57627118644068,61100.0,54264.0
1200.0,3.872134,5.435754218449195E-8,1200.0,99.8,99.59959158341508,99.59100204498978,99.58592132505176,61200.0,54264.0
1300.0,3.888247,5.458373866354425E-8,1300.0,99.8,99.59948253143061,99.58246346555325,99.58419958419958,61300.0,54264.0
1400.0,3.9033,5.479505471885204E-8,1400.0,99.8,99.59987195902688,99.58847736625515,99.59183673469387,61400.0,54264.0
1500.0,3.916181,5.497587994361917E-8,1500.0,99.9,99.7999839987199,99.78902953586498,99.800796812749,61500.0,54264.0
1600.0,3.928709,5.515174970651666E-8,1600.0,99.9,99.79985429392599,99.79209979209979,99.8019801980198,61600.0,54264.0
1700.0,3.942048,5.533900439739227E-8,1700.0,100.0,100.0,100.0,100.0,61700.0,54264.0
1800.0,3.956752,5.554542114337285E-8,1800.0,99.9,99.79995518996255,99.79123173277662,99.80276134122288,61800.0,54264.0
1900.0,3.969046,5.5718005982538063E-8,1900.0,99.9,99.79999039953917,99.79296066252587,99.79797979797979,61900.0,54264.0
2000.0,3.982047,5.5900515783578155E-8,2000.0,99.9,99.79992797407067,99.78991596638656,99.79879275653923,62000.0,54264.0
2100.0,3.99431,5.607266544053952E-8,2100.0,99.9,99.79962971571464,99.79209979209979,99.7946611909651,62100.0,54264.0
2200.0,4.00712,5.6252493957678474E-8,2200.0,99.8,99.59929475877544,99.58333333333333,99.59016393442623,62200.0,54264.0
2300.0,4.019142,5.64212604239583E-8,2300.0,99.8,99.59907787912198,99.59016393442623,99.60079840319361,62300.0,54264.0
2400.0,4.031545,5.6595375419904787E-8,2400.0,99.8,99.59980790779575,99.5850622406639,99.60159362549801,62400.0,54264.0
2500.0,4.044068,5.677117499212424E-8,2500.0,99.8,99.6,99.58419958419958,99.59919839679358,62500.0,54264.0
2600.0,4.056627,5.694747993722558E-8,2600.0,99.8,99.59997599855991,99.57446808510639,99.60079840319361,62600.0,54264.0
2700.0,4.068476,5.711381780604522E-8,2700.0,99.8,99.59997599855991,99.57356076759062,99.59919839679358,62700.0,54264.0
2800.0,4.080606,5.728410039097071E-8,2800.0,99.9,99.79996639435426,99.7872340425532,99.79674796747967,62800.0,54264.0
