learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.003248,5.71376747555203E-13,100.0,55.00000000000001,-5.932203389830482,-7.142857142857122,-12.499999999999984,100.0,680.0
200.0,0.009182,1.6152651773558723E-12,200.0,53.5,-2.9900332225913777,2.105263157894739,-5.681818181818188,200.0,680.0
300.0,0.011648,2.049075232611762E-12,300.0,51.0,-1.99833472106579,-8.088235294117638,-3.521126760563367,300.0,680.0
400.0,0.013985,2.460192061132855E-12,400.0,51.74999999999999,-1.498816723639266,1.5306122448979493,-2.6595744680851205,400.0,680.0
500.0,0.016118,2.835421926445431E-12,500.0,52.0,-1.1992106461569418,2.040816326530614,-2.1276595744680873,500.0,680.0
600.0,0.017765,3.1251563794083063E-12,600.0,51.16666666666667,-0.999655291278851,0.6779661016949309,-1.736111111111105,600.0,680.0
700.0,0.019947,3.509006152550379E-12,700.0,49.57142857142857,-0.8571428571428563,-1.7291066282420848,-1.7291066282420848,700.0,680.0
800.0,0.021609,3.8013793528079984E-12,800.0,48.75,-2.3088104105453096,-5.398457583547569,-5.670103092783511,800.0,680.0
900.0,0.02292,4.032005866368612E-12,900.0,49.0,-1.7497709337037697,-3.8461538461538365,-5.0343249427917725,900.0,680.0
1000.0,0.02457,4.322268068790436E-12,1000.0,47.8,-4.400000000000004,-5.030181086519119,-9.2050209205021,1000.0,680.0
1100.0,0.025852,4.5477930042478775E-12,1100.0,47.5,-4.1269992383853875,-4.1666666666666705,-9.375000000000009,1100.0,680.0
1200.0,0.027071,4.762235201067395E-12,1200.0,47.599999999999994,-4.52780958384367,-3.55731225296443,-9.3945720250522,1200.0,680.0
1300.0,0.028139,4.9501140084531575E-12,1300.0,47.3,-5.691709117163362,-0.957854406130269,-9.336099585062248,1300.0,680.0
1400.0,0.029301,5.154528965552648E-12,1400.0,46.800000000000004,-6.64955997033057,-5.13833992094861,-7.4747474747474705,1400.0,680.0
1500.0,0.030406,5.348916682932112E-12,1500.0,45.9,-9.011042153622965,-9.072580645161288,-9.514170040485826,1500.0,680.0
1600.0,0.031334,5.512167182233599E-12,1600.0,47.199999999999996,-5.534568567488155,-7.975460122699393,-5.389221556886232,1600.0,680.0
1700.0,0.033437,5.882119552956687E-12,1700.0,48.0,-3.459939117805061,-8.786610878661095,-5.691056910569111,1700.0,680.0
1800.0,0.034281,6.030593067407609E-12,1800.0,48.4,-3.0355552538149215,-6.172839506172846,-2.3809523809523827,1800.0,680.0
1900.0,0.035122,6.178538832399581E-12,1900.0,48.199999999999996,-3.7248847612525497,-6.147540983606563,-2.3715415019762864,1900.0,680.0
2000.0,0.03609,6.348825991153718E-12,2000.0,49.0,-2.0000000000000018,-4.722792607802879,1.3539651837524191,2000.0,680.0
2100.0,0.036921,6.495012591282528E-12,2100.0,48.8,-3.194598407739601,-3.853955375253553,1.3487475915221592,2100.0,680.0
2200.0,0.037664,6.625718540615507E-12,2200.0,48.6,-3.3506522753229233,-4.6843177189409415,3.0188679245283043,2200.0,680.0
2300.0,0.038552,6.781932380464343E-12,2300.0,49.4,-1.0205874367123997,-4.329896907216499,1.747572815533982,2300.0,680.0
2400.0,0.039292,6.912110580338373E-12,2400.0,49.9,0.8117204513957618,-0.4008016032064131,0.19920318725099617,2400.0,680.0
2500.0,0.040016,7.039474116431343E-12,2500.0,50.3,0.9849704349489303,3.495145631067964,2.1653543307086633,2500.0,680.0
2600.0,0.040688,7.157689995235867E-12,2600.0,48.9,-2.1509675355829185,2.851711026615972,-1.7928286852589657,2600.0,680.0
2700.0,0.041508,7.301941514015199E-12,2700.0,48.8,-2.455325875973026,4.832713754646834,-0.39215686274509837,2700.0,680.0
2800.0,0.042138,7.41276890039444E-12,2800.0,48.9,-2.244169481215886,5.893186003683237,-1.1881188118811892,2800.0,680.0
2900.0,0.042743,7.519198374615775E-12,2900.0,48.5,-3.2270996191621575,3.917910447761187,-2.5896414342629503,2900.0,680.0
3000.0,0.043518,7.655533651510874E-12,3000.0,48.5,-3.0000000000000027,2.2770398481973455,-3.0000000000000027,3000.0,680.0
3100.0,0.044135,7.764074123568005E-12,3100.0,48.699999999999996,-2.6000000000000023,3.2075471698113236,-3.63636363636364,3100.0,680.0
3200.0,0.044732,7.86909626589881E-12,3200.0,49.0,-1.3771388588512272,3.0418250950570367,-5.371900826446286,3200.0,680.0
3300.0,0.045505,8.005079709821277E-12,3300.0,48.8,-2.2625591205419924,2.103250478011474,-3.853955375253553,3300.0,680.0
3400.0,0.046065,8.10359294215838E-12,3400.0,47.699999999999996,-4.897910064583416,-1.9493177387914247,-3.976143141153085,3400.0,680.0
3500.0,0.046673,8.210550165838665E-12,3500.0,47.699999999999996,-4.759234035734316,-0.7707129094412338,-3.5643564356435675,3500.0,680.0
3600.0,0.047259,8.313637226819991E-12,3600.0,48.1,-3.8000000000000034,-2.1653543307086633,-3.5928143712574885,3600.0,680.0
3700.0,0.047892,8.424992362658182E-12,3700.0,47.5,-4.919421883993087,-4.581673306772912,-6.060606060606066,3700.0,680.0
3800.0,0.048443,8.521922346618439E-12,3800.0,47.699999999999996,-4.606694828469033,-5.8704453441295605,-4.600000000000004,3800.0,680.0
3900.0,0.048997,8.619380080037645E-12,3900.0,47.5,-5.0411761410472895,-6.275303643724701,-6.275303643724701,3900.0,680.0
4000.0,0.04982,8.764159348275924E-12,4000.0,47.699999999999996,-4.600000000000004,-5.8704453441295605,-5.443548387096779,4000.0,680.0
4100.0,0.05048,8.880264229244654E-12,4100.0,46.7,-6.60085280682245,-9.221311475409832,-5.1282051282051215,4100.0,680.0
4200.0,0.051079,8.985638204548091E-12,4200.0,46.1,-7.955455856433272,-11.363636363636363,-6.311637080867845,4200.0,680.0
4300.0,0.051672,9.089956680933631E-12,4300.0,46.400000000000006,-7.803700724054707,-11.666666666666666,-6.3492063492063435,4300.0,680.0
4400.0,0.052225,9.187238497866522E-12,4400.0,46.5,-6.718263783611264,-11.691022964509393,-6.150793650793645,4400.0,680.0
4500.0,0.052762,9.281705651018351E-12,4500.0,47.699999999999996,-3.5856889339586786,-14.44201312910286,-6.7346938775510266,4500.0,680.0
4600.0,0.053323,9.380394799841772E-12,4600.0,47.8,-4.070305272895476,-14.977973568281952,-6.748466257668717,4600.0,680.0
4700.0,0.053965,9.493333184056809E-12,4700.0,48.1,-3.8639802118104734,-12.33766233766235,-5.273833671399599,4700.0,680.0
4800.0,0.054552,9.596596161524452E-12,4800.0,48.0,-4.116610603876346,-13.537117903930143,-5.906313645621187,4800.0,680.0
4900.0,0.055126,9.697572224669984E-12,4900.0,49.1,-2.241684075204897,-7.1578947368421115,-2.828282828282831,4900.0,680.0
5000.0,0.055725,9.802946199973421E-12,5000.0,48.1,-3.8000000000000034,-9.03361344537816,-2.7722772277227747,5000.0,680.0
5100.0,0.056234,9.892487691508396E-12,5100.0,48.8,-2.1874501037841227,-10.822510822510834,-1.7892644135188884,5100.0,680.0
5200.0,0.056739,9.981325517098106E-12,5200.0,48.9,-2.659916425586634,-7.127882599580719,-1.7928286852589657,5200.0,680.0
5300.0,0.057278,1.007614450322257E-11,5300.0,48.199999999999996,-4.106373400218664,-7.6923076923077,-2.1696252465483257,5300.0,680.0
5400.0,0.057774,1.0163399080435433E-11,5400.0,48.3,-3.140086980808358,-5.942622950819677,-4.444444444444449,5400.0,680.0
5500.0,0.058273,1.0251181407107246E-11,5500.0,46.5,-5.550995927901764,-7.8629032258064475,-6.150793650793645,5500.0,680.0
5600.0,0.058792,1.0342482063505384E-11,5600.0,46.1,-6.813047441639246,-6.944444444444439,-6.102362204724404,5600.0,680.0
