learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.239674,1.747711517744594E-8,100.0,99.0,97.95417348608838,97.61904761904762,97.5,60100.0,54496.0
200.0,1.279003,1.8031581482953495E-8,200.0,99.5,98.99091826437942,98.94736842105263,98.86363636363636,60200.0,54496.0
300.0,1.304431,1.8390069347288872E-8,300.0,99.66666666666667,99.3324432576769,99.26470588235294,99.29577464788734,60300.0,54496.0
400.0,1.3317,1.8774511913458506E-8,400.0,99.75,99.49887246304185,99.48979591836736,99.46808510638299,60400.0,54496.0
500.0,1.35284,1.9072546892695956E-8,500.0,99.8,99.598999101758,99.59183673469387,99.57446808510639,60500.0,54496.0
600.0,1.373358,1.9361812820037204E-8,600.0,99.66666666666667,99.33259176863181,99.3220338983051,99.30555555555556,60600.0,54496.0
700.0,1.391459,1.961700350874E-8,700.0,99.71428571428571,99.42857142857142,99.4236311239193,99.4236311239193,60700.0,54496.0
800.0,1.40798,1.984991911384794E-8,800.0,99.75,99.49999687498048,99.48586118251929,99.48453608247424,60800.0,54496.0
900.0,1.425024,2.0090208053588863E-8,900.0,99.77777777777777,99.55554677623262,99.5475113122172,99.54233409610984,60900.0,54496.0
1000.0,1.442053,2.0330285521017178E-8,1000.0,99.7,99.4,99.3963782696177,99.3723849372385,61000.0,54496.0
1100.0,1.461845,2.0609316188428135E-8,1100.0,99.6,99.19907733709233,99.20634920634922,99.16666666666667,61100.0,54496.0
1200.0,1.486288,2.0949415094736547E-8,1200.0,98.9,97.79518468334844,97.82608695652173,97.7035490605428,52.0,53784.0
1300.0,1.49902,2.112656762409541E-8,1300.0,98.5,96.99819891935161,97.12643678160919,96.88796680497926,152.0,53784.0
1400.0,1.511301,2.1297444957825867E-8,1400.0,98.0,95.99927987037667,96.04743083003953,95.95959595959596,252.0,53784.0
1500.0,1.523165,2.1462520170542925E-8,1500.0,97.8,95.59704121169426,95.56451612903226,95.54655870445343,352.0,53784.0
1600.0,1.535238,2.1630503400746316E-8,1600.0,97.6,95.20001919992318,95.0920245398773,95.20958083832335,452.0,53784.0
1700.0,1.547984,2.1807850725534886E-8,1700.0,97.2,94.39939513467453,94.14225941422593,94.30894308943088,552.0,53784.0
1800.0,1.560293,2.197911765012476E-8,1800.0,96.5,92.99921591218215,92.79835390946502,93.05555555555554,652.0,53784.0
1900.0,1.572312,2.214634952652785E-8,1900.0,95.6,91.19926073790198,90.98360655737704,91.30434782608695,752.0,53784.0
2000.0,1.584344,2.2313762284401385E-8,2000.0,94.89999999999999,89.8,89.5277207392197,90.13539651837523,852.0,53784.0
