learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,7.379788,1.1433556048406496E-7,100.0,98.0,95.89490968801313,95.23809523809523,95.0,60100.0,59888.0
200.0,7.430079,1.1511472238848608E-7,200.0,99.0,97.97979797979798,97.89473684210526,97.72727272727273,60200.0,59888.0
300.0,7.458621,1.1555692554761968E-7,300.0,99.33333333333333,98.66452991452991,98.52941176470587,98.59154929577464,60300.0,59888.0
400.0,7.484545,1.1595856785360312E-7,400.0,99.5,98.99749373433583,98.9795918367347,98.93617021276596,60400.0,59888.0
500.0,7.510438,1.1635972987446522E-7,500.0,99.6,99.19783093484783,99.18367346938776,99.14893617021276,60500.0,59888.0
600.0,7.537471,1.167785539933377E-7,600.0,99.5,98.99877628212259,98.98305084745762,98.95833333333334,60600.0,59888.0
700.0,7.568526,1.1725969123343628E-7,700.0,99.57142857142857,99.14285714285714,99.13544668587895,99.13544668587895,60700.0,59888.0
800.0,7.593684,1.1764946584900222E-7,800.0,99.625,99.25,99.22879177377891,99.22680412371133,60800.0,59888.0
900.0,7.616685,1.1800582191596431E-7,900.0,99.66666666666667,99.33332674890617,99.3212669683258,99.31350114416476,60900.0,59888.0
1000.0,7.639219,1.183549427199695E-7,1000.0,99.7,99.4,99.3963782696177,99.3723849372385,61000.0,59888.0
1100.0,7.664667,1.1874921032538018E-7,1100.0,99.7,99.39950038431975,99.40476190476191,99.375,61100.0,59888.0
1200.0,7.69168,1.1916772458288406E-7,1200.0,99.4,98.79808173845457,98.81422924901186,98.74739039665971,61200.0,59888.0
1300.0,7.716732,1.195558569331964E-7,1300.0,99.0,97.99935979513444,98.08429118773945,97.9253112033195,61300.0,59888.0
1400.0,7.744028,1.19978755729066E-7,1400.0,98.8,97.59985599135948,97.62845849802372,97.57575757575758,61400.0,59888.0
1500.0,7.769991,1.2038100226471824E-7,1500.0,98.6,97.19892438696459,97.17741935483872,97.16599190283401,61500.0,59888.0
1600.0,7.798835,1.2082788433051774E-7,1600.0,98.4,96.79991039749113,96.7280163599182,96.80638722554889,61600.0,59888.0
1700.0,7.833689,1.213678797375825E-7,1700.0,98.0,95.99783883296979,95.81589958158996,95.9349593495935,61700.0,59888.0
1800.0,7.860042,1.2177616856992246E-7,1800.0,97.7,95.39845388050384,95.26748971193415,95.43650793650794,61800.0,59888.0
1900.0,7.885938,1.2217737706998984E-7,1900.0,96.7,93.39741178541988,93.23770491803278,93.4782608695652,61900.0,59888.0
2000.0,7.912211,1.2258442645685542E-7,2000.0,96.2,92.39999999999999,92.1971252566735,92.64990328820116,62000.0,59888.0
2100.0,7.948034,1.23139434647229E-7,2100.0,93.8,87.59071785695699,87.42393509127788,88.05394990366088,62100.0,59888.0
2200.0,7.991939,1.2381965781665512E-7,2200.0,91.8,83.59054815573771,83.29938900203668,84.52830188679246,62200.0,59888.0
2300.0,8.03143,1.2443149458203051E-7,2300.0,89.3,78.60496364843357,77.93814432989691,79.2233009708738,62300.0,59888.0
2400.0,8.073938,1.250900739348597E-7,2400.0,87.0,74.03271877434433,73.94789579158316,74.10358565737052,62400.0,59888.0
2500.0,8.113843,1.2570832483056518E-7,2500.0,84.1,68.24115945734329,69.12621359223301,68.70078740157479,62500.0,59888.0
2600.0,8.156581,1.2637046758913332E-7,2600.0,81.69999999999999,63.47451199552911,65.20912547528516,63.54581673306772,62600.0,59888.0
2700.0,8.199029,1.270281173578567E-7,2700.0,78.8,57.64489640980561,60.594795539033456,58.43137254901961,62700.0,59888.0
2800.0,8.238703,1.2764278935475482E-7,2800.0,76.0,52.04603580562659,55.80110497237569,52.475247524752476,62800.0,59888.0
2900.0,8.276485,1.2822814846618307E-7,2900.0,74.6,49.2659542594627,52.611940298507456,49.40239043824701,62900.0,59888.0
3000.0,8.31862,1.288809489044878E-7,3000.0,72.7,45.4,48.197343453510435,45.4,63000.0,59888.0
3100.0,8.359118,1.2950838718977238E-7,3100.0,72.0,43.99999999999999,47.16981132075471,43.43434343434343,63100.0,59888.0
3200.0,8.399471,1.301335789801346E-7,3200.0,70.5,40.724010995193616,43.91634980988592,39.0495867768595,63200.0,59888.0
3300.0,8.441785,1.3078915267768834E-7,3300.0,71.39999999999999,42.56289964975418,45.315487571701716,41.98782961460446,63300.0,59888.0
3400.0,8.483273,1.3143192910071877E-7,3400.0,70.7,41.190638673678286,42.884990253411296,41.74950298210735,63400.0,59888.0
3500.0,8.524838,1.3207589849001833E-7,3500.0,70.8,41.52702572810868,43.73795761078998,42.17821782178217,63500.0,59888.0
3600.0,8.565569,1.3270694666024714E-7,3600.0,70.19999999999999,40.39999999999999,41.33858267716535,40.5189620758483,63600.0,59888.0
3700.0,8.605799,1.333302328031924E-7,3700.0,71.0,42.05493192453553,42.23107569721115,41.41414141414141,63700.0,59888.0
3800.0,8.645414,1.3394399070905315E-7,3800.0,70.5,40.97828000704259,40.28340080971659,40.99999999999999,63800.0,59888.0
3900.0,8.685477,1.345646895095706E-7,3900.0,69.3,38.55133265546312,37.85425101214574,37.85425101214574,63900.0,59888.0
4000.0,8.724899,1.3517545725322432E-7,4000.0,69.5,38.99999999999999,38.25910931174088,38.50806451612902,64000.0,59888.0
4100.0,8.762946,1.3576492202778658E-7,4100.0,72.3,44.63587595238285,43.23770491803278,45.36489151873767,64100.0,59888.0
4200.0,8.801806,1.3636698266698255E-7,4200.0,75.7,51.51868226581329,49.79338842975206,52.071005917159766,64200.0,59888.0
4300.0,8.841838,1.3698720118237866E-7,4300.0,77.3,54.72134679060119,52.708333333333336,54.96031746031746,64300.0,59888.0
4400.0,8.878027,1.3754787983579768E-7,4400.0,79.4,58.761895991896516,56.99373695198331,59.12698412698414,64400.0,59888.0
4500.0,8.912389,1.380802526531948E-7,4500.0,82.1,63.98941007008988,60.83150984682712,63.469387755102034,64500.0,59888.0
4600.0,8.94501,1.38585652038455E-7,4600.0,84.89999999999999,69.64921731160405,66.74008810572687,69.12065439672801,64600.0,59888.0
4700.0,8.976402,1.3907201044261455E-7,4700.0,86.9,73.75885388288836,71.64502164502164,73.42799188640974,64700.0,59888.0
4800.0,9.008428,1.3956819145215881E-7,4800.0,90.4,80.78770413064362,79.03930131004367,80.44806517311609,64800.0,59888.0
4900.0,9.040817,1.4006999644554322E-7,4900.0,93.5,86.98500672775037,86.31578947368422,86.86868686868688,64900.0,59888.0
5000.0,9.072171,1.405557661131024E-7,5000.0,95.19999999999999,90.39999999999999,89.91596638655462,90.49504950495049,65000.0,59888.0
5100.0,9.099229,1.4097497755868565E-7,5100.0,95.5,91.00165569535204,90.25974025974025,91.05367793240556,65100.0,59888.0
