learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.091465,1.505853556510475E-9,100.0,94.0,87.60330578512395,85.7142857142857,84.99999999999999,100.0,63640.0,10.0,598.3,29.758472183004717,768.8,210.0565003358223,5.2,1.7511900715418263,3.1,0.8755950357709131,3.1,0.8755950357709131,2.1,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.136314,2.2832189376155536E-9,200.0,97.0,93.92712550607287,93.68421052631578,93.18181818181817,200.0,67000.0,10.0,1204.3,49.139370954233605,1041.6,322.5189744633467,7.4,2.6331223544175333,4.2,1.3165611772087666,4.2,1.3165611772087666,2.9,1.1972189997378648,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.161295,2.7162133095165093E-9,300.0,97.66666666666667,95.32210638866614,94.8529411764706,95.07042253521128,300.0,67000.0,10.0,1803.6999999999998,59.065030075144975,1336.8,453.9830638054929,9.8,3.675746333890726,5.4,1.837873166945363,5.4,1.837873166945363,3.8,1.3165611772087666,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.180511,3.0659864449666608E-9,400.0,98.25,96.48858791070981,96.42857142857144,96.27659574468086,400.0,70360.0,10.0,2399.8,72.99741243511455,1532.8,520.7474969268269,11.4,4.1952353926806065,6.2,2.0976176963403033,6.2,2.0976176963403033,4.1,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.19918,3.405802986688084E-9,500.0,98.6,97.19065048481346,97.14285714285714,97.02127659574468,500.0,70360.0,10.0,3012.9,85.52511002298941,1804.0,937.1673632103642,13.600000000000001,7.604092465391398,7.300000000000001,3.802046232695699,7.300000000000001,3.802046232695699,4.3999999999999995,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.217951,3.747476151006089E-9,600.0,98.5,96.99566039835318,96.94915254237287,96.875,600.0,70360.0,10.0,3614.7000000000003,79.43557837084782,2156.0,1038.9139628584371,16.4,8.435375246872871,8.7,4.2176876234364356,8.7,4.2176876234364356,5.2,1.2292725943057183,0.0,0.0,0.0,0.0,1.0,0.0
700.0,0.242136,4.208718364437421E-9,700.0,98.71428571428571,97.42857142857142,97.40634005763688,97.40634005763688,700.0,73720.0,10.0,4226.2,78.45706539956173,2491.2,1237.9952252645314,19.2,10.086294331087773,10.1,5.043147165543886,10.1,5.043147165543886,5.3999999999999995,1.2649110640673515,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.261896,4.585569558872117E-9,800.0,98.875,97.75002812464845,97.68637532133675,97.68041237113403,800.0,73720.0,10.0,4825.799999999999,87.87592262831609,2637.6,1425.2431527442764,20.400000000000002,11.62564215669636,10.700000000000001,5.81282107834818,10.700000000000001,5.81282107834818,5.5,1.35400640077266,0.0,0.0,0.0,0.0,1.0,0.0
900.0,0.279438,4.920120351016522E-9,900.0,99.0,98.00001975289133,97.96380090497738,97.94050343249427,900.0,73720.0,10.0,5420.1,79.25689594953582,2956.7999999999997,1699.2346512474373,23.0,13.856406460551018,12.0,6.928203230275509,12.0,6.928203230275509,5.8,1.5491933384829666,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.295614,5.2286195879181234E-9,1000.0,99.1,98.2,98.18913480885311,98.11715481171548,1000.0,73720.0,10.0,6025.099999999999,82.54486995298713,3083.2000000000003,1886.2786880227663,24.0,15.355057075041362,12.5,7.677528537520681,12.5,7.677528537520681,5.8,1.5491933384829666,0.0,0.0,0.0,0.0,1.0,0.0
