learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.712237,1.917117620921797E-9,100.0,96.0,91.99038846615937,90.90909090909089,91.30434782608695,20100.0,4328.0
200.0,1.734312,1.94183404246966E-9,200.0,98.0,95.99037690457097,96.078431372549,95.34883720930232,20200.0,4328.0
300.0,1.752272,1.9619430767165285E-9,300.0,98.66666666666667,97.33238484794595,97.48427672955975,97.10144927536233,20300.0,4328.0
400.0,1.769019,1.9806939673920466E-9,400.0,98.75,97.50000000000001,97.68518518518519,97.26775956284153,20400.0,4328.0
500.0,1.783053,1.9964072294533246E-9,500.0,99.0,97.99967994879181,98.07692307692307,97.77777777777777,20500.0,4328.0
600.0,1.797625,2.0127228668166523E-9,600.0,99.16666666666667,98.33333333333334,98.34983498349835,98.14126394052045,20600.0,4328.0
700.0,1.811221,2.0279457192454063E-9,700.0,99.14285714285714,98.28571428571429,98.29545454545455,98.07073954983923,20700.0,4328.0
800.0,1.826953,2.0455601583752357E-9,800.0,99.0,97.99996249929686,98.0440097799511,97.74647887323944,20800.0,4328.0
900.0,1.843088,2.0636258191532547E-9,900.0,98.88888888888889,97.77764608273084,97.85867237687367,97.51243781094529,20900.0,4328.0
1000.0,1.858082,2.0804139516419823E-9,1000.0,98.7,97.39956312660527,97.47572815533981,97.11751662971176,21000.0,4328.0
1100.0,1.872662,2.096738546258872E-9,1100.0,99.0,97.99971195852203,98.06949806949807,97.78270509977827,21100.0,4328.0
1200.0,1.886853,2.112627594421306E-9,1200.0,98.9,97.79994719873277,97.82608695652173,97.59825327510917,21200.0,4328.0
1300.0,1.902345,2.129973315944273E-9,1300.0,98.7,97.39987519400931,97.38955823293173,97.13024282560706,21300.0,4328.0
1400.0,1.916331,2.1456328344841785E-9,1400.0,98.7,97.39925098428347,97.3630831643002,97.14912280701753,21400.0,4328.0
1500.0,1.932015,2.1631935300926356E-9,1500.0,98.6,97.19991039713271,97.1943887775551,96.98924731182795,21500.0,4328.0
1600.0,1.946268,2.1791519969701756E-9,1600.0,98.6,97.1996079451123,97.24950884086444,97.01492537313433,21600.0,4328.0
1700.0,1.962768,2.1976263324419645E-9,1700.0,98.3,96.6,96.6796875,96.43605870020964,21700.0,4328.0
1800.0,1.978007,2.214688780821031E-9,1800.0,98.2,96.39994239907838,96.41434262948206,96.21052631578947,21800.0,4328.0
1900.0,1.992684,2.231121982137361E-9,1900.0,98.3,96.59942870402227,96.55172413793103,96.39830508474576,21900.0,4328.0
2000.0,2.006307,2.2463750652968872E-9,2000.0,98.6,97.19973117419272,97.16599190283401,97.0649895178197,22000.0,4328.0
2100.0,2.020622,2.262402950889533E-9,2100.0,98.6,97.19973117419272,97.21669980119285,97.07724425887265,22100.0,4328.0
2200.0,2.034009,2.277391795068978E-9,2200.0,98.7,97.39989599583984,97.44597249508841,97.3305954825462,22200.0,4328.0
2300.0,2.048392,2.293495817316902E-9,2300.0,98.8,97.59985599135948,97.6878612716763,97.52066115702479,22300.0,4328.0
2400.0,2.062799,2.309626711325512E-9,2400.0,98.8,97.5997599759976,97.60956175298804,97.52577319587628,22400.0,4328.0
2500.0,2.07729,2.325851656496524E-9,2500.0,98.8,97.59997119965439,97.6,97.5359342915811,22500.0,4328.0
2600.0,2.092204,2.3425502164496305E-9,2600.0,98.4,96.7999615995392,96.82539682539682,96.68737060041408,22600.0,4328.0
2700.0,2.107333,2.359489502592218E-9,2700.0,98.8,97.59723201127699,97.57575757575758,97.46835443037975,22700.0,4328.0
2800.0,2.121793,2.375679738405677E-9,2800.0,99.1,98.19827033952593,98.2,98.12889812889813,22800.0,4328.0
2900.0,2.135763,2.3913213424384583E-9,2900.0,99.0,97.99710782369742,98.01980198019803,97.95918367346938,22900.0,4328.0
3000.0,2.149942,2.407196954720549E-9,3000.0,98.9,97.79629778027086,97.80876494023904,97.71309771309771,23000.0,4328.0
3100.0,2.16439,2.4233737546536644E-9,3100.0,98.9,97.79698627722725,97.77777777777777,97.74127310061601,23100.0,4328.0
3200.0,2.177539,2.4380961205396375E-9,3200.0,98.9,97.79839723318575,97.75051124744377,97.71784232365145,23200.0,4328.0
3300.0,2.192641,2.4550051759514532E-9,3300.0,99.0,97.99819837854068,97.90794979079497,97.95081967213115,23300.0,4328.0
3400.0,2.207242,2.4713532833589438E-9,3400.0,99.1,98.19753422682228,98.18548387096774,98.14814814814815,23400.0,4328.0
3500.0,2.222069,2.487954433179563E-9,3500.0,99.2,98.39948143198396,98.38383838383838,98.36734693877551,23500.0,4328.0
3600.0,2.236528,2.5041435493363264E-9,3600.0,99.4,98.79987998799879,98.78542510121457,98.7878787878788,23600.0,4328.0
3700.0,2.251126,2.520488297773731E-9,3700.0,99.2,98.39984638525299,98.39357429718876,98.3739837398374,23700.0,4328.0
3800.0,2.26564,2.536738995048734E-9,3800.0,99.1,98.1986886453338,98.18181818181819,98.14814814814815,23800.0,4328.0
3900.0,2.279002,2.551699847810797E-9,3900.0,99.3,98.59988799103928,98.57723577235772,98.56850715746421,23900.0,4328.0
4000.0,2.293129,2.5675172379447345E-9,4000.0,99.3,98.59976476047976,98.59154929577466,98.59154929577466,24000.0,4328.0
4100.0,2.307065,2.583120773649877E-9,4100.0,99.3,98.6000111999104,98.59719438877755,98.58585858585859,24100.0,4328.0
4200.0,2.321823,2.599644667158523E-9,4200.0,99.2,98.39986558870945,98.41897233201581,98.33679833679834,24200.0,4328.0
4300.0,2.336551,2.6161349709663117E-9,4300.0,99.2,98.39986558870945,98.4313725490196,98.33679833679834,24300.0,4328.0
4400.0,2.350413,2.6316556520760052E-9,4400.0,99.2,98.39979517378225,98.4251968503937,98.35390946502058,24400.0,4328.0
4500.0,2.363716,2.6465504450930482E-9,4500.0,99.2,98.39992319631342,98.44054580896686,98.33679833679834,24500.0,4328.0
4600.0,2.378089,2.6626432707740195E-9,4600.0,99.3,98.6,98.63013698630137,98.52941176470587,24600.0,4328.0
