learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,3.899493,3.0151870096102353E-7,100.0,98.0,96.0015993602559,95.45454545454545,95.65217391304347,20100.0,298888.0
200.0,4.003434,3.0964603211730716E-7,200.0,99.0,97.9903536977492,98.0392156862745,97.67441860465115,20200.0,302248.0
300.0,4.085745,3.1608207520718375E-7,300.0,99.33333333333333,98.6652429257875,98.74213836477986,98.55072463768116,20300.0,302248.0
400.0,4.151957,3.2131686267960404E-7,400.0,99.5,99.0,99.07407407407405,98.90710382513662,20400.0,305608.0
500.0,4.223642,3.269843510496948E-7,500.0,99.6,99.19955174897943,99.23076923076923,99.1111111111111,20500.0,305608.0
600.0,4.279576,3.3140654948022634E-7,600.0,99.5,98.999799959992,99.00990099009901,98.88475836431226,20600.0,305608.0
700.0,4.337182,3.3601101103342245E-7,700.0,99.28571428571429,98.57126528746143,98.57954545454545,98.39228295819936,20700.0,308968.0
800.0,4.400281,3.410545294090278E-7,800.0,98.625,97.24938111074991,97.31051344743275,96.90140845070422,20800.0,308968.0
900.0,4.461662,3.4596072762790653E-7,900.0,98.44444444444444,96.88722874421914,97.00214132762312,96.51741293532339,20900.0,308968.0
1000.0,4.529639,3.5139414572674365E-7,1000.0,98.1,96.19744468282686,96.31067961165049,95.78713968957871,21000.0,308968.0
1100.0,4.592512,3.5641959986752933E-7,1100.0,98.3,96.5982855359101,96.71814671814671,96.23059866962306,21100.0,308968.0
1200.0,4.653854,3.6132268080694806E-7,1200.0,98.3,96.59953753710504,96.6403162055336,96.2882096069869,21200.0,308968.0
1300.0,4.716717,3.6640197832758224E-7,1300.0,98.0,95.99908779201658,95.98393574297188,95.58498896247241,21300.0,312328.0
1400.0,4.777224,3.7129091228048004E-7,1400.0,97.89999999999999,95.79690652320107,95.74036511156187,95.39473684210526,21400.0,312328.0
1500.0,4.838329,3.7622816432060466E-7,1500.0,97.8,95.59936630874846,95.59118236472945,95.26881720430107,21500.0,312328.0
1600.0,4.895541,3.8085086399689317E-7,1600.0,97.8,95.59832736439847,95.67779960707269,95.30916844349679,21600.0,312328.0
1700.0,4.956938,3.858117094842924E-7,1700.0,97.8,95.6,95.703125,95.38784067085953,21700.0,312328.0
1800.0,5.021199,3.9100396467372776E-7,1800.0,98.3,96.59970077366809,96.61354581673307,96.42105263157895,21800.0,312328.0
1900.0,5.07928,3.9569687909550136E-7,1900.0,98.5,97.0,96.95740365111561,96.82203389830508,21900.0,312328.0
2000.0,5.139545,4.0056625957497293E-7,2000.0,99.0,97.99993599795194,97.97570850202429,97.9035639412998,22000.0,312328.0
2100.0,5.197716,4.0526644594967364E-7,2100.0,98.9,97.79989439493096,97.8131212723658,97.7035490605428,22100.0,312328.0
2200.0,5.251558,4.096168513885803E-7,2200.0,98.9,97.7999823998592,97.83889980353634,97.74127310061601,22200.0,312328.0
2300.0,5.30923,4.14276718824274E-7,2300.0,99.1,98.19995679896317,98.26589595375722,98.14049586776859,22300.0,312328.0
2400.0,5.367447,4.1898062197491527E-7,2400.0,99.2,98.39990399423965,98.40637450199203,98.35051546391752,22400.0,312328.0
2500.0,5.428788,4.239369426916043E-7,2500.0,99.1,98.1999855998848,98.2,98.15195071868584,22500.0,312328.0
2600.0,5.488892,4.288455589198404E-7,2600.0,98.9,97.79994719873277,97.81746031746032,97.72256728778468,22600.0,315688.0
2700.0,5.549215,4.337720605958667E-7,2700.0,98.9,97.79762143114563,97.77777777777777,97.67932489451476,22700.0,315688.0
2800.0,5.6101,4.387444600876835E-7,2800.0,99.0,97.99820639292807,98.0,97.92099792099792,22800.0,315688.0
2900.0,5.669103,4.435631590647002E-7,2900.0,98.9,97.79732154299629,97.82178217821782,97.75510204081633,22900.0,315688.0
3000.0,5.726152,4.482222773796982E-7,3000.0,98.8,97.59692406280038,97.60956175298804,97.5051975051975,23000.0,315688.0
3100.0,5.783955,4.529429739030699E-7,3100.0,98.8,97.59757835898586,97.57575757575758,97.5359342915811,23100.0,315688.0
3200.0,5.839456,4.5747566905286576E-7,3200.0,98.8,97.59887627409628,97.54601226993866,97.5103734439834,23200.0,315688.0
3300.0,5.903579,4.6271251183210145E-7,3300.0,98.9,97.79867920752451,97.69874476987448,97.74590163934425,23300.0,315688.0
3400.0,5.961862,4.674724093369311E-7,3400.0,98.8,97.59726087740023,97.58064516129032,97.53086419753086,23400.0,315688.0
3500.0,6.019613,4.721888590873115E-7,3500.0,99.0,97.99949587295998,97.97979797979798,97.95918367346938,23500.0,315688.0
3600.0,6.078351,4.76985915855815E-7,3600.0,99.1,98.19985598847907,98.17813765182186,98.18181818181819,23600.0,315688.0
3700.0,6.135086,4.816193901954425E-7,3700.0,99.3,98.59976476047976,98.59437751004016,98.57723577235772,23700.0,315688.0
3800.0,6.192123,4.862775284859041E-7,3800.0,99.2,98.39856511434245,98.38383838383838,98.35390946502058,23800.0,315688.0
3900.0,6.247611,4.908091619424522E-7,3900.0,99.4,98.79983197647671,98.78048780487805,98.77300613496932,23900.0,315688.0
4000.0,6.305429,4.955310834964945E-7,4000.0,99.5,98.99977594981276,98.99396378269618,98.99396378269618,24000.0,315688.0
4100.0,6.36291,5.002254826948047E-7,4100.0,99.5,99.0,98.99799599198397,98.98989898989899,24100.0,315688.0
4200.0,6.421708,5.050274395859905E-7,4200.0,99.4,98.79983197647671,98.81422924901186,98.75259875259876,24200.0,315688.0
