learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.849842,1.1191485337913036E-8,100.0,98.0,96.0015993602559,95.45454545454545,95.65217391304347,20100.0,50904.0
200.0,0.886173,1.1669924687594176E-8,200.0,99.0,97.9903536977492,98.0392156862745,97.67441860465115,20200.0,50904.0
300.0,0.905962,1.1930524073541164E-8,300.0,99.33333333333333,98.6652429257875,98.74213836477986,98.55072463768116,20300.0,50904.0
400.0,0.92216,1.2143833935260772E-8,400.0,99.5,99.0,99.07407407407405,98.90710382513662,20400.0,50904.0
500.0,0.934707,1.2309064138680696E-8,500.0,99.6,99.19955174897943,99.23076923076923,99.1111111111111,20500.0,50904.0
600.0,0.944709,1.2440779488533734E-8,600.0,99.5,98.999799959992,99.00990099009901,98.88475836431226,20600.0,50904.0
700.0,0.958511,1.2622536662966012E-8,700.0,99.28571428571429,98.57126528746143,98.57954545454545,98.39228295819936,20700.0,50904.0
800.0,0.973419,1.281885864213109E-8,800.0,98.625,97.24938111074991,97.31051344743275,96.90140845070422,20800.0,50904.0
900.0,0.985044,1.2971947118639946E-8,900.0,98.44444444444444,96.88722874421914,97.00214132762312,96.51741293532339,20900.0,50904.0
1000.0,0.998488,1.3148989826440811E-8,1000.0,98.1,96.19744468282686,96.31067961165049,95.78713968957871,21000.0,50904.0
1100.0,1.009142,1.328929129987955E-8,1100.0,98.3,96.5982855359101,96.71814671814671,96.23059866962306,21100.0,50904.0
1200.0,1.019782,1.3429408408701419E-8,1200.0,98.1,96.19942231219144,96.24505928853755,95.85152838427948,21200.0,50904.0
1300.0,1.031188,1.3579612895846366E-8,1300.0,97.8,95.59889092051196,95.58232931726907,95.14348785871964,21300.0,50904.0
1400.0,1.041889,1.3720533307641744E-8,1400.0,97.7,95.39602216314896,95.33468559837728,94.95614035087718,21400.0,50904.0
1500.0,1.051543,1.384766587987542E-8,1500.0,97.5,94.99907983068884,94.98997995991984,94.62365591397848,21500.0,50904.0
1600.0,1.060729,1.3968635406345128E-8,1600.0,97.6,95.1975987993997,95.28487229862475,94.88272921108741,21600.0,50904.0
1700.0,1.072222,1.4119985587894915E-8,1700.0,97.5,95.0,95.1171875,94.75890985324948,21700.0,50904.0
1800.0,1.08394,1.4274298772215842E-8,1800.0,97.89999999999999,95.79929428143927,95.81673306772907,95.57894736842105,21800.0,50904.0
1900.0,1.094463,1.4412875119596719E-8,1900.0,98.0,96.00123162066083,95.94320486815415,95.76271186440678,21900.0,50904.0
2000.0,1.103765,1.4535372238606214E-8,2000.0,98.5,97.00043193780095,96.96356275303644,96.85534591194968,22000.0,50904.0
2100.0,1.113719,1.4666455481201409E-8,2100.0,98.2,96.40057590785473,96.42147117296223,96.24217118997912,22100.0,50904.0
2200.0,1.122662,1.4784224964678287E-8,2200.0,98.4,96.80025597952164,96.8565815324165,96.71457905544148,22200.0,50904.0
2300.0,1.131834,1.4905010126531125E-8,2300.0,98.5,97.00035995680518,97.10982658959537,96.90082644628099,22300.0,50904.0
2400.0,1.141188,1.5028192028403283E-8,2400.0,98.5,97.00047992321228,97.01195219123507,96.90721649484536,22400.0,50904.0
2500.0,1.151129,1.5159104075282813E-8,2500.0,98.5,97.00011999520018,97.0,96.91991786447637,22500.0,50904.0
2600.0,1.160571,1.5283444840461015E-8,2600.0,98.2,96.39943831237673,96.42857142857143,96.27329192546583,22600.0,50904.0
2700.0,1.170151,1.540960291400552E-8,2700.0,98.4,96.79399836493916,96.76767676767678,96.62447257383965,22700.0,50904.0
2800.0,1.180262,1.554275367408991E-8,2800.0,98.5,96.99557749006537,97.0,96.88149688149687,22800.0,50904.0
2900.0,1.189324,1.566209025681019E-8,2900.0,98.4,96.79342009804118,96.83168316831683,96.73469387755101,22900.0,50904.0
3000.0,1.19834,1.5780821070075036E-8,3000.0,98.3,96.59209365728489,96.61354581673307,96.46569646569645,23000.0,50904.0
3100.0,1.207869,1.590630752965808E-8,3100.0,98.5,96.99415664050915,96.96969696969697,96.91991786447637,23100.0,50904.0
3200.0,1.217186,1.6029002182185648E-8,3200.0,98.4,96.79616821718776,96.7280163599182,96.6804979253112,23200.0,50904.0
3300.0,1.228583,1.617908814921975E-8,3300.0,98.5,96.99567377022913,96.86192468619247,96.92622950819671,23300.0,50904.0
3400.0,1.238882,1.6314714662730693E-8,3400.0,98.2,96.3914983701601,96.37096774193547,96.29629629629629,23400.0,50904.0
