learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.102586,1.688946514493889E-9,100.0,95.0,89.98397435897435,88.63636363636363,89.13043478260867,100.0,63640.0,10.0,598.3,29.758472183004717,1020.8000000000001,180.00296293857684,7.2,1.4757295747452437,4.1,0.7378647873726218,4.1,0.7378647873726218,2.6999999999999997,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.150815,2.5248972595565845E-9,200.0,97.5,94.99098377078742,95.09803921568627,94.18604651162791,200.0,67000.0,10.0,1204.3,49.139370954233605,1321.6,404.3637526342396,9.6,3.272783388968954,5.3,1.636391694484477,5.3,1.636391694484477,3.1,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.173657,2.9208164558642436E-9,300.0,98.0,95.9985772719189,96.22641509433963,95.65217391304347,300.0,67000.0,10.0,1803.6999999999998,59.065030075144975,1709.6,559.4416263859289,12.799999999999999,4.565571644870381,6.8999999999999995,2.2827858224351907,6.8999999999999995,2.2827858224351907,3.8000000000000007,1.2292725943057186,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.197956,3.3631112840440532E-9,400.0,98.25,96.50000000000001,96.75925925925924,96.17486338797815,400.0,70360.0,10.0,2399.8,72.99741243511455,2322.3999999999996,741.4201388027049,17.8,6.051629716218783,9.4,3.0258148581093915,9.4,3.0258148581093915,4.7,1.4181364924121767,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.216232,3.695774368113941E-9,500.0,98.6,97.19955192830852,97.3076923076923,96.88888888888889,500.0,70360.0,10.0,3012.9,85.52511002298941,2544.8,903.7242450610204,19.6,7.366591251499344,10.3,3.683295625749672,10.3,3.683295625749672,4.800000000000001,1.4757295747452441,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.232014,3.983041209479173E-9,600.0,98.66666666666667,97.3332444414814,97.35973597359737,97.02602230483272,600.0,70360.0,10.0,3614.7000000000003,79.43557837084782,2789.6000000000004,1104.2515011435473,21.6,8.99629553390357,11.3,4.498147766951785,11.3,4.498147766951785,5.0,1.4142135623730951,0.0,0.0,0.0,0.0,1.0,0.0
700.0,0.252516,4.374043395121892E-9,700.0,98.71428571428571,97.42852944537869,97.4431818181818,97.10610932475883,700.0,73720.0,10.0,4226.2,78.45706539956173,3183.9999999999995,1259.2371588474593,24.8,10.261037417770627,12.9,5.1305187088853135,12.9,5.1305187088853135,5.5,1.4337208778404378,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.27515,4.805705841216776E-9,800.0,98.75,97.4998593670894,97.55501222493889,97.18309859154931,800.0,73720.0,10.0,4825.799999999999,87.87592262831609,3581.6,1503.0353880656896,28.0,12.192894105447921,14.5,6.096447052723961,14.5,6.096447052723961,5.800000000000001,1.4757295747452441,0.0,0.0,0.0,0.0,1.0,0.0
900.0,0.290785,5.103887441671557E-9,900.0,98.66666666666667,97.33301724648847,97.43040685224838,97.01492537313433,900.0,73720.0,10.0,5420.1,79.25689594953582,3972.8,1663.2870267435303,31.2,13.51377897637157,16.1,6.756889488185785,16.1,6.756889488185785,6.3,1.636391694484477,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.306407,5.401821113708946E-9,1000.0,98.6,97.1996079451123,97.28155339805825,96.89578713968957,1000.0,73720.0,10.0,6025.099999999999,82.54486995298713,4459.2,1716.3152261620112,35.199999999999996,13.966626889362608,18.099999999999998,6.983313444681304,18.099999999999998,6.983313444681304,6.4,1.6465452046971292,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,0.321043,5.680950368858046E-9,1100.0,99.1,98.19969754918826,98.26254826254826,98.00443458980044,1100.0,73720.0,10.0,6623.400000000001,71.57311723762699,4832.0,1886.3118629867236,38.2,15.324635214074247,19.6,7.6623176070371235,19.6,7.6623176070371235,6.6000000000000005,1.5055453054181622,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,0.33608,5.967727262112829E-9,1200.0,99.1,98.19995679896317,98.22134387351778,98.0349344978166,1200.0,73720.0,10.0,7211.4,53.547901712184576,5080.0,1945.124503298782,40.2,15.80998278163375,20.6,7.904991390816875,20.6,7.904991390816875,6.700000000000001,1.4181364924121769,0.0,0.0,0.0,0.0,1.0,0.0
1300.0,0.352443,6.2940161364773905E-9,1300.0,98.9,97.79989439493096,97.79116465863453,97.57174392935983,1300.0,77080.0,10.0,7812.7,57.61182363215228,5530.400000000001,2142.759342530094,43.800000000000004,17.364075302506354,22.400000000000002,8.682037651253177,22.400000000000002,8.682037651253177,7.1,1.5238839267549944,0.0,0.0,0.0,0.0,1.0,0.0
