learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.003095,5.444615251488155E-13,100.0,56.00000000000001,-1.9935095039406183,10.204081632653072,-4.76190476190474,100.0,680.0
200.0,0.008706,1.5315289298693338E-12,200.0,53.5,-0.9991311902693173,-1.0869565217391315,-2.1978021978022,200.0,680.0
300.0,0.010892,1.9160823689566716E-12,300.0,51.66666666666667,-0.6664815329075217,0.0,-1.398601398601384,300.0,680.0
400.0,0.013185,2.319458872079849E-12,400.0,47.0,-6.887163456690534,-7.070707070707077,-15.21739130434784,400.0,680.0
500.0,0.015058,2.6489504509501985E-12,500.0,48.4,-1.685295833267646,-1.5748031496063006,-12.663755458515297,500.0,680.0
600.0,0.01674,2.944841980934143E-12,600.0,48.0,-3.713060532526688,-3.6544850498338937,-10.247349823321555,600.0,680.0
700.0,0.018714,3.2921011249224344E-12,700.0,47.57142857142857,-4.954815093229623,-6.0693641618497045,-11.5501519756839,700.0,680.0
800.0,0.020184,3.550698359807332E-12,800.0,47.625,-4.647968230974803,-3.712871287128711,-12.032085561497318,800.0,680.0
900.0,0.021489,3.780269374450048E-12,900.0,47.66666666666667,-4.67803909560545,-2.3913043478260807,-10.563380281690126,900.0,680.0
1000.0,0.022851,4.0198676288127894E-12,1000.0,47.3,-5.400000000000005,-3.1311154598825857,-11.41649048625794,1000.0,680.0
