learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.555768,2.275129301680459E-8,100.0,95.0,89.94368463395011,89.79591836734693,88.09523809523809,17744.0,56528.0
200.0,1.601695,2.342292184217109E-8,200.0,96.0,92.0,91.30434782608695,91.2087912087912,17844.0,56528.0
300.0,1.628702,2.3817867727743258E-8,300.0,96.0,92.01277955271566,91.72413793103448,91.6083916083916,17944.0,56528.0
400.0,1.659123,2.4167670574453145E-8,400.0,94.75,89.50577182549598,89.39393939393939,88.58695652173914,80.0,44448.0
500.0,1.671801,2.4313451465633184E-8,500.0,95.39999999999999,90.78141533331194,90.94488188976378,89.95633187772924,180.0,44448.0
600.0,1.684628,2.446094566749202E-8,600.0,96.16666666666667,92.3297538851464,92.35880398671095,91.87279151943463,280.0,44448.0
700.0,1.700699,2.464574174748527E-8,700.0,96.57142857142857,93.14375265271475,93.0635838150289,92.70516717325229,380.0,44448.0
800.0,1.71548,2.48157044665681E-8,800.0,96.75,93.49804941482446,93.56435643564357,93.04812834224599,480.0,44448.0
900.0,1.728159,2.4961496856477527E-8,900.0,96.88888888888889,93.77728610655657,93.91304347826089,93.42723004694837,580.0,44448.0
1000.0,1.739424,2.5091030043032436E-8,1000.0,97.0,94.0,94.12915851272015,93.65750528541226,680.0,44448.0
