learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.916847,1.3388843238353728E-8,100.0,98.0,95.96122778675283,95.83333333333333,95.55555555555554,10100.0,56448.0
200.0,0.96046,1.402572989463806E-8,200.0,98.5,96.96048632218844,96.90721649484536,96.62921348314606,10200.0,56448.0
300.0,0.981777,1.4337024986743925E-8,300.0,99.0,97.9903536977492,97.98657718120806,97.85714285714285,10300.0,56448.0
400.0,0.998872,1.4586665630340574E-8,400.0,99.25,98.49932469611326,98.50746268656718,98.46938775510206,10400.0,56448.0
500.0,1.014083,1.4808793962001799E-8,500.0,99.2,98.39918038035475,98.45559845559846,98.33333333333333,10500.0,56448.0
600.0,1.026129,1.4984703361988066E-8,600.0,99.33333333333333,98.66635548294602,98.70967741935485,98.6159169550173,10600.0,56448.0
700.0,1.041632,1.521109580993652E-8,700.0,99.42857142857143,98.85703089282217,98.87323943661973,98.81656804733728,10700.0,56448.0
800.0,1.056559,1.5429076850414273E-8,800.0,99.5,99.00001874964845,99.00744416873451,98.95833333333334,10800.0,56448.0
900.0,1.068957,1.561012655496597E-8,900.0,99.55555555555556,99.11101892048063,99.1111111111111,99.06976744186046,10900.0,56448.0
1000.0,1.080387,1.5777040421962736E-8,1000.0,99.6,99.19962542469875,99.18200408997954,99.15611814345992,11000.0,56448.0
1100.0,1.091581,1.594050794839859E-8,1100.0,99.8,99.59964127858562,99.58762886597938,99.58333333333333,11100.0,56448.0
1200.0,1.103726,1.6117863059043883E-8,1200.0,99.8,99.59915341200616,99.59016393442623,99.58677685950413,11200.0,56448.0
1300.0,1.114749,1.627883344888687E-8,1300.0,99.7,99.39926951172626,99.37629937629937,99.38398357289527,11300.0,56448.0
1400.0,1.126617,1.645214349031448E-8,1400.0,99.7,99.39990398463753,99.38398357289527,99.38271604938271,11400.0,56448.0
1500.0,1.138157,1.662066370248794E-8,1500.0,99.7,99.39993279247275,99.36974789915966,99.38775510204081,11500.0,56448.0
