learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.602384,7.920268409781987E-9,100.0,96.0,91.94847020933976,91.66666666666666,91.1111111111111,10100.0,50824.0
200.0,0.640331,8.41920335052742E-9,200.0,97.5,94.94438827098078,94.84536082474226,94.3820224719101,10200.0,50824.0
300.0,0.659724,8.67418649295966E-9,300.0,98.0,95.98554797270172,95.9731543624161,95.71428571428571,10300.0,50824.0
400.0,0.673626,8.85697284092506E-9,400.0,98.5,96.99932484809082,97.01492537313435,96.93877551020408,10400.0,50824.0
500.0,0.686835,9.030647482723E-9,500.0,98.6,97.19910371318822,97.29729729729729,97.08333333333333,10500.0,50824.0
600.0,0.69689,9.162852685484623E-9,600.0,98.83333333333333,97.66635551406854,97.74193548387096,97.57785467128026,10600.0,50824.0
700.0,0.70845,9.31484593699376E-9,700.0,99.0,97.9999020360181,98.02816901408451,97.92899408284023,10700.0,50824.0
800.0,0.719968,9.466286963886686E-9,800.0,99.125,98.24993437253896,98.26302729528537,98.17708333333333,10800.0,50824.0
900.0,0.729356,9.589722313814695E-9,900.0,99.22222222222223,98.44412174376907,98.44444444444444,98.37209302325581,10900.0,50824.0
1000.0,0.73952,9.723360670937434E-9,1000.0,99.3,98.59912585453323,98.56850715746421,98.52320675105484,11000.0,50824.0
1100.0,0.748578,9.842457113166652E-9,1100.0,99.7,99.39942344650865,99.38144329896907,99.375,11100.0,50824.0
1200.0,0.758406,9.971677673359713E-9,1200.0,99.7,99.39867226836856,99.38524590163934,99.3801652892562,11200.0,50824.0
1300.0,0.767242,1.0087855214046108E-8,1300.0,99.7,99.39926951172626,99.37629937629937,99.38398357289527,11300.0,50824.0
1400.0,0.776524,1.0209896854228444E-8,1400.0,99.7,99.39990398463753,99.38398357289527,99.38271604938271,11400.0,50824.0
1500.0,0.785126,1.0322997714910243E-8,1500.0,99.7,99.39993279247275,99.36974789915966,99.38775510204081,11500.0,50824.0
1600.0,0.794017,1.043989840687977E-8,1600.0,99.6,99.19974391805377,99.1769547325103,99.18032786885246,11600.0,50824.0
1700.0,0.804311,1.057524603067173E-8,1700.0,99.5,98.99983197177126,98.98167006109979,98.98373983739837,11700.0,50824.0
1800.0,0.813537,1.0696551371365787E-8,1800.0,99.4,98.79891902712441,98.82352941176471,98.78048780487805,11800.0,50824.0
1900.0,0.822102,1.0809165748457115E-8,1900.0,99.4,98.79745541565953,98.82121807465619,98.78048780487805,11900.0,50824.0
2000.0,0.830236,1.091611324912972E-8,2000.0,99.4,98.79745541565953,98.8527724665392,98.80952380952381,12000.0,50824.0
2100.0,0.838516,1.1024980387753912E-8,2100.0,99.4,98.79745541565953,98.87640449438202,98.80478087649402,12100.0,50824.0
2200.0,0.846608,1.1131375663810307E-8,2200.0,99.5,98.99831717285039,99.04942965779468,99.01574803149606,12200.0,50824.0
2300.0,0.854469,1.1234733704477549E-8,2300.0,99.6,99.19858951755089,99.26062846580407,99.19839679358718,12300.0,50824.0
2400.0,0.862351,1.1338367857452897E-8,2400.0,99.6,99.199542138103,99.2619926199262,99.19678714859438,12400.0,50824.0
2500.0,0.871117,1.1453625023778942E-8,2500.0,99.7,99.4,99.45652173913041,99.3963782696177,12500.0,50824.0
2600.0,0.880008,1.157052571574847E-8,2600.0,99.8,99.59992318525157,99.62894248608535,99.59514170040485,12600.0,50824.0
2700.0,0.888843,1.1686690108229717E-8,2700.0,99.8,99.5999983999936,99.63302752293578,99.59432048681542,12700.0,50824.0
2800.0,0.897519,1.1800763936092456E-8,2800.0,99.9,99.7999983999872,99.81060606060606,99.8003992015968,12800.0,50824.0
2900.0,0.905487,1.1905528834710518E-8,2900.0,99.9,99.79991196126295,99.81060606060606,99.79879275653923,12900.0,50824.0
3000.0,0.913447,1.2010188547687398E-8,3000.0,99.9,99.79999039953917,99.80916030534351,99.79674796747967,13000.0,50824.0
3100.0,0.92167,1.211830623861816E-8,3100.0,99.9,99.79995518996255,99.80806142034548,99.79591836734694,13100.0,50824.0
3200.0,0.929555,1.2221979836208952E-8,3200.0,99.8,99.5999983999936,99.61389961389962,99.59100204498978,13200.0,50824.0
3300.0,0.939548,1.2353369850251408E-8,3300.0,99.7,99.39997119861754,99.40119760479041,99.39148073022312,13300.0,50824.0
3400.0,0.948044,1.2465077001187534E-8,3400.0,99.7,99.4,99.39024390243902,99.38271604938271,13400.0,50824.0
3500.0,0.956858,1.2580965281360677E-8,3500.0,99.6,99.1999231926265,99.17525773195877,99.16142557651992,13500.0,50824.0
3600.0,0.965704,1.269727430409855E-8,3600.0,99.6,99.19984637050312,99.19517102615694,99.1578947368421,13600.0,50824.0
3700.0,0.974646,1.2814845554530618E-8,3700.0,99.5,98.9992794812265,98.95833333333334,98.93390191897655,13700.0,50824.0
3800.0,0.982936,1.2923844175206287E-8,3800.0,99.5,98.99938362031011,98.97750511247445,98.9406779661017,13800.0,50824.0
3900.0,0.991395,1.3035064842551944E-8,3900.0,99.5,98.9984857103941,98.97750511247445,98.9247311827957,13900.0,50824.0
4000.0,0.999339,1.3139514184246457E-8,4000.0,99.5,98.9984857103941,98.9795918367347,98.9247311827957,14000.0,50824.0
4100.0,1.007442,1.324605409055948E-8,4100.0,99.5,98.9979799275339,98.97119341563786,98.91774891774891,14100.0,50824.0
4200.0,1.015489,1.3351857697384222E-8,4200.0,99.6,99.19872115896972,99.19517102615694,99.13793103448276,14200.0,50824.0
4300.0,1.023576,1.3458187232414878E-8,4300.0,99.7,99.39888914714392,99.41176470588235,99.35622317596567,14300.0,50824.0
4400.0,1.031396,1.3561006196671058E-8,4400.0,99.7,99.39888914714392,99.40711462450594,99.35897435897436,14400.0,50824.0
4500.0,1.039307,1.3665021647595693E-8,4500.0,99.8,99.59958998013965,99.60317460317461,99.58677685950413,14500.0,50824.0
4600.0,1.04681,1.3763672630820007E-8,4600.0,99.8,99.5999599959996,99.59514170040485,99.5959595959596,14600.0,50824.0
4700.0,1.054249,1.3861482128914857E-8,4700.0,100.0,100.0,100.0,100.0,14700.0,50824.0
4800.0,1.061768,1.3960343483421535E-8,4800.0,99.9,99.79999039953917,99.8019801980198,99.7907949790795,14800.0,50824.0
4900.0,1.069612,1.4063478004601263E-8,4900.0,99.9,99.79966343457008,99.8003992015968,99.79591836734694,14900.0,50824.0
5000.0,1.07731,1.4164692887829407E-8,5000.0,99.9,99.79972602520247,99.79879275653923,99.79591836734694,15000.0,50824.0
5100.0,1.085379,1.4270785755167402E-8,5100.0,99.9,99.79966343457008,99.800796812749,99.8,15100.0,50824.0
5200.0,1.093218,1.4373854535321392E-8,5200.0,99.9,99.79994238340643,99.79797979797979,99.800796812749,15200.0,50824.0
5300.0,1.100845,1.4474135895984038E-8,5300.0,99.8,99.59968615394469,99.59266802443992,99.59514170040485,15300.0,50824.0
5400.0,1.108683,1.457719152793288E-8,5400.0,99.8,99.59983993597439,99.59183673469387,99.6,15400.0,50824.0
5500.0,1.116562,1.4680786236292785E-8,5500.0,99.8,99.59976946721312,99.59758551307847,99.59183673469387,15500.0,50824.0
5600.0,1.124601,1.4786484657476345E-8,5600.0,99.6,99.19967987194877,99.18533604887983,99.1769547325103,15600.0,50824.0
5700.0,1.13285,1.4894944201740953E-8,5700.0,99.6,99.19961261250445,99.17864476386036,99.18032786885246,15700.0,50824.0
5800.0,1.141359,1.5006822279344E-8,5800.0,99.7,99.39992799135896,99.36034115138592,99.39148073022312,15800.0,50824.0
5900.0,1.14955,1.5114519227710033E-8,5900.0,99.7,99.399783922212,99.37369519832984,99.39271255060729,15900.0,50824.0
6000.0,1.1574,1.521773263812065E-8,6000.0,99.7,99.39982715021927,99.37759336099586,99.39148073022312,16000.0,50824.0
6100.0,1.165221,1.532056475058198E-8,6100.0,99.6,99.1999231926265,99.1701244813278,99.18200408997954,16100.0,50824.0
6200.0,1.173271,1.5426407802022165E-8,6200.0,99.6,99.1996830744975,99.17864476386036,99.14893617021276,16200.0,50824.0
6300.0,1.180946,1.552732027653191E-8,6300.0,99.7,99.39962536622853,99.38650306748467,99.37629937629937,16300.0,50824.0
6400.0,1.189063,1.5634044257717E-8,6400.0,99.7,99.39989918306276,99.39024390243902,99.37106918238993,16400.0,50824.0
6500.0,1.201003,1.579103382718232E-8,6500.0,99.7,99.39917807560744,99.38398357289527,99.37106918238993,16500.0,50824.0
6600.0,1.208926,1.589520705656873E-8,6600.0,99.9,99.79955742278952,99.79838709677419,99.78902953586498,16600.0,50824.0
6700.0,1.216878,1.5999761583904426E-8,6700.0,99.9,99.79955742278952,99.8,99.79338842975206,16700.0,50824.0
6800.0,1.22529,1.6110364285608135E-8,6800.0,99.8,99.59959158341508,99.61089494163424,99.58762886597938,16800.0,50824.0
6900.0,1.233321,1.621595752115051E-8,6900.0,99.7,99.39983195294683,99.40944881889764,99.39148073022312,16900.0,50824.0
7000.0,1.2411,1.631823740899563E-8,7000.0,99.7,99.39990398463753,99.4186046511628,99.39393939393939,17000.0,50824.0
7100.0,1.249048,1.6422739343510735E-8,7100.0,99.8,99.59980790779575,99.61089494163424,99.59183673469387,17100.0,50824.0
7200.0,1.256686,1.6523165334430007E-8,7200.0,99.8,99.59996159631325,99.60861056751467,99.6,17200.0,50824.0
7300.0,1.264158,1.6621408723294736E-8,7300.0,99.8,99.59992318525157,99.59349593495935,99.59183673469387,17300.0,50824.0
7400.0,1.272192,1.6727041403452557E-8,7400.0,99.8,99.59998719959039,99.60159362549801,99.59677419354838,17400.0,50824.0
7500.0,1.28005,1.6830359999504355E-8,7500.0,99.8,99.599899174592,99.60238568588468,99.60238568588468,17500.0,50824.0
7600.0,1.288107,1.6936295088380574E-8,7600.0,99.8,99.59964127858562,99.59514170040485,99.60317460317461,17600.0,50824.0
7700.0,1.296673,1.704892261367705E-8,7700.0,99.8,99.5999439921589,99.6,99.60238568588468,17700.0,50824.0
7800.0,1.304322,1.7149493234852946E-8,7800.0,99.9,99.79983185876135,99.79959919839679,99.79879275653923,17800.0,50824.0
7900.0,1.312027,1.7250800155517124E-8,7900.0,100.0,100.0,100.0,100.0,17900.0,50824.0
8000.0,1.319688,1.7351528555154798E-8,8000.0,100.0,100.0,100.0,100.0,18000.0,50824.0
8100.0,1.327833,1.745862068608403E-8,8100.0,99.9,99.7999839987199,99.79757085020243,99.79838709677419,18100.0,50824.0
8200.0,1.335797,1.75633329918815E-8,8200.0,99.9,99.8,99.79959919839679,99.79838709677419,18200.0,50824.0
8300.0,1.343373,1.7662943794081605E-8,8300.0,99.9,99.79997599711965,99.8062015503876,99.80119284294234,18300.0,50824.0
8400.0,1.351169,1.7765447201414238E-8,8400.0,99.9,99.79997599711965,99.80392156862746,99.79797979797979,18400.0,50824.0
8500.0,1.359286,1.787217118259933E-8,8500.0,99.9,99.79987512207617,99.8015873015873,99.79423868312757,18500.0,50824.0
8600.0,1.368783,1.7997039686888453E-8,8600.0,99.8,99.59968615394469,99.60552268244575,99.59183673469387,18600.0,50824.0
8700.0,1.377026,1.8105420341922174E-8,8700.0,99.7,99.39982715021927,99.4059405940594,99.38524590163934,18700.0,50824.0
8800.0,1.385119,1.8211828766183718E-8,8800.0,99.7,99.39917807560744,99.4059405940594,99.39024390243902,18800.0,50824.0
8900.0,1.392958,1.831489754633771E-8,8900.0,99.7,99.39962536622853,99.4186046511628,99.38524590163934,18900.0,50824.0
9000.0,1.400769,1.841759817674756E-8,9000.0,99.7,99.39908661164971,99.4140625,99.37369519832984,19000.0,50824.0
9100.0,1.409222,1.852873995486233E-8,9100.0,99.8,99.59980630625222,99.60552268244575,99.59183673469387,19100.0,50824.0
9200.0,1.417667,1.8639776547335914E-8,9200.0,99.8,99.5999215846306,99.59839357429718,99.5959595959596,19200.0,50824.0
9300.0,1.425665,1.874493589210841E-8,9300.0,99.8,99.5999935998976,99.59266802443992,99.6,19300.0,50824.0
9400.0,1.433959,1.885398710560467E-8,9400.0,99.8,99.5999599959996,99.58847736625515,99.60079840319361,19400.0,50824.0
9500.0,1.441752,1.895645106832186E-8,9500.0,99.8,99.59976946721312,99.59266802443992,99.60861056751467,19500.0,50824.0
9600.0,1.449756,1.9061689302325245E-8,9600.0,99.9,99.79987512207617,99.79716024340772,99.80314960629921,19600.0,50824.0
9700.0,1.457976,1.9169767548640565E-8,9700.0,100.0,100.0,100.0,100.0,19700.0,50824.0
9800.0,1.465736,1.9271797620587874E-8,9800.0,100.0,100.0,100.0,100.0,19800.0,50824.0
9900.0,1.473364,1.9372092129455668E-8,9900.0,100.0,100.0,100.0,100.0,19900.0,50824.0
10000.0,1.481091,1.9473688310633097E-8,10000.0,100.0,100.0,100.0,100.0,20000.0,50824.0
10100.0,1.49909,1.9710342855089235E-8,10100.0,99.1,98.19989919435488,98.08917197452229,98.25581395348837,20100.0,50824.0
10200.0,1.52054,1.99923718555106E-8,10200.0,98.9,97.8000175998592,97.68907563025209,97.86821705426357,20200.0,50824.0
10300.0,1.531055,2.0130625232640232E-8,10300.0,98.8,97.59865524693828,97.47899159663865,97.63313609467455,20300.0,50824.0
10400.0,1.540073,2.0249195746663537E-8,10400.0,98.8,97.59757835898586,97.54098360655738,97.61431411530815,20400.0,50824.0
10500.0,1.549104,2.0367937187353762E-8,10500.0,98.8,97.59907804596965,97.54601226993866,97.62845849802372,20500.0,50824.0
10600.0,1.557889,2.048344416957762E-8,10600.0,98.8,97.59841495386955,97.5560081466395,97.63313609467455,20600.0,50824.0
10700.0,1.567421,2.0608772861046918E-8,10700.0,98.6,97.19461365822379,97.17171717171716,97.18875502008032,20700.0,50824.0
