learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.00327,5.752469102541605E-13,100.0,55.00000000000001,-5.932203389830482,-9.75609756097559,-12.499999999999984,100.0,680.0
200.0,0.00934,1.6430599821938408E-12,200.0,47.5,-4.063429137760163,-16.666666666666682,-12.903225806451626,200.0,680.0
300.0,0.011666,2.0522417293654545E-12,300.0,49.333333333333336,-6.244175209692442,-12.592592592592599,-14.285714285714276,300.0,680.0
400.0,0.01418,2.494495775964525E-12,400.0,50.0,-4.712041884816746,-9.8901098901099,-10.49723756906077,400.0,680.0
500.0,0.016237,2.8563559883170657E-12,500.0,50.2,-3.8019009504752446,-5.508474576271192,-8.2608695652174,500.0,680.0
600.0,0.018029,3.1715983317957982E-12,600.0,50.16666666666667,-3.1983433041877674,-5.653710247349813,-6.785714285714276,600.0,680.0
700.0,0.020156,3.545772698190477E-12,700.0,49.857142857142854,-2.7775453860955612,-4.464285714285722,-5.722891566265059,700.0,680.0
800.0,0.021683,3.814397172795402E-12,800.0,49.75,-2.446483180428125,-4.1450777202072455,-4.96083550913838,800.0,680.0
900.0,0.023076,4.059448838233948E-12,900.0,49.55555555555556,-2.1908763505402082,-2.0224719101123503,-4.367816091954029,900.0,680.0
1000.0,0.024566,4.321564402845171E-12,1000.0,48.9,-2.200000000000002,-3.232323232323235,-4.498977505112479,1000.0,680.0
1100.0,0.025833,4.544450591007869E-12,1100.0,47.599999999999994,-3.5560843152057617,-4.590818363273457,-4.800000000000004,1100.0,680.0
1200.0,0.02691,4.733912646770478E-12,1200.0,49.0,-3.376143218525006,-1.3916500994035799,-3.658536585365857,1200.0,680.0
1300.0,0.027962,4.918976790375181E-12,1300.0,48.1,-2.576467890996207,-2.7722772277227747,-4.426559356136825,1300.0,680.0
1400.0,0.02911,5.120928916666244E-12,1400.0,47.8,-3.7064115197558736,-3.5714285714285747,-3.5714285714285747,1400.0,680.0
1500.0,0.030198,5.312326053778332E-12,1500.0,47.4,-4.3340275711593845,-3.9525691699604777,-4.158415841584162,1500.0,680.0
1600.0,0.031272,5.501260360081992E-12,1600.0,47.699999999999996,-4.25387712793526,-4.391217564870263,-2.9527559055118138,1600.0,680.0
1700.0,0.033607,5.912025355630452E-12,1700.0,46.800000000000004,-4.84865923791579,-5.976095617529874,-7.042253521126756,1700.0,680.0
1800.0,0.034633,6.092515670590932E-12,1800.0,47.0,-5.148298779882953,-5.577689243027893,-6.212424849699405,1800.0,680.0
1900.0,0.035577,6.2585808336734785E-12,1900.0,46.6,-6.068129903664707,-8.536585365853655,-7.878787878787874,1900.0,680.0
2000.0,0.036637,6.445052309168711E-12,2000.0,47.199999999999996,-5.600000000000005,-7.755102040816333,-7.755102040816333,2000.0,680.0
2100.0,0.037517,6.599858817127017E-12,2100.0,47.9,-4.816319961372888,-6.1099796334012275,-10.14799154334039,2100.0,680.0
2200.0,0.038427,6.759942819674811E-12,2200.0,46.800000000000004,-5.619262412248658,-9.016393442622949,-10.373443983402488,2200.0,680.0
2300.0,0.03936,6.924072901407879E-12,2300.0,47.0,-5.903839313902991,-6.212424849699405,-9.05349794238684,2300.0,680.0
2400.0,0.040287,7.08714748422305E-12,2400.0,47.099999999999994,-5.614962585550124,-4.752475247524757,-9.979209979209989,2400.0,680.0
2500.0,0.041212,7.249870234065587E-12,2500.0,47.8,-4.58574428184456,-4.81927710843374,-10.59322033898306,2500.0,680.0
2600.0,0.041977,7.384446346097524E-12,2600.0,47.8,-4.58574428184456,-3.5714285714285747,-13.232104121475066,2600.0,680.0
2700.0,0.042878,7.542947100268472E-12,2700.0,49.0,-3.1186309080909695,-3.8696537678207776,-9.207708779443264,2700.0,680.0
2800.0,0.043565,7.66380172636774E-12,2800.0,47.9,-3.731135268585987,-5.8943089430894355,-11.563169164882238,2800.0,680.0
2900.0,0.044226,7.780082523822786E-12,2900.0,48.6,-3.3726846730889255,-5.112474437627816,-10.53763440860216,2900.0,680.0
3000.0,0.045056,7.92609320746528E-12,3000.0,47.9,-4.200000000000004,-4.200000000000004,-10.3813559322034,3000.0,680.0
