learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.097515,1.6054590232670308E-9,100.0,93.0,85.48922056384744,82.9268292682927,82.50000000000001,100.0,63640.0,10.0,598.3,29.758472183004717,1017.6,361.838269580946,7.2,2.8982753492378874,4.1,1.449137674618944,4.1,1.449137674618944,2.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.141121,2.361279550111956E-9,200.0,96.5,93.00139972005597,92.22222222222221,92.47311827956989,200.0,67000.0,10.0,1204.3,49.139370954233605,1282.3999999999999,730.6184898959085,9.4,5.94792213951879,5.2,2.973961069759395,5.2,2.973961069759395,2.9,0.9944289260117533,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.163582,2.750594893263446E-9,300.0,97.66666666666667,95.31500981616992,94.81481481481482,94.73684210526316,300.0,67000.0,10.0,1803.6999999999998,59.065030075144975,1481.6000000000001,974.9779712611175,11.0,7.888106377466155,6.0,3.9440531887330774,6.0,3.9440531887330774,3.3000000000000003,1.2516655570345725,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.185034,3.141068108379841E-9,400.0,98.0,95.98595082789764,95.60439560439559,95.58011049723757,400.0,70360.0,10.0,2399.8,72.99741243511455,1779.2,1170.4886728769884,13.4,9.465727652959385,7.2,4.732863826479693,7.2,4.732863826479693,3.8,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.201125,3.433959424081776E-9,500.0,98.4,96.79152963824497,96.61016949152543,96.52173913043478,500.0,70360.0,10.0,3012.9,85.52511002298941,1827.2,1248.9978916448713,13.799999999999999,10.119288512538814,7.4,5.059644256269407,7.4,5.059644256269407,3.8,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.216137,3.707210585061047E-9,600.0,98.33333333333333,96.660544331274,96.46643109540635,96.42857142857142,600.0,70360.0,10.0,3614.7000000000003,79.43557837084782,1949.6,1331.6311801696445,14.799999999999999,10.80946087667856,7.9,5.40473043833928,7.9,5.40473043833928,4.2,1.1352924243950935,0.0,0.0,0.0,0.0,1.0,0.0
700.0,0.235571,4.077844497644239E-9,700.0,98.28571428571429,96.56865548484082,96.42857142857143,96.3855421686747,700.0,73720.0,10.0,4226.2,78.45706539956173,2126.3999999999996,1580.970391176817,16.200000000000003,12.795832654944084,8.600000000000001,6.397916327472042,8.600000000000001,6.397916327472042,4.3,1.2516655570345725,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.256231,4.471859967129098E-9,800.0,98.375,96.74853684157871,96.6321243523316,96.60574412532638,800.0,73720.0,10.0,4825.799999999999,87.87592262831609,2398.4,1546.2656951507395,18.4,12.509551905999226,9.7,6.254775952999613,9.7,6.254775952999613,4.7,1.0593499054713802,0.0,0.0,0.0,0.0,1.0,0.0
900.0,0.27476,4.825234247578514E-9,900.0,98.44444444444444,96.88815126548516,96.85393258426967,96.7816091954023,900.0,73720.0,10.0,5420.1,79.25689594953582,2643.2000000000003,1486.3417283159797,20.4,12.038826077875422,10.7,6.019413038937711,10.7,6.019413038937711,5.0,1.1547005383792515,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.293534,5.18328102512492E-9,1000.0,98.5,97.0,96.96969696969697,96.93251533742331,1000.0,73720.0,10.0,6025.099999999999,82.54486995298713,2891.2000000000003,1893.0072958713663,22.400000000000002,15.320284302554933,11.700000000000001,7.660142151277467,11.700000000000001,7.660142151277467,5.1,1.286683937707919,0.0,0.0,0.0,0.0,1.0,0.0
