learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.099034,1.2305407764183151E-9,100.0,97.0,94.0,94.0,93.18181818181817,10100.0,4328.0
200.0,1.118374,1.2521949369046425E-9,200.0,98.5,96.98734685679855,96.90721649484536,96.3855421686747,10200.0,4328.0
300.0,1.132064,1.267523037062751E-9,300.0,98.66666666666667,97.31627678132129,97.27891156462586,96.85039370078741,10300.0,4328.0
400.0,1.144754,1.2817314805255997E-9,400.0,99.0,97.98873692679003,97.94871794871794,97.70114942528735,10400.0,4328.0
500.0,1.156836,1.2952591727177304E-9,500.0,99.0,97.98517085751128,97.99196787148594,97.6958525345622,10500.0,4328.0
600.0,1.169025,1.3089066681762537E-9,600.0,99.16666666666667,98.31925240346906,98.29931972789116,98.08429118773947,10600.0,4328.0
700.0,1.181293,1.3226426165137027E-9,700.0,99.14285714285714,98.27550810921782,98.25581395348837,98.07073954983923,10700.0,4328.0
800.0,1.193032,1.3357862664593592E-9,800.0,99.25,98.49415544080463,98.46547314578005,98.34710743801654,10800.0,4328.0
900.0,1.205639,1.3499017784165012E-9,900.0,99.33333333333333,98.66478747867367,98.63945578231291,98.57482185273159,10900.0,4328.0
1000.0,1.217594,1.3632872742083339E-9,1000.0,99.4,98.79789872697475,98.79032258064517,98.7152034261242,11000.0,4328.0
1100.0,1.229352,1.3764521976312002E-9,1100.0,99.7,99.39889396489541,99.38524590163934,99.36440677966102,11100.0,4328.0
1200.0,1.241325,1.3898578472435475E-9,1200.0,99.7,99.39942825569943,99.38650306748467,99.37888198757764,11200.0,4328.0
1300.0,1.253413,1.4033922573758497E-9,1300.0,99.7,99.39917807560744,99.37369519832984,99.37629937629937,11300.0,4328.0
1400.0,1.265528,1.4169568982389239E-9,1400.0,99.7,99.399783922212,99.38271604938271,99.38775510204081,11400.0,4328.0
1500.0,1.277173,1.4299953004552258E-9,1500.0,99.8,99.5999743983615,99.57805907172997,99.60159362549801,11500.0,4328.0
1600.0,1.289951,1.4443022737072573E-9,1600.0,99.8,99.59972941708595,99.58419958419958,99.60396039603961,11600.0,4328.0
1700.0,1.303064,1.458984331952201E-9,1700.0,99.9,99.79989434421374,99.7907949790795,99.80237154150198,11700.0,4328.0
1800.0,1.315526,1.4729374936885304E-9,1800.0,99.8,99.5999215846306,99.58246346555325,99.60552268244575,11800.0,4328.0
1900.0,1.326394,1.4851059226526155E-9,1900.0,99.8,99.59998559948158,99.58592132505176,99.5959595959596,11900.0,4328.0
2000.0,1.338529,1.498692956649595E-9,2000.0,99.6,99.19974071599198,99.15966386554622,99.19517102615694,12000.0,4328.0
2100.0,1.349448,1.5109184881051382E-9,2100.0,99.6,99.19858630624422,99.16839916839916,99.17864476386036,12100.0,4328.0
2200.0,1.360563,1.5233634722729525E-9,2200.0,99.6,99.19871794871796,99.16666666666667,99.18032786885246,12200.0,4328.0
2300.0,1.372641,1.5368866858383021E-9,2300.0,99.7,99.39867226836856,99.38524590163934,99.40119760479041,12300.0,4328.0
2400.0,1.384053,1.5496642080446087E-9,2400.0,99.6,99.19967987194877,99.1701244813278,99.20318725099602,12400.0,4328.0
2500.0,1.395807,1.562824652840694E-9,2500.0,99.6,99.2,99.16839916839916,99.19839679358718,12500.0,4328.0
2600.0,1.407378,1.5757802004615467E-9,2600.0,99.6,99.1999199919992,99.14893617021276,99.20159680638723,12600.0,4328.0
2700.0,1.418257,1.5879609456492796E-9,2700.0,99.6,99.1999199919992,99.14712153518124,99.19839679358718,12700.0,4328.0
2800.0,1.428745,1.5997039050691658E-9,2800.0,99.7,99.39992799135896,99.36170212765958,99.39024390243902,12800.0,4328.0
2900.0,1.439688,1.6119563082853954E-9,2900.0,99.7,99.3999855996544,99.34782608695653,99.39393939393939,12900.0,4328.0
3000.0,1.451398,1.6250674881868894E-9,3000.0,99.9,99.79999519988479,99.78540772532189,99.79716024340772,13000.0,4328.0
3100.0,1.4618,1.6367141571309833E-9,3100.0,99.9,99.79972602520247,99.7867803837953,99.79838709677419,13100.0,4328.0
3200.0,1.472349,1.6485254156092804E-9,3200.0,99.9,99.79999039953917,99.78448275862068,99.80353634577604,13200.0,4328.0
3300.0,1.482728,1.6601463324493834E-9,3300.0,99.9,99.8,99.78632478632478,99.80119284294234,13300.0,4328.0
3400.0,1.493249,1.6719262405402133E-9,3400.0,100.0,100.0,100.0,100.0,13400.0,4328.0
3500.0,1.505136,1.6852355996767681E-9,3500.0,99.9,99.79996639435426,99.7907949790795,99.79959919839679,13500.0,4328.0
3600.0,1.515128,1.6964232093758054E-9,3600.0,99.9,99.79996639435426,99.79838709677419,99.800796812749,13600.0,4328.0
3700.0,1.525087,1.7075738704038993E-9,3700.0,99.9,99.79996639435426,99.79959919839679,99.800796812749,13700.0,4328.0
