learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.737556,1.5920874724785487E-8,100.0,83.0,66.16242038216559,65.99999999999999,61.36363636363635,10100.0,83440.0
200.0,0.780372,1.6763488501310348E-8,200.0,90.0,80.12521116963133,79.38144329896907,75.90361445783134,10200.0,76072.0
300.0,0.801384,1.719709294537703E-8,300.0,93.0,86.03228095069174,85.71428571428572,83.46456692913387,10300.0,79768.0
400.0,0.822463,1.7637576781627203E-8,400.0,94.5,89.00879296562749,88.71794871794872,87.35632183908045,10400.0,80776.0
500.0,0.842822,1.8066554264061978E-8,500.0,95.39999999999999,90.78643763620047,90.76305220883533,89.40092165898616,10500.0,81448.0
600.0,0.862668,1.8484722500046093E-8,600.0,96.16666666666667,92.3085497714859,92.17687074829932,91.18773946360153,10600.0,81448.0
700.0,0.886239,1.8983427801479895E-8,700.0,96.42857142857143,92.84358949193575,92.73255813953489,91.96141479099678,10700.0,81784.0
800.0,0.907422,1.943160880357027E-8,800.0,96.75,93.4923127944885,93.35038363171357,92.8374655647383,10800.0,81784.0
900.0,0.923533,1.977527941059735E-8,900.0,96.88888888888889,93.77836153644844,93.65079365079364,93.34916864608076,10900.0,82456.0
1000.0,0.938973,2.010463663066427E-8,1000.0,97.2,94.39845397329663,94.35483870967741,94.00428265524626,11000.0,82456.0
1100.0,0.953902,2.0423093491958248E-8,1100.0,98.9,97.79675682604794,97.74590163934425,97.66949152542372,11100.0,82456.0
1200.0,0.967921,2.07221387554374E-8,1200.0,99.1,98.19853000048039,98.15950920245399,98.13664596273291,11200.0,82456.0
1300.0,0.981725,2.1016597762289974E-8,1300.0,99.2,98.39817391826682,98.32985386221294,98.33679833679834,11300.0,82456.0
1400.0,0.995899,2.1320181449668275E-8,1400.0,99.3,98.59960789020926,98.559670781893,98.57142857142857,11400.0,82792.0
1500.0,1.008525,2.1592804522564014E-8,1500.0,99.4,98.79988478893974,98.73417721518987,98.80478087649402,11500.0,83464.0
1600.0,1.021371,2.187017787868778E-8,1600.0,99.4,98.7990632693501,98.75259875259876,98.8118811881188,11600.0,83464.0
1700.0,1.034049,2.2143923745801054E-8,1700.0,99.6,99.19953893442623,99.16317991631799,99.2094861660079,11700.0,83464.0
1800.0,1.046911,2.2421642577068676E-8,1800.0,99.6,99.199798349184,99.16492693110646,99.21104536489152,11800.0,83464.0
1900.0,1.058795,2.267824424016807E-8,1900.0,99.8,99.59997599855991,99.58592132505176,99.5959595959596,11900.0,83464.0
2000.0,1.070381,2.2928411428713137E-8,2000.0,99.7,99.3997406879772,99.36974789915966,99.3963782696177,12000.0,83464.0
2100.0,1.081844,2.3175922777089807E-8,2100.0,99.7,99.39878795652034,99.37629937629937,99.38398357289527,12100.0,83464.0
2200.0,1.093075,2.341842473588056E-8,2200.0,99.8,99.59929475877544,99.58333333333333,99.59016393442623,12200.0,83464.0
2300.0,1.104674,2.366887262298001E-8,2300.0,99.8,99.59907787912198,99.59016393442623,99.60079840319361,12300.0,83464.0
2400.0,1.116033,2.3914138382921615E-8,2400.0,99.8,99.59980790779575,99.5850622406639,99.60159362549801,12400.0,83464.0
2500.0,1.127423,2.4160073500954442E-8,2500.0,99.8,99.6,99.58419958419958,99.59919839679358,12500.0,83464.0
2600.0,1.13856,2.440151385962963E-8,2600.0,99.8,99.59997599855991,99.57446808510639,99.60079840319361,12600.0,83800.0
2700.0,1.150141,2.4652579747554328E-8,2700.0,99.8,99.59997599855991,99.57356076759062,99.59919839679358,12700.0,83800.0
2800.0,1.161379,2.4898163388586706E-8,2800.0,99.9,99.79996639435426,99.7872340425532,99.79674796747967,12800.0,84472.0
2900.0,1.172537,2.514199879227413E-8,2900.0,99.8,99.59997599855991,99.56521739130434,99.5959595959596,12900.0,84472.0
3000.0,1.183683,2.538557196035981E-8,3000.0,99.9,99.79999039953917,99.78540772532189,99.79716024340772,13000.0,84472.0
3100.0,1.19462,2.56245778583818E-8,3100.0,99.9,99.7997548999976,99.7867803837953,99.79838709677419,13100.0,84472.0
3200.0,1.20544,2.5861026959286793E-8,3200.0,99.9,99.79999519988479,99.78448275862068,99.80353634577604,13200.0,84472.0
3300.0,1.215856,2.6088647461599773E-8,3300.0,99.9,99.7999983999872,99.78632478632478,99.80119284294234,13300.0,84472.0
3400.0,1.22676,2.632693221171697E-8,3400.0,99.9,99.79987512207617,99.7867803837953,99.79674796747967,13400.0,84472.0
3500.0,1.237804,2.6568276377187837E-8,3500.0,99.8,99.59992318525157,99.581589958159,99.59919839679358,13500.0,84472.0
3600.0,1.248083,2.679290302304758E-8,3600.0,99.8,99.59992318525157,99.59677419354838,99.60159362549801,13600.0,84472.0
3700.0,1.258501,2.7020567231294183E-8,3700.0,99.8,99.59992318525157,99.59919839679358,99.60159362549801,13700.0,84472.0
3800.0,1.269219,2.725478732958436E-8,3800.0,99.6,99.19994879672299,99.20792079207921,99.19517102615694,13800.0,84472.0
3900.0,1.27954,2.7480331800050205E-8,3900.0,99.7,99.39989918306276,99.41634241245137,99.39271255060729,13900.0,84472.0
4000.0,1.290152,2.771223548385832E-8,4000.0,99.7,99.3999951999616,99.41634241245137,99.40119760479041,14000.0,84472.0
4100.0,1.301298,2.7955808651944E-8,4100.0,99.7,99.39934648898002,99.40476190476191,99.40476190476191,14100.0,84472.0
4200.0,1.312638,2.8203621295591193E-8,4200.0,99.6,99.2,99.22630560928432,99.1869918699187,14200.0,84472.0
4300.0,1.323925,2.8450275731997355E-8,4300.0,99.6,99.19994879672299,99.22027290448344,99.18032786885246,14300.0,84472.0
4400.0,1.33494,2.8690986161430673E-8,4400.0,99.6,99.19984316926117,99.23224568138195,99.18864097363083,14400.0,84472.0
4500.0,1.345293,2.89172299268345E-8,4500.0,99.7,99.3999951999616,99.42857142857143,99.37888198757764,14500.0,84472.0
4600.0,1.356403,2.916001638811495E-8,4600.0,99.7,99.39973588378886,99.4263862332696,99.36575052854123,14600.0,84472.0
4700.0,1.366469,2.9379988352043756E-8,4700.0,99.7,99.3999855996544,99.42307692307692,99.37888198757764,14700.0,84472.0
4800.0,1.377069,2.9611629800250128E-8,4800.0,99.9,99.7999839987199,99.8076923076923,99.7946611909651,14800.0,84472.0
4900.0,1.387448,2.983844174279107E-8,4900.0,99.9,99.79992797407067,99.80916030534351,99.79591836734694,14900.0,84472.0
5000.0,1.398054,3.0070214308798314E-8,5000.0,99.9,99.79978216299334,99.8062015503876,99.79035639412997,15000.0,84472.0
5100.0,1.408299,3.0294097953786456E-8,5100.0,99.9,99.79991196126295,99.80842911877394,99.79716024340772,15100.0,84472.0
5200.0,1.419652,3.0543181527819905E-8,5200.0,99.9,99.7999839987199,99.80916030534351,99.79797979797979,15200.0,84808.0
5300.0,1.430421,3.078132436300318E-8,5300.0,99.8,99.59998559948158,99.62616822429906,99.5959595959596,15300.0,85480.0
5400.0,1.442077,3.103908208302327E-8,5400.0,99.8,99.5999935998976,99.61389961389962,99.59183673469387,15400.0,85480.0
5500.0,1.453287,3.1286977076282116E-8,5500.0,99.8,99.599870357996,99.6124031007752,99.58677685950413,15500.0,85480.0
5600.0,1.464205,3.1528414858298183E-8,5600.0,99.6,99.19907733709233,99.21875,99.18367346938776,15600.0,85480.0
5700.0,1.474563,3.1757468947519875E-8,5700.0,99.6,99.1996830744975,99.21722113502935,99.16492693110646,15700.0,85480.0
5800.0,1.485068,3.198977375610009E-8,5800.0,99.6,99.19995199711983,99.20792079207921,99.18032786885246,15800.0,85480.0
5900.0,1.495211,3.221407339183822E-8,5900.0,99.6,99.2,99.20159680638723,99.18533604887983,15900.0,85480.0
6000.0,1.505306,3.243731156819398E-8,6000.0,99.6,99.19928255717122,99.21875,99.19191919191918,16000.0,85480.0
6100.0,1.515487,3.2662451525943165E-8,6100.0,99.6,99.1999231926265,99.23518164435946,99.17184265010351,16100.0,85480.0
6200.0,1.526601,3.290822360043726E-8,6200.0,99.6,99.19998399968,99.23224568138195,99.15966386554622,16200.0,85480.0
6300.0,1.537639,3.315231503090926E-8,6300.0,99.7,99.39990398463753,99.41176470588235,99.375,16300.0,85480.0
6400.0,1.548247,3.3386897554414156E-8,6400.0,99.7,99.39990398463753,99.41520467836257,99.38144329896907,16400.0,85480.0
6500.0,1.561458,3.3679042135675766E-8,6500.0,99.7,99.39963017218606,99.41060903732809,99.39148073022312,16500.0,85480.0
6600.0,1.571981,3.391174499152437E-8,6600.0,99.9,99.7997548999976,99.80276134122288,99.79633401221996,16600.0,85480.0
6700.0,1.582416,3.4142501838505284E-8,6700.0,99.9,99.79947864447564,99.80430528375733,99.7946611909651,16700.0,85480.0
6800.0,1.593407,3.438555392333205E-8,6800.0,99.9,99.79972602520247,99.80506822612085,99.79423868312757,16800.0,85480.0
