learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.620758,1.3104187945524852E-10,100.0,95.0,90.01597444089457,89.99999999999999,88.63636363636363,10100.0,816.0
200.0,0.631713,1.3335447758436203E-10,200.0,97.5,94.99299018626076,94.84536082474226,93.97590361445782,10200.0,816.0
300.0,0.63895,1.3488220671812693E-10,300.0,98.33333333333333,96.65118771209144,96.5986394557823,96.06299212598424,10300.0,816.0
400.0,0.645923,1.3635420550902683E-10,400.0,98.75,97.48895138609885,97.43589743589745,97.1264367816092,10400.0,816.0
500.0,0.652854,1.378173381090164E-10,500.0,98.8,97.58489107858765,97.59036144578313,97.23502304147466,10500.0,816.0
600.0,0.659442,1.3920806348323822E-10,600.0,99.0,97.98506710845936,97.95918367346938,97.70114942528735,10600.0,816.0
700.0,0.665893,1.4056986818710964E-10,700.0,99.14285714285714,98.27632907340376,98.25581395348837,98.07073954983923,10700.0,816.0
800.0,0.672062,1.4187214275201161E-10,800.0,99.25,98.49466547076202,98.46547314578005,98.34710743801654,10800.0,816.0
900.0,0.67806,1.431383192539215E-10,900.0,99.33333333333333,98.66503834306536,98.63945578231291,98.57482185273159,10900.0,816.0
1000.0,0.683872,1.443652311960856E-10,1000.0,99.4,98.79812026008678,98.79032258064517,98.7152034261242,11000.0,816.0
1100.0,0.689361,1.455239579081535E-10,1100.0,99.9,99.79959437902313,99.79508196721312,99.78813559322035,11100.0,816.0
1200.0,0.694715,1.466541861494382E-10,1200.0,99.9,99.79978216299334,99.79550102249489,99.79296066252587,11200.0,816.0
1300.0,0.70002,1.477740705013275E-10,1300.0,99.9,99.79972602520247,99.79123173277662,99.79209979209979,11300.0,816.0
1400.0,0.705322,1.4889332155386606E-10,1400.0,99.9,99.79992797407067,99.79423868312757,99.79591836734694,11400.0,816.0
1500.0,0.710702,1.5002903838952382E-10,1500.0,100.0,100.0,100.0,100.0,11500.0,816.0
1600.0,0.715959,1.511387899518013E-10,1600.0,100.0,100.0,100.0,100.0,11600.0,816.0
1700.0,0.72233,1.5248370667298635E-10,1700.0,100.0,100.0,100.0,100.0,11700.0,816.0
