learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,4.679528,5.559062527285682E-9,1000.0,87.2,73.78499600630798,67.09511568123393,70.16317016317016,20461.0,4592.0
2000.0,5.345987,6.350784951614009E-9,2000.0,81.2,61.55104712041886,65.81818181818181,63.56589147286823,23284.0,4592.0
3000.0,5.869053,6.972163133323193E-9,3000.0,85.1,70.04037511863207,70.14028056112224,68.76310272536688,25292.0,4592.0
4000.0,6.409666,7.614386338326666E-9,4000.0,88.4,76.4412473140991,77.60617760617761,74.39293598233996,27363.0,4592.0
5000.0,7.000665,8.316465777655442E-9,5000.0,82.3,64.65513798474379,65.83011583011582,66.28571428571428,29417.0,4592.0
6000.0,7.587207,9.01325050741434E-9,6000.0,90.3,80.16408595290095,81.48854961832062,76.79425837320575,31453.0,4592.0
7000.0,8.21441,9.758338621921008E-9,7000.0,90.10000000000001,79.44949557852784,79.33194154488518,74.61538461538461,33611.0,4592.0
8000.0,8.80062,1.0454728951056796E-8,8000.0,86.0,70.32892505934215,71.83098591549295,62.365591397849464,35584.0,4592.0
9000.0,9.406853,1.117490567680862E-8,9000.0,86.3,70.72699611972445,72.09775967413442,63.56382978723404,37688.0,4592.0
10000.0,9.999425,1.187885376728243E-8,10000.0,87.1,73.26757294429707,73.61963190184049,69.28571428571428,39657.0,4592.0
11000.0,10.575722,1.2563467911548082E-8,11000.0,91.10000000000001,81.75167515521329,81.76229508196722,78.65707434052759,41599.0,4592.0
12000.0,11.105,1.3192225661542677E-8,12000.0,88.3,76.56832036913907,77.41312741312741,75.97535934291582,43340.0,4592.0
13000.0,11.70461,1.3904534570044938E-8,13000.0,84.39999999999999,67.86208715142725,68.92430278884461,61.386138613861384,45201.0,4592.0
14000.0,12.359601,1.4682633541524406E-8,14000.0,89.7,74.98129669753118,74.37810945273633,62.815884476534315,47268.0,4592.0
15000.0,12.962452,1.5398792607916722E-8,15000.0,90.10000000000001,76.13859858856196,77.65237020316027,67.32673267326734,49219.0,4592.0
16000.0,13.569506,1.6119944643643164E-8,16000.0,82.69999999999999,64.51922524754505,66.27680311890838,60.85972850678731,51018.0,4592.0
17000.0,14.268978,1.6950884982943533E-8,17000.0,81.69999999999999,63.289869608826464,62.499999999999986,65.66604127579737,52962.0,4592.0
18000.0,14.859527,1.765242984311448E-8,18000.0,84.39999999999999,68.61280677963373,67.76859504132231,64.3020594965675,54742.0,4592.0
19000.0,15.423493,1.8322395330501923E-8,19000.0,84.7,69.5895181230571,69.5219123505976,66.88311688311688,56542.0,4592.0
20000.0,15.989401,1.8994667823943824E-8,20000.0,87.3,73.07108385706896,72.57019438444924,63.61031518624641,58396.0,4592.0
21000.0,16.540545,1.9649401369194188E-8,21000.0,88.1,75.39410781929764,73.96061269146608,70.83333333333334,60241.0,4592.0
22000.0,17.114592,2.0331342617670694E-8,22000.0,83.6,67.08664641023685,66.32443531827515,65.76200417536533,62104.0,4592.0
