learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.161907,5.562891093186206E-8,1000.0,86.2,71.88000505344837,64.52442159383033,67.83216783216784,20461.0,99464.0
2000.0,2.476158,6.350105801183316E-8,2000.0,85.39999999999999,70.6921471013329,73.45454545454544,71.70542635658914,23284.0,96832.0
3000.0,2.692579,6.896013804400961E-8,3000.0,86.1,71.93733344100784,72.1442885771543,70.85953878406708,25292.0,97504.0
4000.0,2.904637,7.435524624461929E-8,4000.0,85.3,70.03668976763147,71.62162162162163,67.54966887417217,27363.0,98344.0
5000.0,3.153613,8.065354001397888E-8,5000.0,82.8,65.4528290517605,66.79536679536679,67.23809523809523,29417.0,97784.0
6000.0,3.369595,8.624860875929395E-8,6000.0,88.8,76.77736124473344,78.62595419847328,73.20574162679426,31453.0,100136.0
7000.0,3.587292,9.198271987752782E-8,7000.0,88.9,76.68165203142725,76.82672233820459,71.53846153846153,33611.0,101816.0
8000.0,3.786919,9.727557403966784E-8,8000.0,85.6,68.87321020958706,71.0261569416499,61.29032258064515,35584.0,102488.0
9000.0,4.005736,1.0308673663064837E-7,9000.0,86.0,69.1879709838721,71.48676171079428,62.76595744680851,37688.0,102656.0
10000.0,4.206659,1.0849254470525516E-7,10000.0,87.1,72.9808981233244,73.61963190184049,69.28571428571428,39657.0,104000.0
11000.0,4.4018,1.137597511232727E-7,11000.0,88.5,76.29159279264421,76.4344262295082,72.42206235011992,41599.0,104336.0
12000.0,4.574658,1.1843301201653149E-7,12000.0,84.5,68.9515644405272,70.07722007722008,68.17248459958931,43340.0,104504.0
13000.0,4.786297,1.2430058440193534E-7,13000.0,83.1,65.00397587966337,66.33466135458167,58.168316831683164,45201.0,107168.0
14000.0,5.008056,1.30485444397976E-7,14000.0,86.6,67.41609644835451,66.66666666666666,51.624548736462096,47268.0,107808.0
15000.0,5.21695,1.3634781502808135E-7,15000.0,87.5,68.43306800274759,71.78329571106094,58.74587458745876,49219.0,108480.0
16000.0,5.450546,1.4158552985845343E-7,16000.0,78.9,55.95026346335313,58.869395711500985,52.26244343891403,51018.0,86672.0
17000.0,5.656748,1.4621029372223552E-7,17000.0,83.8,67.69884154487268,66.80327868852459,69.60600375234522,52962.0,86696.0
18000.0,5.844498,1.5043753015291362E-7,18000.0,84.39999999999999,67.78443657870716,67.76859504132231,64.3020594965675,54742.0,87032.0
19000.0,6.036768,1.5468297162196704E-7,19000.0,81.8,63.310002257846,63.74501992031871,60.606060606060595,56542.0,85352.0
20000.0,6.206093,1.5851744221109486E-7,20000.0,88.9,75.87669732426934,76.02591792656588,68.19484240687679,58396.0,87536.0
21000.0,6.378619,1.6245439455534024E-7,21000.0,87.5,73.69307180739119,72.64770240700219,69.36274509803921,60241.0,88208.0
22000.0,6.547131,1.6633636864316135E-7,22000.0,87.3,74.4411260394613,73.92197125256673,73.48643006263048,62104.0,89048.0
23000.0,6.715009,1.7023292247826857E-7,23000.0,89.0,78.00712569127603,77.82258064516128,77.36625514403292,63988.0,89720.0
24000.0,6.879515,1.740726592164073E-7,24000.0,88.9,77.81207023379282,77.62096774193549,77.01863354037268,65805.0,90224.0
25000.0,7.050621,1.780887563257582E-7,25000.0,85.7,71.31348146008361,71.34268537074148,67.6470588235294,67659.0,90728.0
26000.0,7.226712,1.8222185835656195E-7,26000.0,89.3,77.11171195838182,77.56813417190776,71.23655913978494,69563.0,90728.0
27000.0,7.406923,1.8645166254912815E-7,27000.0,86.8,70.98327141632411,70.92511013215858,60.36036036036035,71514.0,90728.0
28000.0,7.58365,1.9061505410820248E-7,28000.0,88.5,73.20546515312495,72.87735849056605,65.46546546546547,73426.0,91064.0
29000.0,7.748426,1.945112230587337E-7,29000.0,91.4,81.0188046261146,80.97345132743364,76.24309392265194,75305.0,91400.0
30000.0,7.913327,1.9841751454605E-7,30000.0,86.2,71.29485179407176,70.63829787234042,67.37588652482269,77150.0,91568.0
31000.0,8.095792,2.026764325425029E-7,31000.0,88.1,76.12781049894882,77.02702702702703,75.61475409836066,79070.0,90224.0
32000.0,8.266981,2.067391187883914E-7,32000.0,87.1,74.22598021194635,74.40476190476191,73.78048780487805,80925.0,91736.0
33000.0,8.430155,2.106470508149101E-7,33000.0,89.0,77.82114975159688,78.30374753451676,76.44539614561027,82705.0,92576.0
34000.0,8.61326,2.1473787171973126E-7,34000.0,87.7,75.34674897779203,75.9765625,75.9765625,84522.0,86360.0
35000.0,8.796763,2.1909811279632982E-7,35000.0,87.9,75.72114227009327,75.8,74.68619246861925,86288.0,91848.0
36000.0,8.967955,2.2324023342587885E-7,36000.0,88.4,76.82595493047786,75.0,76.27811860940696,88094.0,93528.0
37000.0,9.117696,2.2688285480149922E-7,37000.0,87.7,74.64419413889209,75.69169960474308,68.62244897959184,89749.0,94032.0
38000.0,9.264164,2.305965128147768E-7,38000.0,90.60000000000001,81.19097166639988,79.78494623655914,80.97165991902835,91308.0,98008.0
39000.0,9.389543,2.336247038820552E-7,39000.0,90.8,81.5860790757813,80.83333333333333,81.10882956878851,92704.0,93360.0
40000.0,9.556774,2.37700057691998E-7,40000.0,87.0,73.76821595618888,72.63157894736841,71.30242825607064,94448.0,94200.0
41000.0,9.730004,2.419667780192362E-7,41000.0,86.1,71.03104471639601,69.04231625835189,64.8989898989899,96313.0,95208.0
42000.0,9.909123,2.4618652108435833E-7,42000.0,87.0,73.64921839527794,73.25102880658436,70.18348623853211,98202.0,91064.0
43000.0,10.090833,2.505383806241056E-7,43000.0,88.0,74.91051416719634,73.45132743362832,68.58638743455498,100149.0,92576.0
44000.0,10.269855,2.5483364457264546E-7,44000.0,89.1,77.3467894789346,77.14884696016772,73.54368932038835,102121.0,92744.0
45000.0,10.451526,2.592240487535795E-7,45000.0,90.7,80.9111733265462,80.0,78.57142857142858,104133.0,93416.0
46000.0,10.621612,2.633344807186061E-7,46000.0,84.0,67.58022880253523,68.19085487077534,65.29284164859001,106107.0,93416.0
47000.0,10.827603,2.684976440812979E-7,47000.0,82.39999999999999,63.390535621424846,62.4733475479744,53.06666666666665,108212.0,96888.0
48000.0,11.034142,2.73728402302497E-7,48000.0,86.6,72.15295095594347,72.8744939271255,66.5,110361.0,97896.0
49000.0,11.223751,2.7853863605194623E-7,49000.0,89.8,79.01614522473298,78.75000000000001,74.8768472906404,112382.0,98064.0
50000.0,11.403662,2.8307156207246913E-7,50000.0,93.30000000000001,86.18978126262502,86.15702479338843,84.08551068883612,114352.0,97392.0
51000.0,11.590111,2.877611120935116E-7,51000.0,93.2,85.94669664704716,85.6842105263158,83.16831683168319,116557.0,97224.0
52000.0,11.774064,2.9236389818497835E-7,52000.0,87.2,73.78564026525656,70.9090909090909,68.55036855036856,118692.0,96720.0
53000.0,11.965402,2.97364909183234E-7,53000.0,89.3,78.05902327794092,77.33050847457628,73.77450980392157,120701.0,101032.0
54000.0,12.205134,3.0385654518794685E-7,54000.0,88.3,76.54746632456703,75.625,76.73956262425448,123112.0,104672.0
55000.0,12.432218,3.0923446162500317E-7,55000.0,85.7,71.11834611127716,71.285140562249,68.00894854586129,125093.0,91544.0
56000.0,12.611311,3.133913226549824E-7,56000.0,92.5,84.472049689441,84.40748440748442,81.25000000000001,127168.0,89720.0
57000.0,12.793829,3.1769907300257023E-7,57000.0,92.30000000000001,83.52532393064376,82.69662921348315,80.35714285714288,129312.0,91232.0
58000.0,12.991291,3.22393856557707E-7,58000.0,87.9,75.89967892795399,75.55555555555556,76.77543186180422,131448.0,91904.0
59000.0,13.186836,3.2724419865136346E-7,59000.0,91.0,82.00194379007067,82.65895953757226,80.9725158562368,133532.0,95880.0
60000.0,13.418047,3.3327732344261474E-7,60000.0,86.9,71.41610298930831,71.88841201716738,63.711911357340725,135845.0,100864.0
61000.0,13.623031,3.3866172750583956E-7,61000.0,92.0,81.27340823970039,81.35198135198137,74.8427672955975,137980.0,101536.0
62000.0,13.84147,3.4442804112202596E-7,62000.0,87.9,68.90643148622118,69.97518610421837,57.6923076923077,140200.0,102040.0
63000.0,14.121239,3.514387126432525E-7,63000.0,87.7,68.82761417203102,69.92665036674816,57.58620689655173,142563.0,96864.0
64000.0,14.334189,3.5688428032729365E-7,64000.0,88.3,69.68472109943411,71.11111111111111,59.375000000000014,144792.0,98848.0
65000.0,14.556042,3.6239360003628667E-7,65000.0,85.39999999999999,66.61895768838568,66.81818181818181,55.351681957186535,146856.0,95992.0
66000.0,14.729536,3.6680757593984407E-7,66000.0,91.0,81.37008532500923,81.55737704918033,78.62232779097388,148543.0,98344.0
67000.0,14.950855,3.7247677500049277E-7,67000.0,89.5,78.06009444606963,79.4921875,73.41772151898735,150679.0,99016.0
68000.0,15.140335,3.7739628285169607E-7,68000.0,91.5,81.21015447463593,81.11111111111111,77.27272727272728,152646.0,100360.0
69000.0,15.347436,3.827912902480199E-7,69000.0,84.0,66.34625496918578,69.1119691119691,60.880195599022,154799.0,100696.0
70000.0,15.556344,3.88233370224221E-7,70000.0,86.1,71.42692693515762,71.57464212678937,67.21698113207547,156894.0,100696.0
71000.0,15.809244,3.9494078334627887E-7,71000.0,84.1,65.16976998904708,64.74501108647449,57.599999999999994,159100.0,102520.0
72000.0,16.02302,4.0067381762589025E-7,72000.0,92.5,82.02680163340428,82.14285714285715,74.04844290657441,161260.0,103664.0
73000.0,16.211985,4.0578253544453126E-7,73000.0,91.7,83.04101214508721,82.92181069958848,81.59645232815966,163167.0,104504.0
74000.0,16.412286,4.113444735751385E-7,74000.0,89.3,77.72318454363759,78.81188118811882,74.52380952380952,165121.0,107336.0
75000.0,16.6267,4.17380394279543E-7,75000.0,87.1,73.98249364688797,76.02230483271374,73.01255230125523,167195.0,108816.0
76000.0,16.927444,4.2515630611735924E-7,76000.0,78.9,55.69460776079288,55.67226890756303,50.70093457943926,169269.0,99944.0
77000.0,17.132488,4.3068784178752047E-7,77000.0,89.2,74.57962227201688,74.76635514018693,65.60509554140127,171432.0,104280.0
78000.0,17.352068,4.3571444714027984E-7,78000.0,82.5,62.008718456381665,63.61746361746361,52.31607629427791,173334.0,88488.0
79000.0,17.579613,4.4109150799819175E-7,79000.0,89.0,76.90705720331866,77.08333333333334,71.35416666666667,175724.0,91344.0
80000.0,17.815176,4.4662927644534254E-7,80000.0,88.4,75.3577376703715,74.78260869565217,69.63350785340315,178123.0,90872.0
81000.0,18.015622,4.512120601948766E-7,81000.0,89.7,79.12173447711093,77.80172413793103,77.16186252771618,180369.0,88376.0
82000.0,18.231738,4.565619153943328E-7,82000.0,89.1,75.6956831965751,75.99118942731278,67.84660766961652,182682.0,95688.0
83000.0,18.451164,4.620586480862566E-7,83000.0,86.6,69.01648138214239,69.8876404494382,58.89570552147239,184911.0,96832.0
84000.0,18.663363,4.6741123089359884E-7,84000.0,87.9,74.7605379968628,75.3061224489796,69.82543640897757,187142.0,97504.0
85000.0,18.863225,4.7249605257064123E-7,85000.0,92.80000000000001,84.15513879658279,84.1409691629956,79.4871794871795,189266.0,98344.0
86000.0,19.067059,4.777173644387062E-7,86000.0,91.3,77.69825482435454,78.08564231738036,68.01470588235296,191496.0,99016.0
87000.0,19.285717,4.83375420144035E-7,87000.0,86.9,70.66989073974565,70.36199095022624,63.09859154929577,193833.0,100024.0
88000.0,19.49117,4.887274969307087E-7,88000.0,83.7,65.97077244258872,67.85009861932937,60.817307692307686,196073.0,100696.0
89000.0,19.717957,4.947521976898944E-7,89000.0,85.8,66.64662332293585,66.97674418604652,55.34591194968552,198221.0,102688.0
