learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.079164,1.884140074253082E-11,1000.0,57.9,3.0650776400375745,-8.226221079691525,1.8648018648018663,20461.0,920.0
2000.0,0.089748,2.1360442042350766E-11,2000.0,45.4,0.0,0.7272727272727278,-5.813953488372087,23284.0,920.0
3000.0,0.094685,2.2535471038685903E-11,3000.0,53.6,0.0,7.01402805611223,2.7253668763102747,25292.0,920.0
4000.0,0.09973,2.3736204538080426E-11,4000.0,54.7,0.0,12.54826254826256,0.0,27363.0,920.0
5000.0,0.10474,2.4928607874446445E-11,5000.0,51.5,0.0,6.370656370656376,7.619047619047626,29417.0,920.0
6000.0,0.109363,2.602890340818299E-11,6000.0,58.199999999999996,0.0,20.22900763358778,0.0,31453.0,920.0
7000.0,0.11387,2.7101590401596493E-11,7000.0,61.0,0.0,18.580375782880996,0.0,33611.0,920.0
8000.0,0.118974,2.8316366175810497E-11,8000.0,62.8,0.0,25.15090543259557,0.0,35584.0,920.0
9000.0,0.12368,2.94364160961575E-11,9000.0,62.4,0.0,23.421588594704684,0.0,37688.0,920.0
10000.0,0.128181,3.050767506162326E-11,10000.0,57.99999999999999,0.0,14.110429447852752,0.0,39657.0,920.0
11000.0,0.132701,3.1583456115590206E-11,11000.0,58.3,0.0,14.549180327868843,0.0,41599.0,920.0
12000.0,0.136573,3.250501015120083E-11,12000.0,51.300000000000004,0.0,5.98455598455599,0.0,43340.0,920.0
13000.0,0.140896,3.353390428755019E-11,13000.0,59.599999999999994,0.0,19.521912350597606,0.0,45201.0,920.0
14000.0,0.145457,3.4619443532493384E-11,14000.0,72.3,0.0,31.094527363184078,0.0,47268.0,920.0
15000.0,0.149684,3.5625489221678844E-11,15000.0,69.69999999999999,0.0,31.60270880361172,0.0,49219.0,920.0
16000.0,0.153791,3.660297435190943E-11,16000.0,55.800000000000004,0.0,13.840155945419117,0.0,51018.0,920.0
17000.0,0.158091,3.762639438112577E-11,17000.0,48.5,0.0,-5.532786885245907,3.377110694183858,52962.0,920.0
18000.0,0.161965,3.8548424426052306E-11,18000.0,57.099999999999994,0.0,11.36363636363635,1.8306636155606422,54742.0,920.0
19000.0,0.165943,3.94952069554064E-11,19000.0,53.800000000000004,0.0,7.968127490039848,0.0,56542.0,920.0
20000.0,0.170137,4.049339849087927E-11,20000.0,65.10000000000001,0.0,24.622030237580994,0.0,58396.0,920.0
21000.0,0.174084,4.143280287583669E-11,21000.0,59.199999999999996,0.0,10.72210065645513,0.0,60241.0,920.0
22000.0,0.178263,4.24274243414402E-11,22000.0,52.1,0.0,1.6427104722792623,0.0,62104.0,920.0
23000.0,0.182572,4.345298641257816E-11,23000.0,49.1,0.0,-2.620967741935486,-4.732510288065848,63988.0,920.0
24000.0,0.18628,4.433550768428379E-11,24000.0,48.3,0.0,-4.2338709677419395,-7.039337474120089,65805.0,920.0
25000.0,0.189921,4.520208264390628E-11,25000.0,44.2,0.0,-11.823647294589177,-26.24434389140273,67659.0,920.0
26000.0,0.19358,4.6072941687372E-11,26000.0,37.2,0.0,-31.656184486373174,-68.81720430107528,69563.0,920.0
27000.0,0.197412,4.698497553666433E-11,27000.0,33.300000000000004,0.0,-46.916299559471376,-100.30030030030032,71514.0,920.0
28000.0,0.201034,4.784702840778563E-11,28000.0,33.300000000000004,0.0,-57.31132075471697,-100.30030030030032,73426.0,920.0
29000.0,0.204563,4.86869468457169E-11,29000.0,36.199999999999996,0.0,-41.15044247787612,-76.24309392265194,75305.0,920.0
30000.0,0.208058,4.9518773125277625E-11,30000.0,42.3,0.0,-22.76595744680852,-36.40661938534278,77150.0,920.0
31000.0,0.211767,5.040153240164121E-11,31000.0,48.8,0.0,1.1583011583011593,-4.9180327868852505,79070.0,920.0
32000.0,0.215368,5.125858717494541E-11,32000.0,50.9,0.0,2.5793650793650817,0.2032520325203254,80925.0,920.0
33000.0,0.218743,5.206185289555126E-11,33000.0,45.2,0.0,-8.086785009861929,-17.344753747323345,82705.0,920.0
34000.0,0.221993,5.283536803391245E-11,34000.0,52.7,0.0,7.617187500000007,7.617187500000007,84522.0,920.0
35000.0,0.225136,5.358341667387221E-11,35000.0,47.099999999999994,0.0,-5.800000000000005,-10.669456066945617,86288.0,920.0
36000.0,0.22889,5.447688615984387E-11,36000.0,52.800000000000004,0.0,-1.7241379310344844,3.4764826175869152,88094.0,920.0
37000.0,0.231825,5.517542983094851E-11,37000.0,60.8,0.0,22.5296442687747,0.0,89749.0,920.0
38000.0,0.234582,5.583160867293676E-11,38000.0,50.6,0.0,-6.236559139784952,0.0,91308.0,920.0
39000.0,0.237125,5.643685451812215E-11,39000.0,47.9,0.0,-8.541666666666675,-6.9815195071868645,92704.0,920.0
40000.0,0.24022,5.7173478934499955E-11,40000.0,45.300000000000004,0.0,-15.15789473684211,-20.7505518763797,94448.0,920.0
41000.0,0.243471,5.7947232077519104E-11,41000.0,39.6,0.0,-34.52115812917596,-52.52525252525251,96313.0,920.0
42000.0,0.246734,5.872384127643374E-11,42000.0,43.6,0.0,-16.049382716049383,-29.3577981651376,98202.0,920.0
43000.0,0.250131,5.953234309951465E-11,43000.0,38.2,0.0,-36.725663716814175,-61.78010471204188,100149.0,920.0
44000.0,0.253957,6.044294892085924E-11,44000.0,41.199999999999996,0.0,-23.270440251572335,-42.71844660194174,102121.0,920.0
45000.0,0.257385,6.125882888833683E-11,45000.0,43.4,0.0,-21.72043010752689,-30.414746543778787,104133.0,920.0
46000.0,0.26084,6.208113498157927E-11,46000.0,46.1,0.0,-7.157057654075542,-16.91973969631237,106107.0,920.0
47000.0,0.264484,6.294842395517563E-11,47000.0,37.5,0.0,-33.262260127931775,-66.66666666666666,108212.0,920.0
48000.0,0.26817,6.38257091244062E-11,48000.0,40.0,0.0,-21.457489878542507,-49.999999999999986,110361.0,920.0
49000.0,0.271541,6.462802282638022E-11,49000.0,40.6,0.0,-23.75,-46.30541871921181,112382.0,920.0
50000.0,0.275215,6.55024519397153E-11,50000.0,45.4,-5.435122640744292,-12.8099173553719,-29.69121140142516,114352.0,920.0
51000.0,0.279065,6.641876987285087E-11,51000.0,59.599999999999994,0.0,14.947368421052623,0.0,116557.0,920.0
52000.0,0.282748,6.729534102810757E-11,52000.0,59.3,0.0,7.499999999999981,0.0,118692.0,920.0
53000.0,0.286299,6.81404955685139E-11,53000.0,59.199999999999996,0.0,13.559322033898294,0.0,120701.0,920.0
54000.0,0.290615,6.916772367225756E-11,54000.0,48.4,0.0,-7.500000000000007,-2.584493041749505,123112.0,920.0
55000.0,0.294119,7.00016919937399E-11,55000.0,44.7,0.0,-11.044176706827308,-23.71364653243849,125093.0,920.0
56000.0,0.297972,7.091872394084933E-11,56000.0,40.0,0.0,-24.740124740124738,-49.999999999999986,127168.0,920.0
57000.0,0.301776,7.182409365971886E-11,57000.0,39.2,0.0,-36.62921348314608,-55.10204081632652,129312.0,920.0
58000.0,0.305451,7.26987607777119E-11,58000.0,52.2,0.0,3.434343434343438,8.25335892514396,131448.0,920.0
59000.0,0.308973,7.353701318303748E-11,59000.0,47.3,0.0,-1.5414258188824677,-11.41649048625794,133532.0,920.0
60000.0,0.312973,7.448903181486663E-11,60000.0,36.1,0.0,-37.124463519313316,-77.00831024930748,135845.0,920.0
61000.0,0.316611,7.535489276051524E-11,61000.0,31.8,0.0,-58.97435897435896,-114.46540880503149,137980.0,920.0
62000.0,0.320535,7.628882303833964E-11,62000.0,28.599999999999998,0.0,-77.1712158808933,-149.65034965034963,140200.0,920.0
63000.0,0.324884,7.732390529579589E-11,63000.0,28.999999999999996,0.0,-73.59413202933985,-144.82758620689654,142563.0,920.0
64000.0,0.32869,7.822975102398134E-11,64000.0,36.0,-0.9489198465576363,-58.02469135802468,-122.22222222222221,144792.0,920.0
65000.0,0.33515,7.976726111438542E-11,65000.0,67.30000000000001,0.0,25.681818181818183,0.0,146856.0,920.0
66000.0,0.338029,8.045247652464446E-11,66000.0,57.9,0.0,13.729508196721302,0.0,148543.0,920.0
67000.0,0.341549,8.129025292065412E-11,67000.0,60.5,0.0,22.851562499999996,0.0,150679.0,920.0
68000.0,0.344807,8.206567209627897E-11,68000.0,62.6,0.0,16.888888888888882,0.0,152646.0,920.0
69000.0,0.348387,8.291772877176607E-11,69000.0,59.099999999999994,0.0,21.04247104247104,0.0,154799.0,920.0
